Regulator	Target	MI
FOXA1	CKMT2	0.9430771950392796
FOXA1	EEF1G	1.0395113188699283
FOXA1	FGD6	0.9219736122091535
FOXA1	TAF1B	0.9219736122091535
FOXA1	GLCE	0.8213409548541089
FOXA1	USP9Y	0.8734641445321514
FOXA1	RPL31P11	0.8467979627105846
FOXA1	SNX20	1.0395113188699283
ATF2	RYR1	1.0217278604945919
ATF2	USP37	0.8253132609580933
ATF2	CCDC45	1.030756747760933
ATF2	CLPB	0.8090961616168082
ATF2	CELF1	0.9198896616191785
ATF2	PHF23	0.9198896616191785
ATF2	ORC5L	0.90915661475259
ATF2	SRA1	1.0395113188699283
ATF2	C19orf29	0.8734641445321509
ATF2	HNRNPR	1.0395113188699283
ATF2	EFCAB7	0.9219736122091531
ATF2	METRNL	0.8131904766573737
ATF2	IPO5	0.9219736122091531
ATF2	LOC285194	0.9198896616191785
ATF2	RGS2	0.9198896616191785
ATF2	TBK1	0.9219736122091535
ATF2	MED10	1.051275519067704
ATF2	SENP8	1.030756747760933
ATF2	MOSC1	0.9198896616191785
ATF2	C2orf29	0.8599513603211224
ATF2	DIS3L2	0.8101786141578553
ATF2	BRD2	1.0217278604945919
ATF2	JMJD4	0.8219450477663686
ATF2	MYST4	1.1482944544217082
ATF2	AQR	1.030756747760933
ATF2	TIGD4	0.8101786141578553
ATF2	COG3	1.0217278604945919
ATF2	TSC22D2	0.9198896616191785
ATF2	MRPS21	0.9219736122091531
ATF2	SOX11	0.9198896616191785
ATF2	SMC1A	1.0395113188699283
ATF2	WDR34	0.8131904766573737
ATF2	FRMD1	0.9198896616191785
ATF2	ATXN2L	0.9091566147525905
ATF2	DUSP22	0.9198896616191785
ATF2	RCN3	0.9219736122091535
ATF2	HGC6.3	0.9198896616191785
ATF2	NDUFS7	0.859951360321122
ATF2	PACS2	1.030756747760933
ATF2	FSHR	0.9198896616191785
ATF2	FLYWCH2	0.8090961616168082
ATF2	PGAM5	0.8219450477663686
ATF2	TRIB3	1.1482944544217084
ATF2	EAPP	0.8101786141578553
ATF2	SEC22B	0.9307281833181484
ATF2	C14orf129	0.9198896616191785
ATF2	TBC1D29	0.9219736122091531
ATF2	SLC25A6	0.859951360321122
ATF2	SDCCAG3	0.9219736122091531
ATF2	DCUN1D5	1.0395113188699283
ATF2	KRTAP10-11	0.9198896616191785
ATF2	HEATR1	0.8131904766573732
ATF2	LOC285205	0.9198896616191785
ATF2	FBXO46	0.9219736122091531
ATF2	DNAJC28	0.8131904766573732
ATF2	BEGAIN	0.9219736122091531
ATF2	DYNC2LI1	0.859951360321122
ATF2	ATP5B	0.859951360321122
ATF2	C11orf30	0.9219736122091531
ATF2	DNAJC21	1.0395113188699283
ATF2	NXF4	0.9198896616191785
ATF2	SPRR2B	0.9198896616191785
ATF2	FKTN	0.8219450477663686
ATF2	MAP2K6	0.90915661475259
