Regulator	Target	MI
ATF1	SELP	0.8734641445321514
ATF1	BST1	0.8131904766573737
ATF1	MEIS1	0.8734641445321514
ATF1	ZNF700	0.8086316656406654
ATF1	PTPN2	0.9219736122091535
ATF1	FERD3L	0.8131904766573732
ATF1	IQCH	0.8734641445321514
ATF2	PSMC5	1.0217278604945919
ATF2	NCOR1	1.0217278604945919
ATF2	VSTM2A	1.053843710210944
ATF2	RCOR2	0.8734641445321514
CCNT2	LAMA5	0.8467979627105846
CCNT2	C20orf141	0.7984690266234171
CCNT2	UBXN2B	1.0562419799864777
CCNT2	RPP30	1.0395113188699283
CCNT2	JMJD1C	0.8094592125412281
CCNT2	KIAA2022	0.7984690266234171
CCNT2	PIK3R2	0.8131904766573732
CCNT2	FBXO21	0.7984690266234171
CCNT2	PIK3C2A	1.0353133253669036
CCNT2	CALD1	0.9307281833181484
CCNT2	ANKRD31	0.8213409548541089
CCNT2	CHML	0.8253132609580933
CCNT2	C9orf85	1.053843710210944
CCNT2	HDX	0.8213409548541089
CCNT2	MRPS25	0.8734641445321514
CCNT2	COG3	1.053843710210944
CCNT2	ATP2B3	0.8734641445321509
CCNT2	RASSF8	1.1363299612467856
CCNT2	RPRD2	1.0562419799864777
CCNT2	TRNAU1AP	0.9910018511929262
CCNT2	C9orf130	0.7988320775478375
CCNT2	CAPN14	1.0395113188699283
CCNT2	SAPS3	1.1363299612467856
CCNT2	ARHGAP30	1.1570490255307035
CCNT2	KRT16	0.8734641445321514
CCNT2	ZFP42	0.8213409548541089
CCNT2	KCNQ4	0.8131904766573732
CCNT2	ZNF536	0.8213409548541089
CCNT2	ALPK2	1.0395113188699283
CCNT2	RGNEF	0.7984690266234171
SMARCB1	TAS2R7	0.9219736122091531
SMARCB1	FKBP10	0.816843194256776
SMARCB1	PLVAP	0.8131904766573732
SMARCB1	NXT1	0.8131904766573737
SMARCB1	TAF9	0.8101786141578553
SMARCB1	CISD2	1.1482944544217084
SMARCB1	LYPD2	0.8131904766573737
SMARCB1	COCH	0.9307281833181484
SMARCB1	ZBTB3	0.8131904766573737
SMARCB1	SOX18	0.8015321883327955
SMARCB1	SI	0.816814572551769
SMARCB1	BSG	0.8131904766573732
SMARCB1	CCL2	0.816814572551769
SMARCB1	SRRM2	0.8131904766573732
SMARCB1	GUSBP1	0.8101786141578553
SMARCB1	FAM46C	0.8131904766573732
SMARCB1	SLC2A13	1.0395113188699283
SMARCB1	LOC200030	0.8467979627105846
SMARCB1	BET3L	0.859951360321122
SMARCB1	DCLK2	0.8740533198964275
SMARCB1	TET1	0.9219736122091531
SMARCB1	FAM104A	0.8219450477663686
SMARCB1	PRKAB1	0.8872536528759039
SMARCB1	C9orf130	0.816814572551769
SMARCB1	TPPP2	0.816814572551769
SMARCB1	ZNF419	0.8015321883327955
SMARCB1	MPPE1	0.8131904766573737
SMARCB1	SLC26A9	0.8131904766573732
SPI1	LOC146336	1.0217278604945919
SPI1	SNORD115-9	1.0353133253669036
SPI1	TRIO	1.053843710210944
SPI1	FRMPD4	1.0217278604945919
SPI1	PWWP2B	1.3833698677432584
SPI1	LOC284578	1.0353133253669036
SPI1	MRGPRG	1.0353133253669036
SPI1	SPINT4	1.0217278604945919
SPI1	FLJ12825	1.3833698677432584
SPI1	SNORD115-1	1.0353133253669036
SPI1	TMEM93	1.053843710210944
SPI1	ISLR	1.0217278604945919
SPI1	SOX17	1.053843710210944
SPI1	PWWP2A	1.0353133253669036
SPI1	MS4A13	1.3833698677432584
SPI1	GJA8	1.053843710210944
SPI1	MS4A12	1.0217278604945919
SPI1	PRR20D	1.0217278604945919
SPI1	SNORA1	1.3833698677432584
SPI1	LOC441177	1.0353133253669036
SPI1	PRIMA1	1.0217278604945919
SPI1	TSPYL2	1.0217278604945919
SPI1	TSPYL1	1.0217278604945919
SPI1	TAAR6	1.0217278604945919
SPI1	OR11G2	1.0217278604945919
SPI1	FLJ34503	1.0353133253669036
SPI1	LOC285796	1.3833698677432584
SPI1	LOC339240	1.0353133253669036
SPI1	C22orf34	1.0217278604945919
SPI1	AAA1	1.0217278604945919
SPI1	LCE1C	1.0217278604945919
SPI1	SULT2B1	1.3833698677432584
SPI1	PRR19	1.053843710210944
SPI1	SNORD116-25	1.3833698677432584
SPI1	OR4K13	1.0217278604945919
SPI1	RBP1	1.0353133253669036
SPI1	SPARCL1	1.053843710210944
SPI1	NOBOX	1.0353133253669036
SPI1	NCRNA00207	1.053843710210944
SPI1	ASTN1	1.053843710210944
SPI1	SNORD114-7	1.053843710210944
SPI1	PRR21	1.3833698677432584
SPI1	LOC643719	1.3833698677432584
SPI1	CFH	1.053843710210944
SPI1	TTYH1	1.0217278604945919
SPI1	KRTAP27-1	1.0217278604945919
SPI1	DAZ4	1.0217278604945919
SPI1	DAZ3	1.3833698677432584
