Regulator	Target	MI
ATF1	LYRM1	1.0217278604945919
ATF1	TRAPPC4	0.8131904766573737
ATF1	SLC38A7	0.9317278849971542
ATF1	SPP1	1.053843710210944
ATF1	TRAF2	0.8131904766573737
ATF1	TMEM38A	0.9317278849971542
ATF1	FBXL14	0.8131904766573737
ATF1	LTBP1	0.8131904766573737
ATF1	CD22	0.9219736122091535
ATF1	RASGRP4	0.8131904766573732
FOXA1	LOC348840	0.9738545035508044
FOXA1	SLC25A15	0.8734641445321509
ATF2	SMAD5OS	1.3833698677432584
ATF2	ZNF175	1.053843710210944
ATF2	CCNT2	0.8253132609580933
ATF2	C19orf29	1.0395113188699283
ATF2	ELK3	1.1570490255307035
ATF2	WDR88	0.9910018511929262
ATF2	CAPN7	0.8253132609580933
ATF2	SNORD11	0.8101786141578553
ATF2	EPC1	1.0217278604945919
ATF2	GJA9	1.053843710210944
ATF2	PAR-SN	1.053843710210944
ATF2	ATXN7L1	1.0217278604945919
ATF2	ZNF567	0.816843194256776
ATF2	ZNF566	1.0217278604945919
ATF2	TRIM23	0.816843194256776
ATF2	GBP6	1.0353133253669036
ATF2	FAM48A	1.0217278604945919
ATF2	JMJD4	0.816843194256776
ATF2	RNF43	0.9910018511929262
ATF2	SLC30A8	0.816843194256776
ATF2	WNT5B	0.816843194256776
ATF2	SNORD62A	0.8872536528759039
ATF2	COG3	1.053843710210944
ATF2	MED9	0.9910018511929262
ATF2	PRSS54	0.9910018511929262
ATF2	ARMC3	0.8165586898490984
ATF2	MASP2	1.0353133253669036
ATF2	KIAA0406	0.816843194256776
ATF2	DGKI	0.8740533198964271
ATF2	KANK3	0.816843194256776
ATF2	SLC35D2	1.053843710210944
ATF2	MRPL15	0.9219736122091535
ATF2	KIAA1370	1.053843710210944
ATF2	ACACB	0.9910018511929262
ATF2	C11orf30	1.3833698677432584
ATF2	TCTEX1D1	0.8734641445321514
ATF2	ZBTB7B	0.9039352481933314
ATF2	RAB11FIP3	1.0217278604945919
ATF2	ZNF784	0.816843194256776
ATF2	NR2C2AP	1.053843710210944
ATF2	OSBPL8	0.9910018511929262
ATF2	ZBTB17	1.0217278604945919
ATF2	GFPT1	1.053843710210944
ATF2	CLK4	1.0217278604945919
ATF2	ZFHX4	1.0353133253669036
ATF2	TMEM231	0.9910018511929262
ATF2	PGM5P2	0.9219736122091535
ATF2	ACO1	0.816843194256776
ATF2	RPS20	0.9219736122091535
ATF2	ZNF775	0.801532188332795
ATF2	OGT	1.053843710210944
ATF2	RPS24	0.9910018511929262
ATF2	KLHDC9	0.8740533198964271
ATF2	C1orf94	1.051275519067704
ATF2	PIWIL2	1.053843710210944
ATF2	RYR1	1.053843710210944
ATF2	KCNK9	1.0395113188699283
ATF2	PIGO	0.8734641445321514
ATF2	FAF2	1.053843710210944
ATF2	CYB561D2	0.8734641445321514
ATF2	AKAP12	1.053843710210944
ATF2	MFSD8	0.816843194256776
ATF2	MUDENG	1.053843710210944
ATF2	KIAA1267	0.816843194256776
ATF2	ZNF280A	1.0217278604945919
ATF2	VTRNA1-2	0.9910018511929262
ATF2	SUN5	0.9307281833181484
ATF2	DNAJC1	0.8253132609580933
ATF2	NCOR1	1.0217278604945919
ATF2	CDC42EP5	0.8740533198964275
ATF2	ANG	0.816843194256776
ATF2	BIRC6	1.053843710210944
ATF2	CD48	0.816843194256776
ATF2	SEC22A	0.8740533198964271
ATF2	ZNF510	1.053843710210944
ATF2	C1QA	1.1125488886214874
ATF2	NFAT5	1.0217278604945919
ATF2	WDR25	1.053843710210944
ATF2	FGL1	1.1570490255307035
ATF2	USP11	0.8253132609580933
ATF2	C2orf81	0.9219736122091535
ATF2	C5orf60	1.0217278604945919
ATF2	CSTF2T	1.3833698677432584
ATF2	ZDHHC24	1.053843710210944
ATF2	FIGN	0.9910018511929262
ATF2	AURKC	1.053843710210944
ATF2	CACNG7	1.0217278604945919
ATF2	RGAG1	1.0217278604945919
ATF2	RMND5A	0.8734641445321509
ATF2	ADAM23	0.8007046414322327
ATF2	PDE6C	1.053843710210944
ATF2	XIRP2	0.8253132609580933
ATF2	CCL18	0.9219736122091531
ATF2	CNNM3	0.816843194256776
ATF2	P4HTM	0.9910018511929262
ATF2	TRIM45	0.8094592125412281
ATF2	ZNF221	0.816843194256776
ATF2	SNORD56B	1.0353133253669036
ATF2	RANBP6	1.053843710210944
ATF2	HINFP	0.9910018511929262
ATF2	C11orf65	0.90915661475259
ATF2	INGX	0.9317278849971538
ATF2	FABP6	0.9219736122091531
ATF2	C4orf29	1.0217278604945919
ATF2	KCNS3	0.9219736122091535
ATF2	NT5C1A	0.8734641445321514
ATF2	SHKBP1	0.816843194256776
ATF2	VWC2	0.816843194256776
ATF2	TTTY13	1.0217278604945919
ATF2	CIAPIN1	0.8734641445321509
ATF2	SUGT1	0.816843194256776
ATF2	SNORD63	1.053843710210944
CCNT2	C1orf94	0.8703171519179906
CCNT2	GPI	0.8090961616168078
CCNT2	DDX46	0.8734641445321514
CCNT2	RNPEPL1	1.051275519067704
CCNT2	GPR63	0.8090961616168078
CCNT2	ATP5G3	0.8734641445321514
CCNT2	OR52N4	1.0217278604945919
CCNT2	MED18	1.0217278604945919
CCNT2	SLC6A4	0.9219736122091535
CCNT2	AADACL2	0.8090961616168078
CCNT2	DUSP12	1.0353133253669036
CCNT2	MED10	1.0353133253669036
CCNT2	ENC1	0.8734641445321514
CCNT2	FAM21C	0.8131904766573737
CCNT2	GNPNAT1	0.8438651867491789
CCNT2	ZNF569	1.0217278604945919
CCNT2	ZNF645	1.0353133253669036
CCNT2	ZNF644	1.0353133253669036
CCNT2	MEF2A	0.8131904766573732
CCNT2	GNRHR2	0.8734641445321514
CCNT2	SLC11A1	0.816843194256776
CCNT2	COG3	0.8253132609580933
CCNT2	SNORD105	0.8734641445321514
CCNT2	GP1BA	0.8734641445321514
CCNT2	TFB2M	1.1570490255307035
CCNT2	OPN1MW	1.051275519067704
CCNT2	KIAA2026	1.0353133253669036
CCNT2	VAMP1	1.0395113188699283
CCNT2	ZNF599	1.0217278604945919
CCNT2	CSNK1G2	0.816843194256776
CCNT2	CCDC84	1.0353133253669036
CCNT2	RNF31	0.8131904766573737
CCNT2	ZNF155	1.0353133253669036
CCNT2	NECAB3	0.9219736122091535
CCNT2	BTF3L4	0.8090961616168078
CCNT2	HMHB1	0.8090961616168078
CCNT2	GPR81	0.816843194256776
CCNT2	ENHO	0.8131904766573737
CCNT2	DNAJB1	0.8253132609580933
CCNT2	C14orf156	0.9317278849971538
CCNT2	GPR116	0.8090961616168078
CCNT2	SLAMF6	1.0353133253669036
CCNT2	RAB9BP1	0.8101786141578553
CCNT2	SOCS6	0.9219736122091531
CCNT2	SLC36A4	1.0217278604945919
CCNT2	ZNF784	0.816843194256776
CCNT2	FDFT1	0.8131904766573737
CCNT2	KCNJ3	0.8213409548541089
CCNT2	MAGEE1	1.0395113188699283
CCNT2	SCARNA9L	0.9219736122091535
