Regulator	Target	MI
ATF1	GUCY1A2	0.9317278849971542
ATF1	LOC285074	0.9219736122091535
ATF1	MLL4	1.053843710210944
ATF1	HCG26	0.8364021184955179
ATF1	RCAN2	0.8191566392551524
ATF1	ZFYVE21	1.053843710210944
ATF1	TCF20	1.053843710210944
ATF1	EIF2AK4	1.053843710210944
ATF1	LGALS8	1.0217278604945919
ATF1	GGN	0.9205059247947163
FOXA1	MEF2A	0.816843194256776
FOXA1	FAM168B	0.816843194256776
FOXA1	C9orf27	1.0395113188699283
FOXA1	NFYC	1.0395113188699283
FOXA1	ATF7IP2	0.816843194256776
FOXA1	C17orf78	0.9910018511929262
FOXA1	GPC2	1.136329961246786
FOXA1	ST3GAL1	0.8090961616168078
FOXA1	CC2D2B	0.8734641445321514
ATF2	SNORD9	1.0217278604945919
ATF2	ANGPT1	1.0353133253669036
ATF2	RNPEPL1	1.0353133253669036
ATF2	FBXW11	0.955508957622452
ATF2	MEGF11	0.955508957622452
ATF2	MUL1	0.9792900302477507
ATF2	PAPD4	1.0353133253669036
ATF2	PXDNL	0.9091566147525905
ATF2	AFF4	1.053843710210944
ATF2	LRRC37B	0.9317278849971542
ATF2	PIAS1	1.0353133253669036
ATF2	PTER	0.9317278849971538
ATF2	KIAA2018	0.9317278849971538
ATF2	CNOT3	1.3833698677432584
ATF2	CORO7	1.0395113188699283
ATF2	ERGIC3	1.0353133253669036
ATF2	ASB3	1.053843710210944
ATF2	KIAA0319	1.053843710210944
ATF2	SLC22A20	1.0395113188699283
ATF2	ST3GAL1	0.9317278849971538
CCNT2	USP37	1.053843710210944
CCNT2	SEC1	0.9555089576224525
CCNT2	WIPF2	0.8740533198964271
CCNT2	WDR85	0.9219736122091535
CCNT2	GPATCH8	1.053843710210944
CCNT2	MED18	1.0217278604945919
CCNT2	ADNP2	0.9317278849971542
CCNT2	ZNF766	1.053843710210944
CCNT2	ZNF566	1.0217278604945919
CCNT2	VPS18	1.053843710210944
CCNT2	IK	1.0217278604945919
CCNT2	ZHX2	0.9792900302477507
CCNT2	RALGAPA2	1.053843710210944
CCNT2	EPS15L1	0.8191566392551524
CCNT2	UTF1	1.053843710210944
