Regulator	Target	MI
ATF1	TAF6L	1.0217278604945919
ATF1	SARDH	0.8734641445321509
ATF1	SLC25A34	1.0217278604945919
ATF1	MRPS6	0.8007046414322327
FOXA1	SERPINA12	0.9219736122091535
FOXA1	RNF14	1.053843710210944
FOXA1	HSPB7	1.053843710210944
FOXA1	ITSN1	1.0395113188699283
FOXA1	MLNR	0.7984690266234171
FOXA1	ZCCHC17	0.9307281833181484
FOXA1	AADACL2	0.9555089576224525
FOXA1	GGTLC2	0.7984690266234171
FOXA1	KBTBD13	0.8173862367496607
FOXA1	EDNRA	1.053843710210944
FOXA1	CAPN9	1.053843710210944
FOXA1	TTTY17A	1.053843710210944
FOXA1	TP63	1.053843710210944
FOXA1	CA13	0.9555089576224525
FOXA1	LOC100286844	1.053843710210944
FOXA1	CHST8	1.053843710210944
FOXA1	GUCY1A2	0.9910018511929262
FOXA1	CHIA	1.053843710210944
FOXA1	TIPIN	0.9219736122091531
FOXA1	OPALIN	0.9219736122091535
FOXA1	PUS1	1.053843710210944
FOXA1	RHBDF2	0.8131904766573732
FOXA1	SLC6A13	0.8133454543296925
FOXA1	CSNK1D	0.9555089576224525
FOXA1	AJAP1	0.9910018511929262
FOXA1	IL1F6	0.8318973801207781
FOXA1	MYH8	1.053843710210944
FOXA1	ERAS	1.053843710210944
FOXA1	SMARCD3	1.053843710210944
FOXA1	TP53I13	1.053843710210944
FOXA1	BHLHE22	1.053843710210944
FOXA1	SEMA3F	1.053843710210944
FOXA1	SNORD115-33	1.0562419799864777
FOXA1	STRA8	1.053843710210944
FOXA1	WBSCR28	1.053843710210944
FOXA1	SV2B	0.9317278849971542
FOXA1	PCDHA5	1.053843710210944
FOXA1	OR5AN1	1.053843710210944
FOXA1	OR7D2	0.7984690266234171
FOXA1	SLC37A2	0.9555089576224525
FOXA1	LOC100101938	1.053843710210944
FOXA1	KRTAP10-7	1.053843710210944
FOXA1	OR5B21	0.8734641445321509
FOXA1	KRTAP12-4	0.9910018511929262
FOXA1	IFNW1	1.053843710210944
FOXA1	PML	0.9317278849971542
FOXA1	CYP20A1	1.053843710210944
FOXA1	RAB18	0.9555089576224525
FOXA1	BLID	1.053843710210944
FOXA1	C12orf74	0.9555089576224525
