Regulator	Target	MI
ATF1	JRK	0.6557493983395526
ATF1	CDH9	0.5622761374182699
ATF1	CLDN1	0.5323236278900789
ATF1	PEX26	0.7225627298428967
ATF1	TGM1	0.6014239843133455
ATF1	GOLGA3	0.5713205387757192
ATF1	CCDC91	0.5890169736616082
ATF1	UBASH3B	0.7890118638162251
ATF1	POGZ	0.6469768267315179
ATF1	TMEM38B	0.5313230653273102
ATF1	HMGN3	0.5313582040858895
ATF1	RPP38	0.762475120518531
ATF1	TP63	0.5512520022741771
ATF1	ZNF442	0.5727154652778852
ATF1	ZNF563	0.5557779570788761
ATF1	C1orf103	0.5361140434657719
ATF1	SLC30A7	0.619898156519969
ATF1	MUSK	0.5714665885087769
ATF1	PUS1	0.528589580528263
ATF1	SLC34A1	0.5496399526100619
ATF1	TBR1	0.5496399526100619
ATF1	FBXO11	0.5642271083275485
ATF1	ATP5J2	0.5560327629763933
ATF1	DPM1	0.5647108402676988
ATF1	CLDN4	0.544553657990531
ATF1	CTAGE5	0.5409305988908204
ATF1	GUF1	0.766494587876513
ATF1	LOC100128292	0.6228290312498981
ATF1	LOC84989	0.5837487694734045
ATF1	PKP1	0.6101964497829786
ATF1	LPA	0.5324021591359478
ATF1	CCDC82	0.6150261239980286
ATF1	RPL28	0.528589580528263
ATF1	GPM6A	0.5399606254794378
ATF1	CALCRL	0.5433251730021462
ATF1	FAM114A1	0.6157767816174693
ATF1	FAM149B1	0.5673781193249923
ATF1	KLHL15	0.5485820467646847
ATF1	STXBP4	0.5807292157691495
ATF1	RTDR1	0.5915422860859971
ATF1	TAPBPL	0.5557779570788761
ATF1	KIAA0040	0.7403493554258986
ATF1	TOR1AIP1	0.5491269648503949
ATF1	COMMD8	0.5317202469349516
ATF1	THEM4	0.6141977598427832
ATF1	PIP5K1B	0.5323236278900789
ATF1	NXNL1	0.6121027711760538
ATF1	ZNF264	0.5491967942915061
ATF1	C1orf200	0.5807292157691495
ATF1	SUGT1P1	0.5377479337728643
ATF1	ZNF141	0.6227520646936111
ATF1	SLC10A1	0.5462260955515221
ATF1	XRCC5	0.543198420633122
ATF1	EDEM2	0.5271991295382215
ATF1	TNFRSF10C	0.594467621296547
ATF1	FOXN4	0.5915422860859971
ATF1	TRPV1	0.5727154652778852
ATF1	THAP10	0.5808003212807291
ATF1	ATP4A	0.5724429421147628
ATF1	C14orf23	0.5321170747295794
ATF1	SCCPDH	0.6722887485958506
ATF1	FUBP3	0.5834520101983522
ATF1	CALR	0.530338443264446
ATF1	INTS8	0.6779897199796183
ATF1	USP36	0.5496399526100619
ATF1	CD164L2	0.6473301079400939
ATF1	DAZAP1	0.6495078224417528
ATF1	C13orf23	0.5834520101983522
ATF1	DPY30	0.5880391186957099
ATF1	CXorf36	0.5673799301312186
ATF1	TREM1	0.5962008960193197
ATF1	MYPN	0.6353856580421957
ATF1	OR4N3P	0.7346208133110443
ATF1	FAM178A	0.5931406796595433
ATF1	ADAMTS3	0.6353856580421957
ATF1	DBT	0.6444766959956922
ATF1	EMILIN1	0.5329137557855748
ATF1	TAS2R3	0.5313230653273102
ATF1	CTSB	0.567694256144784
ATF1	RSPRY1	0.6341400266394093
ATF1	SLC22A11	0.5355556937346377
ATF1	CNOT6L	0.6927883552994989
ATF1	ELOVL2	0.5899965800494638
ATF1	VPS37C	0.5398271346526751
ATF1	BPGM	0.5430702995651848
ATF1	KIN	0.6168026428762161
ATF1	LOC728640	0.8740791064785904
ATF1	C14orf166	0.5491626269775436
ATF1	F9	0.6337401510752252
ATF1	MPPED1	0.6346425119678334
ATF1	DNAJC4	0.5519274882572924
ATF1	FAM181A	0.6041184517577936
ATF1	ZNF358	0.5505435884543974
ATF1	ERGIC3	0.5898448205646836
ATF1	FAM71F1	0.5491717639856382
ATF1	KDM3A	0.6467990593798532
ATF1	USP11	0.7962871781068204
ATF1	HSD17B4	0.5603759270507025
ATF1	SLC5A10	0.6395931621687914
ATF1	TMEM71	0.6005014443560435
ATF1	EXOSC8	0.5544516209797496
ATF1	MAL2	0.5376529738745099
ATF1	RBBP7	0.5647262766483658
ATF1	DRAM2	0.571300873270375
ATF1	ARFGEF2	0.6221837245619648
ATF1	CLCA3P	0.6713979639699237
ATF1	TTC19	0.5411487626341538
ATF1	LYRM5	0.5308777977740147
ATF1	HLA-DPB1	0.5920067583661099
ATF1	PRKRIR	0.5491626269775436
ATF1	ESYT2	0.543198420633122
FOXA1	C15orf28	0.5769551087449596
FOXA1	CPO	0.6339278565450606
FOXA1	RCAN2	0.6130784595768581
FOXA1	SCTR	0.6240684762753981
FOXA1	C4orf37	0.6480691911227292
FOXA1	ATP11B	0.5921059875765211
FOXA1	FANCB	0.5525221442261432
FOXA1	C1orf107	0.5316492385708931
FOXA1	INA	0.6589305646115644
FOXA1	OR10A5	0.5363928561922453
ATF2	C1orf212	0.758077261603058
ATF2	NCKAP1	0.5302068035299019
ATF2	ZNF175	0.5858892221100391
ATF2	TMEM41B	0.5317019803430827
ATF2	SERPINE1	0.6295488920020396
ATF2	PPP2R2A	0.647777074173026
ATF2	ZC3H12D	0.6183132864571244
ATF2	RNF114	0.5733415416244552
ATF2	RPL18A	0.5737490540516417
ATF2	CHORDC1	0.546340901408155
ATF2	ZNF846	0.7236054540667802
ATF2	C8orf4	0.5585727964209433
ATF2	TNFSF10	0.5318838158166854
ATF2	LOC168474	0.5433675659730275
ATF2	ZNF284	0.6950091080963214
ATF2	HNF1A	0.7081586409934797
ATF2	RC3H2	0.7329040081940317
ATF2	TM4SF1	0.6097792382904581
ATF2	KRT9	0.5346956029784993
ATF2	OVOL2	0.6211907016753226
ATF2	CTAGE5	0.6486799169901145
ATF2	C12orf51	0.7329404904728118
ATF2	DHDPSL	0.6211907016753226
ATF2	SNORD115-31	0.5473397214327704
ATF2	KIAA1012	0.7537390386135967
ATF2	OAZ1	0.6853627833058944
ATF2	ZNF828	0.5922664119410466
ATF2	NHLH1	0.5845511863633885
ATF2	ATP5D	0.531088316838928
ATF2	TNRC18	0.7393625627357046
ATF2	C3orf16	0.5617608740803179
ATF2	ZNF383	0.530915193349824
ATF2	XRCC5	0.5737726830677277
ATF2	EXOC6B	0.5675069170812765
ATF2	GDF2	0.7443200531134444
ATF2	ABCA8	0.569719369347125
ATF2	EIF2AK4	0.6720000680755978
ATF2	C16orf53	0.7442620469418482
ATF2	ZNF815	0.5370769395287511
ATF2	PAF1	0.5892176475541842
ATF2	REN	0.5420060573148384
ATF2	INTS8	0.6661634237029843
ATF2	GPI	0.5931406796595433
ATF2	SYNM	0.5647272509381138
ATF2	ZNF252	0.5647272509381138
ATF2	SLC35F2	0.6477770741730255
ATF2	MED18	0.5931406796595433
ATF2	PPPDE1	0.5321159938622033
ATF2	ESM1	0.6157716578068655
ATF2	NIPBL	0.5834520101983522
ATF2	SLC22A15	0.5896142663256025
ATF2	CSRP1	0.6212718614941499
ATF2	KIF1A	0.5321159938622033
ATF2	APPL1	0.6673642242153641
ATF2	PARP3	0.6907253372841597
ATF2	SLC39A10	0.6928497090635348
ATF2	AGXT2L2	0.5534400545201148
ATF2	MED23	0.5500047537408732
ATF2	RNF168	0.5323848672730525
ATF2	SLC7A4	0.5600769995847399
ATF2	MMP16	0.5769111933075686
ATF2	BBS12	0.5923765880577285
ATF2	C17orf44	0.5320314551472327
ATF2	CEACAM5	0.6763586851827337
ATF2	RNF165	0.556152443295074
ATF2	ELOF1	0.5847872117012227
ATF2	MIS12	0.5548804303537298
ATF2	PAPLN	0.6759885224066906
ATF2	DCST2	0.8030957562767287
ATF2	RECQL4	0.7001415897206309
ATF2	EGFLAM	0.6221839445524919
ATF2	HSD17B2	0.5544516209797501
ATF2	GABRE	0.6465293762371545
ATF2	ZSWIM4	0.7661082323675217
ATF2	ZNF587	0.6353856580421957
