Regulator	Target	MI
ATF1	COLEC11	0.5653374908570346
ATF1	C1orf198	0.6937753512756157
ATF1	OSGEPL1	0.6258485849541531
ATF1	CTR9	0.6894752914605804
ATF1	ZNF192	0.7811292842155129
ATF1	MRPS10	0.557787903250051
ATF1	ZDHHC24	0.6548762272849844
ATF1	ZNF43	0.5328401197172536
ATF1	PPP2R2A	0.7377700712630682
ATF1	CCDC91	0.5880391186957099
ATF1	CLDN25	0.5970467143788816
ATF1	REXO1L1	0.5667013006599264
ATF1	CWC22	0.5659756824358451
ATF1	STMN1	0.6493725707749101
ATF1	NUDT18	0.5655140379313721
ATF1	RBBP6	0.6315043177079422
ATF1	MPDZ	0.5797341571274517
ATF1	CCT5	0.6162061619412649
ATF1	SLFN12L	0.6425419125213008
ATF1	CCL25	0.580244214274801
ATF1	TGFB2	0.5880391186957099
ATF1	CNOT6L	0.5367830186594325
ATF1	RFC2	0.5752842778859333
ATF1	SPAG4	0.783462531467904
ATF1	COG2	0.6493725707749101
ATF1	CHCHD10	0.5781627067718218
ATF1	TRIP4	0.6674118552007156
ATF1	RAGE	0.528589580528263
ATF1	TAS2R38	0.538677065870588
ATF1	SENP2	0.5810652031002719
ATF1	WDR34	0.5880391186957099
ATF1	EIF2S1	0.5976034549551223
ATF1	LOC285033	0.5313842950301306
ATF1	FAM200A	0.6417892034367001
ATF1	PEX3	0.5810652031002719
ATF1	POM121L8P	0.607383494247066
ATF1	TAF4B	0.5810652031002719
ATF1	SDK2	0.5313254702341079
FOXA1	SNORA36C	0.5611263829421871
FOXA1	CTSL3	0.5517569091450474
ATF2	RYR1	0.6638873985772311
ATF2	MAPKBP1	0.5360416313590033
ATF2	LEAP2	0.5589760134318178
ATF2	MT1M	0.6476509520899572
ATF2	ZC3H8	0.6638873985772307
ATF2	FTCD	0.5652601392233851
ATF2	CXCL16	0.6729289615115808
ATF2	SNORD115-5	0.5338673652214196
ATF2	SLC22A12	0.6734212424055364
ATF2	ZNF280D	0.5534400545201148
ATF2	ZMYM4	0.6009268966916603
ATF2	ADAMTSL3	0.5765465825210163
ATF2	MED10	0.6089363678075177
ATF2	SENP8	0.5647108402676988
ATF2	POGZ	0.6311872215766146
ATF2	HMG20A	0.5379139220926459
ATF2	C1orf127	0.5387730955496322
ATF2	LEFTY1	0.6743465834051894
ATF2	SCARA3	0.6211907016753226
ATF2	SPHK1	0.5548804303537302
ATF2	USP3	0.5697254853309355
ATF2	MSL2	0.5962008960193197
ATF2	H2AFV	0.5423576224117799
ATF2	RAB3IL1	0.5884622333573994
ATF2	ZDHHC16	0.6009268966916603
ATF2	TRPC4AP	0.5509150292773461
ATF2	MRPS5	0.7805798173015925
ATF2	KRT9	0.5672216073262089
ATF2	ARHGAP10	0.5548804303537298
ATF2	PIGB	0.5810652031002714
ATF2	LATS2	0.5962008960193197
ATF2	LOC648740	0.5611263829421871
ATF2	ITGA6	0.5428982691882402
ATF2	DSG3	0.5297779221269994
ATF2	ZNF358	0.5534400545201148
ATF2	DEPDC5	0.5464661389246763
ATF2	VGLL2	0.6509009316214227
ATF2	LOC442454	0.5367830186594325
ATF2	GCDH	0.5379139220926459
ATF2	UQCRB	0.5437685631090501
ATF2	SFRS17A	0.5647108402676988
ATF2	C1orf151	0.5854255544744076
ATF2	ADAM21	0.5376341383607799
ATF2	FLJ14107	0.5376807311584209
ATF2	PURB	0.6315043177079422
ATF2	ZFP14	0.5335997150609892
ATF2	FAM120B	0.6311872215766146
ATF2	SMYD1	0.5962008960193197
ATF2	TRIM48	0.6816306662610043
ATF2	LRRC8B	0.5534400545201148
ATF2	NAE1	0.565861867203223
ATF2	EIF4B	0.5692045398652339
ATF2	FAM83B	0.5670183967912532
ATF2	ATG5	0.5379139220926459
ATF2	IMPG2	0.5315852133041883
ATF2	IRX1	0.5488565139882278
ATF2	LRRC37A4	0.5534400545201148
ATF2	ANGPT1	0.5580770024685995
ATF2	F10	0.5984347103361509
ATF2	SNORD88B	0.6302292256625739
ATF2	ZBTB10	0.6382154603298353
ATF2	ADAM30	0.6145271276987865
ATF2	GDF3	0.5534400545201148
ATF2	GATAD2B	0.6250513744231943
ATF2	IBTK	0.6731621524458058
ATF2	PDCL2	0.5534400545201148
ATF2	SNORD115-38	0.5731347277482111
ATF2	NEK10	0.5317809138015499
ATF2	ACO1	0.6376992820296818
ATF2	EBAG9	0.8824069825426304
ATF2	SPERT	0.5402385606244584
ATF2	BNIPL	0.550410604291601
ATF2	C1orf115	0.5946034373575801
CCNT2	SUV420H2	0.5898448205646836
CCNT2	VIPR2	0.6624090366693611
CCNT2	CCNH	0.6233861715333635
CCNT2	C2orf61	0.6942848109986812
CCNT2	HNRNPR	0.74957235002393
CCNT2	GABPB1	0.5279720014429632
CCNT2	NADSYN1	0.6021588685169101
CCNT2	C19orf25	0.6041847250991044
CCNT2	C22orf26	0.5947929841583623
CCNT2	IFIT3	0.6811792754374175
CCNT2	CCAR1	0.6809228423173095
CCNT2	SNORD115-5	0.6590226872229268
CCNT2	PNN	0.7537117920569929
CCNT2	NUB1	0.6810069537476626
CCNT2	LUC7L	0.6382154603298353
CCNT2	GABARAPL2	0.7262815755262286
CCNT2	HEMK1	0.7780213717488298
CCNT2	EPHA6	0.7008273887295449
CCNT2	ESCO1	0.8198129723574974
CCNT2	C2orf50	0.6009268966916603
CCNT2	LOC339240	0.7008273887295449
CCNT2	MFSD11	0.6361397098286585
CCNT2	TM4SF1	0.7646625453236449
CCNT2	MAPK8IP1	0.6311872215766146
CCNT2	SLC5A7	0.6311195738592175
CCNT2	CLPP	0.735696835789494
CCNT2	RUFY3	0.9892458246122153
CCNT2	AKAP9	0.7544389713429553
CCNT2	FAM76B	0.6639515431745275
CCNT2	NHLRC2	0.6924780152385646
CCNT2	PRR13	0.5502610365418525
