Regulator	Target	MI
ATF1	C13orf23	0.5605783189919937
ATF1	NCF1B	0.5296377667001915
ATF1	RPS27L	0.7706539921082705
ATF1	LPO	0.5421477851657075
ATF1	WDR24	0.5441930376756878
ATF1	BMS1P4	0.5352849871150283
ATF1	CST4	0.53510880767382
ATF1	FGD2	0.6014348165885073
ATF1	FTSJ3	0.5306954973994658
ATF1	MAPKSP1	0.5409529925015439
ATF1	LGALS2	0.6586510414270217
ATF1	ZMYM2	0.5311675272391629
ATF1	FAM73A	0.57909855956412
ATF1	G2E3	0.5710271367646667
ATF1	CMKLR1	0.5344841891891576
FOXA1	ZNF253	0.5834520101983522
FOXA1	GDI1	0.5414477075837048
FOXA1	C13orf23	0.6054086259315898
FOXA1	SLC4A1	0.5516588193505756
FOXA1	BREA2	0.6040192233263664
FOXA1	FADS2	0.5793261367884903
FOXA1	BEST4	0.6977458456772383
FOXA1	ITIH5L	0.597576922411748
FOXA1	ADAMTSL4	0.6026683119144858
FOXA1	RAB8B	0.5972905858954132
FOXA1	DDX17	0.6549393271215789
FOXA1	NCOA6	0.7215818168598518
FOXA1	TEX14	0.5976781144609986
FOXA1	SUMF1	0.5568383447330594
FOXA1	THAP1	0.745756144105862
FOXA1	HADHB	0.5385238045875256
FOXA1	SLC9A2	0.6080875598478497
FOXA1	ELF1	0.758880260770689
FOXA1	MYL2	0.5626764197227225
FOXA1	ZMYND10	0.6671407272591034
FOXA1	CCDC40	0.6156712521395242
FOXA1	NAPB	1.0091108537170288
FOXA1	ZNF671	0.6376992820296823
FOXA1	GBA	0.5619284212403164
FOXA1	USO1	0.5384363840081727
FOXA1	BCL10	0.6189775161096436
FOXA1	DSCR3	0.6318195798515251
FOXA1	BTBD2	0.564622652747861
FOXA1	MAPK1	0.5759671807021678
FOXA1	NDN	0.5811517790210603
FOXA1	NTRK1	0.5980207517414775
FOXA1	C21orf129	0.5584336003056687
FOXA1	C16orf90	0.583981512731452
FOXA1	TYSND1	0.841989249453031
FOXA1	UBAC1	0.6201456440949817
FOXA1	IBTK	0.5589073718148243
FOXA1	LOC729991	0.5755415484570205
FOXA1	CENPK	0.567337365509283
FOXA1	YPEL1	0.5408392069579366
FOXA1	CSNK1A1P	0.5430637850530036
FOXA1	MEIS3P1	0.5904671480536221
ATF2	SLC35B3	0.5904671480536221
ATF2	PGLYRP4	0.5317887173093547
ATF2	TMEM41B	0.5955987358704555
ATF2	AVIL	0.6047891714144562
ATF2	UXS1	0.5855005735699397
