Regulator	Target	MI
ATF1	FAM89B	0.60653876499754
ATF1	BCCIP	0.6191907409897954
ATF1	C22orf25	0.5637939770713807
ATF1	ICAM4	0.5729294425753508
ATF1	NUDT11	0.5803650966082365
ATF1	CHCHD5	0.5735535296172056
ATF1	LACTB	0.5818957452470546
ATF1	FNTA	0.5880391186957099
ATF1	SNRPD1	0.5818591945512339
ATF1	UBAP2L	0.5616555634348028
ATF1	SSX3	0.6707457629991014
ATF1	FLJ39582	0.719476968709853
ATF1	RPP38	0.6928497090635348
ATF1	GEN1	0.5352383943173877
ATF1	TBR1	0.6260608769886451
ATF1	CNPY3	0.8630391571934051
ATF1	RPGRIP1L	0.5962008960193197
ATF1	EDAR	0.5993303128214156
ATF1	VIPAR	0.5917680642504424
ATF1	PROCR	0.7547328484296849
ATF1	TMX3	0.6264730884078369
ATF1	DAAM2	0.6788209753606469
ATF1	EWSR1	0.5370769395287511
ATF1	PARD3	0.7137149346953087
ATF1	COL8A2	0.7714319719373526
ATF1	FSCN1	0.564622652747861
ATF1	TAGLN2	0.5810652031002719
ATF1	ZFPM2	0.6001011620515908
ATF1	KCTD18	0.5351097088159054
ATF1	FTO	0.5818591945512339
ATF1	ZCCHC5	0.6118326042111484
ATF1	AIRE	0.6180669961829164
ATF1	DTX2	0.7029243032334791
ATF1	ZNF25	0.6220075865648464
ATF1	CORO1B	0.6845803734590303
ATF1	DHX32	0.6383630988813995
ATF1	IRAK2	0.5655666645742783
ATF1	FAM55C	0.5865812224273608
ATF1	NRBF2	0.6558787734545373
ATF1	EEFSEC	0.7083576761099968
ATF1	TMEM132D	0.5513534009330643
ATF1	FAM38B	0.5768266131485094
ATF1	ACD	0.7295399938097571
ATF1	ORC2L	0.6211907016753226
ATF1	NONO	0.5869162618229091
ATF1	SURF4	0.5624976153240788
ATF1	CWC15	0.5286855577357885
ATF1	NR1D1	0.5974342999350628
ATF1	EIF2S1	0.665731372095983
ATF1	MRPL21	0.6901499361461103
ATF1	SNAP91	0.5314743534627246
ATF1	RCL1	0.5561688925644481
ATF1	COL1A2	0.5706370214307266
ATF1	CXCL12	0.6189486799555501
ATF1	ZNF654	0.5477404063289355
ATF1	ZNF497	0.528956264355398
ATF1	DAZAP1	0.5377479337728643
ATF1	FAM57A	0.582491203144321
ATF1	USP33	0.5342209465926371
ATF1	GRIK2	0.5868827663680585
ATF1	MRPL41	0.5786690377348775
ATF1	MRPL42	0.5694013411491228
ATF1	GPR132	0.5541456690532831
ATF1	ZNF385D	0.53654558512445
ATF1	CIC	0.7884985165062575
ATF1	C2orf29	0.7297115305465027
ATF1	ARG2	0.6673104451153855
ATF1	RFC2	0.5962008960193197
ATF1	MRPL47	1.0496354532799117
ATF1	WIPI1	0.8809198996593803
ATF1	PPRC1	0.5445690797196532
ATF1	SMC1A	0.6074857180158872
ATF1	REXO4	0.5540087004958223
ATF1	NCOR2	0.5471523515133767
ATF1	TAF6L	1.0259052994067797
ATF1	DNAJC1	0.6928497090635348
ATF1	FAM101A	0.5851521286112331
ATF1	SIKE1	0.7415410047309523
ATF1	C17orf49	0.7088196670119356
ATF1	ELF2	0.5717662861995816
ATF1	HAX1	0.5527701546753256
ATF1	SYF2	0.5530657329908819
ATF1	LOC374443	0.625647338545201
ATF1	SNORD115-16	0.585437097986623
ATF1	FAM18B2	0.6268018004200591
ATF1	HNRNPH2	0.5758697269309376
ATF1	FAM72B	0.5488500942866152
ATF1	ZNF232	0.7126599916740042
ATF1	AHCY	0.7001415897206309
ATF1	NEDD9	0.5273143253538968
ATF1	RNF5	0.6112640627985106
ATF1	C8orf86	0.6073655872054955
ATF1	RELB	0.7084293476130892
ATF1	ZDHHC19	0.5547594304839425
ATF1	FRZB	0.6041722316367557
ATF1	PPP2R3C	0.7211071445877253
ATF1	RSBN1L	0.8216473932660722
ATF1	SAP18	0.6585055785300429
ATF1	ZNF347	0.5343384980983492
ATF1	FBRS	0.5759671807021678
ATF1	EXOSC1	0.6098031341386885
ATF1	C6orf141	0.5530736325274659
ATF1	TCF7L2	0.5555818022687733
ATF1	MCOLN3	0.5557779570788761
ATF1	SLC16A1	0.6393904013761618
ATF1	GPR56	0.5622192121140497
ATF1	GPR55	0.6131763850241225
ATF1	RPA1	0.7083683778076737
ATF1	EMR3	0.5490287624012513
ATF1	GTF2H5	0.5427396730829459
ATF1	FAM200B	0.5628879347229252
ATF1	HEYL	0.616924124631129
ATF1	MARCKS	0.5399066809135107
ATF1	P2RX5	0.65223516647815
ATF1	AGGF1	0.5659756824358451
ATF1	UBAP1	0.5740897791990549
FOXA1	SNORA3	0.5458069070078428
FOXA1	SNORA9	0.5615086849283397
FOXA1	CALML6	0.5563348948554032
FOXA1	SERPINE3	0.7008432231304025
FOXA1	TUSC1	0.5308777977740147
FOXA1	C22orf27	0.6979785889352863
FOXA1	CDC20	0.5299395598734677
FOXA1	GJA3	0.5629539795602452
FOXA1	SLCO2B1	0.6752816066450986
FOXA1	POTEF	0.5274006065173098
FOXA1	C6orf225	0.6138410395711711
FOXA1	PTGFRN	0.6060273818135768
FOXA1	SPA17	0.5912314893272415
FOXA1	WHSC1L1	0.5495659493478366
FOXA1	SULT2A1	0.5710527299067558
FOXA1	ABCG5	0.5947268738770948
FOXA1	FAM108A1	0.5432652441486354
FOXA1	TMSL3	0.7068229218986812
FOXA1	C20orf151	0.6973007537180429
FOXA1	TAS2R13	0.7219821829309345
FOXA1	KCNK15	0.538215641739145
FOXA1	CSNK1E	0.8053209440015072
FOXA1	NRBP1	0.6842964670675591
FOXA1	LOC441208	0.555048387809157
FOXA1	MAP1B	0.600079998488058
FOXA1	DDIT4	0.5681604209071947
FOXA1	MYL3	0.5362007804320439
FOXA1	TRIB3	0.5669328297570475
FOXA1	CCDC152	0.6395402243751711
FOXA1	CBLL1	0.5314743534627246
FOXA1	GTSF1	0.6112640627985106
FOXA1	ZNF311	0.5530249787960586
FOXA1	SNORA20	0.5452354144954432
FOXA1	SLBP	0.9789234814878154
FOXA1	CHRNA3	0.624645308809479
FOXA1	LCN8	0.5490595784986589
FOXA1	WDR69	0.5368885513014412
FOXA1	FICD	0.5534400545201148
FOXA1	NCRNA00086	0.5807292157691495
FOXA1	TRHDE	0.5731290436833807
FOXA1	ENHO	0.7557895226699056
FOXA1	HBXIP	0.5627306029723806
FOXA1	CNN1	0.5799620991914094
FOXA1	STRA8	0.5727154652778852
FOXA1	NPHP1	0.6714368841770022
FOXA1	ST8SIA6	0.5291419219719558
FOXA1	SCN3A	0.682819981430618
FOXA1	ZNF389	0.5727154652778852
FOXA1	AP1M2	1.0330031118436689
FOXA1	NTSR2	0.6038469749133424
FOXA1	OR2B2	0.5682510849673772
FOXA1	FAM26D	0.6304745571761745
FOXA1	SNAI3	0.5644174737134025
FOXA1	GJB2	0.6869351905070413
FOXA1	SLC9A11	0.5496399526100619
FOXA1	SYNJ1	0.5713601729960276
FOXA1	AKR1B15	0.6304745571761745
FOXA1	COL5A3	0.540873782101309
FOXA1	SPDYA	0.5362007804320439
FOXA1	GALNTL4	0.5997825450804273
FOXA1	TAB3	0.7257086146927847
FOXA1	NACAD	0.6063687092145096
FOXA1	GNB5	0.6514001304276054
FOXA1	MEIS3P1	0.603553450975927
FOXA1	MESP2	0.58910174290736
FOXA1	RHOXF1	0.6675124287584406
FOXA1	C6orf48	0.5727154652778852
FOXA1	CGB1	0.5976034549551219
FOXA1	JPH1	0.6228169806946031
FOXA1	GRM1	0.594721168967697
FOXA1	CAMKV	0.5974579065486139
FOXA1	DNER	0.5912648526466393
FOXA1	CA6	0.7505131457434433
FOXA1	EFHD1	0.5881063235966213
FOXA1	KIF1B	0.7606890560238542
FOXA1	RNU4ATAC	0.5994991136493479
FOXA1	LOC100286844	0.5829746845658335
FOXA1	DSP	0.5548804303537302
FOXA1	MST4	0.647055436991403
FOXA1	C1orf86	0.5442539602997272
FOXA1	ANXA2	0.6131269522454152
FOXA1	CHUK	0.5831264440506136
FOXA1	TIGD7	0.6836215162200716
FOXA1	ATRX	0.5678442593085609
FOXA1	OLIG2	0.6074506968615094
FOXA1	LOC254559	0.527410767666014
