Regulator	Target	MI
ATF1	GRAMD1B	0.5279948168236874
ATF1	SGOL2	0.614527127698786
ATF1	ERI1	0.5316162123599053
ATF1	REG1A	0.5289989896317198
ATF1	CDCA8	0.5468771509900048
ATF1	C10orf11	0.61007673894817
ATF1	ICAM1	0.5462935144251717
FOXA1	LTV1	0.53249551597382
FOXA1	PIWIL4	0.6018085765293271
FOXA1	KDELR1	0.5349826287292219
FOXA1	KDM1B	0.5534989203897069
FOXA1	OR11H4	0.6122766880715176
FOXA1	PITPNA	0.5585969232391812
FOXA1	PTPRO	0.5350166134727621
FOXA1	LOC344967	0.6540614812798609
FOXA1	LIPF	0.5810348578614155
FOXA1	MMP26	0.5818067956333342
FOXA1	SPIN1	0.5490028252160126
FOXA1	TEKT2	0.581032166241823
FOXA1	C13orf16	0.5649937312650897
FOXA1	C4orf32	0.5301235721891038
FOXA1	DUSP3	0.5572744127780576
FOXA1	EDN2	0.5869241800908891
FOXA1	SERPINB2	0.5468326194658895
FOXA1	PPTC7	0.5775860490047289
FOXA1	TBC1D3P2	0.7441209517739966
FOXA1	HTR3A	0.5288071834490768
FOXA1	RAD23A	0.6408194512428262
FOXA1	HPCAL4	0.5325885299867514
FOXA1	CXorf65	0.6197553246961349
FOXA1	ADCYAP1	0.6552872393503133
FOXA1	AZGP1	0.665926209762048
FOXA1	NOV	0.5410443852134117
FOXA1	CDS1	0.6357105254869393
FOXA1	RTEL1	0.6063867480813729
FOXA1	SLC24A3	0.5883989070140094
FOXA1	TAS2R42	0.6442549094445424
FOXA1	YTHDC1	0.5308105951595707
FOXA1	ACTL7B	0.6381387817735069
FOXA1	GALNTL2	0.6042531369249429
FOXA1	ATP5J	0.5612265328520856
FOXA1	KRCC1	0.6296815000783553
FOXA1	TMEM71	0.5343807125313864
FOXA1	POU5F1B	0.7043754673927936
FOXA1	DSCR3	0.5595990513098705
FOXA1	PSMB4	0.6289917517185737
FOXA1	ALS2CL	0.5627972130222298
FOXA1	CLTCL1	0.5670183967912532
FOXA1	USP1	0.5410443852134117
FOXA1	SCN3A	0.7282099652960596
FOXA1	PCDHA6	0.6349132185874433
FOXA1	VASP	0.5282117776442155
FOXA1	GLYATL3	0.6493831236718863
FOXA1	SLC33A1	0.8741703686129738
FOXA1	TCN2	0.5454504734786245
FOXA1	PNPLA5	0.5608122573694123
FOXA1	C8ORFK29	0.7622563370774462
ATF2	PRDM7	0.5600499404277941
ATF2	SNORA9	0.5447366796909288
ATF2	EDC3	0.5438657916475584
ATF2	GJA1	0.5709784830332594
ATF2	OR2AE1	0.6149741443370886
ATF2	UBASH3B	0.8005136173826743
ATF2	POGZ	0.9381249741766329
ATF2	PMPCA	0.5812506939254658
ATF2	SAMD12	0.6175981890866882
ATF2	MAP3K7	0.6417892034367001
ATF2	RPP38	0.6118525156647139
ATF2	PRKAB2	0.5505502700298504
ATF2	RNF44	0.5968339054073866
ATF2	SCARA3	0.6042407012321744
ATF2	TBCCD1	0.5482044488929505
ATF2	ZNF284	0.5367830186594325
ATF2	ZNF283	0.5390370460988492
ATF2	UNC5B	0.5717259796809357
ATF2	WDR72	0.5709784830332594
ATF2	RC3H2	0.6245304021125038
ATF2	ATXN2L	0.6802154267871359
ATF2	ADPRH	0.5438657916475584
ATF2	MYL3	0.5709784830332594
ATF2	NINJ1	0.5687024982328537
ATF2	JTB	0.5420022034976579
ATF2	TLN1	0.5548804303537298
ATF2	ZNF674	0.5687024982328537
ATF2	C10orf26	0.5590642944881492
ATF2	HOMEZ	0.5718313480960302
ATF2	L3MBTL3	0.5294647148007834
ATF2	SFRS17A	0.5315852133041883
ATF2	CSTF3	0.5328385638894853
ATF2	IDI2	0.647943903140475
ATF2	SLC35D2	0.527410767666014
ATF2	PIK3R4	0.6387048048741866
ATF2	FBXO43	0.7320821357605469
ATF2	GIGYF2	0.5659756824358451
ATF2	ZNF26	0.6026683119144858
ATF2	SYCE2	0.5587987462278496
ATF2	EMG1	0.6678570496063485
ATF2	ERI3	0.5733702797229774
ATF2	CEP192	0.5513451240228346
ATF2	ZC3H15	0.5943550670183395
ATF2	MFAP3L	0.6937753512756157
ATF2	SLAMF1	0.790015571335426
ATF2	NEK9	0.6026683119144858
ATF2	POU2F1	0.5315852133041883
ATF2	OR5B21	0.5659756824358451
ATF2	CEP350	0.6445180805192159
ATF2	INTS2	0.5818957452470546
ATF2	ZBTB10	0.7105636891760878
ATF2	SNORD116-10	0.5709784830332594
ATF2	FANCC	0.5502561486681516
ATF2	SFRS3	0.6091275164112178
ATF2	PHOX2A	0.5709784830332594
ATF2	LOC729234	0.5438657916475584
ATF2	RCAN1	0.5739563855198133
ATF2	CNOT1	0.5367830186594325
ATF2	CDK3	0.5968339054073866
ATF2	FEV	0.5709784830332594
ATF2	CNOT3	0.5390370460988492
ATF2	SNAI1	0.6824517595990605
ATF2	PAF1	0.6051013423298346
ATF2	MMS19	0.5438657916475584
ATF2	PHF15	0.6674118552007156
ATF2	BRWD1	0.5739563855198133
ATF2	INTS9	0.5438657916475584
ATF2	MRAP2	0.6026683119144858
ATF2	NFKBID	0.5549172729617937
ATF2	RPS24	0.5725124917985749
ATF2	RBM27	0.7394889315853348
ATF2	OR11L1	0.6207677662318494
ATF2	HNRNPCL1	0.581890050534764
ATF2	USP37	0.5647108402676988
ATF2	MSTN	0.5534400545201148
ATF2	ATF7IP2	0.7804956108920624
ATF2	C7orf50	0.6474971333978004
