Regulator	Target	MI
ATF1	SF3B4	0.5611396860073188
ATF1	PSMD11	0.6698223267805385
ATF1	MTIF2	0.557787903250051
ATF1	KIR2DL1	0.6774033534670378
ATF1	RPL8	0.5676284825720561
ATF1	NSL1	0.7115890771198949
ATF1	C1QTNF3	0.5379139220926459
ATF1	CHMP1A	0.5652786180920581
ATF1	CPSF3L	0.5379139220926459
ATF1	RAB9BP1	0.5398265816849288
ATF1	DCAF13	0.5817636816851337
ATF1	NDFIP2	0.5847674095413495
ATF1	ZNF705D	0.6905810954728406
ATF1	ATRNL1	0.5548804303537302
ATF1	CHCHD10	0.6346684223080823
ATF1	GTF2H1	0.5799620991914094
ATF1	SRP9	0.5363668888614002
ATF1	TAF6L	0.5379139220926459
ATF1	CTAGE5	0.6108023137136023
ATF1	INCENP	0.6267006994019297
ATF1	TADA3	0.741884675628727
ATF1	FGFR1OP	0.5462808481622647
ATF1	RAD51L3	0.5950673574489298
ATF1	ERCC6	0.6778441715731103
ATF1	NUCB2	0.6774033534670383
ATF1	PAFAH1B2	0.5561845224611734
ATF1	DPEP3	0.5278676826308959
FOXA1	RNFT2	0.5835584854778739
FOXA1	ZNF496	0.6018316521865699
FOXA1	C1orf212	0.6118790985741036
FOXA1	HNRNPCL1	0.5512997821169514
FOXA1	CARKD	0.5632050308542524
FOXA1	CPO	0.6497784705127998
FOXA1	CRTC1	0.696267965654493
FOXA1	PTX4	0.6315837903818884
FOXA1	LOC100129716	0.5290319202531553
FOXA1	PCDH12	0.5660000398415868
FOXA1	THUMPD1	0.562026716317904
FOXA1	LYPD6	0.6558712241068516
FOXA1	DDN	0.5649422920378377
FOXA1	ZCCHC14	0.5581480839803219
FOXA1	ADAL	0.6476000358521619
FOXA1	GNA15	0.5342098890288876
FOXA1	RNF215	0.6240127891319611
FOXA1	KIAA1841	0.6094086401003871
FOXA1	TIFA	0.5592805644769658
FOXA1	DACT3	0.6522263483552488
FOXA1	TRPM7	0.6051023779616891
FOXA1	VPS35	0.5660000398415868
FOXA1	SOCS6	0.5352251213978629
FOXA1	TAPT1	0.6064043738076759
FOXA1	CA13	0.5362583356431059
FOXA1	DSP	0.5547594304839425
FOXA1	TGFB1	0.5710271367646667
FOXA1	ANXA4	0.5699048659008334
FOXA1	ACAD9	0.692665026954935
FOXA1	FIBCD1	0.5825345313545345
FOXA1	AP1B1	0.55132456477897
FOXA1	PPP2R3B	0.6048793434491282
FOXA1	TAPBP	0.8386566551067185
FOXA1	UCKL1	0.6343254158365066
FOXA1	ERP44	0.6267465459745849
FOXA1	LPAR6	0.5438434516270965
FOXA1	MYL3	0.7285254377500157
FOXA1	LOC100302401	0.5321879822532973
FOXA1	HECA	0.5315852133041883
FOXA1	HIST1H2BH	0.5528730916783933
FOXA1	HIST1H4E	0.5413045560405183
FOXA1	ITM2B	0.5349826287292228
FOXA1	PAFAH1B2	0.6003568767949097
FOXA1	ENGASE	0.5528730916783933
FOXA1	HIST1H2BC	0.5378995715901018
ATF2	DMGDH	0.5383590075956826
ATF2	OTUD4	0.635040894032262
ATF2	EHF	0.6534247598077401
