Regulator	Target	MI
ATF1	TXNL4B	0.7679741798315738
ATF1	PLXND1	0.5877901217119956
ATF1	THRA	0.5780443359054437
ATF1	PHAX	0.5413274787177418
ATF1	PPP2R2A	0.6168114597119532
ATF1	ZNF44	0.6136499943123308
ATF1	PROSC	0.5587306388987954
ATF1	C2orf68	0.6168114597119532
ATF1	TBK1	0.639737802081239
ATF1	PPIP5K2	0.5417055328994103
ATF1	QSOX1	0.5377479337728643
ATF1	CSTL1	0.6335217052771807
ATF1	UTP14C	0.5880391186957099
ATF1	ACOT9	0.6067559609072832
ATF1	C20orf43	0.5664639895714694
ATF1	USP7	0.5323593485657909
ATF1	IAH1	0.7308805727150585
ATF1	HGF	0.5868080693130122
ATF1	LMO2	0.5667013006599264
ATF1	VPS37C	0.5717259796809357
ATF1	AHSA1	0.6766735392525534
ATF1	AP1AR	0.558166055192455
ATF1	VRK1	0.5315754007746163
ATF1	VPS37B	0.5659756824358451
ATF1	C5orf52	0.5313277137209309
ATF1	UNC13D	0.5301031796293971
ATF1	ATXN2L	0.5717259796809357
ATF1	WBSCR17	0.5970170884425423
ATF1	POC5	0.6876529373255855
ATF1	LOC729375	0.5274006065173098
ATF1	NUP50	0.6091275164112178
ATF1	POT1	0.5880391186957099
ATF1	ANKRD40	0.6009268966916603
ATF1	UQCRC2	0.5420060573148384
ATF1	FKBP4	0.5289254075928849
ATF1	PRR12	0.7098409258915672
ATF1	TLN1	0.5717259796809357
ATF1	PAFAH1B1	0.535729757872835
ATF1	CATSPER1	0.5452196784603158
ATF1	GRAMD1B	0.5504811290835008
ATF1	VCP	0.681216719404039
ATF1	HIST1H2BO	0.628572263081209
ATF1	C1orf198	0.6937753512756157
ATF1	GPS1	0.625900344224696
ATF1	RAB1B	0.5995261317019622
ATF1	MTMR8	0.5472516372062035
ATF1	MTIF2	0.6382464379809067
ATF1	CENPB	0.5336275145853389
ATF1	PLAGL1	0.5869557086435591
ATF1	PRRG2	0.5521255254547244
ATF1	RHPN1	0.5637399414349766
ATF1	PMS2	0.6722215459814067
ATF1	PDE6A	0.7756392268140035
ATF1	GAS2L2	0.6821512428753662
ATF1	GTF2IRD2B	0.5819423502389949
ATF1	HOXC8	0.6009268966916603
ATF1	AOC3	0.5580615803603637
ATF1	FER1L4	0.5982686019067947
ATF1	MRE11A	0.5344406323940158
ATF1	GTF2H1	0.5379139220926459
ATF1	PCDHB13	0.5459310779459288
ATF1	SETX	0.558166055192455
ATF1	PER1	0.6580417742398819
ATF1	FLJ33630	0.7022666271444131
ATF1	TTLL9	0.5283649311827796
FOXA1	ANKLE2	0.6684136563808587
FOXA1	RPL30	0.5963946040393102
FOXA1	TES	0.5473114831028303
FOXA1	MAML2	0.6149116613662042
FOXA1	SCT	0.5584583179028542
FOXA1	TESK1	0.7193354461420989
FOXA1	ENO1	0.775332046777427
FOXA1	TMEM97	0.7040929720917308
FOXA1	LASS5	0.6244284736081331
FOXA1	DCAF7	0.5739907565589237
FOXA1	MYLK	0.769341068057809
FOXA1	RPL7	0.6344586029454677
FOXA1	TMEM93	0.5532859413424918
FOXA1	ALCAM	0.6813782986019441
FOXA1	GJA3	0.6714534689340339
FOXA1	PSMD4	0.5897972026928096
FOXA1	TFG	0.5561337379196045
FOXA1	DPYSL5	0.6895543180336823
FOXA1	ZMIZ1	0.6639337880889484
FOXA1	NDST4	0.5706435717098226
FOXA1	PSMD2	0.540468136962764
FOXA1	DPYSL3	0.6124800083393906
FOXA1	RPL36	0.5409431113947241
FOXA1	SNORD99	0.5366290217483636
FOXA1	DIP2B	0.5316492385708931
FOXA1	DIP2C	0.7489051417987329
FOXA1	PRR20A	0.5327591330988541
FOXA1	LOC100133545	0.7178662369995208
FOXA1	CHID1	0.5513963587459538
FOXA1	DDX18	0.5780458286142323
FOXA1	ZNF285	0.6464970538990107
FOXA1	ENDOG	0.6637388187266562
FOXA1	PRKCE	0.5366807322108587
FOXA1	REV1	0.9193095643661708
FOXA1	SOX14	0.600123038849369
FOXA1	C22orf33	0.5807065142613066
FOXA1	OR1J1	0.6246420015423872
FOXA1	PRKAB1	0.5516825061362414
FOXA1	LRRC37B	0.594896036192408
FOXA1	NUP93	0.5362512620347957
FOXA1	EML5	0.5502023496185675
FOXA1	MYL5	0.5806208113515554
FOXA1	EML6	0.6721892692666711
FOXA1	ISL2	0.5615734943517041
FOXA1	RNF126	0.7221277236237191
FOXA1	NPIPL3	0.6896677579675807
FOXA1	RNF125	0.6279962839996562
FOXA1	ZFYVE16	0.5449384527134518
FOXA1	SCO1	0.5954057748544335
FOXA1	TYRO3	0.698756641912031
FOXA1	MPPE1	0.5324546292644299
FOXA1	LETMD1	0.5403741718416013
FOXA1	C10orf25	0.5860787777640426
FOXA1	C4orf52	0.5280435636523628
FOXA1	EXD3	0.7025947238488945
FOXA1	RPS4Y2	0.7146462733634364
FOXA1	RPN1	0.5954681029082178
FOXA1	MRPL16	0.5758091364963605
FOXA1	SNORD115-32	0.5512819924826666
FOXA1	NEDD4L	0.5650161708990904
FOXA1	MEFV	0.5408840890500639
FOXA1	SNORA5B	0.6291545862714472
FOXA1	SNORD115-30	0.7237838692087437
FOXA1	DEDD2	0.5288868041447401
FOXA1	XKRX	0.6422136742806104
FOXA1	WBP2NL	0.5844155430635567
FOXA1	LOC100132111	0.5784397338793732
FOXA1	ZNF268	0.560262583106228
FOXA1	NHEJ1	0.5806761808280076
FOXA1	FDFT1	0.6248304593536078
FOXA1	BRAP	0.5919051637251465
FOXA1	GSDMD	0.5405552952684047
FOXA1	NDFIP2	0.7446251547720215
FOXA1	GLYATL1	0.5954057748544335
FOXA1	HACE1	0.7984782867047331
FOXA1	WDR59	0.5918654732932263
FOXA1	C3orf10	0.5984347103361514
FOXA1	IL31RA	0.5954057748544335
FOXA1	MRPL28	0.6288765339691884
FOXA1	PBX2	0.7867377312868906
FOXA1	TYSND1	0.5877447646988316
FOXA1	NR0B2	0.5916908187551955
FOXA1	LOC158696	0.6899718116204534
FOXA1	HRNR	0.8323937238032726
FOXA1	MLLT10	0.7072727785180506
FOXA1	RNF103	0.5887256776818761
FOXA1	PNOC	0.5623434745224825
FOXA1	NMT2	0.6710395484312439
FOXA1	STRN	0.5738078304480805
FOXA1	XKR5	0.5500290374426413
FOXA1	ARHGAP9	0.5710729024759353
FOXA1	GPI	0.6189061076592468
FOXA1	YJEFN3	0.5288462695613299
FOXA1	LRRC4	0.7237838692087437
FOXA1	SNX11	0.5954681029082178
FOXA1	PRSS23	0.7000903534395433
FOXA1	PIGY	0.5283004023044704
FOXA1	PANX1	0.5336704317331242
FOXA1	ADAMTSL4	0.5325885299867514
FOXA1	RNF150	0.5834520101983522
FOXA1	GARNL3	0.5876686411752914
FOXA1	UBL7	0.5547235812672939
FOXA1	SERPINB2	0.5885356388555838
FOXA1	AHSG	0.5847301562587428
FOXA1	C10orf72	0.5291971853100059
FOXA1	ELOVL3	0.5813563745804191
FOXA1	FCRL4	0.5782512667671136
FOXA1	BGN	0.5319204132555111
FOXA1	JOSD1	0.6288897662236073
FOXA1	HEXDC	0.6567904637217947
FOXA1	TMEM174	0.6291545862714472
FOXA1	PAX2	0.5885356388555838
FOXA1	SUMF2	0.6526069013680953
FOXA1	MESDC1	0.6776045998759899
FOXA1	LSG1	0.6158462990895259
FOXA1	C11orf84	0.558288950575228
