Regulator	Target	MI
ATF1	OTUD4	0.6221207910096598
ATF1	RBM27	0.5323236278900789
ATF1	DDX6	0.5593286220712539
ATF1	LIPT1	0.6089363678075177
ATF1	tAKR	0.5272113545811083
ATF1	PARG	0.5974342999350628
ATF1	UBE3C	0.556152443295074
ATF1	DDX20	0.6070785972216872
ATF1	HSF2BP	0.6322467679244412
ATF1	KIAA1430	0.6233861715333635
ATF1	FMR1NB	0.6762541772446178
ATF1	THBD	0.5621653984653654
ATF1	AP1G1	0.5659756824358451
ATF1	TP53BP2	0.5355984190109604
ATF1	ZNF347	0.5294544827260825
ATF1	MAP3K7	0.5717259796809357
ATF1	C1orf105	0.5808003212807291
ATF1	C9orf84	0.5285429352591033
ATF1	ZNF222	0.5503734207956787
ATF1	IL31	0.5595309827088402
ATF1	ANGPT1	0.5417397802737853
ATF1	FOXJ3	0.556152443295074
ATF1	MARCH9	0.558889164989727
ATF1	PTPN11	0.5580770024685995
ATF1	SFRP4	0.5391038122840084
ATF1	LATS2	0.5639981774252245
ATF1	ASB8	0.5523639527776019
ATF1	OR13C2	0.5820025828103068
FOXA1	INVS	0.5680295261104704
FOXA1	KCNG3	0.5297587385067808
FOXA1	FAM55A	0.5453218127559829
FOXA1	KDELR1	0.5701430195828125
FOXA1	SP140	0.5872836427272232
FOXA1	GK2	0.7398456611579869
FOXA1	C8orf48	0.5698476624366364
FOXA1	GYS2	0.5971051243296359
FOXA1	ALDH3B2	0.6821836319050156
FOXA1	TMEM146	0.544190746211139
FOXA1	UBE2Q1	0.6732323422161994
FOXA1	STXBP5	0.5413819710519663
FOXA1	CDRT15P	0.5753316555075165
FOXA1	C2orf29	0.5759822592064809
FOXA1	C20orf111	0.5431362378248781
FOXA1	RFX3	0.7129037395685462
FOXA1	AMPD2	0.7150287769923289
FOXA1	BTN3A3	0.5318572755989437
FOXA1	MEMO1	0.5869645259874772
FOXA1	PDGFRL	0.5436352596819458
FOXA1	CDC34	0.5331626819759432
FOXA1	C5orf36	0.7081586409934797
FOXA1	BLVRB	0.5802158615637985
FOXA1	LOC400891	0.5445106176292205
FOXA1	C2CD2L	0.5428653294773125
FOXA1	SSBP4	0.5308105951595707
FOXA1	NT5C3L	0.527978142205614
ATF2	PARG	0.5547594304839425
ATF2	ORC3L	0.5289966102519852
ATF2	C13orf23	0.6720935867553037
ATF2	KIAA1033	0.5880391186957099
ATF2	MTR	0.5692045398652339
ATF2	MED18	0.6894752914605804
ATF2	PURB	0.5880391186957099
ATF2	PCSK1N	0.5498700425077176
ATF2	POGZ	0.6311872215766146
ATF2	NPHP3	0.6548762272849848
ATF2	AMZ2	0.5694819935643558
ATF2	TTTY17B	0.585365059629384
ATF2	CCDC94	0.6096658626424096
ATF2	APPL1	0.5962008960193197
ATF2	MFAP3L	0.6091275164112178
ATF2	MSL2	0.5580770024685995
ATF2	SCTR	0.5324021591359478
ATF2	BTBD11	0.6001723647106911
ATF2	SYT9	0.5580770024685995
ATF2	ATXN2L	0.6976370687841902
ATF2	NCOR1	0.527410767666014
ATF2	VGF	0.8343766632376823
ATF2	ZNF815	0.6976370687841902
ATF2	DCP1A	0.527410767666014
ATF2	ZNF599	0.7115890771198949
ATF2	PPID	0.5895397055252141
CCNT2	SMEK3P	0.5810657560680181
CCNT2	C19orf20	0.6871117897122847
CCNT2	VARS	0.7005164972588309
CCNT2	NUDT2	0.5985045931043871
CCNT2	KIAA1199	0.527410767666014
CCNT2	APEH	0.535354869883264
CCNT2	CYP46A1	0.6154811877554072
CCNT2	NUBP1	0.6011005449124278
CCNT2	SMCHD1	0.5962008960193197
CCNT2	ZNF81	0.641851207316003
CCNT2	TRIM28	0.6261510328131124
CCNT2	CAPN7	0.527410767666014
CCNT2	PAPOLG	0.6493261812631923
CCNT2	CCDC11	0.5725746904930826
CCNT2	UBASH3A	0.781948533097915
CCNT2	RPS12	0.5748652187015293
CCNT2	SLC30A7	0.6137861617203595
CCNT2	FAM48A	0.7805798173015925
CCNT2	NKX6-2	0.5652601392233851
CCNT2	COG3	0.614877813656308
CCNT2	ARMC8	0.5681311537421712
CCNT2	TICAM1	0.5880391186957099
CCNT2	FBXO11	0.527410767666014
CCNT2	WDR76	0.5777332187123005
CCNT2	TRAIP	0.527410767666014
CCNT2	DOPEY1	0.6000028099834074
CCNT2	FAM173A	0.5435842523736731
CCNT2	C22orf41	0.6770124172024823
CCNT2	ZNF559	0.5348886241010513
CCNT2	FAM76B	0.6683302197569452
CCNT2	SNRPE	0.5282910112653236
CCNT2	SLC27A3	0.5519589595485632
CCNT2	FAM149B1	0.557787903250051
CCNT2	ORC3L	0.5947786753707112
CCNT2	MTTP	0.5358940497980349
CCNT2	MRO	0.5510949559874558
CCNT2	PDS5B	0.5400758591150878
CCNT2	TOR1AIP1	0.6741516380427548
CCNT2	HSD11B2	0.5894391254599922
CCNT2	C14orf156	0.9113016931428293
CCNT2	MAP2	0.5891332889436183
CCNT2	C5orf25	0.5810652031002714
CCNT2	TPR	0.6304745571761745
