Regulator	Target	MI
ATF1	ARMCX3	0.5456589814037254
ATF1	LACTB	0.6417892034367001
ATF1	PDHX	0.5659756824358451
ATF1	C1orf198	0.6363338984981981
ATF1	ZNF705D	0.5659756824358451
ATF1	EIF3A	0.5352057202323781
FOXA1	BCAS3	0.5788701223019954
FOXA1	DEPDC1B	0.5546900885886199
FOXA1	FLNA	0.5865066535133803
FOXA1	CNFN	0.5457962390798876
FOXA1	SFT2D2	0.548822308075307
FOXA1	OR7D2	0.6213253319180247
ATF2	MYOM1	0.7001523622290202
ATF2	SNAP23	0.5289989896317198
ATF2	FHL2	0.6417539015664895
ATF2	C3orf63	0.5692045398652339
ATF2	CCBP2	0.5757387434400436
ATF2	CYP46A1	0.580684213347983
ATF2	MED15	0.527410767666014
ATF2	C22orf31	0.557787903250051
ATF2	IMPA1	0.60466463341927
ATF2	PSMD5	0.5414577587750173
ATF2	RBMX2	0.547007504574057
ATF2	GPBP1	0.5354542942967679
ATF2	FLVCR1	0.557787903250051
ATF2	POLK	0.557787903250051
ATF2	C9orf64	0.7329404904728118
ATF2	SEC62	0.6858930918472614
ATF2	MAP3K7	0.5880391186957099
ATF2	SCARA3	0.5756447140330314
ATF2	ZNF284	0.6091275164112178
ATF2	C10orf75	0.6260608769886451
ATF2	ARID1B	0.7056390570992326
ATF2	GTPBP1	0.8454178690359337
ATF2	ANGPTL4	0.527410767666014
ATF2	FAM193A	0.7182229149189938
ATF2	MATN4	0.7267274287487346
ATF2	RNF165	0.614877813656308
ATF2	LOC148413	0.7580983860594523
ATF2	LOC285847	0.6964103438395362
ATF2	PEF1	0.5305811820103745
ATF2	HEATR1	0.5289984267954972
ATF2	ITPR2	0.5389034076895953
ATF2	KIAA1012	0.6901286607068902
ATF2	TFPT	0.5367830186594325
ATF2	PPP1R7	0.5725746904930835
ATF2	MICALL1	0.5723168526433184
ATF2	N4BP1	0.5887064623580822
ATF2	SEC31B	0.6339290528225292
ATF2	MFAP3L	0.5799620991914094
ATF2	TMEM132C	0.5548804303537298
ATF2	ZBTB17	0.5637028454150146
ATF2	EXOC6B	0.5336523522527434
ATF2	ARID3A	0.527410767666014
ATF2	HELZ	0.557787903250051
ATF2	ST7OT2	0.5367830186594325
ATF2	PUM2	0.5567127294430239
ATF2	MGAT4C	0.6029392946279231
ATF2	FGF16	0.5364558226062224
ATF2	YPEL1	0.5369505535746479
ATF2	ZNF658	0.6382464379809067
ATF2	INTS8	0.562382422792759
ATF2	CCNJL	0.527410767666014
CCNT2	PHF3	0.6009268966916603
CCNT2	BAT2	0.6657649484260011
CCNT2	VIPR2	0.5727154652778847
CCNT2	RIF1	0.5428982691882402
CCNT2	WIPF2	0.6096959484010971
CCNT2	C2orf61	0.5379139220926459
CCNT2	C22orf23	0.6195183124831547
CCNT2	PHF6	0.5647108402676988
CCNT2	WDR46	0.5398265816849288
CCNT2	FAM188A	0.5611693115044321
CCNT2	CAPN7	0.527410767666014
CCNT2	LRIG2	0.6766735392525534
CCNT2	RBBP7	0.5464661389246763
CCNT2	SMN1	0.9220204302057962
CCNT2	UBASH3A	0.6009268966916603
CCNT2	DIS3L2	0.527410767666014
CCNT2	NKTR	0.7555710768718606
CCNT2	SCYL1	0.5623983861136672
CCNT2	SECISBP2	0.5585645304694378
CCNT2	DENND4C	0.575106042069391
CCNT2	USP45	0.6279343056955442
CCNT2	ALG14	0.5880391186957099
CCNT2	FZD9	0.6101175943538557
CCNT2	C3orf1	0.8001937304180866
CCNT2	MRPL28	0.5330659207234589
CCNT2	NSUN6	0.5717259796809357
CCNT2	C3orf75	0.6298125668966539
CCNT2	TAS2R39	0.5880391186957099
CCNT2	ZNF79	0.5428982691882402
CCNT2	UTF1	0.5390370460988492
CCNT2	CDK8	0.5398265816849288
CCNT2	TOMM70A	0.7724749355931877
CCNT2	RAB19	0.556058609530381
CCNT2	RAD17	0.5404087469849741
CCNT2	FBXL3	0.5544516209797496
CCNT2	STUB1	0.5464661389246763
CCNT2	BDP1	0.6009268966916603
CCNT2	MAPRE1	0.6260376579440479
CCNT2	SEC24C	0.7432253762015701
CCNT2	ULBP1	0.5379139220926459
CCNT2	CCDC83	0.5717259796809357
CCNT2	CBLN1	0.6042407012321749
CCNT2	PCYOX1	0.5433263429342134
CCNT2	R3HDM2	0.8710421474384291
SMARCB1	KDM5B	0.5564020974698463
SMARCB1	GPR119	0.5274332241199047
SMARCB1	HERC2P2	0.532953387668933
SMARCB1	SLC6A2	0.6132452133908579
SMARCB1	ING4	0.5564020974698463
SMARCB1	PPP1R2	0.6254751857217307
SMARCB1	MTA1	0.5498700425077176
SMARCB1	DPH1	0.5315852133041883
SMARCB1	ZMYM5	0.5580770024685995
SMARCB1	DCDC2B	0.5500954901697352
SMARCB1	FAM180B	0.5534400545201148
SMARCB1	FDFT1	0.5428982691882402
SMARCB1	GUSBP1	0.5734934763713153
SMARCB1	C21orf129	0.6899464047888801
SMARCB1	CKM	0.5317202469349516
SMARCB1	GPX6	0.5564020974698463
SMARCB1	MED28	0.5984347103361509
SMARCB1	MRPL44	0.5315852133041883
SMARCB1	AHI1	0.5999280934869353
SMARCB1	CYP2B7P1	0.5524347919521295
SMARCB1	PAX8	0.5431514578260446
SMARCB1	TRAF5	0.5880658288993335
SMARCB1	INTS4	0.5742526519510158
SMARCB1	KCNQ5	0.5284391556625145
SMARCB1	TNFRSF25	0.5391884904986397
SMARCB1	ZNF695	0.5647108402676988
SPI1	IFT172	0.6403395804544649
SPI1	NBLA00301	1.553512206386194
SPI1	CRHBP	1.1516513136979727
SPI1	PWWP2A	1.1516513136979727
SPI1	UNC5B	0.6198981565199695
SPI1	SCO1	0.8437752918297576
SPI1	SPINT1	1.553512206386194
SPI1	OPTC	1.1516513136979727
SPI1	TEX28	1.1516513136979727
SPI1	BTBD17	1.1516513136979727
SPI1	NBPF22P	1.553512206386194
SPI1	LOC92973	1.3051633883492681
SPI1	CHST9	1.3051633883492681
SPI1	DUSP9	1.0397872826590557
SPI1	MMP14	0.7937300041054502
SPI1	MMP13	1.3051633883492681
SPI1	KCNA1	1.1516513136979727
SPI1	SPESP1	0.7195318880047545
SPI1	LOC729668	0.7277128619723503
SPI1	LOC285419	0.688800817927802
SPI1	MBD1	1.1722397965279212
SPI1	BBOX1	1.1516513136979727
SPI1	PASD1	1.4765483148225313
SPI1	KIR3DL3	0.7555710768718606
SPI1	POTEA	1.553512206386194
SPI1	POTEB	1.7235365257432218
SPI1	POTEC	0.9587460746091749
SPI1	IFNA13	0.7282701083942174
SPI1	IFNA14	1.1516513136979727
SPI1	KCNH5	1.3051633883492681
SPI1	FBXO16	0.7555710768718606
SPI1	OR9A2	0.7525122981398025
SPI1	GRIA1	1.553512206386194
SPI1	KRTAP4-4	0.9763183861468163
SPI1	KIR2DL5B	0.5647580654775544
SPI1	KCNF1	0.7928418827477479
SPI1	HTR1E	1.6274352106576875
SPI1	HTR1B	0.6675619026414799
SPI1	LRCH2	0.6355762091711283
SPI1	OR7E24	1.1516513136979727
SPI1	PIWIL1	0.9830061557946497
SPI1	TRIM72	0.5315852133041883
SPI1	HTR2C	1.0140537288131384
SPI1	TRIM68	1.3230362401712363
SPI1	TRIM64	1.1516513136979727
SPI1	LOC729609	1.1516513136979727
SPI1	HTR3C	1.4765483148225313
SPI1	OR56A4	1.4000001317348985
SPI1	TRIM53	0.7277128619723503
SPI1	OR56A3	1.1516513136979727
SPI1	PRKAA2	1.315809996035859
SPI1	TRIM47	1.553512206386194
SPI1	KC6	1.1516513136979727
SPI1	KCNJ3	0.78462080112807
SPI1	KCNK1	0.7105636891760878
SPI1	KCNK2	1.3051633883492681
SPI1	ARL16	1.2285904892617734
SPI1	CER1	1.3025134935332674
SPI1	BSX	1.1516513136979727
SPI1	SCGBL	0.6641880454391842
SPI1	CES7	1.6506735883036368
SPI1	MT1B	1.0863434540045747
SPI1	TMEM63B	1.1516513136979727
SPI1	TTBK2	0.7444526680851435
SPI1	NKAIN4	0.7105636891760878
SPI1	B4GALNT2	1.3257518711792162
SPI1	PCK2	0.5733773684385688
SPI1	FAM9B	1.3025134935332674
SPI1	LOC256880	1.3051633883492681
SPI1	FBXL7	0.7555710768718606
SPI1	TP73	1.20688903523626
SPI1	TFB1M	0.5861667640641053
SPI1	C8A	1.1516513136979727
SPI1	FAM194B	0.7277128619723503
SPI1	C6orf146	1.3958991776108207
SPI1	LOC400043	1.1773289196295358
SPI1	COX8C	0.8463004299507944
SPI1	MRPS22	0.6309617610025318
SPI1	KCNU1	1.3051633883492681
SPI1	LOC644145	1.553512206386194
SPI1	CYLC2	1.1516513136979727
SPI1	MRPS35	0.5357259353593604
SPI1	C6orf129	0.7742956740657934
SPI1	C6orf124	0.7510464853803458
SPI1	C6orf122	1.8217579744925732
SPI1	FAM5B	1.7140698990606102
SPI1	KLHL4	1.006244533440599
SPI1	TFAP4	1.7342673894143905
SPI1	MC5R	1.3051633883492681
SPI1	PRDM6	0.5317019803430827
SPI1	TGM3	1.3051633883492681
SPI1	SPINK7	0.7282701083942174
SPI1	CARTPT	1.4765483148225313
SPI1	PCP4	1.3051633883492681
SPI1	SULT6B1	0.8219501379474496
SPI1	C6orf174	0.8776654417532921
SPI1	OR9Q2	1.4765483148225313
SPI1	CNTN6	1.3051633883492681
SPI1	CNTN3	1.553512206386194
SPI1	GRM5	0.9954339747542247
SPI1	GRM4	0.6828832682669996
SPI1	CA9	0.5997825450804268
SPI1	GALT	0.7190426651279451
SPI1	OR1E2	1.2285904892617734
SPI1	OR1E1	1.1773289196295358
SPI1	MTA1	0.5498700425077176
SPI1	CBS	0.6205043927180856
SPI1	CLVS2	1.1516513136979727
SPI1	HSD3B2	1.3051633883492681
SPI1	HSD3B1	1.3051633883492681
SPI1	ZIC4	1.3728428730023006
SPI1	HS3ST4	0.5816127924779599
SPI1	LOC285548	0.8648597374645521
SPI1	PRSS8	0.9226728294490654
SPI1	TAAR9	1.1516513136979727
SPI1	TAAR2	0.7277128619723503
SPI1	CGA	1.1516513136979727
SPI1	PLAC4	0.5782290553269434
SPI1	IL1F8	1.1516513136979727
SPI1	IL1F9	1.1722397965279212
SPI1	GAST	1.8217579744925732
SPI1	LOC440040	1.3051633883492681
SPI1	AHSG	0.7276277153825514
SPI1	IL1F5	1.3051633883492681
SPI1	IL1F6	0.6901286607068906
SPI1	DCAF12L2	1.3051633883492681
SPI1	PPP1R2	0.9023065197201969
SPI1	RASSF10	1.1773289196295358
SPI1	SLC17A5	1.3051633883492681
SPI1	SLC17A3	0.9569012337180598
SPI1	SYVN1	0.5838421255322923
SPI1	C1orf173	0.7819795662335127
SPI1	LOC283761	1.246488057083603
SPI1	IPO8	0.7315115137538113
SPI1	LOC440925	0.6053228202356431
SPI1	MT1DP	0.7774047589391535
SPI1	C1orf189	0.8332483333806349
SPI1	C1orf187	1.3051633883492681
SPI1	MTNR1A	1.1516513136979727
SPI1	LOC642587	1.3051633883492681
SPI1	LOC642597	1.4000001317348985
SPI1	DRD1	1.3051633883492681
SPI1	CD300LG	0.7819795662335127
SPI1	CXADRP3	0.7105636891760878
SPI1	LHX9	1.1516513136979727
SPI1	OR13H1	1.6506735883036368
SPI1	KRTAP5-3	0.7277128619723503
SPI1	OR8D4	1.553512206386194
SPI1	C1orf128	1.3051633883492681
SPI1	TNPO2	1.1722397965279212
SPI1	GAL3ST4	0.815091390543714
SPI1	DPRXP4	1.3230362401712363
SPI1	PLA2G12B	1.0370138366027204
SPI1	KRTAP5-5	1.3257518711792162
SPI1	LOC283731	1.1516513136979727
SPI1	APOA4	0.832119259959494
SPI1	DAD1	0.7282701083942174
SPI1	CRP	1.0397872826590557
SPI1	CRX	1.3051633883492681
SPI1	LEUTX	1.553512206386194
SPI1	C1orf109	0.7555710768718606
SPI1	CSK	1.4765483148225313
SPI1	C1orf106	1.6506735883036368
SPI1	DRGX	1.1516513136979727
SPI1	LOC646982	1.553512206386194
SPI1	ASXL3	0.8200883244577466
SPI1	HCG22	1.1516513136979727
SPI1	OR8A1	1.3051633883492681
SPI1	TPT1	0.688800817927802
SPI1	C12orf56	0.5613172630748373
SPI1	AQP7	1.3051633883492681
SPI1	AQP5	0.9095439044189533
