Regulator	Target	MI
ATF1	NDUFA13	0.5976830902498853
ATF1	TOR2A	0.6267844369674673
ATF1	UBE3C	0.5659756824358451
ATF1	BCCIP	0.5534400545201148
ATF1	STL	0.6344208441569927
ATF1	KLHL35	0.570348664305973
ATF1	HOXA11	0.5459448677385099
ATF1	TBK1	0.5659756824358451
ATF1	MYC	0.5344636478287503
ATF1	FDXR	0.6357069152810304
ATF1	PAPOLA	0.9162655166104181
ATF1	GABARAPL2	0.7898987672729079
ATF1	CCDC78	0.5659756824358451
ATF1	NHLRC3	0.5930461463647423
ATF1	CD300A	0.6288567237264839
ATF1	CNPY1	0.5345714308222029
ATF1	SETMAR	0.603553450975927
ATF1	CASD1	0.5379139220926459
ATF1	MAPKSP1	0.5962008960193197
ATF1	ARMC2	0.532452534161072
ATF1	EID1	0.5628721015402767
ATF1	PPP1R3F	0.5866397759280289
ATF1	SNRPE	0.6009268966916603
ATF1	KCTD12	0.7242382790594228
ATF1	PSMD11	0.614877813656308
ATF1	PDE1A	0.5279720014429632
ATF1	DNAJC22	0.6279343056955442
ATF1	ITPR2	0.5894113485497239
ATF1	UAP1	0.5529403307873957
ATF1	LIN7C	0.5659756824358451
ATF1	ACMSD	0.6018362850904051
ATF1	TMTC4	0.5523671356437214
ATF1	PRDX4	0.6330254748078854
ATF1	DHX36	0.611856393493734
ATF1	COX11	0.5376807311584209
ATF1	ZFATAS	0.5470384666959887
ATF1	SLAMF1	0.5753668691401486
ATF1	SNORA50	0.5533457819410588
ATF1	ANKRD26	0.650847443722554
ATF1	TFAP2C	0.6091275164112178
ATF1	ORC2L	0.646772107958633
ATF1	C1orf161	0.8153822948904588
ATF1	OR4N4	0.5561845224611734
ATF1	ST7OT2	0.6712230842111548
ATF1	PALB2	0.653885103462903
ATF1	SFRS3	0.7168625782710012
ATF1	TDRD3	0.5525771598895823
ATF1	TRYX3	0.614877813656308
ATF1	RNF222	0.5943550670183395
ATF1	ARPC3	0.5582616532734952
ATF1	POM121L8P	0.7081586409934797
ATF1	ZNF259	0.5548804303537298
ATF1	LRP11	0.6981606777900242
ATF1	ZNF512B	0.6263033038893981
ATF1	THRA	0.612127772670501
ATF1	ZNF44	0.7317670252112065
ATF1	C3orf26	0.7055589312975705
ATF1	MTO1	0.6301217305006586
ATF1	CDC73	0.6092405671058012
ATF1	EEA1	0.6091275164112178
ATF1	TRO	0.6116609527142276
ATF1	MRPL42	0.6091275164112178
ATF1	ATIC	0.6009268966916603
ATF1	ZMYM2	0.6335217052771807
ATF1	ZNF407	0.5542766395030445
ATF1	TOPBP1	0.7168625782710012
ATF1	KIAA1429	0.5379139220926459
ATF1	LIN52	0.7497129706706152
ATF1	UTP14C	0.6654744780506023
ATF1	CLUL1	0.5580770024685995
ATF1	PACRG	0.6138069328719205
