Regulator	Target	MI
ATF1	PGAP1	0.5506260328449937
ATF1	SMARCB1	0.5395118957419487
ATF1	POP1	0.5367830186594325
ATF1	ULK4	0.5280620327511718
ATF1	TESK2	0.561120600821785
ATF1	DDX60L	0.5813988167384623
ATF1	PPP2R2A	0.5954653181913563
ATF1	SNORD115-1	0.6697102219048978
ATF1	WDR89	0.6123299381049958
ATF1	SNORD115-5	0.5336523522527434
ATF1	EPS8	0.5647040371276302
ATF1	ZNF607	0.5880391186957099
ATF1	EPHA6	0.5647040371276302
ATF1	CCDC78	0.7038847712366367
ATF1	ZNF281	0.5647040371276302
ATF1	LOC339240	0.5647040371276302
ATF1	UNC93A	0.5647040371276302
ATF1	ZNF12	0.6697102219048978
ATF1	SCAMP1	0.5291016427375244
ATF1	EML2	0.7124345265283996
ATF1	ARMC1	0.776229268988422
ATF1	CLDN3	0.5647040371276302
ATF1	PSG6	0.6697102219048978
ATF1	THAP9	0.5880391186957099
ATF1	C12orf51	0.5336523522527434
ATF1	FAR1	0.6740539999878012
ATF1	NHLRC2	0.5367830186594325
ATF1	PADI4	0.5663344029279016
ATF1	BCORL1	0.6270908886625164
ATF1	C12orf54	0.5902235171872507
ATF1	OR5A1	0.5647040371276302
ATF1	VPS28	0.549998614536189
ATF1	SPRR2E	0.6697102219048978
ATF1	TPTE2P1	0.5447366796909288
ATF1	PPP1R3A	0.6697102219048978
ATF1	ADH7	0.6697102219048978
ATF1	OR6S1	0.6697102219048978
ATF1	SNORD114-5	0.6697102219048978
ATF1	C3	0.6697102219048978
ATF1	RIC8A	0.5431691196983772
ATF1	KIAA1009	0.6731621524458058
ATF1	ERI1	0.5518087428504184
ATF1	ERI2	0.6180371446347421
ATF1	C6orf204	0.6146213743628945
ATF1	DHX37	0.5999053756536021
ATF1	INPP5J	0.5913935023812074
ATF1	N4BP3	0.5411904850416818
ATF1	CEP76	0.539874121080496
ATF1	DNAH12	0.5796189645961327
ATF1	FOXF2	0.5329544693152926
ATF1	ZNF140	0.7859621998452448
ATF1	BCL11A	0.5880391186957099
ATF1	SIAH1	0.6697102219048978
ATF1	MICAL2	0.6049008115094452
ATF1	PARP15	0.5529403307873957
ATF1	C5orf35	0.6417892034367001
ATF1	PEX5L	0.7428138305594376
ATF1	RICH2	0.5409477926981445
ATF1	INTS7	0.5367830186594325
ATF1	STRN	0.5362651864847132
ATF1	C12orf77	0.6697102219048978
ATF1	C12orf75	0.5556618142183103
ATF1	DCP1B	0.5821735376692745
ATF1	GABRB2	0.6675294908301819
ATF1	GPI	0.5647040371276302
ATF1	SETD2	0.6880868554028887
ATF1	PTPRS	0.6697102219048978
ATF1	FKBP15	0.5540801390918255
ATF1	FAM69C	0.6697102219048978
ATF1	SETD6	0.6504799469909117
ATF1	ZFAND2A	0.6427733110409375
ATF1	CETN3	0.6091275164112178
ATF1	MED19	0.7069742100340957
ATF1	PCSK9	0.5909565917426871
ATF1	SERPINA6	0.6697102219048978
ATF1	PPPDE1	0.5336523522527434
ATF1	MCEE	0.5370780109660216
ATF1	OR51Q1	0.7711913689598875
ATF1	PEA15	0.6830942103803062
ATF1	TNFAIP8L3	0.557644519850669
ATF1	FAM194B	0.6774033534670383
ATF1	CDV3	0.5571300726317716
ATF1	OR4D1	0.6697102219048978
ATF1	ANXA1	0.6697102219048978
ATF1	APOBEC4	0.746528029965781
ATF1	OR7E91P	0.6697102219048978
ATF1	ZFR	0.7046802420833469
ATF1	ANO4	0.6209552833939762
ATF1	C5orf52	0.7038847712366367
ATF1	IGFN1	0.6697102219048978
ATF1	APRT	0.5761694010611103
ATF1	KRTAP9-8	0.6697102219048978
ATF1	SERPINB6	0.6697102219048978
ATF1	C14orf169	0.6504093358985155
ATF1	TMSB15B	0.5448483678149825
ATF1	CKS2	0.6017410804446723
ATF1	C18orf54	0.6766735392525534
ATF1	TFF1	0.6697102219048978
ATF1	PTMA	0.5752915958844977
ATF1	AVPI1	0.5575318574368668
ATF1	SF3B4	0.6466981673761598
ATF1	C1orf198	0.6766735392525534
ATF1	DEFB127	0.6697102219048978
ATF1	PRICKLE2	0.609304566018332
ATF1	LOC284551	0.6697102219048978
ATF1	NOL4	0.6697102219048978
ATF1	OR4S2	0.6697102219048978
ATF1	TYMP	0.5502984188046209
ATF1	FOXS1	0.6697102219048978
ATF1	CUX2	0.5291234431032819
ATF1	MTHFD1L	0.5652657717247478
ATF1	C17orf73	0.6697102219048978
ATF1	GABRA2	0.6697102219048978
ATF1	BCHE	0.5647040371276302
ATF1	ATRNL1	0.5390370460988492
ATF1	CCL20	0.5714927887467107
ATF1	NR1H4	0.6697102219048978
ATF1	KLHL4	0.6697102219048978
ATF1	POU4F2	0.6697102219048978
ATF1	ZFP91-CNTF	0.5659756824358451
ATF1	VEGFA	0.673135880618176
ATF1	RP1L1	0.6697102219048978
ATF1	DPY19L3	0.5800839090812162
ATF1	GLB1L	0.5392522771036048
ATF1	CFHR5	0.6697102219048978
ATF1	RAD51L3	0.5863156794651214
ATF1	ZNF335	0.6308291460308322
ATF1	DCLRE1B	0.6351403265285955
ATF1	SMCR7L	0.6534118149969705
ATF1	TXNL4B	0.5367830186594325
ATF1	NDUFA11	0.6713428567671835
ATF1	PLXND1	0.539558222134688
ATF1	DGKB	0.6697102219048978
ATF1	IL5RA	0.5818126017535934
ATF1	OTP	0.6697102219048978
ATF1	CDH8	0.6697102219048978
ATF1	NR3C2	0.6888037738872534
ATF1	DAOA	0.5647040371276302
ATF1	CCND3	0.5755306271479301
ATF1	HHAT	0.5419215185998678
ATF1	CYSLTR2	0.5329544693152926
ATF1	DMBT1	0.6697102219048978
ATF1	ZNF329	0.562382422792759
ATF1	ANKRD32	0.6731621524458058
ATF1	SSX7	0.6697102219048978
ATF1	SSX4	0.6697102219048978
ATF1	CPSF3L	0.6417892034367001
ATF1	TMSB10	0.6540708321620823
ATF1	POTEC	0.6697102219048978
ATF1	OR14C36	0.6697102219048978
ATF1	USP4	0.6412285528883892
ATF1	KRT77	0.6697102219048978
ATF1	LOC400804	0.6697102219048978
ATF1	OR2T6	0.6697102219048978
ATF1	SPOCD1	0.6697102219048978
ATF1	PROCR	0.5336523522527434
ATF1	MSH2	0.9103271287787744
ATF1	FKBP4	0.7219821829309345
ATF1	SNRPC	0.6013229975472107
ATF1	C17orf80	0.5367830186594325
ATF1	KLHL18	0.5411808141161685
ATF1	SPATA9	0.6697102219048978
ATF1	COPB2	0.6766735392525534
ATF1	PSMD11	0.6766735392525534
ATF1	CUL3	0.5397530655072766
ATF1	KLHL17	0.5647413718179264
ATF1	OR9Q2	0.6697102219048978
ATF1	LRRC55	0.6697102219048978
ATF1	CCNB3	0.5337700273892185
ATF1	RAD51AP1	0.8088909560139044
ATF1	SNN	0.6857948909560854
ATF1	BAG3	0.600214429184931
ATF1	SLCO1B3	0.5901263285348648
ATF1	ZC3H13	0.5439587629808256
ATF1	NDUFV1	0.6334911476344969
ATF1	RAB4A	0.7125663790786909
ATF1	FAM26D	0.7123267849790365
ATF1	OR5B21	0.6697102219048978
ATF1	CCDC13	0.8088909560139044
ATF1	FUS	0.7399478849268077
ATF1	WNT3A	0.6697102219048978
ATF1	EIF2S1	0.5367830186594325
ATF1	MARCH1	0.6697102219048978
ATF1	LOC100128675	0.6697102219048978
ATF1	OR51A4	0.6697102219048978
ATF1	SPIRE1	0.6697102219048978
ATF1	TDRD10	0.5376807311584209
ATF1	OR13H1	0.6697102219048978
ATF1	PIK3C2G	0.6697102219048978
ATF1	KIAA1430	0.666632525383291
ATF1	WISP2	0.5302320847422926
ATF1	FAM178A	0.5880391186957099
ATF1	IDH3B	0.581028742656589
ATF1	TRIM68	0.6697102219048978
ATF1	MRPL9	0.5472166850682987
ATF1	WHSC1	0.808650597934875
ATF1	NKX3-2	0.5647040371276302
ATF1	POLH	0.5367830186594325
ATF1	GALNT8	0.5988019342572164
ATF1	DPRXP4	0.6697102219048978
ATF1	FGA	0.6697102219048978
ATF1	DYNLT1	0.5405773599740225
ATF1	HTR3C	0.6697102219048978
ATF1	DDX54	0.6697102219048978
ATF1	GKN2	0.6697102219048978
ATF1	RNF208	0.5367830186594325
ATF1	WASH5P	0.5723070845702845
ATF1	NCRNA00093	0.6697102219048978
ATF1	SENP1	0.5647040371276302
ATF1	FAM153B	0.5714927887467107
ATF1	CDHR2	0.6750076094236457
ATF1	NDUFS4	0.5733702797229774
ATF1	MST1P2	0.6801927075111207
ATF1	RBM20	0.6611449338134485
ATF1	C9orf72	0.6697102219048978
ATF1	USP13	0.5656334489826542
ATF1	LUZP4	0.6697102219048978
ATF1	ZNF193	0.7432253762015701
ATF1	EEF1A1P9	0.6823259564011854
ATF1	RNF38	0.5389034076895953
ATF1	YSK4	0.5502074843878964
ATF1	THBS1	0.6502929490268086
ATF1	KRT83	0.6697102219048978
ATF1	SLITRK2	0.6697102219048978
ATF1	ZNF628	0.5396720529225894
ATF1	KATNA1	0.5336523522527434
ATF1	SLITRK3	0.6697102219048978
ATF1	SPOCK3	0.6076933504857944
ATF1	OSTCL	0.6697102219048978
ATF1	SNCG	0.6697102219048978
ATF1	CSK	0.6697102219048978
ATF1	IGF2BP2	0.5336523522527434
ATF1	CRYM	0.5449693086969813
ATF1	MAPK4	0.5647040371276302
ATF1	SEPT12	0.5301243741175199
ATF1	TAF10	0.5722259158502885
ATF1	CLCA3P	0.5647040371276302
ATF1	GZMB	0.5909901239283695
ATF1	HN1	0.6537217577357599
ATF1	PTPN13	0.5649955831362918
ATF1	USP28	0.5621705230549532
ATF1	EPOR	0.5661732002557036
ATF1	NELL2	0.5602248255359625
ATF1	OR4F17	0.6697102219048978
ATF1	APC	0.6697102219048978
ATF1	FAM98B	0.5880391186957099
ATF1	C4orf21	0.5934449395035832
ATF1	METAP1	0.5427489324258659
FOXA1	GALNT12	0.6934727001307333
FOXA1	DYRK3	0.5576199009983287
FOXA1	PGLYRP2	0.7301866708836369
FOXA1	TUBBP5	0.5714927887467107
FOXA1	CBWD3	0.6097792382904581
FOXA1	MRPL39	0.5371463818559516
FOXA1	FAM127C	0.5491598946928455
FOXA1	FAM115A	0.6090495527715509
FOXA1	OASL	0.6932714537217812
FOXA1	SPIC	0.6392596768746213
FOXA1	CHAF1A	0.5622269087044685
FOXA1	CSRP2	0.5696004945809756
FOXA1	PPP4R1	0.5547447672333612
FOXA1	EXO1	0.5278365464901973
FOXA1	DPF3	0.5749194255411689
FOXA1	ERMAP	0.5572470360831945
FOXA1	SPTAN1	0.6218657061731827
FOXA1	CSTL1	0.7647344535426241
FOXA1	TAPT1	0.5398041542058722
FOXA1	BRD3	0.5289385634152839
FOXA1	TICAM2	0.6005468509268903
FOXA1	C1QL3	0.6003312267311793
FOXA1	CDC25A	0.5395021565284632
FOXA1	POR	0.5807292157691495
FOXA1	CLDN15	0.6226199588912515
FOXA1	RCCD1	0.5455937722645428
FOXA1	PPARD	0.5296048535623443
FOXA1	FOXC2	0.5816832037968487
FOXA1	ANP32A	0.5392207078858289
FOXA1	SLC41A2	0.6207238507944584
FOXA1	HPN	0.5287243865326321
FOXA1	TMPRSS4	0.6642063120310544
FOXA1	IGHMBP2	0.534579666688213
FOXA1	ISG20L2	0.5409986117884191
FOXA1	SLC1A4	0.5582267132817624
FOXA1	BCL10	0.5516141008266713
FOXA1	KIR2DL1	0.6479378282609969
FOXA1	TIMM10	0.5413866532634377
FOXA1	CD1C	0.5509150292773461
FOXA1	FUT2	0.6061191421585748
FOXA1	ABO	0.5714927887467107
FOXA1	CDKN2AIP	0.6073834942470664
FOXA1	HRSP12	0.5547520958201289
FOXA1	IL22RA2	0.5796636669236142
FOXA1	TMEM121	0.5999834808468445
FOXA1	FAM100B	0.5330169925721693
FOXA1	INPP5B	0.5582051235365362
FOXA1	TUBA3E	0.5316911074028141
FOXA1	BRIP1	0.5329027271492226
FOXA1	EXOSC5	0.5886240183466005
FOXA1	UBB	0.5829966354193261
FOXA1	LY6G6C	0.6452023781177356
FOXA1	ZNF622	0.5632050308542524
FOXA1	MPZL3	0.5851366223672598
FOXA1	TPK1	0.5644198822147151
FOXA1	SIGLEC11	0.6140506792084954
FOXA1	NR1D2	0.5759671807021678
FOXA1	FANCB	0.8865434519509932
FOXA1	HSPA2	0.6248941488110509
FOXA1	LOC284441	0.6930630568933842
FOXA1	SULF1	0.5442760403834286
FOXA1	CPPED1	0.5752886900202587
FOXA1	COL1A1	0.6105079137527016
FOXA1	EHD1	0.5357675740310199
FOXA1	IL4	0.6561809399982308
FOXA1	ANLN	0.5413643616511532
