Regulator	Target	MI
ATF1	FXC1	0.5979142638600488
ATF1	MOCS2	0.5810652031002719
ATF1	SMAD5OS	0.6185308004730774
ATF1	CERK	0.7003028160135729
ATF1	ODF3L2	0.572199587411176
ATF1	WDR41	0.5369689921880911
ATF1	PCSK9	0.5308472641880928
ATF1	ZC3HAV1L	0.5762406781550382
ATF1	TCF20	0.6168114597119532
ATF1	SMC4	0.5687024982328537
ATF1	EEA1	0.5950673574489298
ATF1	ZCWPW2	0.5714461959490702
ATF1	LACTB	0.5537648810115838
ATF1	MRPL42	0.5462808481622647
ATF1	SCAMP4	0.576015418021746
ATF1	THBD	0.6957984256463217
ATF1	C1GALT1C1	0.6689471127237909
ATF1	MCEE	0.7274738307089175
ATF1	FNTA	0.7174427335981046
ATF1	ZMYM3	0.5482362738681674
ATF1	LOC100129550	0.5541456690532836
ATF1	DPF2	0.5561845224611734
ATF1	SACS	0.5410005344703328
ATF1	AKT1	0.7104613627261065
ATF1	PRKG2	0.5919738277446744
ATF1	SPEG	0.8171540820302554
ATF1	ZNF721	0.5539215552313146
ATF1	JARID2	0.7180855470541783
ATF1	PDE8B	0.5603548769601812
ATF1	MAP3K7	0.6335217052771807
ATF1	BNIP3L	0.5810652031002719
ATF1	VPS37C	0.6456735532177382
ATF1	GOLGA6L1	0.8598644806547329
ATF1	TICAM1	0.6950499030163617
ATF1	ARID1B	0.7682948853898264
ATF1	LRRC41	0.5315852133041883
ATF1	MED28	0.5313006248749703
ATF1	FAM35B2	0.5916908187551955
ATF1	EID2	0.586956590744089
ATF1	LOC286367	0.5445508671572701
ATF1	RPUSD2	0.6087369277623376
ATF1	LGALS12	0.620176016256305
ATF1	RHOV	0.5455186800213476
ATF1	VSTM2A	0.6396203538009484
ATF1	MATN4	0.5569096946348937
ATF1	OR13C2	0.5346030000399788
ATF1	DDX6	0.5412015136780335
ATF1	INO80D	0.5717662861995816
ATF1	ZBTB48	0.576430455925828
ATF1	PARN	0.5833750859646059
ATF1	STK3	0.5308105951595707
ATF1	ADAMTS14	0.5445508671572701
ATF1	DCAF17	0.7174427335981042
ATF1	RNF113A	0.6394058231052835
ATF1	ATXN1	0.6667287970762827
ATF1	DDX26B	0.6115568848776394
ATF1	REXO1L1	0.6077005903783932
ATF1	VTI1A	0.5880391186957099
ATF1	GBP1	0.7260562088153089
ATF1	SRGAP1	0.5618891146983103
ATF1	SH3BGR	0.5463708330680821
ATF1	TRIM44	0.5666109542667286
ATF1	MUTYH	0.5408392069579366
ATF1	MLL2	0.6135707274296802
ATF1	TRAPPC3	0.5656174316322597
ATF1	ACD	0.537955988164208
ATF1	LRRC24	0.7239775609032435
ATF1	ZDHHC8P1	0.619898156519969
ATF1	INTS3	0.664641203619122
ATF1	TRAPPC10	0.7140111824640707
ATF1	SPAG4	0.6653220809846134
ATF1	TMCO4	0.6928497090635348
ATF1	DHFR	0.5975632635965216
ATF1	TJP1	0.544553657990531
ATF1	GNPDA2	0.557787903250051
ATF1	MORN5	0.6555818418181532
ATF1	CNOT3	0.5368229432340175
ATF1	PHF15	0.6137938506364105
ATF1	PDE7A	0.5361936490541539
FOXA1	PRDM7	0.6232297177040298
FOXA1	GTF2B	0.5457280313189545
FOXA1	PAGE2	0.6788867249335171
FOXA1	SAT2	0.5299221537585779
FOXA1	C19orf22	0.5984347103361509
FOXA1	AADACL2	0.540497650584189
FOXA1	LOC134466	0.6388441486320637
FOXA1	PPP4R1	0.5617500576224659
FOXA1	RASSF3	0.5526541438901003
FOXA1	ARHGDIA	0.5949384405304774
FOXA1	IL12B	0.5311113322736616
FOXA1	PRKACA	0.5614095728150552
FOXA1	SBF2	0.5477492891461484
FOXA1	UGT2B10	0.6617329045226188
FOXA1	KRT4	0.5289254075928849
FOXA1	STARD8	0.6063711816915132
FOXA1	DIO3	0.5384152420681914
FOXA1	CSNK1D	0.5593916649172512
FOXA1	THOC7	0.5347157930312663
FOXA1	PRSS54	0.5849183439928178
FOXA1	GLTPD1	0.6506658794152393
FOXA1	ST7L	0.5339043611886165
FOXA1	MSH2	0.5781627067718214
FOXA1	SERPING1	0.5451215155181801
FOXA1	TTLL11	0.5317019803430827
FOXA1	VPS24	0.7865903891578747
FOXA1	ALPK2	0.600950154255627
FOXA1	LOC441046	0.6251417338575247
FOXA1	CSH2	0.5289989896317207
FOXA1	BTF3L4	0.55125592394096
FOXA1	CEND1	0.7384716757628089
FOXA1	CT45A6	0.5285429352591033
FOXA1	MAGEA9B	0.710080807452238
FOXA1	CD1B	0.6367211598798983
FOXA1	GSPT1	0.5888923684282354
FOXA1	MYL12B	0.5615862520248451
FOXA1	DSCR3	0.6888578010016015
FOXA1	FAM136B	0.5704923783456222
FOXA1	LONRF3	0.6540254572654609
FOXA1	RDH14	0.601898467898649
FOXA1	NPTX1	0.5983717585212744
FOXA1	OR7D4	0.5289989896317207
FOXA1	RAB6A	0.6302292256625743
FOXA1	CGB	0.5289989896317207
FOXA1	STAC	0.5944272761789433
FOXA1	KRTAP4-5	0.5384152420681914
FOXA1	IGFL2	0.7167399867386819
FOXA1	PBX2	0.5377962917620951
FOXA1	DUPD1	0.5391854535880909
FOXA1	BTNL2	0.5611236299289
FOXA1	LRRC66	0.6302071520951427
FOXA1	IGSF10	0.5356159312642528
FOXA1	GALNTL4	0.5280834845547036
FOXA1	ANXA2P3	0.5823397762368905
FOXA1	SNORD91B	0.5405488446422031
FOXA1	CDKN1C	0.5764508911478341
FOXA1	TMEM45B	0.6937061139607277
FOXA1	SERPINA12	0.5628360775258776
FOXA1	SFTA3	0.5384152420681914
FOXA1	MOGAT1	0.550202423274412
FOXA1	KRT24	0.5746247080423497
FOXA1	LOC92973	0.5384152420681914
FOXA1	SLC7A13	0.8902517854024552
FOXA1	SNORD115-11	0.5450146714474315
FOXA1	TRIM8	0.5767810109661076
FOXA1	REV3L	0.921260732075865
FOXA1	PTCRA	0.6096032475360729
FOXA1	PARP6	0.5316162123599044
FOXA1	ABCC2	0.6322003784127235
FOXA1	TRPC6	0.6977458456772383
FOXA1	USP43	0.7349345602919652
