Regulator	Target	MI
ATF1	SLC44A5	0.5421275398487344
ATF1	TXNL4B	0.555755729373328
ATF1	UBE3C	0.6313757326383378
ATF1	ROGDI	0.5612054176967316
ATF1	MRPL36	0.7415344894397875
ATF1	TRIAP1	0.5383182176339449
ATF1	AATF	0.5509150292773461
ATF1	USP39	0.5873144994897359
ATF1	C2orf67	0.6158737514374266
ATF1	FAM122A	0.5395840422228
ATF1	STK10	0.5356883087063373
ATF1	THBD	0.5395542000360267
ATF1	C1GALT1C1	0.597012182685384
ATF1	TMEM223	0.6196127022194498
ATF1	SNRNP70	0.558166055192455
ATF1	PSMD2	0.5527888856086212
ATF1	CPSF3L	0.743493024804033
ATF1	MRPL9	0.6570636520900988
ATF1	KIAA1429	0.8657788311239263
ATF1	SKP1	0.6895074136461021
ATF1	SRRM3	0.5704267848772995
ATF1	CKAP2L	0.527767626713227
ATF1	TRPC4	0.5365787691577824
ATF1	ELMOD2	0.6216630905571372
ATF1	KREMEN1	0.5560586095303801
ATF1	SLC39A10	0.5807474986471539
ATF1	RAB3IL1	0.5773848025957764
ATF1	SIRT7	0.588254658277958
ATF1	DYNLL1	0.9245996640145941
ATF1	PUS7	0.5512824015598867
ATF1	TUG1	0.592225600355758
ATF1	WDR34	0.5995824340240734
ATF1	C5orf52	0.7657602802526648
ATF1	UTP18	0.5507735229957267
ATF1	DDX19A	0.6009268966916603
ATF1	BTD	0.5730891991526987
ATF1	KIF2A	0.5397593790704853
ATF1	PPARA	0.5626130681920274
ATF1	TP53	0.5408392069579366
ATF1	KPNB1	0.6317636695021593
ATF1	BRSK1	0.5279814905770377
ATF1	MAGEL2	0.5612265328520856
ATF1	C1orf198	0.6731696685612993
ATF1	TROAP	0.614877813656308
ATF1	USP11	0.6503480562295492
ATF1	PIK3R4	0.6157703642528087
ATF1	TWF1	0.6114637837972094
ATF1	U2AF1	0.5476507739489676
ATF1	TMEM71	0.5513451240228346
ATF1	HBXIP	0.5341408626742905
ATF1	C5orf23	0.6011456160912485
ATF1	CAND1	0.7983248274338091
