Regulator	Target	MI
ATF1	EIF4A2	0.641201028171809
ATF1	TES	0.5548534278082662
ATF1	TUSC2	0.5575542706049927
ATF1	PRUNE	0.5348798067571341
ATF1	BCCIP	0.6976370687841902
ATF1	C1orf170	0.6394913315909259
ATF1	PKD2L1	0.7644622805684
ATF1	SLA2	0.668886445857193
ATF1	WDR88	0.5423155466994203
ATF1	EIF4ENIF1	0.5735741689434732
ATF1	LACTB	0.9964130440605987
ATF1	RABGEF1	0.6871071188767743
ATF1	C17orf97	0.5916313153043946
ATF1	CDH2	0.539863158667075
ATF1	TFG	0.532452534161072
ATF1	ZNF83	0.6349326453107524
ATF1	FAM110C	0.58385857558065
ATF1	MYC	0.5829410962976067
ATF1	ZNF85	0.581572856476932
ATF1	NFATC2IP	0.5314716211780275
ATF1	PAPOLA	0.6596022279573255
ATF1	ARFIP2	0.5801832521437529
ATF1	ZNF568	0.5984347103361509
ATF1	DLEU2	0.6292910342157589
ATF1	DIP2C	0.6613165661397478
ATF1	RPL39	0.7440477906660665
ATF1	LOC149837	0.5412051555875168
ATF1	STARD4	0.5341844613527469
ATF1	FKBPL	0.5628721015402767
ATF1	COL23A1	0.627436655821747
ATF1	AP1AR	0.6233861715333635
ATF1	MAPKSP1	0.5391161081376086
ATF1	MSH6	0.5309691212505032
ATF1	ARMCX1	0.5460258791357506
ATF1	CTAGE5	0.5289984267954981
ATF1	RABL3	0.612264300407813
ATF1	SPNS1	0.5756869833905167
ATF1	ZNF711	0.5299937651551394
ATF1	STX1A	0.6211907016753226
ATF1	HOMEZ	0.5794168577102017
ATF1	LOC202781	0.627926300020559
ATF1	ABCB5	0.5367818682169196
ATF1	MGST1	0.5348482782044641
ATF1	RTDR1	0.5463007368341826
ATF1	LOC153684	0.5438434516270965
ATF1	RNF212	0.6031858004940545
ATF1	WBSCR27	0.6987528589055638
ATF1	HCRT	0.538677065870588
ATF1	MSC	0.5613525173725753
ATF1	PPARGC1A	0.6099207917828022
ATF1	SNORA50	0.6059423328105251
ATF1	AKIRIN2	0.600851517511197
ATF1	B3GALNT1	0.9881093732012647
ATF1	TGFB2	0.5880391186957099
ATF1	APOBEC3F	0.5701647406845063
ATF1	BTBD12	0.8824565706776641
ATF1	COQ9	0.8139057339795945
ATF1	EIF2AK4	0.6308291460308326
ATF1	EIF2S1	0.7105636891760878
ATF1	ISG20	0.6245272173093039
ATF1	SELP	0.742158115312018
ATF1	INTS5	0.600887844464415
ATF1	PIN4	0.5880391186957099
ATF1	RNF220	0.5354379954254185
ATF1	DOCK6	0.577495483000118
ATF1	ARF4	0.5508152933636135
ATF1	HSP90AB2P	0.5296214654525349
ATF1	CCDC120	0.5999420129785502
ATF1	LOC115110	0.5475174449640381
ATF1	ARHGAP1	0.5599336080413098
ATF1	HMGB2	0.5921768865178203
ATF1	CBWD1	0.5626988617330304
ATF1	DUSP13	0.5317809138015499
ATF1	IL18BP	0.5993725829578844
ATF1	RPPH1	0.531325576794369
ATF1	ZMYM3	0.639737802081239
ATF1	NKIRAS2	0.5725746904930826
ATF1	C1orf127	0.6726140104497578
ATF1	C13orf34	0.5880391186957099
ATF1	RPS3A	0.5352239327947617
ATF1	ZDHHC11	0.5300848224062764
ATF1	DYNLL1	0.8087771590438537
ATF1	SEPT5	0.5723253499439447
ATF1	ITFG1	0.5780225273451558
ATF1	PSMA6	0.5880391186957099
ATF1	TAF6L	0.5880391186957099
ATF1	KIF2A	0.5314743534627246
ATF1	ZNF519	0.5599349365832977
ATF1	C18orf56	0.6166836936752382
ATF1	CDH17	0.7764492585249689
ATF1	C1QB	0.5464661389246763
ATF1	AHNAK	0.5656552831181338
ATF1	PNKP	0.54344093118522
ATF1	PRIM1	0.5503993397183451
ATF1	NLRC5	0.5275082423970963
ATF1	NLRC3	0.5436493097510455
ATF1	TTN	0.6576960656292146
ATF1	CNNM1	0.5558517964331213
ATF1	OR2AG2	0.5540114506639768
ATF1	LRRC8D	0.6705654800996719
ATF1	SLC17A6	0.6315043177079422
ATF1	GPAT2	0.5961155310363173
ATF1	EXOSC3	0.5880391186957099
ATF1	EPS15	0.6279688654214786
ATF1	ZNF222	0.548856776261939
ATF1	TMEM14E	0.5777417346753682
ATF1	FAHD1	0.9600117105112074
ATF1	LAMB3	0.673593483144193
ATF1	ATRNL1	0.5390370460988492
ATF1	SLC12A1	0.5400461974719457
ATF1	KLHL1	0.6040903288379451
ATF1	ORC6L	0.6617707873036038
ATF1	SORL1	0.5287735936228826
ATF1	S100P	0.6252373345994555
ATF1	NOTUM	0.6670914558830039
ATF1	VIM	0.6553781619999803
ATF1	MPHOSPH6	0.693927109202428
FOXA1	PIGR	0.5691358735001626
FOXA1	SNORD115-7	0.5574450158901603
FOXA1	SUMO1P3	0.6635792613553799
FOXA1	GPS1	0.6346425119678334
FOXA1	LRRC50	0.5370008798518353
FOXA1	BCL10	0.6010165051870557
FOXA1	ZC3H6	0.6024220183559201
FOXA1	ADAL	0.585365059629384
FOXA1	RASD2	0.5653874583629066
FOXA1	SGPL1	0.5874198101352515
FOXA1	ZNF124	0.5671007814751885
FOXA1	ATHL1	0.6346425119678334
FOXA1	TRPC6	0.5325913952548409
FOXA1	FAM22A	0.5764963611947835
FOXA1	RALGAPA1	0.6114637837972094
FOXA1	TESC	0.5452968661859829
FOXA1	VPS33B	0.6657813551483613
FOXA1	KIAA1143	0.6024834700464607
FOXA1	TFEB	0.6130859662622452
FOXA1	AGXT2L2	0.7340574269055096
FOXA1	COX6C	0.563096606995233
FOXA1	SFRP4	0.616486056693212
FOXA1	EIF3K	0.5563348948554023
FOXA1	VGF	0.543467309590477
FOXA1	SNORD115-13	0.5395002875527872
FOXA1	CLPP	0.5521397962933343
FOXA1	RCAN2	0.5492283635092812
FOXA1	IFNK	0.557787903250051
FOXA1	PRKD2	0.5701789464496909
FOXA1	VPS24	0.695742664536882
FOXA1	CHST3	0.528746911499824
ATF2	TMEM41A	0.5548804303537298
ATF2	CERK	0.5659756824358451
ATF2	TAS2R20	0.5746985169790793
ATF2	TBK1	0.6263972003646083
ATF2	C22orf32	0.5390519635403126
ATF2	STMN1	0.621868235511716
ATF2	ALG8	0.7766053110323887
ATF2	AQR	0.6766735392525534
ATF2	ZNF284	0.6417892034367001
ATF2	COG6	0.6766735392525534
ATF2	ZNF283	0.6417892034367001
ATF2	COG3	0.557787903250051
ATF2	SCAMP2	0.5880391186957099
ATF2	UTS2D	0.5844722699920282
ATF2	IFT81	0.5746985169790793
ATF2	CRAMP1L	0.6556637604858611
ATF2	TYRO3	0.6953809926053074
ATF2	FAM76B	0.6441353938128267
ATF2	CCDC83	0.7143722602557192
ATF2	STX1A	0.6894752914605804
ATF2	MYNN	0.5313565587849678
ATF2	PIK3R4	0.638219191424303
ATF2	ACMSD	0.5364451554572516
ATF2	DHX30	0.6154763067770896
ATF2	NLN	0.5823626444288919
ATF2	PGBD3	0.5502610365418525
ATF2	DDX26B	0.5880391186957099
ATF2	FAM192A	0.5746985169790793
ATF2	PIP5K1B	0.6766735392525534
ATF2	TNRC18	0.5548804303537302
ATF2	ZBTB7B	0.620123391989706
ATF2	GPM6B	0.5880391186957099
ATF2	PCDHA6	0.584714807677285
ATF2	SNORD36B	0.5799620991914094
ATF2	LOC100101938	0.6548762272849848
ATF2	CSPG4PY2	0.6714490107852038
ATF2	EPT1	0.7423378475134959
ATF2	UPF3B	0.832839557906746
ATF2	MTHFS	0.7105636891760878
ATF2	GDF3	0.5880391186957099
ATF2	STAM	0.6263972003646083
ATF2	LARP4	0.5367830186594325
ATF2	C5orf30	0.5659756824358451
ATF2	CP	0.6180206066711986
ATF2	SFRS3	0.5630389224248953
ATF2	C5orf35	0.5548804303537302
ATF2	SETX	0.5746985169790793
ATF2	PPFIBP1	0.7007492405168789
ATF2	FAM135A	0.775099253553234
ATF2	WNK3	0.5463708330680821
ATF2	COL9A1	0.5338908865411356
ATF2	RPS26P11	0.5945562398404021
ATF2	DCP1B	0.6091275164112178
ATF2	FOXE1	0.5545339686226942
ATF2	ATF7IP2	0.5810657560680181
ATF2	C13orf23	0.5367830186594325
ATF2	LARP1B	0.5690463655211677
ATF2	MED18	0.5390370460988492
ATF2	AKAP12	0.667062359452391
ATF2	ZCWPW1	0.6556637604858611
ATF2	C17orf54	0.7206744972828303
ATF2	MED10	0.6766735392525534
ATF2	RARS	0.7970190176567638
ATF2	ZMYM6	0.5746985169790793
ATF2	TIGD5	0.6556637604858611
ATF2	WARS	0.7447439868585066
ATF2	ZSCAN5B	0.5553558296802188
ATF2	LOC100170939	0.6311872215766146
ATF2	MRPS22	0.5653273490344701
ATF2	STRADB	0.614877813656308
ATF2	GPR31	0.6322003784127235
ATF2	PIGB	0.7378189758023876
ATF2	AFTPH	0.6690043622024922
ATF2	PACS2	0.6292103493179684
ATF2	CEACAM5	0.7809181741439732
ATF2	NCOA7	0.7484942464514179
ATF2	VN1R4	0.5880391186957099
ATF2	ERGIC3	0.559490989717216
ATF2	VGLL2	0.6279583182617876
ATF2	PIGF	0.5548804303537302
ATF2	CCDC163P	0.560707886594006
ATF2	SDCCAG3	0.6363338984981977
ATF2	CXorf1	0.5746985169790793
ATF2	MIS12	0.654750989768464
ATF2	AKAP6	0.5769480936852127
ATF2	DOM3Z	0.5954653181913563
ATF2	LRRC10	0.6396231446342084
ATF2	SDAD1	0.6263972003646083
ATF2	PURB	0.7555710768718606
ATF2	PURA	0.6335217052771807
ATF2	ZDHHC19	0.8349780742142339
ATF2	TCOF1	0.5548804303537302
ATF2	KISS1R	0.6548762272849848
ATF2	SLC17A6	0.5548804303537302
ATF2	ZNF107	0.7929263156640749
ATF2	CHML	0.5746985169790793
ATF2	DISC1	0.6639515431745275
ATF2	ZSWIM4	0.5961755993894888
ATF2	LCMT1	0.5395294840361649
ATF2	C10orf93	0.6080011863661507
ATF2	CKM	0.5880391186957099
ATF2	ELP3	0.6263972003646083
ATF2	C11orf57	0.8004272032358708
ATF2	DCBLD1	0.5317887173093547
ATF2	KBTBD6	0.6091275164112178
ATF2	CFHR2	0.5279753513723535
ATF2	CIAPIN1	0.5571521880825179
ATF2	GHDC	0.5649272863414305
ATF2	MTCH2	0.5647262766483658
ATF2	CLEC4M	0.5855901469621179
ATF2	GPR64	0.9256540410443859
ATF2	IPO9	0.6766735392525534
ATF2	RNF216L	0.7348072887249169
ATF2	OR2L1P	0.5727154652778852
ATF2	POGZ	0.6766735392525534
ATF2	SACS	0.614877813656308
ATF2	C17orf95	0.5383016293163689
ATF2	MAP3K7	0.6894752914605804
ATF2	MAP3K4	0.6363338984981977
ATF2	PCDHAC1	0.584714807677285
ATF2	SNRPN	0.5716940351556627
ATF2	KHNYN	0.6190048688046499
ATF2	DIO1	0.5379139220926459
ATF2	DYRK1A	0.6211907016753226
ATF2	PRPF4B	0.7314033851418755
ATF2	ZCRB1	0.5323709644466854
ATF2	NCRNA00171	0.5924646316191899
ATF2	TMEM134	0.6257765465969141
ATF2	PREPL	0.5383917561155198
ATF2	ANKRD40	0.6761346897439493
ATF2	MAD1L1	0.5314743534627246
ATF2	SIDT2	0.5620765363102396
ATF2	BTF3L4	0.5548804303537302
ATF2	PSEN1	0.5461095028885192
ATF2	ADIPOR2	0.5306156497971366
ATF2	ANKRD19	0.7742956740657934
ATF2	WNT6	0.6168857505950243
ATF2	PRR5-ARHGAP8	0.5691215574172572
ATF2	ZNF429	0.5932888842026207
ATF2	MYH14	0.5452633735073098
ATF2	USP51	0.5690463655211677
ATF2	ZKSCAN4	0.5931756565762893
ATF2	SRGAP1	0.832839557906746
ATF2	ZNF784	0.7143722602557188
ATF2	DSCR9	0.7228886998005559
ATF2	MFAP3L	0.6091275164112178
ATF2	TMEM132C	0.5950673574489298
ATF2	ATP8B1	0.6842964670675591
ATF2	GLMN	0.8816480753650247
ATF2	TRAPPC5	0.542741489626458
ATF2	HPS6	0.5502610365418525
ATF2	FAM90A1	0.5827678564903596
ATF2	FGF16	0.6684545695561237
ATF2	ZNF419	0.6221898409248889
ATF2	CNOT2	0.5880391186957099
ATF2	RLN2	0.5708503379654646
ATF2	ACO1	0.8142704521227588
ATF2	DYNLRB1	0.550506183010111
ATF2	BRWD1	0.6433698179729399
ATF2	MUS81	0.5390370460988492
ATF2	C19orf62	0.5428982691882402
ATF2	PRR4	0.5746985169790793
ATF2	CHD9	0.6363338984981977
ATF2	CELF5	0.6248474087706777
ATF2	DDX43	0.6556637604858611
ATF2	ARRB1	0.6761346897439493
ATF2	MUDENG	0.5367830186594325
ATF2	TRO	0.5924646316191899
ATF2	DTWD1	0.5390370460988492
ATF2	TMEM222	0.5515037733272932
ATF2	ZNF385B	0.6091275164112178
ATF2	ZNF766	0.638219191424303
ATF2	PGLS	0.5369275414242711
ATF2	PRKG1	0.5342254407672025
ATF2	SLFN12L	0.5369275414242711
ATF2	ZNF385A	0.664641203619122
ATF2	ZNF641	0.703171007087473
ATF2	EIF5B	0.5751999637406779
ATF2	RNASET2	0.5746985169790793
ATF2	VPS37C	0.6639515431745275
ATF2	RNF208	0.8862752080077607
ATF2	RTN4RL2	0.5844722699920282
ATF2	TMPRSS11D	0.6009268966916603
ATF2	TMEM2	0.5343745221127487
ATF2	TFDP1	0.6091275164112178
ATF2	IL3RA	0.5871144869281801
ATF2	POLR1C	0.5362160236233224
ATF2	ITGB1BP3	0.5301031796293971
ATF2	RP9	0.8083734430433802
ATF2	SOS2	0.5880391186957099
ATF2	B4GALT4	0.5369505535746479
ATF2	ITIH2	0.7235119089211999
ATF2	FGL1	0.5321159938622029
ATF2	C8orf84	0.5810652031002719
ATF2	CSTF2T	0.7899706865184606
ATF2	BARX2	0.6928497090635348
ATF2	C10orf18	0.5390370460988492
ATF2	SGK494	0.5379139220926459
ATF2	FAM120B	0.6009268966916603
ATF2	C4orf17	0.5491094777844068
ATF2	LRRC8D	0.7722236475832944
ATF2	CYYR1	0.6556637604858611
ATF2	CRYM	0.6637694969820882
ATF2	FNIP1	0.6761346897439493
ATF2	TRIM44	0.5914153551791279
ATF2	USP25	0.7007492405168789
ATF2	PTCD2	0.719282792624854
ATF2	EYA1	0.5738885327901033
ATF2	CTNS	0.6168114597119532
ATF2	RPL35A	0.6335217052771807
ATF2	ARID3A	0.7555710768718606
ATF2	TTC39A	0.6236124219027812
