Regulator	Target	MI
ATF1	STAG3L1	0.5294424622562817
ATF1	USP36	0.6309074126266827
ATF1	SETD2	0.5990570349799578
ATF1	SLC46A1	0.5598327274135775
ATF1	ZNF570	0.5880391186957099
ATF1	DPY19L2P2	0.5453309562889412
ATF1	UBP1	0.5970866202428962
ATF1	TCF20	0.6910261874320365
ATF1	MCEE	0.6627940880273187
ATF1	SMPD4	0.6598919848898235
ATF1	C22orf31	0.5534301908575268
ATF1	ZC3H12B	0.6313732439649105
ATF1	NARS2	0.6239271025083442
ATF1	NUF2	0.548218067043071
ATF1	POGZ	0.6672196009507982
ATF1	QSOX1	0.5402157433066526
ATF1	CSN1S1	0.5476111405076427
ATF1	LGALS8	0.5430158072309599
ATF1	EIF5AL1	0.5654160631678788
ATF1	TMC1	0.7868837992825197
ATF1	C20orf43	0.5283643618390599
ATF1	CNOT6L	0.6070785972216872
ATF1	ZNF283	0.5810652031002719
ATF1	VPS37C	0.5470935275270996
ATF1	RPSA	0.5347991548500812
ATF1	C5orf52	0.5783005959127925
ATF1	KCTD7	0.6325000733874626
ATF1	RNF167	0.5294942675501031
ATF1	ZW10	0.5339276027510342
ATF1	ATG4C	0.574822950123028
ATF1	G2E3	0.5612959844803265
ATF1	NHLRC2	0.6485719285451239
ATF1	CLDND2	0.5421087336021602
ATF1	C1orf198	0.6674118552007156
ATF1	CCDC67	0.5609196325728094
ATF1	AASDH	0.6168026428762161
ATF1	SHC1	0.6407987708515832
ATF1	ORC3L	0.5880391186957099
ATF1	USP11	0.639737802081239
ATF1	CUL2	0.5445508671572701
ATF1	HTRA4	0.6740583454599705
ATF1	ITPR2	0.6290686063598172
ATF1	TOR1AIP2	0.557787903250051
ATF1	TENC1	0.5573438729887159
ATF1	ZBTB44	0.6872929225004896
ATF1	SEL1L2	0.5443876556995768
ATF1	LRP6	0.5579121973631631
ATF1	NTN3	0.5322577128204968
ATF1	ZBTB2	0.7216943731352519
ATF1	PURB	0.7594907316508435
ATF1	SAMM50	0.5589234502957776
ATF1	C6orf204	0.557787903250051
ATF1	REPS2	0.5283643618390599
ATF1	STAP1	0.5410977340814442
ATF1	PIP5K1B	0.5698827268293427
ATF1	VAX1	0.6074558526475959
ATF1	GNPDA1	0.5321159938622029
FOXA1	FOXD4	0.5563348948554023
FOXA1	GLYATL3	0.5548804303537298
FOXA1	USP36	0.5357587981311913
FOXA1	FCRL6	0.5775553231594586
FOXA1	FIBCD1	0.5396814187830254
FOXA1	TRMT2B	0.5856929530479422
FOXA1	RNF212	0.5604129237968833
FOXA1	FAM200B	0.5392207078858289
FOXA1	LOC283070	0.5976629994708991
FOXA1	WBSCR28	0.5709541175620538
FOXA1	CYP11B1	0.5605845085626924
FOXA1	MYO6	0.6107942579727537
FOXA1	TTTY12	0.5725338598662391
FOXA1	NEK1	0.548859786706613
FOXA1	SNIP1	0.5379111882499807
FOXA1	MATN2	0.5726055464766127
ATF2	SCYL3	0.6708286970782558
ATF2	USP36	0.7219821829309345
ATF2	DCLRE1C	0.5907868718892124
ATF2	C13orf23	0.6417892034367001
ATF2	MUDENG	0.6976994561655205
ATF2	RIMS2	0.5637922008532166
ATF2	VPREB3	0.5751318059458908
ATF2	CLEC1A	0.6051943688768247
ATF2	GOLGA5	0.6665622753903881
ATF2	MED13	0.5548804303537298
ATF2	DIMT1L	0.5580770024685995
ATF2	ZAR1L	0.5315198584976057
ATF2	DHX57	0.5273992788833737
ATF2	MED10	0.5548804303537298
ATF2	POGZ	0.6417892034367001
ATF2	TNFAIP8L1	0.7725763167684869
