Regulator	Target	MI
ATF1	DYRK4	0.6674118552007156
ATF1	IL1RN	0.5549793944452981
ATF1	KCNE1	0.5374054205623722
ATF1	RAB1B	0.5428933946275811
ATF1	PRH2	0.5689006423476712
ATF1	DLEU2L	0.5309372726545418
ATF1	MAGT1	0.5360931100932635
ATF1	MRPL12	0.5522207263603631
ATF1	C5orf40	0.5408432282776134
ATF1	OBFC2A	0.6391169039232909
ATF1	LOXL2	0.6069159285739882
ATF1	RNFT1	0.7935406985308577
ATF1	AKAP12	0.5513096481164905
ATF1	DGUOK	0.6465865073326711
ATF1	LACTB	0.638219191424303
ATF1	ZNF83	0.5417113068252815
ATF1	PEA15	0.5638969718440272
ATF1	RHPN1	0.5582939299882304
ATF1	SIRPA	0.5404406846148628
ATF1	HACL1	0.6603812716645945
ATF1	RBBP6	0.6011743842666726
ATF1	GAL3ST3	0.5573820319925957
ATF1	CCT5	0.8050740322911749
ATF1	CEP55	0.6333111155342066
ATF1	PTGDR	0.6318742051691411
ATF1	TRIM60	0.5815916866840074
ATF1	CADM2	0.5485596079096671
ATF1	SGIP1	0.5643296578769466
ATF1	SNORD88B	0.5799656870035568
ATF1	SYVN1	0.5384169064106681
ATF1	AP1AR	0.5276691266233264
ATF1	DGAT2L6	0.5299246424320052
ATF1	NDC80	0.528956264355398
ATF1	KBTBD2	0.5564507729969952
ATF1	METAP1	0.545019963100291
FOXA1	C3orf27	0.5489164098509991
FOXA1	PCDHGB6	0.5504253825731609
FOXA1	HVCN1	0.5502391597440743
FOXA1	RPE	0.5402728585159049
FOXA1	ART3	0.573498029223511
FOXA1	CCT6B	0.5412262296778958
FOXA1	ENHO	0.528589580528263
FOXA1	ARL5C	0.5445224869220131
FOXA1	TMEM208	0.5604059644405677
FOXA1	OXCT2	0.5565653519469622
FOXA1	ZNF346	0.5281929617568437
FOXA1	CCT2	0.5575742239418733
FOXA1	FOXD1	0.5681885446060262
FOXA1	RNASE11	0.6456895686310515
FOXA1	CCL20	0.5602003120430403
FOXA1	HTR3E	0.5438434516270969
FOXA1	PABPC4	0.556524817363552
FOXA1	GLTPD1	0.5608092868108598
FOXA1	ADCYAP1	0.5650132991147321
FOXA1	CYP26A1	0.6702809145034405
FOXA1	PAX9	0.6550903465271234
FOXA1	ZSCAN4	0.5872467431285626
