Regulator	Target	MI
ATF1	ZNF473	0.6627940880273187
ATF1	DBR1	0.6448270733078729
ATF1	SNORA16B	0.5906818622454333
ATF1	TMPRSS7	0.5835011335527351
ATF1	NLGN2	0.6062549997030531
ATF1	C1orf110	0.611857886202523
ATF1	ORC3L	0.6661126046127088
ATF1	FAM35A	0.557787903250051
ATF1	TSHZ2	0.5693079498916114
ATF1	DDX20	0.5457470111450702
ATF1	UQCR10	0.648065687834205
ATF1	NSL1	0.5649548688275905
ATF1	ZFP36L2	0.6724542892394543
ATF1	MRPL42	0.7405244422620223
ATF1	FAM178A	0.688497364075519
ATF1	LIPG	0.5352849871150283
ATF1	RHPN1	0.554616019443221
ATF1	BPNT1	0.5461095028885192
ATF1	ZNF326	0.5496136807824326
ATF1	APOE	0.5548478127511354
ATF1	ROS1	0.5984347103361509
ATF1	AASDHPPT	0.5733542867635375
ATF1	C9orf84	0.5535057910518528
ATF1	RPP38	0.6765679787107604
ATF1	ZNF121	0.6308291460308322
ATF1	PCGF6	0.5360601582273912
ATF1	URGCP	0.6122058383173798
ATF1	C7orf40	0.5603759270507025
ATF1	MRPS22	0.5488250411389886
ATF1	SPAG4	0.5497390749030879
ATF1	TNK1	0.5342254407672025
ATF1	XRCC1	0.558166055192455
ATF1	AP1AR	0.6593274928380706
ATF1	SMC1A	0.5461969812374519
ATF1	CHFR	0.5339199987890586
ATF1	TMEM81	0.5624008507872369
ATF1	TMUB2	0.5428776585924537
ATF1	CNBD1	0.692112305701178
ATF1	HAX1	0.558166055192455
ATF1	NUDT9P1	0.5787240147993584
ATF1	TBL1XR1	0.6484039861280229
ATF1	CAPRIN1	0.5388183940142328
ATF1	ZNF831	0.5742526519510158
ATF1	ERGIC3	0.527410767666014
ATF1	TLN1	0.5711018532611387
ATF1	CRK	0.5649540986027484
ATF1	SEC22C	0.6177499000515896
FOXA1	SLC44A3	0.6174018500102276
FOXA1	TNFAIP8	0.6803198096124503
FOXA1	PNMAL1	0.5809810278872414
FOXA1	WASL	0.6184371589589599
FOXA1	HAPLN3	0.5312734348007813
FOXA1	CNDP1	0.681158335419572
FOXA1	LMOD3	0.5721461413956215
FOXA1	AMOT	0.6326814281633881
FOXA1	GLS	0.5297313293293593
FOXA1	GYS2	0.9491712700157664
FOXA1	CDH5	0.5944602520446725
FOXA1	PBK	0.6548229719534464
FOXA1	ATP6V1E1	0.6323655849210112
FOXA1	GALNT8	0.5844834307811988
FOXA1	PCMTD1	0.5591268677111714
FOXA1	RMRP	0.5938531310851349
FOXA1	GBAP1	0.7435638500894886
FOXA1	C1orf101	0.5796468309795548
FOXA1	SND1	0.5288212335181766
FOXA1	ENAH	0.6971586582340428
FOXA1	C2orf57	0.5526302282213318
FOXA1	SFRP2	0.578201684369366
FOXA1	TMIGD2	0.5565372282481302
FOXA1	UTS2D	0.5582255567613488
FOXA1	ZFP41	0.5968861172137969
FOXA1	GORASP2	0.6635374250749719
FOXA1	RAB34	0.5576734736177373
FOXA1	GPR126	0.5840896544962204
FOXA1	C17orf85	0.5356172031947581
FOXA1	DAP3	0.5730776963055897
FOXA1	CATSPER3	0.5717556918585149
FOXA1	NLGN1	0.5460258791357506
FOXA1	BEX1	0.5430586003568854
FOXA1	MAX	0.5386643357610574
FOXA1	LPO	0.5335997150609892
FOXA1	RSPH9	0.7091243006055055
FOXA1	KIAA0040	0.6404204694171627
FOXA1	ANAPC11	0.6441882339507456
FOXA1	PRPSAP1	0.5814839943218058
FOXA1	RANBP3L	0.5825583722783176
FOXA1	SGK494	0.5497857571738827
FOXA1	DND1	0.67578972400606
FOXA1	PSMB1	0.5817044987168494
FOXA1	MYCL1	0.5322300827444981
FOXA1	LOC401431	0.5510949559874558
FOXA1	CASP8AP2	0.5892004634270136
FOXA1	CDK18	0.5781617678097621
FOXA1	OSBPL5	0.7042876536224858
FOXA1	WSCD2	0.5501723362285604
FOXA1	PDP1	0.6109931389218044
FOXA1	C14orf21	0.5485763174555598
FOXA1	MLLT10	0.5375497599296759
FOXA1	C14orf143	0.6400841580911094
FOXA1	PIP	0.5914573463766373
FOXA1	MEIS3P1	0.5593314067881145
FOXA1	NES	0.6132555718637249
FOXA1	CBLN2	0.6370587457184533
ATF2	SPI1	0.557787903250051
ATF2	PWWP2B	0.557787903250051
ATF2	GAGE8	0.557787903250051
ATF2	LOC284578	0.557787903250051
ATF2	SPINT4	0.557787903250051
ATF2	FLJ12825	0.557787903250051
ATF2	NBLA00301	0.557787903250051
ATF2	FAM19A1	0.5607197045261043
ATF2	PWWP2A	0.557787903250051
ATF2	C14orf70	0.557787903250051
ATF2	PRKAB2	0.5356036924012488
ATF2	HDGFRP2	0.557787903250051
ATF2	OR4P4	0.557787903250051
ATF2	SCO1	0.557787903250051
ATF2	C14orf86	0.557787903250051
ATF2	LOC643719	0.557787903250051
ATF2	ADAM5P	0.557787903250051
ATF2	RNF212	0.5697401636802053
ATF2	SCGB1D2	0.557787903250051
ATF2	KCNQ1OT1	0.557787903250051
ATF2	SCGB1D4	0.557787903250051
ATF2	LOC146481	0.557787903250051
ATF2	TIPARP	0.557787903250051
ATF2	IL31RA	0.557787903250051
ATF2	EIF2AK4	0.5400300856900953
ATF2	SFTA2	0.557787903250051
ATF2	LOC440173	0.557787903250051
ATF2	CSDAP1	0.557787903250051
ATF2	FRG2B	0.557787903250051
ATF2	HOXC13	0.557787903250051
ATF2	FRG2C	0.557787903250051
ATF2	HOXC12	0.557787903250051
ATF2	ANXA8L2	0.557787903250051
ATF2	HOXC11	0.557787903250051
ATF2	MMP27	0.557787903250051
ATF2	POM121L1P	0.557787903250051
ATF2	OR7E91P	0.6129706110707533
ATF2	CSN1S2A	0.5727154652778852
ATF2	TEX15	0.557787903250051
ATF2	SLC7A5	0.557787903250051
ATF2	TMEFF1	0.557787903250051
ATF2	PLSCR5	0.557787903250051
ATF2	KRTAP25-1	0.557787903250051
ATF2	TPSD1	0.5954653181913563
ATF2	SAMD7	0.557787903250051
ATF2	SAMD8	0.5954653181913563
ATF2	LOC285401	0.557787903250051
ATF2	WNT8B	0.557787903250051
ATF2	SLC7A2	0.557787903250051
ATF2	OR4S1	0.557787903250051
ATF2	LOC643763	0.557787903250051
ATF2	PABPC1P2	0.557787903250051
ATF2	NRAP	0.557787903250051
ATF2	AGR3	0.557787903250051
ATF2	C4orf7	0.557787903250051
ATF2	MBD3	0.557787903250051
ATF2	MBD4	0.557787903250051
ATF2	ZNF460	0.7534857470997585
ATF2	KCNB1	0.5326852774191195
ATF2	PASD1	0.557787903250051
ATF2	UNCX	0.557787903250051
ATF2	LOC100130148	0.557787903250051
ATF2	LOC653545	0.557787903250051
ATF2	LOC653544	0.557787903250051
ATF2	SHKBP1	0.5880391186957099
ATF2	PRKRIR	0.5383917561155198
ATF2	ADAM21P1	0.557787903250051
ATF2	KCNG4	0.557787903250051
ATF2	CASC2	0.557787903250051
ATF2	FBXO24	0.557787903250051
ATF2	IL1RAP	0.557787903250051
ATF2	C21orf15	0.557787903250051
ATF2	POTED	0.557787903250051
ATF2	POTEA	0.557787903250051
ATF2	POTEB	0.557787903250051
ATF2	LOC255167	0.557787903250051
ATF2	UGT2B15	0.6933615745031436
ATF2	SDCBP2	0.557787903250051
ATF2	FKSG83	0.557787903250051
ATF2	CLK2P	0.5954653181913563
ATF2	OR4X2	0.557787903250051
ATF2	OR4X1	0.557787903250051
ATF2	OR51T1	0.557787903250051
ATF2	LY6D	0.557787903250051
ATF2	SMS	0.557787903250051
ATF2	ZNF438	0.6563258624615202
ATF2	PLA2R1	0.7264770845432249
