Regulator	Target	MI
ATF1	DCLRE1B	0.6828788801618813
ATF1	ISCA2	0.65936870613637
ATF1	N6AMT2	0.5710720195964218
ATF1	FAM119A	0.6926211827281263
ATF1	UBP1	0.6094621421591309
ATF1	TXNDC12	0.5880391186957099
ATF1	KIAA0776	0.6423891652664135
ATF1	VPREB3	0.6422136742806104
ATF1	LACTB	0.6885345137535905
ATF1	GOLGA5	0.6417892034367001
ATF1	CWC22	0.599542302032376
ATF1	ANKRD32	0.5390370460988492
ATF1	HLA-DOA	0.5385491435694965
ATF1	TBC1D22A	0.6202543038909036
ATF1	SKP1	0.5659756824358451
ATF1	ZNF705D	0.7793257253510015
ATF1	SLC35C1	0.6444091584495824
ATF1	COG2	0.6976994561655205
ATF1	UBE4B	0.5884122344187568
ATF1	SDHB	0.5415596408769963
ATF1	MUTED	0.534333593899158
ATF1	GNPAT	0.599542302032376
ATF1	DKC1	0.6279343056955442
ATF1	THAP9	0.6752816066450986
ATF1	ACOT1	0.6350209174745078
ATF1	ZNF833	0.6131727179566844
ATF1	PPIG	0.6417892034367001
ATF1	LIPT1	0.5496399526100619
ATF1	ZCCHC6	0.6350209174745078
ATF1	COX15	0.7228071463723049
ATF1	ORC3L	0.7061387986760534
ATF1	TROAP	0.6782454045773303
ATF1	HSPA4L	0.6391605404217215
ATF1	CDKN2AIP	0.6291545862714472
ATF1	HBXIP	0.8038572643945465
ATF1	RAP1B	0.5441409522848084
ATF1	C14orf156	0.544793604995149
ATF1	CALD1	0.5956726337732632
ATF1	UBR7	0.5287772030498075
ATF1	ZC3H18	0.5717259796809357
ATF1	FAM83D	0.6134189134596784
ATF1	EIF2B5	0.6275045085514575
ATF1	SNORD36B	0.5492514346474473
ATF1	MGAM	0.5710720195964218
ATF1	RABGAP1L	0.5987916424157427
ATF1	TFAP2C	0.6315043177079422
ATF1	SDF2L1	0.5395542000360267
ATF1	ZNF383	0.5633197728642623
ATF1	FANCM	0.563605207020303
ATF1	HSPA7	0.5442135066674143
ATF1	TMEM50B	0.6843171259643186
ATF1	INTS2	0.599542302032376
ATF1	PCIF1	0.6759005854228564
ATF1	LARP4	0.6350209174745078
ATF1	PALB2	0.6531131204554632
ATF1	THAP10	0.7214531367077681
ATF1	GPN3	0.5902864104535652
ATF1	DHFR	0.5633197728642623
ATF1	GPR183	0.6466981673761598
ATF1	TADA3	0.6885345137535905
ATF1	ATG2A	0.6308345727802531
ATF1	UNC119	0.5282280521158378
ATF1	C12orf75	0.6954832887428077
ATF1	C20orf135	0.6384702276283947
ATF1	DCP1B	0.8553264605751658
ATF1	DAZAP1	0.6172602368112226
ATF1	ZNF252	0.599542302032376
ATF1	ABCD3	0.6420820588167269
ATF1	KCNC1	0.5991595039180164
ATF1	ZSCAN12P1	0.6033642136388253
ATF1	MRS2P2	0.5957011722866001
ATF1	ZFP82	0.5643411378822965
ATF1	SIPA1L2	0.638074742195871
ATF1	MTO1	0.5395542000360267
ATF1	NAT14	0.5710720195964218
ATF1	CLYBL	0.56039276717408
ATF1	MRPL33	0.6674118552007156
ATF1	EEA1	0.6894752914605804
ATF1	MRPL42	0.5880391186957099
ATF1	ATIC	0.6743374033556817
ATF1	CASP8	0.8191435648483774
ATF1	FASTK	0.6350209174745078
ATF1	CA4	0.534856081372511
ATF1	C4orf38	0.6794095446729544
ATF1	BBS7	0.557787903250051
ATF1	CEP290	0.7395505484020659
ATF1	C15orf44	0.5454408774271644
ATF1	POLH	0.5282280521158378
ATF1	C4orf41	0.5282280521158378
ATF1	RBM16	0.5610430930528261
ATF1	SNORA72	0.6250440124751662
ATF1	UTP15	0.5659756824358451
ATF1	SLC2A14	0.5751720973572554
ATF1	TIGD5	0.5710720195964218
ATF1	RFC2	0.6548762272849844
ATF1	SLC39A10	0.599542302032376
ATF1	CACYBP	0.6556658424363873
ATF1	DDX51	0.5659756824358451
ATF1	WDR34	0.599542302032376
ATF1	AP3B2	0.6252981815704581
ATF1	C5orf52	0.5965351538752834
ATF1	PSMA5	0.5659756824358451
ATF1	RABEP2	0.5787080514784502
ATF1	POLR1B	0.5520301629866475
ATF1	POLR1C	0.5358312862908674
ATF1	CLDN19	0.7219097102784096
ATF1	C18orf54	0.6948067629658854
ATF1	POT1	0.5659756824358451
ATF1	ZP3	0.536352427338775
ATF1	VGLL1	0.5659756824358451
ATF1	SLC24A1	0.5286256920186228
ATF1	ZNF473	0.5659756824358451
ATF1	CDC123	0.6457982361013408
ATF1	C1orf198	0.5659756824358451
ATF1	HPGD	0.5903287383596134
ATF1	GOSR2	0.5580171797534907
ATF1	NDUFB4	0.5611132645606496
ATF1	USP11	0.5659756824358451
ATF1	DDX23	0.6152748891255477
ATF1	HEATR1	0.599542302032376
ATF1	HSPA14	0.6291545862714472
ATF1	MFF	0.558166055192455
ATF1	NKD2	0.5756700440534712
ATF1	TAF1D	0.5818957452470546
ATF1	ALDH1B1	0.5621993909126215
ATF1	ZNRF4	0.5786965803349147
ATF1	RG9MTD2	0.7061387986760534
ATF1	KRIT1	0.5470935275270996
ATF1	EXOSC3	0.531281876837201
ATF1	SLC25A22	0.6665622753903886
ATF1	ZNF345	0.5726166793142848
ATF1	C1orf105	0.6647955790704576
ATF1	DCAF13	0.599542302032376
ATF1	CCT4	0.670437704602088
ATF1	HES4	0.5546900885886199
ATF1	MUTYH	0.5496399526100619
ATF1	TTC12	0.591295316218198
ATF1	SEC24A	0.6275045085514575
ATF1	URGCP	0.647589802180137
ATF1	SRP68	0.895233807224423
ATF1	KIAA1712	0.5417595201450021
ATF1	PRPF39	0.5554898036792704
ATF1	POLR3A	0.5902864104535652
ATF1	ERCC4	0.5674587049490016
ATF1	KIAA0586	0.5995824340240734
ATF1	DNAJA3	0.7285197084408908
ATF1	LNX1	0.5469051076255642
ATF1	ZNF735	0.5369505535746479
ATF1	KCP	0.5580849849227114
ATF1	MAGIX	0.627407308940346
ATF1	LOC100130264	0.6386336022150858
ATF1	PDCD1	0.6173509105515582
ATF1	ABCE1	0.6887914496822858
ATF1	C9orf53	0.5500667389697176
ATF1	CPVL	0.563605207020303
ATF1	EBAG9	0.5659756824358451
ATF1	ZNF574	0.6048058085916685
FOXA1	ERO1LB	0.5287197628697244
FOXA1	GRP	0.5908530317575114
FOXA1	CBWD5	0.5565372282481311
FOXA1	MAGEA9B	0.5454221846536016
FOXA1	KIR2DL3	0.5349410283857172
FOXA1	SHF	0.5542413673218483
FOXA1	CYP4X1	0.623734231783815
FOXA1	PPP4C	0.5847187428847871
FOXA1	NPTN	0.536552236614408
FOXA1	SNORA11D	0.7600089448198637
FOXA1	GUSB	0.5315282651669806
FOXA1	KRT71	0.5824336499478173
FOXA1	PRKCG	0.576901704173495
FOXA1	OST4	0.5316492385708935
FOXA1	NAA30	0.6351387219528917
FOXA1	XCR1	0.5596593002066728
FOXA1	ITPK1	0.5842226618798909
FOXA1	SIGLEC10	0.6165380192496781
FOXA1	NSMCE1	0.638358342364167
FOXA1	AMMECR1	0.5698071278532271
FOXA1	TTC21A	0.5488954341953058
FOXA1	KIR3DL1	0.5349410283857172
FOXA1	KCNK17	0.5413304911596093
FOXA1	C19orf34	0.5303061291088502
FOXA1	ANO5	0.5348482782044632
FOXA1	ZNF33B	0.5459637370527237
FOXA1	LETM1	0.55132456477897
FOXA1	SELP	0.7626016524971582
FOXA1	SPCS3	0.6946676807027363
FOXA1	FABP3	0.5868080693130118
FOXA1	ABCB10	0.6032405481464957
FOXA1	NFX1	0.5408432282776134
FOXA1	TNIP3	0.5368960693540159
FOXA1	ANXA2P1	0.5602794094094885
FOXA1	TYRO3	0.5561845224611734
FOXA1	DNASE1	0.6168146633460161
FOXA1	ZNF776	0.5395391540536276
FOXA1	XAGE2	0.675436080531119
FOXA1	XKR3	0.5302068035299019
FOXA1	TELO2	0.5759638307727775
ATF2	CPNE9	0.7677886824988818
ATF2	JRK	0.7332955576400688
ATF2	TMEM41A	0.5515037733272932
ATF2	SNORA8	0.5436176502811323
ATF2	KIAA0020	0.7823357960375819
ATF2	AKD1	0.5464661389246763
ATF2	OR2M3	0.7401778772377163
ATF2	F11R	0.559751897778427
ATF2	NADSYN1	0.5314716211780275
ATF2	ZNF204P	0.6534058002413885
ATF2	OR2AE1	0.5459248318238594
ATF2	GOLGA1	0.5771898572333427
ATF2	GPBP1	0.5448920465364857
ATF2	STMN1	0.5297478985572508
ATF2	DENR	0.627018159473566
ATF2	PIP4K2C	0.6214263267977524
ATF2	ACAD11	0.6526384888484422
ATF2	ZNF169	0.5727154652778852
ATF2	ARL14	0.7401868572024508
ATF2	COG6	0.5548804303537298
ATF2	TAS2R10	0.5678509579884876
ATF2	ZNF282	0.6407377363518547
ATF2	MRPS18B	0.5649341871491829
ATF2	WDR74	0.6304745571761745
ATF2	TIMD4	0.5308777977740147
ATF2	WDR72	0.5803059277998273
ATF2	YOD1	0.6493261812631923
ATF2	DICER1	0.6995770060142914
ATF2	CDC40	0.768769935630341
ATF2	CDC37	0.5966207254285658
ATF2	MALL	0.5593286220712539
ATF2	MT1G	0.6172968411454325
ATF2	TMEM126B	0.5898091584375345
ATF2	TLN1	0.626628251528246
ATF2	BLZF1	0.7517590030462342
ATF2	TCL6	0.6457780452695894
ATF2	tAKR	0.6749612199119284
ATF2	RWDD2A	0.532984861297154
ATF2	SFRS17A	0.8468373074730544
ATF2	DCUN1D4	0.6223705060873113
ATF2	LOC283267	0.7286438805971858
ATF2	PIK3R4	0.7761239522145238
ATF2	NCAPG	0.5999551688009483
ATF2	KIAA1012	0.8170928168451042
ATF2	APCDD1	0.5645892076590266
ATF2	HIF1A	0.975486108446975
ATF2	GIGYF2	0.7642258364130807
ATF2	SNX4	0.5273645825029107
ATF2	WDR70	0.5979302442854304
ATF2	TSPAN4	0.5766343467042918
ATF2	ATP6V0A4	0.6934287846933422
ATF2	RAB11FIP3	0.527410767666014
ATF2	VPS16	0.732623394341485
ATF2	BRAP	0.6011005449124278
ATF2	CDK19	0.5495675954277419
ATF2	SNAPIN	0.5818957452470546
ATF2	PMM1	0.5482591241767114
ATF2	INTS2	0.6335217052771807
ATF2	GDF2	0.7215818168598513
ATF2	SFRS3	0.6311872215766146
ATF2	LARP6	0.7190717167622624
ATF2	RPE65	0.605643405684321
ATF2	UBAC1	0.527410767666014
ATF2	WDR55	0.7092823013700302
ATF2	C2orf34	0.614877813656308
ATF2	ANLN	0.5684550506198929
ATF2	RNF222	0.7322189292839845
ATF2	ZNF37B	0.6811703298923222
ATF2	FXYD4	0.6466508567738578
ATF2	CDC16	0.5710253202211542
ATF2	INTS6	0.8954363837213473
ATF2	CDK14	0.8776654417532925
ATF2	FBXL4	0.7351587712614553
ATF2	ATR	0.6947307687842548
ATF2	PHF3	0.9107700838114083
ATF2	C13orf23	0.527410767666014
ATF2	AP2A1	0.717061035392677
ATF2	IFIH1	0.5974023471671304
ATF2	C21orf54	0.5931406796595433
ATF2	MED10	0.5659756824358451
ATF2	RARS	0.5645625096497029
ATF2	C13orf15	0.5362228597367618
ATF2	QSOX1	0.569808569429
ATF2	KIAA1826	0.5298757642468601
ATF2	C2orf29	0.6160116637992714
ATF2	APPL1	0.5880391186957099
ATF2	CTSB	0.7038859761138894
ATF2	CCDC112	0.5659756824358451
ATF2	ZNF484	0.5357587981311913
ATF2	WARS	0.6466981673761598
ATF2	C13orf31	0.6249970675515466
ATF2	SLC39A10	0.8005136173826748
ATF2	PRPF40A	0.6815290785154255
ATF2	RAB3IL1	0.5390370460988492
ATF2	ZFX	0.7385101593202843
ATF2	ANO3	0.5632050308542524
ATF2	CIT	0.5628373369310977
ATF2	PIGB	0.5320299709091612
ATF2	MED25	0.909901925040288
ATF2	VAMP7	0.6848175873999662
ATF2	HNRNPH1	0.5976034549551219
ATF2	C14orf2	0.6425410699277792
ATF2	HNRNPH2	0.5610922726188208
ATF2	ERGIC3	0.6009268966916603
ATF2	ZNF599	1.1400728245845997
ATF2	VGLL1	0.8861354689927805
ATF2	ARMS2	0.777435527446722
ATF2	CDC123	0.6790916819802568
ATF2	SDCCAG3	0.5880391186957099
ATF2	TNXB	0.552604468346956
ATF2	HEATR1	0.5659756824358451
ATF2	SNORD116-3	0.5282910112653236
ATF2	TMEM169	0.5963166879721156
ATF2	LMAN2	0.7032452311793218
ATF2	UBTD1	0.7396516330947049
ATF2	GPBP1L1	0.626628251528246
ATF2	TP53TG5	0.5567036970067698
ATF2	AASDHPPT	0.796890872588969
ATF2	ZNF343	0.7703885568817563
ATF2	ATAD1	0.6809228423173095
ATF2	CDKN2D	0.5500829068637123
ATF2	ANKIB1	0.7044527702183947
ATF2	MBD6	0.6211760030489231
ATF2	CARD8	0.5357675740310199
ATF2	ELP3	0.6674118552007156
ATF2	MIAT	0.7437083529563098
ATF2	PDZK1IP1	0.5521269824479376
ATF2	TMUB2	0.5659756824358451
ATF2	NUDT9P1	0.6091275164112178
ATF2	TMEM159	0.6645413120486605
ATF2	ABI1	0.8713508109340937
ATF2	GOPC	0.9901317346774823
ATF2	C17orf63	0.6323005470244194
ATF2	C6orf134	0.5710253202211542
ATF2	ZFP28	0.6976994561655205
ATF2	PCGEM1	0.7296032973714994
ATF2	ERCC6L	0.5834873799662943
ATF2	CLSTN2	0.534002000801538
ATF2	UBP1	0.8402545314280947
ATF2	CWC27	0.7082353195498072
ATF2	ATXN3L	0.6683302197569452
ATF2	POGZ	0.7863734790824748
ATF2	HIST1H2AD	0.5284148511161786
ATF2	ZNF688	0.6928497090635348
ATF2	ZNF566	0.5868919362378251
ATF2	MAP3K4	0.5950673574489298
ATF2	RAB2A	0.6934142855456153
ATF2	SCARA3	0.7667726653059646
ATF2	USP4	0.5643275387737305
ATF2	ATG9A	0.6102012912542869
ATF2	TAP1	0.5880391186957099
ATF2	MAT1A	0.6054329487404968
ATF2	TMEM130	0.5980426122137663
ATF2	NCRNA00171	0.6976370687841902
ATF2	PIAS1	0.7962871781068208
ATF2	CACNB2	0.5402157433066526
ATF2	RBMXL3	0.5898448205646836
ATF2	BRMS1	0.5880391186957099
ATF2	OR2T1	0.6682763345185649
ATF2	TMEM139	0.626628251528246
ATF2	SNRNP27	0.5393760747313858
ATF2	C20orf96	0.6290179519565076
ATF2	DLX2	0.5727387242845339
ATF2	OR6K2	0.5311214577707357
ATF2	PEF1	0.5753586800764001
ATF2	AK1	0.5342254407672025
ATF2	CABP5	0.55529449146269
ATF2	ABHD8	0.6250668806671675
ATF2	ITPR1	0.6600580933191793
ATF2	FBXO48	0.5652657717247478
ATF2	ITPR2	0.8104416872983955
ATF2	FOXO4	0.7105921878426589
ATF2	PDS5B	0.7859387526205981
ATF2	SPATA6	0.5608092868108598
ATF2	ANKRD19	0.7642258364130807
ATF2	ZFP36L2	0.570160897893901
ATF2	STK3	0.6767950500501492
ATF2	ITPRIPL1	0.7994817641619774
ATF2	ZMAT3	0.7917275349811299
ATF2	PSAP	0.7453009660964889
ATF2	ZKSCAN3	0.6211265570780262
ATF2	DVL3	0.5604547600772913
ATF2	NPHP3	0.6216521281437162
ATF2	SMAD2	0.6727191958552043
ATF2	MLL2	0.6493261812631923
ATF2	EIF2B2	0.7262900728268549
ATF2	SDF2L1	0.810800043849286
ATF2	HTR1F	0.5317915081426157
ATF2	C1orf68	0.5533616488934285
ATF2	GLMN	0.6414662584549649
ATF2	KLHL23	0.6450089177723566
ATF2	FANCE	0.5666652766455265
ATF2	DNAJC17	0.8096714923146773
ATF2	MARCH2	0.9825750464340652
ATF2	NF1P1	0.527410767666014
ATF2	RCAN1	0.5313277137209309
ATF2	IBTK	0.6304745571761745
ATF2	SCCPDH	0.75048277358212
ATF2	TSGA14	0.5820297151149161
ATF2	SAE1	0.7329404904728118
ATF2	SPERT	0.5746869266733752
ATF2	C6orf176	0.5637028454150146
ATF2	KDM5B	0.5661686145418363
ATF2	SCYL3	0.6242133059811761
ATF2	TSEN15	0.527410767666014
ATF2	CHD8	0.8861354689927805
ATF2	ATP2A3	0.5384466168618576
ATF2	C16orf48	0.5697580707217744
ATF2	HTR2B	0.6862856750100619
ATF2	DDX43	0.6137861617203595
ATF2	YBX2	0.6726118653802535
ATF2	TNFAIP1	0.5692045398652339
ATF2	AFF4	0.6871117897122847
ATF2	BICD1	0.6169707288945689
ATF2	TREM1	0.557787903250051
ATF2	CCDC53	0.626628251528246
ATF2	ZNF645	0.7262900728268549
ATF2	CEP290	0.5950673574489298
ATF2	ZNF763	0.542741489626458
ATF2	ZNF385A	0.6577246781085551
ATF2	RHBDF1	0.5674389085264151
ATF2	RBM17	0.6647955790704576
ATF2	TSFM	0.8028382559144873
ATF2	RBM14	0.6128851886972853
ATF2	PPP1R12A	0.6641880454391846
ATF2	DYNLT1	0.9146763681598045
ATF2	GGPS1	0.6263033038893981
ATF2	AQP12A	0.5670458450758127
ATF2	NCBP2	0.6042407012321744
ATF2	RNASET2	0.6578159728939181
ATF2	TBC1D8	0.698390218361415
ATF2	VPS37A	0.5430896465852051
ATF2	TOP1P2	0.769087813924719
ATF2	DUSP27	0.5673645701825714
ATF2	SENP3	0.6302292256625743
ATF2	IQCG	0.5660984833200051
ATF2	CXorf21	0.6049296468845564
