Regulator	Target	MI
ATF1	ARRDC4	0.5315181725315781
ATF1	DYRK4	0.5413274787177418
ATF1	TM4SF18	0.5807292157691495
ATF1	EXD3	0.5581762316790106
ATF1	JRK	0.6015229902882284
ATF1	ROBO4	0.5272679358421795
ATF1	BMPR2	0.5333375670841116
ATF1	TOR1A	0.5361215135493946
ATF1	CCDC67	0.7215818168598513
ATF1	UBE2E1	0.577302667668862
ATF1	TCF20	0.5502610365418525
ATF1	C1QTNF9B	0.5308105951595707
ATF1	NSL1	0.5554613708958724
ATF1	ZBTB2	0.5364451554572516
ATF1	PPP1CC	0.6451147688515602
ATF1	TAF6L	0.5746869266733752
ATF1	SERTAD2	0.5722892360772778
ATF1	HEATR7A	0.5583273165285023
ATF1	C4orf27	0.6180669961829164
ATF1	G2E3	0.527410767666014
ATF1	RAB9BP1	0.557787903250051
ATF1	C2orf16	0.6062293227943334
ATF1	GUSB	0.7594389503656527
FOXA1	C10orf81	0.5537648810115838
FOXA1	ZNF397	0.6753247055549729
FOXA1	KRT81	0.6286279424212111
FOXA1	PTGER1	0.5301426581536215
FOXA1	KIR2DL2	0.6263531396990434
FOXA1	C3orf48	0.5671002995900638
FOXA1	SLC9A1	0.6929024267375619
FOXA1	GYS2	0.5275414332950503
FOXA1	SCAMP4	0.5545182325875668
FOXA1	PTCHD1	0.5666424271159669
FOXA1	PPP2R5E	0.5573056790570163
FOXA1	PI4KAP1	0.5812506939254658
FOXA1	MYO6	0.6014914803980003
FOXA1	ITGB6	0.6457982361013408
FOXA1	DRD2	0.6736883965888163
FOXA1	MARK4	0.545255029905575
FOXA1	DYNC1I1	0.5347463159303714
FOXA1	GRIA4	0.5717961694513294
FOXA1	GLYATL3	0.7015592116142395
FOXA1	SYT4	0.5474762483910984
FOXA1	TRIM61	0.6129742533593503
FOXA1	XAGE1D	0.6885615992647116
FOXA1	KLHDC1	0.5313712623215414
FOXA1	SLC33A1	0.6822275156388318
FOXA1	LIF	0.5638939744404863
FOXA1	TAS2R13	0.5659756824358451
FOXA1	IL19	0.53510880767382
FOXA1	GTF2H3	0.5385491435694965
FOXA1	SUMF1	0.5766185127426597
FOXA1	IL22RA1	0.5503251826971165
FOXA1	FEZ1	0.69256738656303
FOXA1	MASP2	0.5384048034232096
FOXA1	ZNF311	0.5338640152920293
FOXA1	VSX2	0.5499026605101811
ATF2	ISCA2	0.7441653572790599
ATF2	TAS2R20	0.7432018975615184
ATF2	PARS2	0.8109453482654096
ATF2	SERPINE1	0.5875353512801356
ATF2	MRGPRF	0.5560327629763933
ATF2	TMEM91	0.5524924878810609
ATF2	SNORD116-18	0.550202423274412
ATF2	ALKBH5	0.774471319998046
ATF2	EDNRA	0.5306156497971366
ATF2	C2orf68	0.78789189983438
ATF2	UBASH3B	0.5985019129505944
ATF2	STMN1	0.7829369018536507
ATF2	ADNP2	0.6942848109986812
