Regulator	Target	MI
ATF1	SUV420H2	0.5548478127511363
ATF1	COPB2	0.5459817921160108
ATF1	CSF1R	0.5880391186957099
ATF1	SLC24A4	0.582055012652797
ATF1	C16orf80	0.5605942738421836
ATF1	RMND1	0.5880391186957099
ATF1	TCF20	0.5717259796809357
ATF1	CRHR1	0.5652678455836693
ATF1	C2orf68	0.6089363678075177
ATF1	DACH1	0.5367830186594325
ATF1	GOLGA5	0.7363062924424386
ATF1	HIRIP3	0.5318606316447339
ATF1	HECTD2	0.5548804303537302
ATF1	PCBP3	0.612465360067024
ATF1	CWC22	0.5659756824358451
ATF1	L3MBTL	0.5925426964870852
ATF1	PHACTR3	0.6153786687221361
ATF1	VPS11	0.6312036322470305
ATF1	ANKRD54	0.5485728869749416
ATF1	PDSS1	0.5664198903574293
ATF1	DRAM2	0.5647108402676988
ATF1	TM4SF18	0.639737802081239
ATF1	LOC100170939	0.6009268966916603
ATF1	EBF1	0.6024723933810443
ATF1	ZDHHC17	0.5348160343514001
ATF1	SIKE1	0.5530813628876077
ATF1	C21orf49	0.5459817921160108
ATF1	KIAA0427	0.5850193510187172
ATF1	LGSN	0.5661168393850287
ATF1	GPR183	0.5810652031002719
ATF1	PDE3A	0.6071576936800858
ATF1	ZFPM2	0.6008304543795435
ATF1	CDK14	0.5697580707217744
FOXA1	BCAR3	0.5324021591359478
FOXA1	UNC119B	0.6050661160733046
FOXA1	CELA3B	0.6091386048317085
FOXA1	RPL30	0.848963165048469
FOXA1	C12orf56	0.692876154909932
FOXA1	LOC285847	0.5562032876034158
FOXA1	C2orf80	0.5273143253538968
FOXA1	C3orf22	0.5277012948233537
FOXA1	CLN8	0.5469709397468558
FOXA1	SIPA1L2	0.5842549385946265
FOXA1	WNT6	0.5367649187998498
FOXA1	ALCAM	0.5474046861816984
FOXA1	PDPR	0.6126077183329155
FOXA1	CAMKV	0.6233698889481483
FOXA1	KIAA1267	0.6092405671058012
FOXA1	ATOH8	0.5581415178149607
FOXA1	GPR116	0.5536749278093409
FOXA1	KIF13B	0.6014949836865231
FOXA1	SNORD12	0.6646412036191225
FOXA1	ZSWIM6	0.7374499171145947
FOXA1	ABCF3	0.7138734607862416
FOXA1	YAF2	0.7257996995075326
FOXA1	POLH	0.5598564959686798
FOXA1	TLE1	0.5526556806763137
FOXA1	TTC33	0.5366991606445617
FOXA1	UGT2B15	0.5705876377998251
FOXA1	BET3L	0.5389266666962436
FOXA1	C19orf56	0.540443926408658
FOXA1	DNAJC2	0.532452534161072
FOXA1	BANK1	0.5870757476044894
FOXA1	C22orf43	0.528211539370361
FOXA1	FES	0.5618556212406531
FOXA1	PACS1	0.6048632165599974
FOXA1	RAB15	0.6412243294408868
FOXA1	TBC1D7	0.6017421275423267
FOXA1	CCDC65	0.5946543454521835
ATF2	OTUD4	0.5903958794130446
ATF2	MAML2	0.5356936784651625
ATF2	C16orf87	0.6092044377319836
ATF2	VPREB3	0.5453103993820272
ATF2	ATP5L2	0.7142523115469261
ATF2	RPS16	0.5396814187830254
ATF2	ZNF607	0.6009268966916603
ATF2	TBC1D10C	0.5367922897574271
ATF2	DENR	0.6213971575592336
ATF2	C20orf201	0.5482580421512377
ATF2	PRMT10	0.5974530841188606
ATF2	ZNF283	0.650104702304946
ATF2	DICER1	0.5428982691882402
ATF2	ZCRB1	0.6311872215766146
ATF2	PRPF6	0.5983883208244332
ATF2	IFI27	0.5489911495683457
ATF2	TMEM79	0.5645481395373122
ATF2	FKBP8	0.5550794792729978
ATF2	GUF1	0.5752537215568636
ATF2	DNA2	0.6504721552381811
ATF2	VCL	0.536763665910899
ATF2	FOXO4	0.5553594086217797
ATF2	KIAA1012	0.5428982691882402
ATF2	PDS5B	0.7784733067461986
ATF2	HIF1A	0.635040894032262
ATF2	MRPL13	0.5456048001219114
ATF2	ANKRD19	0.7391382456278128
ATF2	GLG1	0.5459248318238594
ATF2	SFRS9	0.5978107294326978
ATF2	RSU1	0.5323709644466854
ATF2	MAP2K6	0.6311872215766146
ATF2	MFAP3L	0.6091275164112178
ATF2	MLL2	0.6111968601840667
ATF2	TRAPPC3	0.6475474734951048
ATF2	ZBTB17	0.6976370687841902
ATF2	SNAPIN	0.5534400545201148
ATF2	ODF2	0.5282644787219497
ATF2	ORC2L	0.5962008960193197
ATF2	EXOC6B	0.5962008960193197
ATF2	C11orf16	0.5423155466994203
ATF2	ST7OT2	0.5390370460988492
ATF2	SFRS3	0.5428982691882402
ATF2	DNAJC17	0.5924646316191899
ATF2	DLG1	0.5962008960193197
ATF2	FAM175B	0.527410767666014
ATF2	CDK1	0.6447067858933475
ATF2	C2CD2L	0.5401196119316616
ATF2	GAPT	0.5377479337728639
ATF2	ZNF252	0.6548762272849844
ATF2	TRADD	0.635040894032262
ATF2	ATF7IP2	0.6311872215766146
ATF2	HSPB1	0.5383016293163689
ATF2	CLINT1	0.6295488920020396
ATF2	SENP6	0.6214263267977524
ATF2	FLVCR1	0.5580770024685995
ATF2	CCDC53	0.5751318059458908
ATF2	UBXN7	0.5476350379138402
ATF2	CCDC55	0.5323709644466854
ATF2	ERC1	0.619898156519969
ATF2	RIOK1	0.6548762272849848
ATF2	C9orf64	0.6995770060142914
ATF2	ZNF367	0.5628864420141362
