Regulator	Target	MI
ATF1	TOR2A	0.557787903250051
ATF1	VARS	0.614877813656308
ATF1	ORC3L	0.6417892034367001
ATF1	CCDC129	0.5498700425077176
ATF1	C1orf190	0.6417892034367001
ATF1	SDAD1	0.5389034076895953
ATF1	SKA3	0.5314537141364575
ATF1	SLC30A10	0.5438434516270969
ATF1	MRPL3	0.5601018712806858
ATF1	MRPL42	0.6335217052771807
ATF1	ZNF607	0.5821299011708434
ATF1	HLTF	0.6752816066450986
ATF1	ORMDL3	0.552604468346956
ATF1	ACADM	0.5418141295763532
ATF1	DRAM2	0.6755659591547802
ATF1	DCAF13	0.5379139220926459
ATF1	HSPA8	0.527410767666014
ATF1	PDHX	0.7322239050728716
ATF1	RBM17	0.5552896853190705
ATF1	TIA1	0.5618891146983103
ATF1	SRP68	0.6335217052771807
ATF1	TMCO4	0.5880391186957099
ATF1	MAPKSP1	0.5810652031002719
ATF1	RNF222	0.7432253762015701
ATF1	ANKFN1	0.5547143219243735
ATF1	WBSCR16	0.5390370460988492
ATF1	GNPDA2	0.5515037733272932
ATF1	MFAP1	0.5390370460988492
ATF1	PEX3	0.5755304717916032
ATF1	CENPJ	0.6568457266206194
ATF1	G2E3	0.626628251528246
ATF1	RPP21	0.608248240748801
ATF1	C6orf134	0.6289453256050912
ATF1	NEIL1	0.5342153165572925
ATF1	ZNF597	0.5887443525719811
ATF1	KANK3	0.6526562454919884
ATF1	NUP37	0.673544474820789
FOXA1	ADORA2A	0.5430535514203352
FOXA1	REXO1L1	0.5942135265671276
FOXA1	LRRC50	0.6068797992001707
FOXA1	TXLNG	0.5332978372742496
FOXA1	DNAJB8	0.5710271367646667
FOXA1	ODZ3	0.5542734224880901
FOXA1	CD1C	0.5428982691882402
FOXA1	CAMKK1	0.6308969016130215
ATF2	SMAD5OS	0.558166055192455
ATF2	PREP	0.538752265849507
ATF2	CBLC	0.5766773870656028
ATF2	ANTXR2	0.5289984267954981
ATF2	NUDT6	0.5585454769874789
ATF2	HERC4	0.9981392390466777
ATF2	PCMT1	0.6211907016753226
ATF2	NUB1	0.5626436642781525
ATF2	CCDC91	0.5321159938622033
ATF2	GOLGA5	0.7092823013700302
ATF2	ZNF606	0.5348482782044641
ATF2	TNFSF10	0.6770827261350458
ATF2	ZNF169	0.6452753973203493
ATF2	SKP1	0.6229150542029407
ATF2	ESCO1	0.527410767666014
ATF2	DICER1	0.6802154267871359
ATF2	RNASE2	0.527410767666014
ATF2	CDC40	0.527410767666014
ATF2	BCAN	0.5338673652214192
ATF2	DYNC1LI2	0.6327259494784139
ATF2	SCN10A	0.5324216773985588
ATF2	RRAGC	0.5413274787177418
ATF2	AKAP9	0.8245955791850363
ATF2	NHLRC2	0.6639515431745275
ATF2	NAIP	0.6347099532440175
ATF2	IDO1	0.5306646348996664
ATF2	ZNF155	0.9356818683979227
ATF2	DCUN1D4	0.568660335792754
ATF2	KIAA1012	0.7567007573888458
ATF2	HIF1A	0.6802154267871359
ATF2	APH1A	0.7015373348164609
ATF2	COMMD9	0.5856261709765178
ATF2	C6orf204	0.5853264732857131
ATF2	AMZ2	0.6098031341386885
ATF2	SNORD36A	0.5338875544952031
ATF2	PLK1	0.6875879148070783
ATF2	EXOC6B	0.8723932247554842
ATF2	XRCC1	0.5880391186957099
ATF2	BTBD11	0.6438647933316184
ATF2	NMI	0.6211907016753226
ATF2	GNPTG	0.5499367118851142
ATF2	RAET1G	0.6134757245119031
ATF2	INTS8	0.8819317836569325
ATF2	DCP1B	0.6750076094236457
ATF2	PHF3	0.7263364623385726
ATF2	SNORA84	0.568660335792754
ATF2	MTMR14	0.566781384578273
ATF2	ZBTB8OS	0.6175564865170653
ATF2	PRPF19	0.5950673574489298
ATF2	FAM127B	0.5735134297081959
ATF2	WDR46	0.527410767666014
ATF2	EEA1	0.5593286220712539
ATF2	C5orf45	0.5477054294121899
ATF2	SLC22A15	0.5582255567613488
ATF2	C7orf58	0.6054076097585255
ATF2	TMEM150B	0.5302323876811101
ATF2	PRMT1	0.6335217052771807
ATF2	COMMD2	0.56753035701067
ATF2	C3orf1	0.6009268966916603
ATF2	JOSD2	0.5590942737982765
ATF2	CYP7B1	0.5509406955670983
ATF2	TMC4	0.5412444543864496
ATF2	TOPORS	0.546268086749031
ATF2	MED23	0.5880391186957099
ATF2	KIN	0.5770131555816618
ATF2	RILPL1	0.527410767666014
ATF2	PITPNM3	0.5546710928762404
ATF2	AVP	0.6417476554444201
ATF2	PABPC1	0.527410767666014
ATF2	CD46	0.5836980008180999
ATF2	ERGIC3	0.6924780152385646
ATF2	STK40	0.6308969016130215
ATF2	SF3B3	0.6720175803288901
ATF2	COX5A	0.5730955502257231
ATF2	RGAG1	0.5880391186957099
ATF2	GPBP1L1	0.5593286220712539
ATF2	CHML	0.872310886086054
ATF2	GPR158	0.5471105131668201
ATF2	MAP4K4	0.5880391186957099
ATF2	ZNF222	0.5675502139790125
ATF2	RYK	0.5987759063806148
ATF2	KIAA0196	0.5880391186957099
ATF2	KCNRG	0.5808003212807291
ATF2	MIAT	0.8301616230764424
ATF2	CLC	0.6367211598798983
ATF2	C20orf72	0.5880391186957099
ATF2	TTLL9	0.6211907016753226
ATF2	ERCC6L	0.5379139220926459
ATF2	TOR2A	0.5880391186957099
ATF2	ZWILCH	0.6335217052771807
ATF2	FBXO28	0.6602068705076989
ATF2	OR2T12	0.5434716005480746
ATF2	COX6A2	0.8247572169315038
ATF2	NR3C2	0.5271911462657695
ATF2	FNTA	0.626628251528246
ATF2	CAPN7	0.6211907016753226
ATF2	UROD	0.6318100590138767
ATF2	PAPOLA	0.732623394341485
ATF2	MAP3K7	0.5880391186957099
ATF2	ZNF323	0.6910005942899469
ATF2	FAM48A	0.9357618477358347
ATF2	OSR2	0.5646180487714232
ATF2	CDKL5	0.6054156808774591
ATF2	ALG14	0.527410767666014
ATF2	DYRK1A	0.614877813656308
ATF2	TRAFD1	0.5335997150609892
ATF2	TBR1	0.5880391186957099
ATF2	PUS7	0.5505462491493991
ATF2	PIAS1	0.8819317836569325
ATF2	RNF41	0.6383628955954763
ATF2	ATXN2L	0.6928497090635348
ATF2	CUL5	0.8760898674519977
ATF2	PEF1	0.5450251340922705
ATF2	TMEM31	0.5525187950757364
ATF2	SPATA8	0.7566745571509119
