Regulator	Target	MI
ATF1	OTUD4	0.5465060277443299
ATF1	SNORD115-6	0.5398265816849288
ATF1	SH2D7	0.6224329642793553
ATF1	PANK1	0.5975632635965216
ATF1	POP1	0.7498696047160545
ATF1	MYLK3	0.6017410804446728
ATF1	RRP8	0.6894381515523733
ATF1	CXCL16	0.6967470256526243
ATF1	NR3C2	0.5369733156282464
ATF1	GCSH	0.5531708968328899
ATF1	TUBB8	0.542741489626458
ATF1	SAMD14	0.6318100590138767
ATF1	ABHD11	0.557787903250051
ATF1	SALL1	0.5760564987761305
ATF1	C21orf99	0.5950673574489298
ATF1	ANKS1A	0.5506022325863165
ATF1	TMSB10	0.5820711817650013
ATF1	TMEM8B	0.5687024982328546
ATF1	GEN1	0.725756312748755
ATF1	C1orf43	0.6382191914243025
ATF1	WSB2	0.6108004971700902
ATF1	ZNF705D	0.7160605887689373
ATF1	S100A1	0.5703908267460722
ATF1	USP2	0.5374073052952464
ATF1	ATP1B4	0.5708869980031062
ATF1	UNC93A	0.5647108402676988
ATF1	SDHA	0.5641156805401257
ATF1	KCTD6	0.5411473214374953
ATF1	LOC400804	0.5560327629763933
ATF1	TMEM81	0.5485817050978423
ATF1	MSH3	0.6922565373327565
ATF1	SCN8A	0.5545257563774282
ATF1	C12orf51	0.5321159938622033
ATF1	ZNF559	0.534963020214474
ATF1	PHPT1	0.6136165000756897
ATF1	C6orf174	0.6283464450306409
ATF1	HOMEZ	0.7813657536184984
ATF1	ZNF672	0.6534118149969701
ATF1	RWDD2B	0.6186400913339387
ATF1	ARL3	0.6299184773034043
ATF1	LOC153684	0.5583059801644121
ATF1	C9orf82	0.7348072887249169
ATF1	HBXIP	0.6028996115995673
ATF1	WNT6	0.5753586800764001
ATF1	DHX36	0.6429986223585842
ATF1	RHPN2	0.8395961730293728
ATF1	PCDHA8	0.6502427448050501
ATF1	CDK19	0.5400461974719457
ATF1	ATP8B1	0.7811724904819983
ATF1	ODF2	0.5516134968861173
ATF1	CHCHD10	0.6662224026063619
ATF1	GPR109B	0.5719280134192033
ATF1	C16orf57	0.5630389224248953
ATF1	MARCH5	0.6118420530198749
ATF1	PARP15	0.6376992820296818
