Regulator	Target	MI
ATF1	NPFFR2	0.5974382638249183
ATF1	RSC1A1	0.5834520101983522
ATF1	EHF	0.6125961577162267
ATF1	C19orf20	0.6415483785108722
ATF1	C10orf40	0.7544389713429553
ATF1	HDAC11	0.6479783616863091
ATF1	HNRNPR	0.6964103438395362
ATF1	FAM95B1	0.593978893617904
ATF1	CLDN2	0.6381880104873079
ATF1	SMC4	0.9312553335948559
ATF1	AQP1	0.5811087386597489
ATF1	SOX2	0.5962666325510573
ATF1	EDNRA	0.7863734790824748
ATF1	SNRPD2	0.5999280934869349
ATF1	TDO2	0.5811087386597489
ATF1	C22orf32	0.5634095418987597
ATF1	DHX57	0.5498700425077176
ATF1	NDST4	0.5811087386597489
ATF1	DPF2	0.5659756824358451
ATF1	MS4A13	0.5962666325510573
ATF1	PRSS8	0.6232085541404979
ATF1	C6orf223	0.5962666325510573
ATF1	GABARAPL3	0.6302296014092974
ATF1	HLA-J	0.5492952350538589
ATF1	RSAD1	0.5811087386597489
ATF1	C2orf50	0.7544389713429553
ATF1	TM4SF4	0.6447874398665481
ATF1	RNASE1	0.5811087386597489
ATF1	C2orf51	0.6055424905078821
ATF1	BOLA2	0.6045398093708343
ATF1	CD2BP2	0.562507666515391
ATF1	FAM76B	0.5780727207079073
ATF1	LOC728606	0.6372134407738539
ATF1	ZNF831	0.6083075535155862
ATF1	CFTR	0.5338908865411356
ATF1	PTGFR	0.5428653294773125
ATF1	MTMR2	0.5398732098583872
ATF1	LOC153328	0.5811087386597489
ATF1	PDE1A	0.5911682113233248
ATF1	KRTAP10-12	0.5811087386597489
ATF1	LYPD1	0.5811087386597489
ATF1	PIK3R4	0.7029097461212999
ATF1	KIAA1012	0.6798348280546191
ATF1	OMA1	0.6264219566898186
ATF1	GSPT2	0.6264219566898186
ATF1	TEX28	0.5811087386597489
ATF1	CRHR1	0.6484859466964124
ATF1	NKAIN4	0.5962666325510573
ATF1	WBSCR28	0.6145368201187829
ATF1	TERT	0.6964103438395362
ATF1	MAP2	0.5542691157131832
ATF1	STC2	0.6232085541404979
ATF1	WBP2NL	0.5534400545201148
ATF1	VTI1A	0.5950673574489298
ATF1	DKFZp566F0947	0.5962666325510573
ATF1	TMEM86A	0.5962666325510573
ATF1	INTS2	0.5643275387737305
ATF1	SETD1A	0.5564020974698463
ATF1	LARP7	0.6964103438395362
ATF1	TRIP4	0.7105636891760878
ATF1	MTHFS	0.6295153037338119
ATF1	SNORD115-44	0.5846398874556642
ATF1	FRG1B	0.5661686145418363
ATF1	RPE65	0.6260608769886451
ATF1	SETX	0.5787164015363433
ATF1	RNF222	0.8005136173826743
ATF1	UCK2	0.6964103438395362
ATF1	EIF5	0.6964103438395362
ATF1	HIST1H4G	0.6899256526788737
ATF1	HNRNPD	0.5564020974698463
ATF1	HOXD3	0.5811087386597489
ATF1	ZBTB8B	0.640896059156864
ATF1	GAPT	0.6964103438395362
ATF1	OR2A1	0.5962666325510573
ATF1	DAZAP1	0.6417539015664899
ATF1	SETD2	0.5727154652778852
ATF1	SLC44A1	0.6387695130866895
ATF1	TMEM181	0.5811087386597489
ATF1	LRRC32	0.5868627669993067
ATF1	TFB1M	0.5962666325510573
ATF1	PHF6	0.6964103438395362
ATF1	C11orf88	0.5974382638249183
ATF1	MRPL33	0.6948510053419508
ATF1	DMBX1	0.5974382638249183
ATF1	ZCWPW2	0.6871117897122847
ATF1	FAM138F	0.5974382638249183
ATF1	JPH2	0.5391475817658304
ATF1	ZMYM2	0.6228290312498981
ATF1	FAM170A	0.5962666325510573
ATF1	KIAA1704	0.8005136173826743
ATF1	RSPO4	0.6798018883436914
ATF1	C7orf58	0.5740799932425635
ATF1	LIN52	0.6447067858933475
ATF1	C9orf9	0.5734841105108797
ATF1	ZCCHC24	0.5906295393596839
ATF1	SYK	0.6165380192496781
ATF1	MRPS23	0.5285184750166834
ATF1	MTERFD2	0.5272679358421795
ATF1	TEX14	0.5394798942140975
ATF1	NME5	0.6126504634297762
ATF1	TUBG1	0.5831249598125421
ATF1	ZFX	0.6101964497829786
ATF1	TAF6L	0.6964103438395362
ATF1	RIPPLY2	0.5939419940192443
ATF1	ADRB3	0.5811087386597489
ATF1	C18orf55	0.6214263267977524
ATF1	FAM181B	0.5962666325510573
ATF1	GARS	0.5296990862552788
ATF1	ERGIC3	0.9875716417576501
ATF1	PAFAH1B2	0.6579723140292244
ATF1	VGLL3	0.5974382638249183
ATF1	FAM59A	0.5400709374716643
ATF1	OR10H1	0.5939419940192443
ATF1	C20orf186	0.5962666325510573
ATF1	TMEM72	0.5434822684760299
ATF1	NOXO1	0.5797381423010997
ATF1	CST9	0.5811087386597489
ATF1	MRPL55	0.6369320650681916
ATF1	C11orf75	0.5833081543134973
ATF1	PRSS50	0.5939419940192443
ATF1	PRAMEF2	0.5811087386597489
ATF1	GBX1	0.606279715702915
ATF1	EXOSC8	0.6976994561655205
ATF1	PAK7	0.5962666325510573
ATF1	C6orf126	0.6167108837494277
ATF1	REM2	0.5962666325510573
ATF1	C4orf6	0.5939419940192443
ATF1	OR6F1	0.5604761846963262
ATF1	GLYCTK	0.5600588309193748
ATF1	GRRP1	0.5895960976602379
ATF1	SYVN1	0.5872714591284249
ATF1	GUCA2B	0.5962666325510573
ATF1	ZNF33B	0.5500698095209224
ATF1	FABP2	0.5962666325510573
ATF1	LYRM1	0.5428982691882402
ATF1	LYRM5	0.7366722146665055
ATF1	KRT15	0.5962666325510573
ATF1	OCM	0.5811087386597489
ATF1	PRKRIR	0.5377479337728643
ATF1	GGT3P	0.6712714889818918
ATF1	EBAG9	0.6264219566898186
ATF1	ZNF451	0.5653374908570346
ATF1	DBR1	0.5962008960193197
ATF1	PCDH11Y	0.6249802689116146
ATF1	CWC27	0.5746869266733752
ATF1	NARS	0.5286855577357885
ATF1	ZNF569	0.6353856580421957
ATF1	FAM3D	0.5382099116510366
ATF1	POTEG	0.6055424905078821
ATF1	RPP38	0.6809228423173095
ATF1	ZNF680	0.5987669264158804
ATF1	OSR1	0.6165380192496781
ATF1	C15orf5	0.5818162436630772
ATF1	ORC4L	0.6603834554020116
ATF1	DNAJB12	0.5315852133041883
ATF1	LOC100272228	0.71498637265426
ATF1	VRK1	0.5482362738681674
ATF1	CHD1L	0.5313230653273102
ATF1	SHISA7	0.5962666325510573
ATF1	NPAS4	0.5962666325510573
ATF1	C11orf42	0.6053822943371867
ATF1	LOC349114	0.5395294840361649
ATF1	RBMXL2	0.665863880150297
ATF1	FOLH1	0.5620765363102396
ATF1	POLG2	0.5797381423011001
ATF1	DKC1	0.5428982691882402
ATF1	C17orf88	0.5939419940192443
ATF1	FAM185A	0.5998488098996808
ATF1	DOK7	0.5534989203897069
ATF1	SNRPE	0.6304745571761745
ATF1	FKBP9	0.5974382638249183
ATF1	SULT6B1	0.5962666325510573
ATF1	ABCG4	0.5962666325510573
ATF1	DPEP3	0.531042026980105
ATF1	CHRNA1	0.5797381423010997
ATF1	C1orf157	0.6509009316214227
ATF1	SMYD5	0.5465421889214395
ATF1	CHAT	0.5811087386597489
ATF1	SEL1L	0.5951136252931053
ATF1	RASGRP3	0.6846805009663948
ATF1	LOC100303728	0.5662680303729224
ATF1	SNN	0.5498700425077176
ATF1	SOHLH1	0.5872714591284249
ATF1	STK38	0.5283340284057609
ATF1	TPR	0.6415483785108722
ATF1	CDH23	0.6232085541404979
ATF1	CLCA2	0.5361140434657719
ATF1	LOC648691	0.5811087386597489
ATF1	NDP	0.5962666325510573
ATF1	ZNF544	0.5838585755806491
ATF1	FAM83C	0.5811087386597489
ATF1	MYH10	0.5391475817658304
ATF1	C9orf84	0.5758181149031278
ATF1	SLC38A4	0.576757079350962
ATF1	OR10K2	0.5962666325510573
ATF1	CAV3	0.6006089764737341
ATF1	HELT	0.5962666325510573
ATF1	TRAPPC4	0.5413879061523885
ATF1	FAM103A1	0.5320485559469987
ATF1	TCEANC	0.5868627669993067
ATF1	TBCC	0.6512388408554761
ATF1	IFNW1	0.5974382638249183
ATF1	FGF17	0.6813395309356589
ATF1	IGSF10	0.5895960976602379
ATF1	RCAN1	0.5710271367646667
ATF1	SCCPDH	0.6368428007004678
ATF1	LHX3	0.6322781057930951
ATF1	RHEB	0.7611842494186134
ATF1	NF1	0.6809952414982305
ATF1	C9orf139	0.5939419940192443
ATF1	BRWD1	0.6131269522454152
ATF1	FGF11	0.7078680541846527
ATF1	MIPEP	0.5361140434657719
ATF1	THRA	0.5511030868731615
ATF1	CELF2	0.6262539690371955
ATF1	PINX1	0.5315852133041883
ATF1	DPY30	0.7544389713429553
ATF1	SUMO1	0.5962666325510573
ATF1	LOC100128023	0.5811087386597489
ATF1	CASP1	0.5962666325510573
ATF1	ZNF646	0.5834520101983522
ATF1	HMGCS2	0.6791531914403763
ATF1	UNKL	0.6977028053159278
ATF1	EID2B	0.6218379577818482
ATF1	DIS3L2	0.5389034076895953
ATF1	FGB	0.6381880104873079
ATF1	HS3ST3B1	0.5753623805738024
ATF1	LOC100272146	0.6018053237474574
ATF1	TTC32	0.5320299709091612
ATF1	RFC2	0.56753035701067
ATF1	LOC144742	0.5962666325510573
ATF1	ABCC6	0.5962666325510573
ATF1	UTF1	0.7079636956310451
ATF1	C14orf39	0.5939419940192443
ATF1	DUSP22	0.5962666325510573
ATF1	SYNPO2L	0.5326211723681871
ATF1	MYOD1	0.5811087386597489
ATF1	OR7A5	0.5962666325510573
ATF1	PCDHGB1	0.577352895072138
ATF1	LUC7L3	0.6417539015664899
ATF1	LCP2	0.548176885448346
ATF1	NAA38	0.84599008988986
ATF1	NUP54	0.5607810484809201
ATF1	RP9	0.5428982691882402
ATF1	DNAJC8	0.5868919362378251
ATF1	ZMYND10	0.5834520101983522
ATF1	C3orf49	0.5869645259874772
ATF1	USP11	0.7497129706706152
ATF1	SLC5A11	0.6877697592715619
ATF1	FSCB	0.5939419940192443
ATF1	PDE11A	0.5383478971605444
ATF1	TAF1D	0.5787164015363433
ATF1	IGFBPL1	0.7612858882972078
ATF1	IFI16	0.6008978956557272
ATF1	KRIT1	0.6309707409672658
ATF1	LOC100287718	0.5811087386597489
ATF1	CCL1	0.5868627669993067
ATF1	FNIP1	0.5666819296400485
ATF1	ABCF1	0.6809228423173095
ATF1	SLC25A24	0.588358732360013
ATF1	ZNF189	0.7298231852405923
ATF1	KCNJ4	0.5811087386597489
ATF1	LINGO1	0.5621371791769803
ATF1	KRR1	0.5831249598125421
ATF1	HCG26	0.5475443169921288
ATF1	CCDC59	0.5741312706279813
ATF1	TPRKB	0.5496399526100619
ATF1	FBXL18	0.6172298623129477
ATF1	LOC647946	0.593978893617904
ATF1	LYSMD3	0.7512516985724136
ATF1	PTPN14	0.5564020974698463
ATF1	TM6SF2	0.5811087386597489
ATF1	SYT12	0.5962666325510573
ATF1	ZGLP1	0.5974382638249183
ATF1	C4orf27	0.5999280934869353
ATF1	ZNF735	0.5335997150609892
ATF1	FAM98B	0.5868919362378251
ATF1	TNP2	0.6809952414982305
ATF1	PDE7A	0.7051743314072221
ATF1	SSBP2	0.7427390550751767
FOXA1	KIAA1191	0.5494960967252074
FOXA1	NARF	0.5552233859511104
FOXA1	CISD1	0.774033742527672
FOXA1	OLFML2A	0.5364096141377228
FOXA1	GPR174	0.7219300312484203
FOXA1	LIPF	0.7311084150582725
FOXA1	ARHGDIA	0.5501429210418198
FOXA1	SESN2	0.6195532479558103
FOXA1	NFATC2IP	0.5528386250497292
FOXA1	RPL38	0.5913663281932826
FOXA1	PLEKHJ1	0.5485763174555598
FOXA1	C20orf152	0.548000544165304
FOXA1	FBXW12	0.6969064861865388
FOXA1	PCID2	0.5518782579855239
FOXA1	EIF1AY	0.5550947932071386
FOXA1	RPL22	0.575092682452889
FOXA1	LOC374491	0.5761680331411809
FOXA1	PDZK1	0.5916234954710995
FOXA1	SDHD	0.5854361651409636
FOXA1	ANK1	0.5374592532526119
FOXA1	LOC493754	0.6260646174480988
FOXA1	CTSL1	0.7464696170712832
FOXA1	TANC1	0.5712713108409018
FOXA1	BCAM	0.582172626447166
FOXA1	ZFP41	0.6764252313172547
FOXA1	PSG4	0.796840046603311
FOXA1	SCGB1C1	0.6394730166302338
FOXA1	DMWD	0.5282453349878522
FOXA1	EIF4E1B	0.57027131189334
FOXA1	MRTO4	0.6275045085514575
FOXA1	LLGL1	0.547663832623845
FOXA1	KLHL18	0.5607626940132193
FOXA1	CASZ1	0.6025242421247405
FOXA1	MTMR2	0.5772487462844524
FOXA1	RPS19BP1	0.5585980231481122
FOXA1	C16orf68	0.6659909187535344
FOXA1	LPO	0.631500201617051
FOXA1	SLC1A4	0.6103395541447885
FOXA1	NKAPL	0.6610081666441845
FOXA1	RPF1	0.5405345501828487
FOXA1	TMEM127	0.6137264688037516
FOXA1	PMVK	0.7354274950926198
FOXA1	CDH23	0.5433667717876833
FOXA1	RHPN1	0.5437066095837793
FOXA1	HAO2	0.565076831249419
FOXA1	CDK19	0.6323740993261113
FOXA1	PDHA2	0.5898517970254726
FOXA1	FOXF1	0.5413761906185988
FOXA1	KIR3DP1	0.5497732393719184
FOXA1	PRG2	0.5361517542251826
FOXA1	BTBD11	0.6977313841546127
FOXA1	ZBTB12	0.5607184516371535
FOXA1	LOC731789	0.64589306621856
FOXA1	A1CF	0.5506441274152887
FOXA1	C11orf20	0.5316492385708931
FOXA1	TF	0.5987054169557604
FOXA1	C18orf8	0.5486619297340596
FOXA1	HIST1H4I	0.5365787691577824
FOXA1	SNORD91B	0.5640236912223129
FOXA1	ZMYND15	0.5347094163317117
FOXA1	ZNF496	0.5550947932071386
FOXA1	SETD3	0.7381573326447683
FOXA1	KCNC2	0.6615630386446201
FOXA1	TMEM220	0.5335997150609892
FOXA1	SEC61A2	0.5354265406073728
FOXA1	EPM2AIP1	0.6125176032888393
FOXA1	SNAPC1	0.6264219566898186
FOXA1	C9orf144	0.5869645259874772
FOXA1	GSG1	0.6609993728608994
FOXA1	CD37	0.6305874187447089
FOXA1	GUSB	0.6336991570092247
FOXA1	NDEL1	0.5700779576863626
FOXA1	TMEM150B	0.5506852073906887
FOXA1	C1orf144	0.5670007848850664
FOXA1	TRPC6	0.5981417154652369
FOXA1	OR1F1	0.5519859503477256
FOXA1	ITGA1	0.6429993332165238
FOXA1	MEPE	0.5835725176635167
FOXA1	MSL3	0.6044648150541443
FOXA1	PATL1	0.6157767816174693
FOXA1	TNNT1	0.7984154341035254
FOXA1	NDUFS4	0.6544460186873717
FOXA1	RPL37A	0.5445940038871182
FOXA1	FXN	0.6153786687221361
FOXA1	C15orf55	0.6653718025422637
FOXA1	CNTNAP5	0.5618109302803602
FOXA1	FAM35B	0.5544916394984365
FOXA1	PDXP	0.5792337534613834
FOXA1	ADAM20	0.5837205892921569
FOXA1	SNX33	0.6821263711794194
FOXA1	CLN6	0.6105225433626282
FOXA1	ADD2	0.6248257771421368
FOXA1	CLN3	0.5433667717876833
FOXA1	EGFLAM	0.7743209882689222
FOXA1	TRA2A	0.541026628569865
FOXA1	BID	0.5661686145418363
FOXA1	CACNG3	0.5891327078448247
FOXA1	CAP2	0.6220058095676984
FOXA1	KCNJ3	0.5400709374716652
FOXA1	PTGES2	0.5470613182227413
FOXA1	RNF26	0.5537887784177813
FOXA1	SCD5	0.8014008534845565
FOXA1	STAC3	0.6266671131867607
FOXA1	PCDHB12	0.7379053326188383
FOXA1	CDK11B	0.5654830765884244
FOXA1	GZMK	0.5282453349878522
FOXA1	CLCN6	0.7314498973763053
FOXA1	PFKL	0.5385648796046238
FOXA1	ZNF737	0.594956908850302
FOXA1	EFHA1	0.545675905633491
FOXA1	SEC24D	0.5374305867437856
FOXA1	C4orf22	0.5413819710519663
ATF2	C12orf57	0.6191920346591369
ATF2	STEAP4	0.5583067150222085
ATF2	TAS2R20	0.5810652031002719
ATF2	LOC285548	0.702689275027153
ATF2	UXS1	0.6792808444433054
ATF2	ARHGDIG	0.6857948909560849
ATF2	FAM107A	0.7263733049466365
ATF2	PLOD2	0.5755978932211105
ATF2	THUMPD1	0.5721135652371165
ATF2	SLC8A1	0.544553657990531
ATF2	BZRAP1	0.6574100146074651
ATF2	IPO8	0.6315043177079422
ATF2	TMEM149	0.6577710676202724
ATF2	ALKBH1	0.5962104437019575
ATF2	STMN1	0.5844722699920282
ATF2	AKT1	0.5761868238412484
ATF2	FOXO3B	0.685900742035289
ATF2	IL12A	0.6098031341386885
ATF2	KPNA5	0.5390370460988492
ATF2	ACAD11	0.527410767666014
ATF2	SH3GLB1	0.5397593790704853
ATF2	SAP30BP	0.5999280934869353
ATF2	ATP6V0E1	0.6063303701062246
ATF2	PRKCB	0.7599151378004412
ATF2	PAGE2B	0.5714796886277438
ATF2	UGT2B15	0.5376807311584209
ATF2	ALG3	0.5390370460988492
ATF2	TTC21A	0.5810652031002719
ATF2	C3orf74	0.5873144994897359
ATF2	LOC643008	0.5582618774828805
ATF2	CASD1	0.5348160343514001
ATF2	ANK1	0.6393046578013046
ATF2	UTS2D	0.6211907016753226
ATF2	RRAGC	0.6397320971892073
ATF2	ZNF836	0.558166055192455
ATF2	AKAP9	0.5810652031002719
ATF2	SIDT1	0.5941632678601465
ATF2	ANKRD40	0.6786071853081985
ATF2	TRIM16	0.7340574269055096
ATF2	ATF6	0.5818957452470546
ATF2	C21orf29	0.643259079020035
ATF2	NOTCH2	0.5683359221020878
ATF2	C7orf70	0.6140558769457463
ATF2	METTL2A	0.557787903250051
ATF2	PSEN2	0.5321159938622033
ATF2	MAGEA9B	0.5334025903816033
ATF2	ADIPOR1	0.6459351737342116
ATF2	PKMYT1	0.5892038540215099
ATF2	EPB49	0.6462346579593521
ATF2	CPLX4	0.6270124301644411
ATF2	PHF21A	0.5321159938622033
ATF2	KIAA0556	0.557787903250051
ATF2	NEUROD2	0.5460258791357506
ATF2	BAG4	0.7357403278903223
ATF2	BCL2L11	0.5341390674145701
ATF2	FLRT2	0.6118420530198745
ATF2	PRDX1	0.5382099116510366
ATF2	PENK	0.5712950354465414
ATF2	ABL2	0.7105636891760878
ATF2	SMYD1	0.8198129723574974
ATF2	MARK3	0.7892059320364315
ATF2	IFNA21	0.558166055192455
ATF2	MFAP3L	0.7698784424040532
ATF2	SPTBN2	0.6078172387448273
ATF2	MLL4	0.5428982691882402
ATF2	FLJ45244	0.5585949940409964
ATF2	OR2J3	0.5534400545201148
ATF2	DNAJC11	0.6211907016753226
ATF2	ZBTB10	0.6596022279573255
ATF2	TRPV1	0.5718973054573908
ATF2	LARP4	0.6257145411596445
ATF2	ZFHX4	0.6073438608057407
ATF2	DNAJC17	0.6766735392525534
ATF2	RPL3L	0.5437072415567692
ATF2	C2orf34	0.5558202862031334
ATF2	DAZL	0.6112797996126211
ATF2	MARCH2	0.7748901946148337
ATF2	NSFL1C	0.7980378940013702
ATF2	FAM175B	0.5880391186957099
ATF2	TMEM117	0.5300732386080691
ATF2	PXMP2	0.6842734894658875
ATF2	HIST1H4G	0.7242510583561144
ATF2	MYF6	0.5873144994897359
ATF2	ZNF415	0.6335217052771807
ATF2	EIF4G3	0.6548762272849844
ATF2	SPERT	0.6276172095642174
ATF2	CUTC	0.6928497090635348
ATF2	ARHGAP11A	0.6415356255683542
ATF2	GPI	0.6338728737432939
ATF2	ZFAND2A	0.5317887173093547
ATF2	MLNR	0.598258489011628
ATF2	GADL1	0.6788693017141529
ATF2	WDR41	0.6893154653080953
ATF2	SLC2A4	0.5739437680649546
ATF2	ARHGAP5	0.5538407401952639
ATF2	MED15	0.558166055192455
ATF2	WDR46	0.6463292278000528
ATF2	MRPL32	0.5364672607590193
ATF2	PIK3CG	0.5647108402676988
ATF2	OSBPL10	0.6462346579593521
ATF2	ALAD	0.6278312971027815
ATF2	MC4R	0.6093759159201655
ATF2	SLC22A12	0.592049198147846
ATF2	NIPBL	0.6786071853081985
ATF2	C1QTNF8	0.7355388178052094
ATF2	MED10	0.6211907016753226
ATF2	ZNF407	0.5746869266733752
ATF2	PBK	0.653957701683272
ATF2	UBXN7	0.5692045398652339
ATF2	APPL1	0.7865886879692807
ATF2	C1orf84	0.6879023742432611
ATF2	CDV3	0.6405026182932612
ATF2	LEFTY1	0.547663832623845
ATF2	PTGIR	0.7091367631432628
ATF2	RFPL2	0.6153383228255489
ATF2	GLP2R	0.6245304021125038
ATF2	RBM19	0.5683123828989136
ATF2	TFEB	0.6707481614203905
ATF2	BEYLA	0.6833518168809491
ATF2	PAPD4	0.5321159938622033
ATF2	TMC8	0.5524470157078527
ATF2	C3orf30	0.5730132472115081
ATF2	ASH1L	0.5428982691882402
ATF2	NIPA2	0.5746985169790793
ATF2	TCTE3	0.58115461744416
ATF2	SEPT5	0.5547809567530648
ATF2	AJAP1	0.5810652031002719
ATF2	ANO3	0.5801348420236163
ATF2	ARHGEF9	0.5315754007746163
ATF2	LMBRD2	0.557787903250051
ATF2	UBE2R2	0.6353856580421957
ATF2	GAN	0.5557523639367865
ATF2	HEATR5B	0.527410767666014
ATF2	TCP1	0.561544921629419
ATF2	ATG4C	0.6335217052771807
ATF2	FAM181A	0.5361886538238423
ATF2	DEPDC5	0.6009268966916603
ATF2	MYH4	0.6024723933810443
ATF2	VGLL2	0.6556460301964901
ATF2	ZMYND11	0.6335217052771807
ATF2	SFT2D1	0.5695004219980593
ATF2	SPAM1	0.5950673574489298
ATF2	ZNF234	0.731559156154479
ATF2	DKFZP586I1420	0.5586123977795796
ATF2	RNFT2	0.6335217052771807
ATF2	SPRR3	0.5963092614588423
ATF2	TNXB	0.6037743884480475
ATF2	USP27X	0.5428982691882402
ATF2	C1S	0.527410767666014
ATF2	LRRC19	0.5647108402676988
ATF2	USP10	0.564622652747861
ATF2	GMPR2	0.6260116634974104
ATF2	DCTN3	0.6630660055847146
ATF2	GPS2	0.5611839747550142
ATF2	C11orf67	0.5328888316181102
ATF2	C2orf89	0.5535701397140556
ATF2	CACNG6	0.5959621462002214
ATF2	PURB	0.6009268966916603
ATF2	APOL4	0.5567294389889166
ATF2	RNF113A	0.527410767666014
ATF2	VPS53	0.6493725707749101
ATF2	TMEM68	0.54180453274591
ATF2	CHRNA10	0.5338640152920293
ATF2	RPL32P3	0.6607184988609007
ATF2	SAP18	0.7769255988796653
ATF2	CCDC77	0.6928497090635348
ATF2	CHML	0.6766735392525534
ATF2	ZNF346	0.5313006248749703
ATF2	CMTM8	0.7313554348922167
ATF2	GALNT6	0.5436307504000992
ATF2	LINGO1	0.7147234618680876
ATF2	OR10G2	0.5507479070118766
ATF2	HCG26	0.5594039441056027
ATF2	NFYC	0.5580770024685995
ATF2	FOXJ2	0.9260726382801812
ATF2	TMEM61	0.5491288492435102
ATF2	CDC5L	0.5834520101983522
ATF2	CTNS	0.7432253762015701
ATF2	RPL35A	0.5425631991562714
ATF2	GCK	0.6901963592984837
ATF2	KLF2	0.6098031341386885
ATF2	HILS1	0.6242133059811761
ATF2	C14orf68	0.5659756824358451
ATF2	SERBP1	0.5425631991562714
ATF2	ERCC8	0.7908942605496501
ATF2	ESYT3	0.5382745404704083
ATF2	CMTM1	0.5315852133041883
ATF2	GGT3P	0.5963096729123682
ATF2	PLCD4	0.6639515431745275
ATF2	TTLL9	0.7259665748773734
ATF2	PTPN3	0.6009268966916603
CCNT2	LOC389634	0.6047266388565404
CCNT2	C2orf61	0.5310005335539851
CCNT2	TXNDC12	0.5582255567613488
CCNT2	GPATCH8	0.5659756824358451
CCNT2	PNN	0.550815293363613
CCNT2	DIP2B	0.621868235511716
CCNT2	LGALS8	0.7423378475134959
CCNT2	EYS	0.5950673574489298
CCNT2	GSTK1	0.6937033866343327
CCNT2	ZNF284	0.5682315264187743
CCNT2	KCNK13	0.5449542851171167
CCNT2	ANK3	0.5839747412829754
CCNT2	EML1	0.5522643063763786
CCNT2	TM4SF1	0.5565653519469622
CCNT2	C2orf57	0.5692045398652339
CCNT2	RUFY3	0.6214263267977524
CCNT2	SNORA24	0.541026628569865
CCNT2	FAM40B	0.5714182755361614
CCNT2	ROPN1	0.618380839532374
CCNT2	CETP	0.5797733067465707
CCNT2	MACF1	0.5950673574489298
CCNT2	EBI3	0.6014914803979998
CCNT2	RPAP1	0.5827660217236317
CCNT2	SNORD111B	0.7152961336825485
CCNT2	SFRS6	0.6214263267977524
CCNT2	PGBD4	0.6385325564611621
CCNT2	LHPP	0.5360232586287319
CCNT2	SNORD36B	0.6891013582121279
CCNT2	C19orf54	0.5462661856906674
CCNT2	FER1L4	0.5532747170945838
CCNT2	EXOC6B	0.7760534627896689
CCNT2	OSGIN2	0.806762360804393
CCNT2	HARS2	0.5314743534627255
CCNT2	LASS4	0.6452753973203489
CCNT2	MMS19	0.5438657916475584
CCNT2	PCDHB9	0.5407184144767685
CCNT2	ZBTB8B	0.7206786890267591
CCNT2	ATR	0.705946866603425
CCNT2	GPI	0.5789763665721535
CCNT2	SYNM	0.5390370460988492
CCNT2	PIGO	0.629876581316335
CCNT2	SERPINA10	0.5985409359438685
CCNT2	TECR	0.5616532606030669
CCNT2	GRIK3	0.5629389807592218
CCNT2	KIAA1033	0.8196246792640047
CCNT2	SECTM1	0.5946556073026659
CCNT2	PRPF19	0.8205484062270849
CCNT2	ABCC11	0.5709063434651585
CCNT2	CLYBL	0.5880391186957099
CCNT2	MED18	0.6924401983407522
CCNT2	ANKRD9	0.5380969760047973
CCNT2	SULT1C3	0.5556274793252287
CCNT2	ZCWPW1	0.6635374250749715
CCNT2	NIPBL	0.709264438588082
CCNT2	AKAP11	0.6092730691692361
CCNT2	ANKRD7	0.6044002757079254
CCNT2	TIMP4	0.5274454560875248
CCNT2	WARS	0.5932037225055407
CCNT2	SLC2A11	0.6289072130036035
CCNT2	GAB1	0.6392224760635346
CCNT2	C3orf1	0.6627940880273187
CCNT2	CYP7B1	0.6774997957791551
CCNT2	COMMD4	0.5332745774492613
CCNT2	ALDOC	0.53903008596355
CCNT2	C13orf27	0.6790455710677405
