Regulator	Target	MI
ATF1	IFI27L1	0.6817904192745989
ATF1	C19orf21	0.558646955818479
ATF1	GALNT14	0.6305120498995054
ATF1	JRK	0.7542961395191208
ATF1	N6AMT2	0.5312417261437066
ATF1	PALM2-AKAP2	0.5607856508993905
ATF1	C2orf67	0.5970932847739876
ATF1	LACTB	0.7802343860719176
ATF1	CDC23	0.6736399864686802
ATF1	GOLGA5	0.6107137617617848
ATF1	YY2	0.568829536836092
ATF1	CWC22	0.5904671480536221
ATF1	WDR91	0.5834520101983522
ATF1	PMPCA	0.7192326241700102
ATF1	ZNF568	0.5505609123999804
ATF1	PLEKHJ1	0.7332462317787463
ATF1	ZNF561	0.5789763665721539
ATF1	COG2	0.7044527702183943
ATF1	ALG11	0.5591652991377418
ATF1	MED7	0.6835660739357134
ATF1	BSCL2	0.8287409298526449
ATF1	DPM2	0.5857411903675205
ATF1	RFX8	0.6167776665998357
ATF1	MSH2	0.5347110616326334
ATF1	ARMCX6	0.5884068638809472
ATF1	CRAMP1L	0.5340062263151881
ATF1	ALPK3	0.5912180028733482
ATF1	WFDC10A	0.691957611424761
ATF1	TMEM126B	0.5793798601850368
ATF1	UQCRC2	0.5818591945512339
ATF1	CSNK1G1	0.5680295261104704
ATF1	PTGFR	0.6138029778438789
ATF1	ORC3L	0.5880391186957099
ATF1	ABCB5	0.55801708260597
ATF1	MRPL14	0.668581509324806
ATF1	CACNA1H	0.7087417067244752
ATF1	LDHB	0.6308715040824877
ATF1	ODF2L	0.5731347277482111
ATF1	SNORD111	0.6054237613871427
ATF1	ACN9	0.5616532606030669
ATF1	BLOC1S3	0.6288865890947752
ATF1	PSAP	0.5395611926932395
ATF1	ZMAT5	0.546435340710727
ATF1	ZNF549	0.6645948141074052
ATF1	ZC3H18	0.6696888627471766
ATF1	ZNF665	0.6304962167168568
ATF1	ZNF786	0.7337776565545351
ATF1	RIMKLB	0.7114518056236161
ATF1	XRCC6	0.5344406323940158
ATF1	ORC2L	0.5950673574489298
ATF1	ST8SIA1	0.8529598308458439
ATF1	PRG2	0.5456520228263937
ATF1	WDYHV1	0.6000800879612118
ATF1	BTBD12	0.6422432468898247
ATF1	EIF2S1	0.8568599874553557
ATF1	C8orf37	0.5538676338469051
ATF1	FAM111B	0.586752388375686
ATF1	MARCH2	0.5470384666959887
ATF1	TRYX3	0.6218682355117156
ATF1	RNF222	0.743493024804033
ATF1	OGDH	0.6165017927283398
ATF1	ACO1	0.6812986222028496
ATF1	MDM1	0.5428661480709769
ATF1	POM121L12	0.6170915099492937
ATF1	CSRNP2	0.6295683599106185
ATF1	ZCCHC11	0.8216495480760915
ATF1	NUMA1	0.5297252857142296
ATF1	C21orf62	0.6146213743628945
ATF1	HMGB2	0.7032351532427374
ATF1	MRPS10	0.5880391186957099
ATF1	ETFA	0.5491599841659993
ATF1	IKBKAP	0.5542098574316201
ATF1	CHRDL2	0.5506322630807974
ATF1	NXT2	0.5667013006599264
ATF1	LOC342346	0.5916313153043946
ATF1	SCML2	0.7457636438958657
ATF1	UBXN7	0.5561922723787176
ATF1	TNFAIP8L3	0.559024528911372
ATF1	ZNF644	0.7105636891760878
ATF1	EIF2B1	0.726473734613835
ATF1	POLE	0.6319537730535267
ATF1	CSTL1	0.5863156794651214
ATF1	RFC5	0.6051387379056439
ATF1	LYPLA2	0.5739014572633803
ATF1	ZC3H10	0.6279343056955442
ATF1	ABCC1	0.5914573463766373
ATF1	CKAP2L	0.5436763689079913
ATF1	COMMD10	0.5315754007746163
ATF1	ACTL6A	0.6104894446538927
ATF1	CACYBP	0.5313230653273111
ATF1	CCDC117	0.5650252041143284
ATF1	C1QL4	0.712944567350259
ATF1	DDOST	0.6265048943414993
ATF1	RBL2	0.6108023137136023
ATF1	PSMA3	0.5825535099624415
ATF1	TMBIM4	0.5610922726188208
ATF1	G2E3	0.9095439044189528
ATF1	SPOPL	0.562932768406875
ATF1	TMEM9	0.6690043622024922
ATF1	GPR123	0.5880391186957099
ATF1	DCP2	0.5327018731522419
