Regulator	Target	MI
ATF1	TNC	0.6931471805599454
ATF1	AATF	0.6931471805599454
ATF1	CWC27	0.6931471805599454
ATF1	SAT1	0.7062268591527734
ATF1	TTC27	0.6736196808348822
ATF1	LACTB	0.6931471805599454
ATF1	SMCHD1	0.6736196808348822
ATF1	RASGEF1C	0.6880748705821622
ATF1	TCTN1	0.6614736367575897
ATF1	C13orf15	0.6736196808348822
ATF1	RIOK2	0.6931471805599454
ATF1	ZNF326	0.8644359550101104
ATF1	ZNF766	0.6736196808348822
ATF1	CPSF3L	0.8424429846145092
ATF1	SKP1	0.6736196808348822
ATF1	OR2D3	0.901626546895812
ATF1	TIGD5	0.6736196808348822
ATF1	SNRPN	0.7179635047298905
ATF1	ANAPC7	0.6736196808348822
ATF1	SENP3	0.6736196808348822
ATF1	PGM2L1	0.843854759040795
ATF1	TAF6L	1.187904639271418
ATF1	MRPS9	0.9529765183138958
ATF1	WBSCR16	0.6736196808348822
ATF1	HTA	0.6931471805599454
ATF1	USP17L6P	0.7006753111661821
ATF1	C18orf54	0.6736196808348822
ATF1	PLCB1	0.6931471805599454
ATF1	STX1A	0.720690775275691
ATF1	RAPGEF4	0.6864270258618412
ATF1	ZNF473	0.6931471805599454
ATF1	CTF1	0.8521425513325127
ATF1	DNAJC22	0.6931471805599454
ATF1	RNFT1	0.6931471805599454
ATF1	CNN2	0.6863441717180212
ATF1	ADAM28	0.6618442593825078
ATF1	C10orf18	0.6651647863967747
ATF1	EXOSC8	0.6931471805599454
ATF1	TMEM129	0.6931471805599454
ATF1	ANKRD36BP1	0.6736196808348822
ATF1	SLC17A6	0.6736196808348822
ATF1	C15orf63	0.6931471805599454
ATF1	IL12RB2	0.6931471805599454
ATF1	SLC35A4	0.6931471805599454
ATF1	XRCC6	0.6931471805599454
ATF1	RANBP3	0.6931471805599454
ATF1	SLMO1	0.6931471805599454
ATF1	NFYB	0.6931471805599454
ATF1	MRE11A	0.6931471805599454
ATF1	PLEKHA4	0.6931471805599454
ATF1	CABLES2	0.6869797430864599
ATF1	REC8	0.6931471805599454
ATF1	TTC39A	0.6931471805599454
ATF1	C2orf34	0.6931471805599454
ATF1	SELP	0.7800687498625076
ATF1	ATP4A	0.7214470930146852
ATF1	FAM111A	0.6736196808348822
ATF1	PPFIBP1	0.6736196808348822
ATF1	C11orf61	0.663412172090196
ATF1	PCDHB17	0.8718915384260626
ATF1	AGGF1	0.6931471805599454
ATF1	CENPQ	0.8586548695621525
ATF1	INTS8	0.6931471805599454
ATF1	LOC723972	0.7564487437318843
ATF1	NFE2L2	0.6806083233012235
FOXA1	MEI1	0.6990892765082299
FOXA1	RER1	0.8200567392042548
FOXA1	SPRYD5	0.6592753123019981
FOXA1	PDCD6	0.7246955153005845
FOXA1	SNX11	0.820533525274179
FOXA1	PEX11G	0.8577241171598811
ATF2	SUV420H2	0.7737645348563289
