Regulator	Target	MI
ATF1	FKBP2	0.6736371458736943
ATF1	UBA7	0.6928159507038134
ATF1	DOCK9	0.7592062988734569
ATF1	INSIG1	0.8662235394122364
ATF1	LAMA3	0.6822722792195308
ATF1	PTAFR	0.7124529578203695
ATF1	YEATS4	0.770334909978331
ATF1	CHD3	0.851117785843206
ATF1	BRCA2	0.6792435492746867
ATF1	FAM127C	0.8082401215965818
ATF1	ZBTB3	0.7587561260332825
ATF1	PGS1	0.7864164785491825
ATF1	AWAT1	0.7248124075144258
ATF1	CLEC5A	0.751997040399615
ATF1	SLC25A42	0.8256817263887335
ATF1	RPL39	0.6927604067191186
ATF1	SAMD3	0.7288139780244438
ATF1	NAA50	0.6669658472673121
ATF1	FUCA1	0.6684076188877581
ATF1	GDF1	0.7342018284756722
ATF1	KLHL3	0.6947025004477458
ATF1	PNRC1	0.6721888207739632
ATF1	MARCH3	0.6663365019586229
ATF1	TEC	0.7352981102453517
ATF1	GPR161	0.8059327392951832
ATF1	FAM82B	0.7055619475016259
ATF1	NUPL1	0.7158204975219222
ATF1	C7orf26	0.7125463139959534
ATF1	FOXD4L2	0.8570018775088317
ATF1	LY6E	0.6637577097578014
FOXA1	CBR1	0.7252997356340374
FOXA1	GPR17	0.664390172275906
FOXA1	ABCC8	0.7078128938107255
FOXA1	SLC1A1	0.6924332177388481
FOXA1	PTHLH	0.775726339472198
FOXA1	C3orf57	0.7672376737190638
FOXA1	CXCL16	0.7203161240624483
FOXA1	INS	0.6728477014435885
FOXA1	RIMS2	0.6766954111794763
FOXA1	SV2C	0.6873221719037299
FOXA1	CCDC7	0.6594945621811359
FOXA1	PSG6	0.7203161240624483
FOXA1	ANGPTL3	0.70304450352995
ATF2	SNORD116-23	0.6814691961769395
ATF2	ESPN	0.6879577432721691
ATF2	COX7C	0.7785051131268323
ATF2	C5orf23	0.6931471805599454
ATF2	OTUD6B	0.6737327672690139
ATF2	SLC39A6	0.7789835075050418
ATF2	TIMP2	0.6663365019586234
ATF2	LOC401431	0.7644187703483452
ATF2	CCDC71	0.7644187703483452
ATF2	MLXIP	0.7173702482614241
ATF2	ZBTB17	0.8424429846145092
ATF2	KLHDC4	0.9581961601615974
ATF2	TTC7B	0.7858959388095843
ATF2	PRSSL1	0.6826348601106491
ATF2	MTHFS	0.7502153002598635
ATF2	HIPK3	0.7298121302840008
ATF2	NCOR1	0.6736196808348822
ATF2	TSPAN13	0.6826348601106491
ATF2	MSH3	0.6736196808348822
ATF2	C4orf29	0.6736196808348822
ATF2	FAM175B	0.6736196808348822
ATF2	KIAA0125	0.657168146550565
ATF2	MAPKAPK5	0.7095986748263394
ATF2	KDELR3	0.7467317119750683
ATF2	ZNF710	0.7333785727126161
ATF2	CDK13	0.6736196808348822
CCNT2	ABCD4	0.6792435492746867
CCNT2	SETD4	0.7884911345030319
CCNT2	P704P	0.7032090930729158
CCNT2	UBE3C	0.6596540043911028
CCNT2	DPYS	0.6737327672690139
CCNT2	PKD2	0.816931034023265
CCNT2	MED18	0.6931471805599454
CCNT2	CA1	0.6926988233938198
CCNT2	MTP18	0.6640889396139333
CCNT2	UBASH3A	0.7102389316945543
CCNT2	CA14	0.8521425513325127
CCNT2	SNORA31	0.8757625574631369
CCNT2	EMX1	0.7793884032961325
CCNT2	FAM24A	0.7333785727126156
CCNT2	TAP2	0.6676652271628614
CCNT2	DUSP7	0.6627446005742357
CCNT2	C9orf110	0.6676652271628614
CCNT2	ELF1	0.8059327392951832
CCNT2	INTS4L1	0.9088286349968406
CCNT2	ALS2	0.7620303095592522
CCNT2	FAM40A	0.6826348601106491
CCNT2	SLC25A11	0.6663105811696277
CCNT2	NGEF	0.7183323516986824
CCNT2	OAT	0.7102389316945539
CCNT2	PMF1	0.7300681259148125
CCNT2	GLRA2	0.7355694846154721
CCNT2	TUBA3D	0.7058477052304459
CCNT2	ERICH1	0.6736196808348822
CCNT2	KIAA2018	0.6663365019586229
CCNT2	NPHP3	0.6736196808348822
CCNT2	BCO2	0.6663365019586229
CCNT2	N4BP2	0.6736196808348822
CCNT2	SNORA52	0.7800687498625081
CCNT2	CYP4F2	0.687874889128349
CCNT2	NONO	0.7323398812092115
CCNT2	FOXJ3	0.9261537693904498
CCNT2	LIF	0.6641050508119193
CCNT2	FLI1	0.6931471805599454
CCNT2	TMCO1	0.6931471805599454
CCNT2	PAR5	0.7696406774157816
CCNT2	C4orf29	0.8089401984215057
CCNT2	RMST	0.6699251472312873
CCNT2	OGT	0.6736196808348822
SMARCB1	TRPC5	0.663412172090196
SMARCB1	AKNA	0.7821723365713034
SMARCB1	TEX264	0.8026585557692134
SMARCB1	UBE2E3	0.6931471805599454
SMARCB1	GLMN	0.6931471805599454
SMARCB1	FLJ10213	0.672847701443589
SMARCB1	LIG3	0.6792435492746867
SMARCB1	C3orf64	0.6931471805599454
SMARCB1	NGF	0.8874230768073303
SMARCB1	ACRBP	0.6636650104936694
SMARCB1	RPAP3	0.6931471805599454
SMARCB1	GFAP	0.7858959388095843
SMARCB1	PPIP5K2	0.6931471805599454
SMARCB1	RPP21	0.7572196043785038
SMARCB1	CNTNAP5	0.6919362795950761
SMARCB1	BCORL2	0.7783398666724164
SPI1	LRRC14B	1.3727438874207367
SPI1	GAGE8	1.3727438874207367
SPI1	LOC284578	1.753748986172401
SPI1	SPINT4	1.3727438874207367
SPI1	FLJ12825	1.3727438874207367
SPI1	OR4Q3	1.223448083366173
SPI1	NBLA00301	1.3727438874207367
SPI1	ISLR	1.3727438874207367
SPI1	NDST4	1.2477123872408735
SPI1	PWWP2A	1.3727438874207367
SPI1	C14orf70	1.3727438874207367
SPI1	HDGFRP2	1.3727438874207367
SPI1	OR4P4	1.3727438874207367
SPI1	LOC284100	0.9529765183138958
SPI1	ISL1	1.223448083366173
SPI1	SCO1	1.3727438874207367
SPI1	SCGB1C1	0.7140497212471573
SPI1	C14orf86	1.3727438874207367
SPI1	LOC100128292	0.6736196808348822
SPI1	LOC643719	1.3727438874207367
SPI1	TPRG1L	1.3727438874207367
SPI1	PLA2G5	1.1798824526346725
SPI1	ADAM5P	1.3727438874207367
SPI1	TEX28	0.7858959388095843
SPI1	KCNQ1OT1	1.753748986172401
SPI1	AFMID	1.3727438874207367
SPI1	KRTAP5-11	0.7858959388095843
SPI1	LOC146481	1.3727438874207367
SPI1	LOC100132354	1.223448083366173
SPI1	PRPF38B	0.7681372701645772
SPI1	BTBD17	1.3727438874207367
SPI1	TIPARP	1.3727438874207367
SPI1	OR4N5	0.6736196808348822
SPI1	IL31RA	1.3727438874207367
SPI1	OR4N2	0.6736196808348822
