Regulator	Target	MI
ATF1	ZNF473	0.6931471805599454
ATF1	ZNF570	0.6931471805599454
ATF1	PIK3R4	0.6736196808348822
ATF1	ZNF2	0.6594945621811359
ATF1	PPP1R9A	0.7371331213511478
ATF1	SMC4	0.6736196808348822
ATF1	PCSK4	0.8059327392951832
ATF1	LOC541471	0.7827909130932338
ATF1	RNFT1	0.6931471805599454
ATF1	KATNA1	0.6736196808348822
ATF1	EXOSC8	0.6931471805599454
ATF1	TMEM129	0.8424429846145092
ATF1	INPP5J	0.6717194195263874
ATF1	TDH	0.771002764407283
ATF1	PCDHAC2	0.8576161780587483
ATF1	ZNF442	0.6676652271628614
ATF1	CCL25	0.6736196808348822
ATF1	SLC35A4	0.6931471805599454
ATF1	GLRX5	0.6931471805599454
ATF1	SECISBP2L	0.6736196808348822
ATF1	MRE11A	0.6931471805599454
ATF1	PARP15	0.6763115594698355
ATF1	RAB11B	0.7776507892417812
ATF1	TAF6L	0.6931471805599454
ATF1	CDK7	0.6931471805599454
ATF1	MTCP1	0.6689191399570786
ATF1	MANSC1	0.7553317007937452
ATF1	TLN1	0.6736196808348822
ATF1	INTS8	0.6736196808348822
ATF1	KBTBD8	0.7417181032093194
FOXA1	KDM5A	0.6825643236726417
FOXA1	FZD3	0.6663365019586234
FOXA1	HDAC10	0.6881203427094738
FOXA1	LOC143666	0.7099675217951313
FOXA1	LMTK2	0.6792435492746862
FOXA1	MUL1	0.901626546895812
FOXA1	C19orf22	0.7737645348563289
FOXA1	TRDN	0.7158204975219222
FOXA1	ASXL1	0.7761977308254342
FOXA1	LOC349114	0.7130063319564401
FOXA1	PRPF18	0.7125463139959529
FOXA1	GOLGA6D	0.6990892765082299
FOXA1	ABL2	0.6663365019586229
FOXA1	ADAM7	0.6763115594698355
ATF2	ERO1LB	0.6614736367575897
ATF2	UBE3C	0.6834249969815085
ATF2	CHD9	0.7670493485709908
ATF2	ZWILCH	0.7547841309021255
ATF2	C13orf23	0.7050907305800003
ATF2	MRGPRF	0.6860854890521728
ATF2	SNORD49A	0.8874230768073303
ATF2	POLB	0.7502153002598635
ATF2	TCL1B	0.7721914625281037
ATF2	ZC3H7A	0.7721914625281037
ATF2	TTTY17B	0.8082401215965818
ATF2	ZNF442	0.9095347634499031
ATF2	TSFM	0.8453017302997003
ATF2	SLC34A1	0.8961816241874514
ATF2	HUNK	0.8256817263887335
ATF2	TBR1	0.7113423760381319
ATF2	LOC728640	0.7645609826156505
ATF2	CLK2P	0.7113423760381323
ATF2	RNF169	0.9993462343944151
ATF2	AGAP6	0.9263945730011014
ATF2	RASA2	0.7902917335403461
ATF2	ZNF439	0.6640889396139333
ATF2	CCDC43	0.7547841309021255
ATF2	VDAC1	0.6736266038240077
ATF2	ZNF358	0.7747391866069302
ATF2	ARMS2	0.6736196808348822
ATF2	tAKR	0.7573806148788305
ATF2	HSP90AB4P	0.8089401984215057
ATF2	RABGAP1	0.7902917335403461
ATF2	SLC24A3	0.6860854890521728
ATF2	CUL5	0.7547841309021255
ATF2	GOSR1	0.7902917335403461
ATF2	PLD5	0.7747391866069302
ATF2	KIAA1012	1.0648996759009806
ATF2	ZNF25	0.7333785727126156
ATF2	TAF5L	0.7246955153005845
ATF2	CRYZ	0.7192169556908841
ATF2	PURA	0.7902917335403461
ATF2	HECTD1	0.8976263657559231
ATF2	DDRGK1	0.7681372701645772
ATF2	ZMAT3	0.6737327672690139
ATF2	DHX36	0.6717194195263869
ATF2	HEATR6	0.6717194195263869
ATF2	MFAP3L	0.7547841309021255
ATF2	KLHL29	0.6697997030734189
ATF2	LOC440461	0.7129192018406063
ATF2	TMEM132C	0.8089401984215061
ATF2	ZBTB17	0.7569350009236606
ATF2	ACD	0.7564487437318839
ATF2	MLL4	0.7050907305800003
ATF2	BAD	0.6699251472312873
ATF2	SPDYC	0.6737327672690139
ATF2	INTS2	0.7696406774157816
ATF2	TRAPPC5	0.6968598361138039
ATF2	CCK	0.6737327672690139
ATF2	PXDNL	0.7598466035585121
ATF2	MGAT4C	0.6699251472312873
ATF2	PDCL2	0.7333785727126156
ATF2	SLC25A31	0.8671121842803009
ATF2	ACBD3	0.7433395297781198
ATF2	SPG20	0.7046103654674374
CCNT2	ITSN2	0.7729925554650348
CCNT2	AHCTF1	0.7510656310858925
CCNT2	C19orf21	0.7417181032093194
CCNT2	ZNF570	0.7492451628877212
CCNT2	PCDH11Y	0.6772797145352332
CCNT2	RNPEPL1	0.6792435492746867
CCNT2	MCM9	0.6826348601106491
CCNT2	EFCAB5	0.710130121232436
CCNT2	TRIAP1	0.663412172090196
CCNT2	RPSAP9	0.7422813224657014
CCNT2	THBD	0.6931471805599454
CCNT2	PNP	0.6736196808348822
CCNT2	EME2	0.7208486892132195
CCNT2	C11orf92	0.7417181032093194
CCNT2	CIR1	0.6736196808348822
CCNT2	CCDC55	0.6736196808348822
CCNT2	CLCC1	0.7046103654674374
CCNT2	NSUN6	0.6736196808348822
CCNT2	TMEM170B	0.6822722792195308
CCNT2	UTP18	0.6736196808348822
CCNT2	PIGC	0.6826348601106491
CCNT2	PPM1B	0.8987142873495095
CCNT2	SLC7A7	0.8074824900346846
CCNT2	VSNL1	0.7048195557767287
CCNT2	C9orf79	0.6904326372477203
CCNT2	PIK3C3	0.7737645348563289
CCNT2	LYG2	0.7409855566047345
CCNT2	CCDC83	0.6736196808348822
CCNT2	RABL5	0.7759605940921848
CCNT2	LPPR1	0.7246955153005845
CCNT2	MCPH1	0.6736196808348822
CCNT2	SDCCAG3	0.6931471805599454
CCNT2	HKR1	0.6736196808348822
CCNT2	NUFIP2	0.6931471805599454
CCNT2	UMOD	0.7417181032093194
CCNT2	MRO	0.7964680841086174
CCNT2	RTDR1	0.687874889128349
CCNT2	ZNF8	0.7502153002598635
CCNT2	RGAG1	0.8424429846145092
CCNT2	BAG5	0.7214470930146852
CCNT2	C14orf156	0.7257955550331348
CCNT2	SFRS5	0.6736196808348822
CCNT2	FIP1L1	0.7737645348563289
CCNT2	RBBP4	0.6931471805599454
CCNT2	TPR	0.7130676801855858
CCNT2	PIBF1	0.7737645348563289
CCNT2	MON2	0.7233736875458274
CCNT2	TOR1A	0.7129192018406063
CCNT2	ZNF141	0.6736196808348822
CCNT2	PTCH2	0.6931471805599454
CCNT2	PDZK1IP1	0.7795883847499452
CCNT2	SNORA48	0.7884911345030314
CCNT2	ERCC5	1.0386088352168543
CCNT2	LOC441666	0.8521425513325127
CCNT2	MANSC1	0.687874889128349
CCNT2	ZNF259	0.6736196808348822
CCNT2	ULBP1	0.6736196808348822
CCNT2	PICALM	0.7761977308254342
SMARCB1	PFKFB2	0.6832782864937395
SMARCB1	LOC375190	0.7046103654674374
SMARCB1	AKNA	0.7696406774157816
SMARCB1	PCDHGB2	0.7655947618822072
SMARCB1	CLRN1OS	0.7357927753704718
SMARCB1	HTT	0.6967769819699843
SMARCB1	ISM1	0.7352981102453517
SMARCB1	TTL	0.7696406774157816
SMARCB1	RASGRP4	0.7547841309021255
SMARCB1	SIX5	0.8805407928642244
SMARCB1	TNN	0.8215130937502497
SMARCB1	SLC16A7	0.7854581686040971
SMARCB1	C14orf138	0.8005485079045167
SMARCB1	SNORD70	0.7103816057950834
SMARCB1	PCID2	0.7854581686040976
SMARCB1	PMM1	0.7918372083078347
SMARCB1	RNF24	0.8005485079045167
SMARCB1	PLEKHG6	0.7020270705575316
SMARCB1	HINFP	0.9095347634499031
SMARCB1	CDC16	0.8005485079045167
SMARCB1	ZG16	0.6836755623663304
SMARCB1	LIMS3-LOC440895	0.6958818359280947
SMARCB1	BLZF1	0.934696203472154
SMARCB1	ITGB3BP	0.7050907305800003
SPI1	LOC284578	1.753748986172401
SPI1	SPINT4	1.2800273066561187
SPI1	NBLA00301	1.753748986172401
SPI1	CRHBP	1.3727438874207367
SPI1	ISLR	1.2800273066561187
SPI1	RAVER1	0.6737327672690139
SPI1	NDST4	1.568909738023082
SPI1	PWWP2A	1.568909738023082
SPI1	CXADR	0.9082129356951456
SPI1	ESX1	0.899022207904455
SPI1	HDGFRP2	1.3727438874207367
SPI1	LOC284100	0.7858959388095843
SPI1	ISL1	1.3727438874207367
SPI1	SPINT1	0.7858959388095843
SPI1	OPTC	1.3727438874207367
SPI1	C14orf86	1.3727438874207367
SPI1	LOC100128292	0.6736196808348822
SPI1	NOBOX	0.9544799255651002
SPI1	LOC643719	1.2800273066561187
SPI1	PLA2G5	0.7858959388095843
SPI1	ADAM5P	1.568909738023082
SPI1	TEX28	1.568909738023082
SPI1	EPB41L5	0.7555863425837308
SPI1	SCGB1D2	1.753748986172401
SPI1	SCGB1D4	1.3727438874207367
SPI1	LOC146481	1.568909738023082
SPI1	BTBD17	1.2800273066561187
SPI1	TIPARP	1.568909738023082
SPI1	OR4N5	0.899022207904455
SPI1	IL31RA	1.2800273066561187
SPI1	OR4N2	0.899022207904455
SPI1	NBPF22P	1.2800273066561187
SPI1	SFTA3	1.2800273066561187
SPI1	LOC440173	1.2800273066561187
SPI1	DPYS	0.6736196808348822
SPI1	CSDAP1	1.753748986172401
SPI1	LOC92973	0.9544799255651002
SPI1	HOXC13	1.2800273066561187
SPI1	SNX11	0.7687421474094815
SPI1	FRG2C	1.3727438874207367
SPI1	HOXC12	1.2800273066561187
SPI1	ANXA8L2	1.2800273066561187
SPI1	MMP21	0.899022207904455
SPI1	GGTLC1	0.7563410875437433
SPI1	TCP11L2	0.7858959388095843
SPI1	POM121L1P	1.568909738023082
SPI1	CHST9	1.3727438874207367
SPI1	ZNF483	0.9082129356951456
SPI1	KCND2	0.9082129356951456
SPI1	OR7E91P	0.899022207904455
SPI1	TEX15	1.3727438874207367
SPI1	WNT9A	0.6737327672690139
SPI1	SLC39A14	0.6737327672690139
SPI1	TEX19	0.9595784347562488
SPI1	SLC7A4	0.7741452732270124
SPI1	MMP11	0.899022207904455
SPI1	TMEFF1	1.2800273066561187
SPI1	MMP14	0.9082129356951456
SPI1	MMP13	1.3727438874207367
SPI1	OR52A4	1.2800273066561187
SPI1	PTRH1	0.9082129356951456
SPI1	NUP62CL	0.6736196808348822
SPI1	OR52A5	0.9422547931057736
SPI1	KRTAP25-1	1.2800273066561187
SPI1	SAMD7	0.7789835075050418
SPI1	KCNA1	1.3727438874207367
SPI1	WRB	0.899022207904455
SPI1	CRCT1	1.2800273066561187
SPI1	MYADML	0.9082129356951456
SPI1	KCNA4	0.9082129356951456
SPI1	LOC285401	1.2800273066561187
SPI1	WNT8B	0.9082129356951456
SPI1	KCNA7	0.7858959388095843
SPI1	LOC284551	1.3727438874207367
SPI1	SLC7A1	0.9544799255651002
SPI1	OR4S2	1.2800273066561187
SPI1	LOC643763	1.2800273066561187
SPI1	AGR3	1.3727438874207367
SPI1	MBD3	1.2800273066561187
SPI1	MBD4	1.568909738023082
SPI1	ODAM	0.9544799255651002
SPI1	KCNB2	0.9082129356951456
SPI1	MBD1	0.9544799255651002
SPI1	BBOX1	0.9544799255651002
SPI1	UNCX	1.2800273066561187
SPI1	KIR3DL3	1.3727438874207367
SPI1	LOC100130148	1.3727438874207367
SPI1	SHKBP1	1.2989781229439248
SPI1	OCM	0.9082129356951456
SPI1	LOC257358	1.1798824526346725
SPI1	REG1B	1.3727438874207367
SPI1	MSI1	1.568909738023082
SPI1	C21orf15	1.2800273066561187
SPI1	POTEH	1.1798824526346725
SPI1	POTED	1.753748986172401
SPI1	POTEA	1.3727438874207367
SPI1	POTEB	1.3727438874207367
SPI1	POTEC	1.1798824526346725
SPI1	IFNA14	1.3727438874207367
SPI1	KCNH5	1.3727438874207367
SPI1	OR14C36	0.9544799255651002
SPI1	IFNA16	1.2800273066561187
SPI1	LOC255167	1.568909738023082
SPI1	FBXO16	0.9544799255651002
SPI1	FBXO17	0.9544799255651002
SPI1	UGT2B15	0.9544799255651002
SPI1	CNPY2	1.223448083366173
SPI1	SDCBP2	1.2800273066561187
SPI1	OR4X1	1.753748986172401
SPI1	OR51T1	1.2800273066561187
SPI1	LY6D	1.568909738023082
SPI1	SMS	1.3727438874207367
SPI1	PKP1	0.9082129356951456
SPI1	LOC401463	0.9082129356951456
SPI1	LY6H	1.2800273066561187
SPI1	IFNA10	1.568909738023082
SPI1	GRIA1	0.7858959388095843
SPI1	SHC4	0.7433395297781198
SPI1	SPATA9	1.3727438874207367
SPI1	GRIA2	1.3727438874207367
SPI1	LCN9	1.3727438874207367
SPI1	REG3A	1.2800273066561187
SPI1	LOC285847	0.8005485079045167
SPI1	KCNE4	0.9082129356951456
SPI1	C6orf25	1.1798824526346725
SPI1	REG3G	1.2800273066561187
SPI1	OR51S1	1.2800273066561187
SPI1	KHDC1	0.7789835075050418
SPI1	SMYD2	1.2800273066561187
SPI1	ZKSCAN2	1.2800273066561187
SPI1	KRTAP4-2	1.2800273066561187
SPI1	PGK2	0.899022207904455
SPI1	ZKSCAN1	1.2800273066561187
SPI1	IFNA21	1.223448083366173
SPI1	KCNF1	0.9082129356951456
SPI1	KRTAP4-9	1.568909738023082
SPI1	HTR1E	0.899022207904455
SPI1	KRTAP4-8	1.753748986172401
SPI1	ODF1	0.9544799255651002
SPI1	AGXT2	0.9082129356951456
SPI1	ODF3	1.3727438874207367
SPI1	KRTAP4-5	1.2800273066561187
SPI1	C14orf19	0.6737327672690139
SPI1	HTR1A	0.9544799255651002
SPI1	TMPRSS12	1.2800273066561187
SPI1	G6PC3	0.7858959388095843
SPI1	LOC100128675	1.2800273066561187
SPI1	TBXAS1	1.2800273066561187
SPI1	LCN1	1.2800273066561187
SPI1	LCN6	0.899022207904455
SPI1	SP9	0.6736196808348822
SPI1	LOC55908	0.7161349592686173
SPI1	OR7E24	1.2800273066561187
SPI1	TRIM71	0.899022207904455
SPI1	BCAR4	0.8970324523760058
SPI1	PIWIL3	1.2800273066561187
SPI1	KCNK9	0.7655947618822063
SPI1	ONECUT3	1.3727438874207367
SPI1	HTR2C	1.3727438874207367
SPI1	LOC644669	1.3727438874207367
SPI1	C14orf28	1.2800273066561187
SPI1	C14orf34	1.3727438874207367
SPI1	TRIM68	1.753748986172401
SPI1	UGT2A3	1.2800273066561187
SPI1	UGT2A1	0.899022207904455
SPI1	TRIM64	0.9544799255651002
SPI1	NKX3-2	1.2800273066561187
SPI1	OR7A17	1.3727438874207367
SPI1	TRIM67	0.9595784347562488
SPI1	SLC36A3	0.9095347634499031
SPI1	TRIM63	1.2800273066561187
SPI1	TFIP11	1.2800273066561187
SPI1	ADAMTS20	0.9544799255651002
SPI1	LOC100130522	1.568909738023082
SPI1	HAND2	1.3727438874207367
SPI1	SMCR5	1.3727438874207367
SPI1	SPACA3	1.3727438874207367
SPI1	BPI	1.3727438874207367
SPI1	SPACA4	0.7789835075050418
SPI1	OR56A4	1.1798824526346725
SPI1	OR56A3	1.3727438874207367
SPI1	OR56A1	0.9082129356951456
SPI1	TRIM50	1.2800273066561187
SPI1	PRKAA2	0.9082129356951456
SPI1	TRIM52	1.568909738023082
SPI1	C1S	0.7858959388095843
