Regulator	Target	MI
ATF1	MPP3	0.7587561260332825
ATF1	SEC24A	0.6736196808348822
ATF1	SACM1L	0.7299879187881047
ATF1	C1GALT1	0.7564487437318839
ATF1	NCRNA00171	0.6736196808348822
ATF1	MAPKSP1	0.7046103654674374
ATF1	MRPL4	0.6860854890521728
ATF1	TAF6L	0.7737645348563289
ATF1	COQ2	0.6736196808348822
ATF1	IMPA2	0.7052253229288064
ATF1	CYP1A2	0.6663365019586229
ATF1	ARL6IP4	0.6736196808348822
ATF1	KIF2C	0.8082401215965813
ATF1	UTRN	0.6736196808348822
ATF1	DNASE1L3	0.8970131361338414
ATF1	C1orf105	0.7696406774157816
ATF1	LRRCC1	0.6931471805599454
FOXA1	CD83	0.7510656310858925
FOXA1	SLC2A4	0.7352981102453517
FOXA1	SLC4A4	0.7884911345030319
FOXA1	TMEM92	0.7101301212324369
FOXA1	NFU1	0.7380714936719199
FOXA1	KIAA0415	0.7102129753762565
FOXA1	PPP2R1A	0.7693204114246361
FOXA1	ANPEP	0.6737327672690139
FOXA1	RB1CC1	0.871891538426063
FOXA1	TRIM2	0.6774420788763855
FOXA1	SNORD98	0.8005485079045167
FOXA1	CEP97	0.8224075428627633
FOXA1	GAL3ST3	0.7743237132368499
FOXA1	MNX1	0.7011729462393292
FOXA1	RGS6	0.901626546895812
FOXA1	SH3GL2	0.6684076188877577
FOXA1	HERC6	0.6869797430864599
FOXA1	OR52I2	0.7125463139959529
FOXA1	MEF2B	0.8906737242950418
FOXA1	FBXO2	0.8224075428627633
FOXA1	CSGALNACT2	0.6968598361138039
FOXA1	EGOT	0.7864164785491825
FOXA1	TEX11	0.9643111625007226
FOXA1	FAAH2	0.7510656310858925
FOXA1	IL16	0.7785051131268323
FOXA1	THNSL1	0.6860129418618883
FOXA1	HLA-G	0.8224075428627637
FOXA1	ARFGAP2	0.7693204114246361
FOXA1	DCTD	0.7587561260332825
FOXA1	PYGO1	0.7352981102453517
FOXA1	UGDH	0.6736266038240077
FOXA1	TBC1D2	0.7191150682178913
FOXA1	DUSP21	0.6967769819699843
FOXA1	SNORD46	0.8642574794709708
FOXA1	RHOJ	0.7111797766008272
FOXA1	COL4A6	1.2060714058458064
FOXA1	CD226	0.7331895551237895
FOXA1	GAS6	0.7299153715978202
FOXA1	EIF1B	0.7446355100886213
FOXA1	PPP1R12C	0.6839864050524627
FOXA1	ZCCHC7	1.113300399841167
FOXA1	KHDRBS2	0.7102129753762565
FOXA1	HIST1H2BJ	0.6772797145352323
FOXA1	RPN2	0.9204087327647912
FOXA1	TRMT2A	0.7768270761341229
FOXA1	UQCR10	0.7125463139959529
FOXA1	ADCY8	0.7506201960509538
FOXA1	SBSN	0.7167259505173473
FOXA1	GABARAP	1.1535562200396985
FOXA1	PRICKLE4	0.7160437882769224
FOXA1	JAKMIP2	0.6923259355491669
FOXA1	SAV1	0.7187966056132589
FOXA1	PGS1	0.6736266038240073
FOXA1	REM1	0.7111797766008272
FOXA1	PPP3R1	0.7718721285624852
FOXA1	INPP5F	0.7768270761341229
FOXA1	MED30	0.7113423760381319
FOXA1	ZNRF4	0.6621076398356673
FOXA1	SCFD2	0.8026585557692134
FOXA1	MIER2	0.8757625574631369
FOXA1	BID	0.7101301212324365
FOXA1	ZSWIM4	0.7352615640605271
FOXA1	LRRC4B	0.7644187703483452
FOXA1	MICB	0.7377124918234399
FOXA1	MPZL2	0.7145811676532543
FOXA1	RANBP1	0.6640889396139333
FOXA1	NDUFA7	0.7506201960509538
FOXA1	LOC285456	0.80629466327485
FOXA1	ELL2	0.6879577432721691
FOXA1	SH3BP5L	0.8099941297619093
FOXA1	SH3D20	0.8090886767664851
FOXA1	TMEM11	0.7693204114246361
FOXA1	LCN2	0.7894579357276026
FOXA1	ZNF536	0.7737645348563289
FOXA1	ATG2B	0.7006753111661821
ATF2	MDC1	0.6931471805599454
ATF2	SMARCAL1	0.7233736875458274
ATF2	HDAC10	0.7564487437318843
ATF2	PGAP3	0.7078966193155316
ATF2	MT1M	0.825681726388733
ATF2	PREP	0.6931471805599454
ATF2	CBLC	0.8208356292971368
ATF2	DCAF7	0.9422547931057736
ATF2	GLDN	0.687874889128349
ATF2	HS6ST2	0.7572182505376777
ATF2	VPREB3	0.6931471805599454
ATF2	SNRPD2	1.0653800410135434
ATF2	UBASH3B	0.9583195535492646
ATF2	OGFOD1	1.0386088352168543
ATF2	LIPG	0.991738788669073
ATF2	PSMD3	0.8224075428627633
ATF2	FAM53A	0.8026585557692134
ATF2	LOC100130274	0.6754531591796202
ATF2	C6orf225	0.820125707351901
ATF2	RPS13	0.7125463139959529
ATF2	ZNF167	0.8927707975424748
ATF2	CHIA	0.7555863425837308
ATF2	EPHA7	0.729488098531069
ATF2	KCTD19	0.6736196808348822
ATF2	ZNF19	0.8927707975424748
ATF2	ACOT7	0.8927707975424743
ATF2	LMAN1L	1.0580595117796197
ATF2	NGDN	0.6670603499179575
ATF2	LDOC1	0.9015186077946802
ATF2	WDR72	0.7817792966528021
ATF2	YOD1	0.6736196808348822
ATF2	HDHD2	0.8090886767664847
ATF2	MED7	0.6931471805599454
ATF2	BTC	0.7380714936719199
ATF2	SLC5A7	0.9255540517660821
ATF2	MTHFD1	0.997990434127205
ATF2	TCERG1L	0.8082401215965818
ATF2	IL23A	0.7161349592686168
