Regulator	Target	MI
ATF1	RACGAP1	0.8005485079045167
ATF1	ORC3L	0.6737327672690139
ATF1	ZNF676	0.7417181032093199
ATF1	JAK3	0.7050907305800003
ATF1	ZNF662	0.6737327672690139
FOXA1	LRRC48	0.663412172090196
FOXA1	POLA2	0.6660541281942138
FOXA1	GPR137C	0.8233472690243624
ATF2	SDCCAG3	0.7696406774157816
ATF2	SNORD115-8	0.7697537638499128
ATF2	SYNM	0.8889631775047482
ATF2	PARG	0.7737645348563289
ATF2	DCUN1D4	0.721041050748533
ATF2	RPL11	0.766121697220139
ATF2	IDE	0.7164589910215478
ATF2	ZFP82	0.7113423760381319
ATF2	SCAMP4	0.6663365019586229
ATF2	MED10	0.7696406774157816
ATF2	OSTCL	0.7697537638499128
ATF2	C9orf64	0.7467317119750683
ATF2	HEATR6	0.7498569553228354
ATF2	CLCA4	0.7681372701645772
ATF2	ATG5	0.7084681554197894
ATF2	ZBTB17	0.813212534207032
ATF2	TRIM40	0.7858959388095843
ATF2	LSAMP	0.7349950663979516
ATF2	MTERFD3	0.7019796083245593
ATF2	ZBTB10	0.6736196808348822
ATF2	DEFB132	0.7697537638499128
ATF2	DAZL	0.6860854890521728
ATF2	LATS2	0.6736196808348822
ATF2	POLR3A	0.7458531596110052
ATF2	APC	0.7409855566047345
ATF2	DPPA2	0.724881375662072
ATF2	ANP32D	0.6881203427094738
ATF2	VGLL2	0.8960449810684445
ATF2	ZNF774	0.6912572262049856
ATF2	C9orf72	0.7697537638499128
CCNT2	C6orf141	0.6931471805599454
CCNT2	EIF4A2	0.6931471805599454
CCNT2	ITSN2	0.6931471805599454
CCNT2	DENND4C	0.6931471805599454
CCNT2	TICAM1	0.6736196808348822
CCNT2	UACA	0.8424429846145092
CCNT2	UTF1	0.6931471805599454
CCNT2	WDR46	0.7737645348563289
CCNT2	ZFHX4	0.8424429846145092
CCNT2	LMF2	0.6736266038240073
CCNT2	MED18	0.6931471805599454
CCNT2	KLC2	0.6736196808348822
CCNT2	CAPN7	0.6931471805599454
CCNT2	FAM73A	0.6931471805599454
CCNT2	FBXL3	0.6931471805599454
CCNT2	NOL10	0.6792435492746862
CCNT2	ZNF599	0.8424429846145092
SMARCB1	C9orf152	0.6717194195263874
SMARCB1	IFNA7	0.6736196808348822
SMARCB1	TNN	0.7902917335403461
SMARCB1	C14orf162	0.6736196808348822
SMARCB1	POLR3D	0.7737645348563289
SMARCB1	ITPR1	0.6736196808348822
SMARCB1	KIAA1919	0.6736196808348822
SMARCB1	TTPAL	0.8487595573444255
SPI1	LRRC14B	1.3727438874207367
SPI1	PWWP2B	1.753748986172401
SPI1	GAGE8	1.3727438874207367
SPI1	LOC284578	1.753748986172401
SPI1	SPINT4	1.753748986172401
SPI1	FLJ12825	1.753748986172401
SPI1	OR4Q3	1.3727438874207367
SPI1	NBLA00301	1.753748986172401
SPI1	NDST4	1.1798824526346725
SPI1	PWWP2A	1.753748986172401
SPI1	C14orf70	1.753748986172401
SPI1	FAM19A5	0.6737327672690139
SPI1	TTTY17A	0.899022207904455
SPI1	CXADR	0.9082129356951456
SPI1	ESX1	0.899022207904455
SPI1	HDGFRP2	1.3727438874207367
SPI1	OR4P4	1.753748986172401
SPI1	ISL1	1.3727438874207367
SPI1	SCO1	1.3727438874207367
SPI1	SPINT1	1.1798824526346725
SPI1	OPTC	1.753748986172401
SPI1	C14orf86	1.3727438874207367
SPI1	LOC100128292	0.6736196808348822
SPI1	NOBOX	1.753748986172401
SPI1	LOC643719	1.753748986172401
SPI1	LYPD1	0.6737327672690139
SPI1	TPRG1L	1.3727438874207367
SPI1	PLA2G5	1.1798824526346725
SPI1	ADAM5P	1.3727438874207367
SPI1	SCGB1D2	1.3727438874207367
SPI1	KCNQ1OT1	1.753748986172401
SPI1	SCGB1D4	1.753748986172401
SPI1	LOC146481	1.753748986172401
SPI1	LOC100132354	1.3727438874207367
SPI1	BTBD17	1.753748986172401
SPI1	TIPARP	1.753748986172401
SPI1	OR4N5	0.899022207904455
SPI1	IL31RA	1.753748986172401
SPI1	OR4N2	0.899022207904455
SPI1	NBPF22P	1.753748986172401
SPI1	DLX6AS	0.9991670619259012
SPI1	SFTA2	1.3727438874207367
SPI1	LOC440173	1.3727438874207367
SPI1	CSDAP1	1.3727438874207367
SPI1	FRG2B	1.3727438874207367
SPI1	HOXC13	1.753748986172401
SPI1	FRG2C	1.3727438874207367
SPI1	HOXC12	1.753748986172401
SPI1	ANXA8L2	1.3727438874207367
SPI1	MMP21	0.899022207904455
SPI1	MMP27	1.753748986172401
SPI1	OR52B4	0.6737327672690139
SPI1	TCP11L2	1.1798824526346725
SPI1	CSN1S1	0.8521425513325127
SPI1	POM121L1P	1.753748986172401
SPI1	SULT1C4	0.9544799255651002
SPI1	CHST9	1.3727438874207367
SPI1	ZNF483	0.9082129356951456
SPI1	TEX15	1.3727438874207367
SPI1	MMP11	0.899022207904455
SPI1	SLC7A5	1.3727438874207367
SPI1	TMEFF1	1.753748986172401
SPI1	PLSCR5	1.753748986172401
