Regulator	Target	MI
ATF1	NPB	0.6895236052096569
ATF1	CD81	0.7102389316945539
ATF1	SFRS17A	0.8026585557692139
ATF1	COX7A2	0.7114030673558269
ATF1	YEATS4	0.6580115543874685
ATF1	MRPL13	0.6863441717180212
ATF1	ART3	0.6745217498658969
ATF1	PSMA7	0.7564487437318843
ATF1	ARVCF	0.7046103654674374
ATF1	TAF1C	0.7167602236835209
ATF1	WBP2NL	0.7102389316945543
ATF1	CLPTM1	0.7564487437318839
ATF1	CA8	0.7102389316945543
ATF1	SLC25A23	0.7564487437318843
ATF1	SRRM3	0.8465609855051452
ATF1	TM4SF18	0.6736196808348822
ATF1	PRPF38A	0.8026585557692139
ATF1	TRAPPC4	0.7564487437318843
ATF1	MRPS2	0.8003511734678153
ATF1	C14orf180	0.7863266613983138
ATF1	HDHD2	0.8026585557692139
ATF1	CNKSR2	0.7840031678989292
ATF1	PDCL2	0.7299879187881047
ATF1	NDUFS7	0.891431570306473
ATF1	LCOR	0.7565399147235792
ATF1	RAD17	0.8104749567076959
ATF1	SPINK13	0.8059327392951832
ATF1	WFDC10B	0.8026585557692139
ATF1	FCGR2C	0.6594755288519627
FOXA1	ZNF221	0.6640994816636203
FOXA1	DYNC1I2	0.7214087789726502
FOXA1	SLC10A6	0.673662230831007
FOXA1	TMSL3	0.6822722792195308
FOXA1	ITGB4	0.7603076924468342
FOXA1	LMO3	0.6640994816636203
FOXA1	MMP2	0.6963615441292061
FOXA1	EMR1	0.8692677442902328
FOXA1	ITSN1	0.8529120581383061
FOXA1	PELI2	0.8767009297839086
FOXA1	FN1	0.729488098531069
FOXA1	LRMP	0.6931471805599454
FOXA1	LILRA1	0.6672762281202216
FOXA1	SPPL3	0.7125463139959529
FOXA1	PTK2	0.6879577432721691
FOXA1	FMNL2	0.7129964868361278
FOXA1	C15orf60	0.7035403229290478
FOXA1	SGK494	0.7417181032093199
FOXA1	CDH12	0.7011729462393292
FOXA1	TXNDC2	0.7028026289914635
FOXA1	ZNF579	0.7254643251770028
FOXA1	RAB28	0.7120749226427172
FOXA1	STX2	0.6954475998542953
FOXA1	SGK2	0.7380714936719199
ATF2	C12orf59	0.6729910324555686
ATF2	SMAD5OS	1.0386088352168543
ATF2	C19orf20	0.9871253779071023
ATF2	CERK	0.7737645348563289
ATF2	KLHDC7A	0.7520442881830531
ATF2	ZDHHC7	0.7990717661885229
ATF2	RXFP1	0.903933929197211
ATF2	RPL7	0.9122009125036294
ATF2	SNORD116-18	1.0498099935120124
ATF2	C2orf69	0.677442078876386
ATF2	RPL36AL	0.7300681259148125
ATF2	C6orf108	0.7101363873101101
ATF2	SNORD99	0.8224075428627633
ATF2	ARFIP1	0.6736196808348822
ATF2	GJA9	0.8424429846145092
ATF2	FAM19A3	0.7957095811857346
ATF2	ZNF167	0.697028701628783
ATF2	SNORD90	0.7564487437318843
ATF2	COG6	0.71796350472989
ATF2	RPL21	1.0898217139702457
ATF2	ZNF282	1.0483084019348579
ATF2	HNF1B	0.7957095811857346
ATF2	UNC93A	0.7957095811857346
ATF2	HDHD2	0.7510656310858925
ATF2	LRRC37B	0.947836358933142
ATF2	IFT88	0.843854759040795
ATF2	SNORD116-26	0.8960449810684445
ATF2	KRTAP4-12	0.7957095811857346
ATF2	SNORA27	0.7737360659346058
ATF2	ZNF835	0.8005485079045167
ATF2	OR6C6	0.7957095811857346
ATF2	ENTHD1	0.7078128938107255
ATF2	TAGLN2	0.7670493485709908
ATF2	KCTD12	0.6670683916517564
ATF2	NHLRC2	0.7737645348563289
ATF2	TMEM126B	0.7620303095592522
ATF2	PFN3	0.7957095811857346
ATF2	TRIM11	0.7530870205623192
ATF2	TPH2	0.6745217498658969
ATF2	LOC148413	0.9323841356709792
ATF2	TAS2R40	0.9239700633897092
ATF2	NECAB3	0.8960449810684445
ATF2	MAOB	0.8415568123319463
ATF2	SLC35D2	0.7681372701645772
ATF2	KLK5	0.7957095811857346
ATF2	TPRG1L	0.7957095811857346
ATF2	TRANK1	1.0483084019348579
ATF2	GATA4	0.7957095811857346
ATF2	SNORD119	0.6596378931931164
ATF2	ABCB9	0.7520442881830531
ATF2	HIF1A	0.7737645348563289
ATF2	ANAPC10	0.9348639625299948
ATF2	CDKN2AIP	0.7563410875437433
ATF2	OAZ2	0.8644359550101104
ATF2	SNORD59A	0.8960449810684441
ATF2	TERT	0.7192169556908841
ATF2	SFRS8	0.832239281649533
ATF2	ST3GAL4	0.6893612408685037
ATF2	GPM6B	0.7644187703483452
ATF2	HIST1H3D	0.8082401215965818
ATF2	BRAP	0.9184632744430594
ATF2	NAA50	0.7644187703483452
ATF2	ZNF263	0.8521425513325132
ATF2	SNORD7	0.8082401215965818
ATF2	C5orf30	0.6825286966656425
ATF2	RPL3L	0.8960449810684445
ATF2	PUM2	0.7564487437318843
ATF2	C2orf34	0.9340844110370403
ATF2	SCARNA8	0.7670493485709908
ATF2	OCLM	0.7737645348563289
ATF2	ASAH2B	0.7052253229288059
ATF2	HIST1H4G	0.8348633108815142
ATF2	ID4	0.8348633108815142
ATF2	INTS5	0.7257955550331348
ATF2	ADCK4	0.7816140501983857
ATF2	MMS19	0.7850550484691325
ATF2	CDK13	0.7737645348563289
ATF2	INTS9	0.6572593175422594
ATF2	MON1A	0.717891614451057
ATF2	RAD18	0.8224075428627633
ATF2	RPS24	0.8960449810684445
ATF2	OR2A14	0.7957095811857346
ATF2	SFTA3	0.7957095811857346
ATF2	MRPS14	0.6797940412974932
ATF2	PYROXD1	0.9675853460266919
ATF2	MOGAT1	0.8607163364492028
ATF2	PHF1	0.6990892765082299
ATF2	FMR1NB	0.7687421474094811
ATF2	PCLO	0.6810183664253131
ATF2	C5orf49	0.7957095811857346
ATF2	MED10	1.0951880585068001
ATF2	HYAL4	0.7957095811857346
ATF2	SSSCA1	0.8449503483697209
ATF2	SERPINB2	0.7957095811857346
ATF2	AGXT2L1	0.7957095811857346
ATF2	AP3B1	0.7737645348563289
ATF2	LRRC42	0.7102389316945543
ATF2	MED23	0.7046103654674374
ATF2	PIGC	1.0134055021099306
ATF2	SLC7A4	0.8983523633698427
ATF2	TLR1	0.7496168964583978
ATF2	MRPL50	0.6920713292884835
ATF2	NCOR1	0.7737645348563289
ATF2	RPUSD1	0.7360660009439446
ATF2	IL1F7	0.8348633108815142
ATF2	TLR10	0.7125463139959529
ATF2	FAM193A	0.7737645348563289
ATF2	DEPDC5	0.6736196808348822
ATF2	ATP6V0C	0.6948494105023642
ATF2	HMX2	0.7957095811857346
ATF2	LOC442454	0.9090850524429515
ATF2	MATN3	0.7388528563503027
ATF2	VAMP2	0.9573903694373529
ATF2	LRRC14	0.7257955550331348
ATF2	LRRC15	0.7785051131268323
ATF2	URM1	0.6803397955150632
ATF2	ASIP	0.8026585557692134
ATF2	HEATR1	0.9003314379462966
ATF2	SNX31	0.7817067494625176
ATF2	NCRNA00158	0.7957095811857346
ATF2	PGRMC1	0.7957095811857346
ATF2	C17orf74	0.7957095811857346
ATF2	PABPC1L2A	0.7492451628877217
ATF2	EXOSC1	0.8424429846145092
ATF2	C6orf141	0.7130676801855862
ATF2	LOC339788	0.7957095811857346
ATF2	GSX2	0.7957095811857346
ATF2	C1orf25	0.7957095811857346
ATF2	ZNF76	0.7925433722901998
