Regulator	Target	MI
ATF1	ANKRD37	0.7314409772044521
ATF1	MRPS10	0.9182178208619343
ATF1	SMC4	0.7140497212471573
ATF1	FTCD	0.6641050508119197
ATF1	C1QTNF3	0.7502153002598635
ATF1	THBD	0.6745217498658969
ATF1	KIAA1467	0.6932573448628903
ATF1	CA7	0.7006753111661821
ATF1	TK1	0.6790643768061724
ATF1	SLC30A7	0.6736196808348822
ATF1	TRPC5	0.659213964072852
ATF1	EDN3	0.6624626008082863
ATF1	COG4	0.6672762281202216
ATF1	PRKCD	0.6696158328175916
ATF1	SLC6A14	0.8577960074387141
ATF1	CTPS2	0.6747663114394187
ATF1	HCFC2	0.6651647863967751
ATF1	NUDT16L1	0.677442078876386
ATF1	OVOL1	0.6696158328175916
ATF1	GNL1	0.6641202906489201
ATF1	STON1-GTF2A1L	0.6926988233938198
ATF1	MAPKSP1	0.6931471805599454
ATF1	TMEM134	0.6860854890521733
ATF1	SNORA28	0.6700707034450799
ATF1	ZNF878	0.8988477732411777
ATF1	LOC84989	0.6721888207739632
ATF1	GPR124	0.7445938521000999
ATF1	LOC400657	0.7434232552829259
ATF1	WDR25	0.6879664696478072
ATF1	PIK3R4	0.6736196808348822
ATF1	TSIX	0.6879664696478072
ATF1	DLEU2L	0.7564487437318843
ATF1	SPG7	0.7125463139959534
ATF1	GABARAP	0.8256817263887335
ATF1	DCST2	0.746618163707713
ATF1	RNFT1	0.6736196808348822
ATF1	REPIN1	0.6826348601106491
ATF1	SUSD3	0.7475549677381244
ATF1	WNT1	0.6676652271628614
ATF1	N4BP2	0.7687421474094815
ATF1	SNORA52	0.6700707034450799
ATF1	FARP2	0.8364560734503637
ATF1	ZNF263	0.6931471805599454
ATF1	EPT1	0.6700707034450799
ATF1	FHDC1	0.6606826718539618
ATF1	CYP8B1	0.947836358933142
ATF1	GULP1	0.6730483398088531
ATF1	TADA2B	0.710130121232436
ATF1	NACA	0.8026585557692139
ATF1	ESYT2	0.8119393930054137
FOXA1	SNORA40	0.8644359550101104
FOXA1	SRP19	0.6621383339592026
FOXA1	CDKN1A	0.6931471805599454
FOXA1	GPS1	0.7022776837591924
FOXA1	NPRL2	0.7693204114246361
FOXA1	FAM129A	0.7224750280188674
FOXA1	NOTCH2NL	0.6864270258618412
FOXA1	GATA4	0.6608976102317841
FOXA1	ABCA12	0.6863441717180212
FOXA1	KIAA1147	0.7510656310858921
FOXA1	NPW	0.6958818359280947
FOXA1	PTPRZ1	0.6792435492746867
FOXA1	LIPH	0.7214470930146852
FOXA1	CHCHD7	0.8983523633698427
FOXA1	FAM176B	0.7451203779102689
FOXA1	SCAP	0.7620303095592522
