Regulator	Target	MI
ATF1	CGREF1	0.6658651106053872
ATF1	GRAMD1B	0.6742671436052134
ATF1	NFE2	0.7299879187881047
ATF1	PCDHGA11	0.6736196808348822
ATF1	FAM200A	0.7737645348563289
ATF1	POLR3B	0.7510656310858925
ATF1	RSRC1	0.7140497212471573
ATF1	ALDH1A1	0.6815618954410709
ATF1	C1RL	0.6663365019586229
ATF1	ADCY3	0.7725303123027354
ATF1	PRG4	0.7681372701645772
ATF1	RBBP6	0.6737327672690139
FOXA1	ALG1L	0.6637577097578014
FOXA1	CELF2	0.7761977308254342
FOXA1	SLC7A14	0.6996973109804729
FOXA1	DMP1	0.6763115594698355
FOXA1	FBLL1	0.6663365019586229
FOXA1	NR3C2	0.810507462016659
FOXA1	ZCCHC14	0.7244005487162863
FOXA1	RPSAP52	0.6932573448628903
FOXA1	STS	0.683469541571915
FOXA1	HABP4	0.810507462016659
FOXA1	UBTF	0.7552448057740628
FOXA1	CCDC99	0.7486512495078044
FOXA1	PTGFRN	0.775726339472198
FOXA1	ACAD11	0.6903712890185743
FOXA1	RBM7	0.6736196808348822
FOXA1	NKX3-1	0.6730483398088527
FOXA1	UNC45B	0.7012291826647785
FOXA1	GRLF1	0.6736196808348822
FOXA1	PLAUR	0.7308105176397093
FOXA1	SNORD105	0.6814691961769395
FOXA1	PRPF40A	0.6736196808348822
FOXA1	APBB1IP	0.810507462016659
FOXA1	COX7A2L	0.7158204975219222
FOXA1	RAD51C	0.6687413213293905
FOXA1	B3GNT7	0.766455435191074
FOXA1	HEATR5B	0.6571520353525786
FOXA1	RPUSD2	0.6802667864915555
FOXA1	PPEF2	0.8682642451308276
FOXA1	SAMD5	0.7130063319564401
FOXA1	CHRNA7	0.7507937593532459
FOXA1	TXK	0.6763115594698355
FOXA1	PDGFB	0.7817392547714808
FOXA1	C19orf45	0.7743299793145231
FOXA1	ANAPC11	0.6676652271628614
FOXA1	SLAMF7	0.7048970152038612
FOXA1	AMZ2	0.6736196808348822
FOXA1	SNX8	0.7342018284756722
FOXA1	C16orf93	0.7685979450365159
FOXA1	EPHX2	0.810507462016659
FOXA1	INCA1	0.6663365019586229
FOXA1	SCD5	0.7685979450365159
FOXA1	TRPV2	0.6958818359280947
FOXA1	FBXL13	0.9799152480722744
FOXA1	LSM3	0.6826348601106491
FOXA1	SFRS1	0.6684076188877577
FOXA1	LRFN3	0.6802667864915555
FOXA1	SELP	0.8350628705200283
FOXA1	VIL1	0.6833687605560601
FOXA1	ID2	0.9544799255651002
FOXA1	P2RX1	0.7312407128376472
FOXA1	HNRNPD	0.6676652271628614
FOXA1	DLX6AS	0.7587561260332825
FOXA1	TBKBP1	0.7333785727126161
FOXA1	TRIP13	0.6705607185997264
FOXA1	FAM7A2	0.7130063319564401
FOXA1	ZNF211	0.6927604067191186
ATF2	SNORD115-6	0.8417352878710851
ATF2	IPO11	0.7046103654674374
ATF2	SNORA3	0.7564487437318843
ATF2	TMEM200A	0.8417352878710851
ATF2	IPP	0.6736196808348822
ATF2	SNORD116-22	0.7203161240624483
ATF2	SNORD116-23	1.0462093179351477
ATF2	SNORD115-3	0.7164589910215478
ATF2	LOC728276	0.7164589910215478
ATF2	PSMD8	0.8059327392951832
ATF2	VPREB3	0.9396233790514437
ATF2	LIPE	0.7333785727126156
ATF2	SNORD116-18	1.0501806561548541
ATF2	HOXA2	0.6689375803496356
ATF2	GJA9	0.6931471805599454
