Regulator	Target	MI
ATF1	PTGFR	0.8383439770351226
ATF1	C17orf103	0.687874889128349
ATF1	DAZAP1	0.7046103654674374
ATF1	SEC23A	0.8927707975424748
ATF1	PCOLCE2	0.7333785727126161
ATF1	ZC3H4	0.6596316271154428
ATF1	OAZ2	0.7587561260332825
ATF1	SNX4	0.7417181032093194
ATF1	RAB40B	0.9111805574000233
ATF1	GTSF1L	0.7103301026862496
ATF1	TAF1C	0.6737327672690139
ATF1	POLR2C	0.6676652271628609
ATF1	NPHP1	0.8625023525609685
ATF1	BRIX1	0.6912572262049856
ATF1	FAM53A	0.8026585557692134
ATF1	DGCR6	0.7466557808203733
ATF1	ABP1	0.7795883847499456
ATF1	MESDC2	0.6736196808348822
ATF1	C12orf47	0.6651647863967747
ATF1	ANKRD26	0.6651647863967751
ATF1	STARD4	0.6826348601106491
ATF1	KHNYN	0.8298866623169747
ATF1	AMFR	0.6841111522809564
ATF1	HCG27	0.7214470930146852
ATF1	BOLA1	0.6663365019586229
ATF1	TBCC	0.6736196808348822
ATF1	SENP2	0.6737327672690139
ATF1	C2orf27A	0.6969617235867975
ATF1	LOC253724	0.6596540043911028
ATF1	TRYX3	0.7130676801855858
ATF1	RBMXL3	0.7312407128376472
ATF1	GNPDA2	0.7644187703483452
ATF1	LOC653566	0.6984256980512913
ATF1	MAK	0.7130676801855858
ATF1	VMA21	0.6736196808348822
ATF1	C4orf27	0.7129192018406063
ATF1	AKNAD1	0.7263205002654058
ATF1	PLIN2	0.8465609855051457
ATF1	BDP1	0.7052253229288064
FOXA1	HIST1H2AM	0.7492451628877212
FOXA1	MIOX	0.6927604067191186
FOXA1	SNORD115-7	0.7129192018406063
FOXA1	TUSC5	0.658287005162753
FOXA1	ACSL1	0.6660541281942138
FOXA1	SNORA80	0.6663365019586229
FOXA1	HIST1H2BL	0.7492451628877212
FOXA1	RASL11A	0.8026585557692139
FOXA1	CDCA8	0.8896950671978816
FOXA1	CBWD1	0.6663365019586229
FOXA1	TNFAIP1	0.6663365019586229
FOXA1	FBXO11	0.7102389316945539
FOXA1	RGPD3	0.7102389316945539
FOXA1	SH3YL1	0.6737327672690139
FOXA1	C1D	0.6741063120251187
FOXA1	SYMPK	0.6792435492746862
FOXA1	MAPRE3	0.8055430833410919
FOXA1	NACAD	0.8026585557692139
FOXA1	OIP5	0.7492451628877212
FOXA1	CCNL1	0.7349950663979516
FOXA1	HIST1H3D	0.7737645348563289
ATF2	SUV420H2	0.7737645348563289
ATF2	ZFYVE9	0.7062268591527734
ATF2	UXS1	0.8763419279354285
ATF2	GHITM	0.6700707034450799
ATF2	DCAF5	0.8523530748360137
ATF2	SNORD121A	0.9184632744430599
ATF2	GLS	0.7062268591527734
ATF2	VPREB3	0.8424429846145092
ATF2	LACTB	1.0103666919486223
ATF2	SNORD116-15	0.7564487437318843
ATF2	TMEM89	0.7737645348563289
ATF2	ADNP2	0.7492451628877212
ATF2	GJA9	0.6931471805599454
ATF2	SNORA31	0.8262675980348511
ATF2	RSPH6A	0.6996973109804729
ATF2	CCBE1	0.7502153002598635
ATF2	VPS18	0.6931471805599454
ATF2	TSTD1	0.8424429846145092
ATF2	WDR75	0.6716401444252051
ATF2	FRS2	0.7621467799577939
ATF2	RNASE2	1.0386088352168543
ATF2	RC3H2	0.7737645348563289
ATF2	INTS4L1	0.6931471805599454
ATF2	SNORA28	0.8262675980348511
ATF2	ASPHD2	0.7737645348563289
ATF2	PRKD2	0.7789835075050413
ATF2	ZNF155	0.9184632744430599
ATF2	SNORA62	0.8262675980348511
ATF2	TPH2	0.6700707034450799
ATF2	LOC148413	0.7035403229290473
ATF2	ZNF274	0.6769565664308237
ATF2	SAR1A	0.7702101627498377
ATF2	AIRE	0.7502153002598635
ATF2	CTBP1	0.6919104977083887
ATF2	PRKRIP1	0.6736196808348822
ATF2	COPS7B	0.7214470930146852
ATF2	RNF219	0.6717194195263874
ATF2	COPS7A	0.8256817263887335
ATF2	KIAA1012	0.9993462343944155
ATF2	PRDM12	0.6769565664308237
ATF2	NCAPH	0.7511381782761766
ATF2	LDHC	0.7417181032093194
ATF2	T	0.6736196808348822
ATF2	ATRIP	0.6931471805599454
ATF2	SNORA52	0.7868162147197375
ATF2	NR2C2AP	0.6931471805599454
ATF2	CDK18	0.7326711110653434
ATF2	SNORD9	1.047254932427677
ATF2	WNT10B	0.7173702482614237
ATF2	DNAH10	0.6736196808348822
ATF2	ICMT	0.9871253779071023
ATF2	GP5	0.7167259505173473
ATF2	PHC3	0.8424429846145092
ATF2	FAM111A	0.6663365019586229
ATF2	MLLT10	0.8175151022828704
ATF2	GPR180	0.7492451628877212
ATF2	CDK13	0.8424429846145092
ATF2	MOCS3	0.6859202425977569
