Regulator	Target	MI
ATF1	EDEM3	0.6736196808348822
ATF1	UTP6	0.7332650244452612
ATF1	ZDHHC8P1	0.6736196808348822
ATF1	ATL2	0.7814904094270294
ATF1	FLJ10213	0.6919104977083887
ATF1	TCF20	0.8424429846145092
ATF1	DNAJC1	0.6736196808348822
ATF1	VTI1A	0.6736196808348822
ATF1	SLC17A1	0.6963615441292061
ATF1	TRIM31	0.8960449810684441
ATF1	MMACHC	0.6931471805599454
ATF1	MBTPS2	0.8521425513325127
ATF1	PCDHA7	0.938136792215138
FOXA1	RAD51AP1	0.6651647863967747
FOXA1	SNORA14B	0.7644187703483452
FOXA1	FAM189A2	0.6788809683835684
FOXA1	ZNF536	0.7284213999391658
FOXA1	ARAP1	0.6737327672690139
FOXA1	KIR2DL1	0.7653490732049302
FOXA1	PRODH2	0.66726837310557
FOXA1	SORCS2	0.7300681259148125
FOXA1	IWS1	0.6651647863967747
FOXA1	GRIN2D	0.724881375662072
ATF2	SUV420H2	0.7506201960509538
ATF2	KCNG2	0.8086130094412356
ATF2	CD81	0.6825286966656425
ATF2	C3orf63	1.2247252654436531
ATF2	YARS2	0.6836238241613448
ATF2	RPS15	0.6696552656043013
ATF2	RPS16	0.8487595573444255
ATF2	SNORD116-14	0.9422547931057736
ATF2	POGZ	1.0951880585068001
ATF2	PAR-SN	0.8132125342070315
ATF2	LGALS8	0.7043344528589297
ATF2	BAHCC1	0.7140284504286343
ATF2	RPP38	0.7737645348563289
ATF2	CPT1A	0.7619891134039536
ATF2	CDKL5	0.7492451628877217
ATF2	MMGT1	0.6641050508119193
ATF2	PRO1768	0.7737645348563289
ATF2	UNC5B	0.8410997165026459
ATF2	ZNF282	1.1959570581984753
ATF2	SLC34A1	0.7547841309021255
ATF2	SPINK6	0.7737645348563289
ATF2	ZBTB38	0.9544799255651002
ATF2	ARMC7	0.7500269395824879
ATF2	THOC3	0.6737327672690139
ATF2	TSC1	0.9148271669374233
ATF2	ATXN2L	0.7737645348563289
ATF2	CNBD1	0.7569350009236606
ATF2	CLK2P	0.9595784347562488
ATF2	FAM76B	0.7644187703483452
ATF2	C14orf126	0.7653490732049302
ATF2	CHRNA7	0.6917732183245473
ATF2	SLC35D2	0.8089401984215061
ATF2	LOC283267	0.7101301212324365
ATF2	KIAA1012	0.9544799255651002
ATF2	ANKRD19	0.9090850524429515
ATF2	C5orf24	0.6883093602983008
ATF2	SOCS2	0.6716401444252051
ATF2	PGBD3	0.7129192018406063
ATF2	MAGEA10	0.7620303095592522
ATF2	WNT2	0.6983679288647839
ATF2	ZBTB17	0.7644187703483452
ATF2	SNORD88B	1.0648996759009806
ATF2	GLMN	0.7696406774157816
ATF2	ZBTB10	0.7737645348563289
ATF2	HELZ	0.7737645348563289
ATF2	GDF3	0.7737645348563289
ATF2	BTBD10	0.8521425513325127
ATF2	TMEM196	0.8521425513325127
ATF2	BMS1P4	0.6737327672690139
ATF2	QKI	0.710212975376256
ATF2	RCL1	0.8521425513325132
ATF2	ZNF815	0.7130676801855858
ATF2	CNOT3	0.7737645348563289
ATF2	INTS6	0.7644187703483452
ATF2	CDK14	0.7737645348563289
ATF2	SPERT	0.8896950671978816
ATF2	SCN2B	0.7665532462589022
ATF2	C1orf94	0.8125469656444331
ATF2	GPR89A	0.658287005162753
ATF2	USP37	0.8089401984215061
ATF2	MTMR11	0.7506201960509546
ATF2	ATF7IP2	0.7670493485709908
ATF2	C13orf23	0.7547841309021255
ATF2	SETD7	0.8896950671978816
ATF2	PEPD	0.803353947094362
ATF2	PIK3C2A	0.7737645348563289
ATF2	PPPDE1	0.9088286349968406
ATF2	GLIPR1	0.7551854476505779
ATF2	GRM4	0.7800687498625076
ATF2	TMEM44	0.7858959388095843
ATF2	MED10	1.0951880585068001
ATF2	SEC61G	0.8026585557692134
ATF2	SDF4	0.7062416371565501
ATF2	UBXN7	0.8896950671978816
ATF2	RIOK2	0.6737327672690139
ATF2	GRASP	0.7035403229290478
ATF2	C19orf73	0.7006753111661821
ATF2	TBP	0.7445938521000999
ATF2	WARS	0.7510656310858925
ATF2	SSR4	0.7944518542527268
ATF2	RFC2	0.7214470930146852
ATF2	ASH1L	0.6736196808348822
ATF2	COMMD1	0.7737645348563289
ATF2	ZDHHC14	0.7006753111661821
ATF2	C14orf167	0.7506201960509538
ATF2	TST	0.8983523633698427
ATF2	FAM193A	0.7737645348563289
ATF2	ZMYND10	0.7130676801855858
ATF2	SLC25A5	0.7687421474094815
ATF2	MTCP1NB	0.658287005162753
ATF2	LOC442454	0.7696406774157816
ATF2	RNF165	0.7696406774157816
ATF2	GTF2A2	0.6736196808348822
ATF2	KDM3B	0.7506201960509538
ATF2	ZNF470	0.7876831185769761
ATF2	MIS12	0.6736196808348822
ATF2	ZDHHC24	0.8424429846145092
ATF2	ASB15	0.8119335364555025
ATF2	TFPT	0.7547841309021255
ATF2	POLR2A	0.7506201960509538
ATF2	CD58	0.6899455442242606
ATF2	ABCF2	0.6640889396139333
ATF2	CCT7	0.7062416371565501
ATF2	EXOSC1	0.9991670619259012
ATF2	GPR158	0.6967769819699843
ATF2	SASH1	0.6826348601106491
ATF2	BRD4	0.677442078876386
ATF2	C12orf23	0.6792435492746862
ATF2	ERAP1	0.6792435492746867
ATF2	FOXJ3	0.9090850524429515
ATF2	PLAC8L1	0.8224075428627633
ATF2	FAM116A	0.6696653458207651
ATF2	WEE1	0.7140284504286343
ATF2	NUDT9P1	0.6737327672690139
ATF2	C4orf29	0.7737645348563289
ATF2	ZNF735	0.7145811676532539
ATF2	LOC100130264	0.7737645348563289
ATF2	ZNF334	0.8671121842803009
CCNT2	CARS	0.6663105811696277
CCNT2	TMEM200B	0.6663365019586229
CCNT2	SMEK2	0.7510656310858925
CCNT2	TESK1	0.663412172090196
CCNT2	CIB1	0.8247149251641623
CCNT2	RND2	0.7564487437318839
CCNT2	TMEM186	0.7352615640605271
CCNT2	C5orf46	0.6792435492746867
CCNT2	SIP1	0.6736196808348822
CCNT2	FAM178A	0.7737645348563289
CCNT2	LMBR1	0.7564487437318843
CCNT2	DIMT1L	0.6736196808348822
CCNT2	SENP8	0.8424429846145092
CCNT2	NUDT19	0.7564487437318843
CCNT2	MAN2C1	0.8026585557692139
CCNT2	ZNF841	0.6931471805599454
CCNT2	LMCD1	0.7861739070813205
CCNT2	SLC39A1	0.7103148628492493
CCNT2	ZNF442	0.6931471805599454
CCNT2	ZYG11A	0.6931471805599454
CCNT2	MAGI2	0.6669136472291037
CCNT2	MRPS23	0.6792435492746867
CCNT2	CTDSPL	0.6736196808348822
CCNT2	TRPT1	0.8424429846145092
CCNT2	TTC7A	0.6825286966656425
CCNT2	TICAM1	0.6931471805599454
CCNT2	COQ10A	0.6736196808348822
CCNT2	PRSS54	0.7564487437318843
CCNT2	SAPS3	0.7564487437318843
CCNT2	TFDP1	0.6658651106053868
CCNT2	TMBIM4	0.8268922055383032
CCNT2	CLDN7	0.7025009745141921
CCNT2	DSG2	0.736428346738911
CCNT2	ANKRA2	0.8424429846145092
CCNT2	SMARCD2	0.6931471805599454
CCNT2	ZNF670	0.7102389316945543
CCNT2	PCOLCE2	0.7564487437318843
CCNT2	SMYD5	0.7698840802267055
CCNT2	ABCB8	0.8003511734678153
CCNT2	TENC1	0.7125463139959534
CCNT2	NR2C1	0.6736196808348822
CCNT2	PURB	0.6931471805599454
CCNT2	SBNO2	0.8896950671978816
CCNT2	PGBD4	0.6931471805599454
CCNT2	WDR70	0.8082401215965818
CCNT2	SNORA19	0.6618442593825082
CCNT2	C2orf43	0.6931471805599454
CCNT2	ANKAR	0.6931471805599454
CCNT2	CEP70	0.6736196808348822
CCNT2	DVL1	0.7564487437318843
CCNT2	STK38	0.7299879187881042
CCNT2	HIVEP1	0.6931471805599454
CCNT2	ZNF625	0.6737327672690139
CCNT2	NPHP4	0.7564487437318843
CCNT2	MLXIP	0.6883093602983008
CCNT2	SDR42E1	0.6736196808348822
CCNT2	C7orf65	0.8424429846145092
CCNT2	C1orf66	0.6588809185426707
CCNT2	CCDC59	0.7352615640605267
CCNT2	KLHL2	0.6931471805599454
CCNT2	PEX10	0.6931471805599454
CCNT2	KCNRG	0.7130676801855858
CCNT2	TTC18	0.938136792215138
CCNT2	GOLGA6C	0.6744046225559037
CCNT2	RAB15	0.7502153002598635
CCNT2	PQLC2	0.7125463139959529
CCNT2	POLR3F	0.6931471805599454
CCNT2	C17orf63	0.6736196808348822
CCNT2	ZNF138	0.6736196808348822
CCNT2	KIAA0748	0.6676652271628614
CCNT2	ZNF576	0.6931471805599454
CCNT2	FAM86D	0.8577241171598806
SMARCB1	CUL9	0.7118193765575911
SMARCB1	PIGS	0.6883093602983008
SMARCB1	DHRS11	0.7078128938107255
SMARCB1	FASTKD1	0.6884820315929892
SMARCB1	LAMA2	0.8333456436356768
SMARCB1	ABHD3	0.673464239482854
SMARCB1	CLCNKB	0.6621754892386398
SMARCB1	ACCSL	0.6696653458207651
SMARCB1	MED19	0.9245518586306631
SMARCB1	PSG10	0.7804116405130017
SMARCB1	TIMM50	0.7292439987907704
SMARCB1	RAB41	0.6883093602983008
SMARCB1	PCBP1	0.6883093602983008
SMARCB1	CXorf51	0.7854581686040976
SMARCB1	NHS	0.6806083233012226
SMARCB1	LONP2	0.663412172090196
SMARCB1	EPHB3	0.7933766520938006
SMARCB1	CBX8	0.7161349592686173
SMARCB1	PEX19	0.8356063995357865
SMARCB1	CAV3	0.7035403229290473
SMARCB1	ARRDC2	0.7336950452115878
SMARCB1	PYHIN1	0.752530724295061
SMARCB1	YIPF4	0.6915835438242697
SMARCB1	AMPD2	0.8465609855051448
SMARCB1	PILRB	0.6956363823469696
SMARCB1	KREMEN2	0.6806083233012226
SMARCB1	C19orf56	0.7486512495078044
SMARCB1	TOR1B	0.6883093602983008
SMARCB1	TTC9	0.7587561260332825
SMARCB1	IMPACT	0.7089785577444352
SMARCB1	SNX19	0.6919362795950756
SMARCB1	AKT1S1	0.8072865494567334
SMARCB1	KCTD12	0.663412172090196
SMARCB1	ZNF611	0.7908531771406024
SMARCB1	MPND	0.7118193765575906
SMARCB1	SLC27A2	0.6737793581410005
SMARCB1	C15orf55	0.8072865494567334
SPI1	GAGE8	1.568909738023082
SPI1	LOC284578	1.568909738023082
SPI1	SPINT4	1.568909738023082
SPI1	FLJ12825	1.568909738023082
SPI1	OR4Q3	1.187904639271418
SPI1	NBLA00301	1.568909738023082
SPI1	CRHBP	1.568909738023082
SPI1	C14orf79	0.8268922055383037
SPI1	RAVER1	1.0386088352168543
SPI1	PWWP2A	1.568909738023082
SPI1	C14orf70	1.568909738023082
SPI1	TTTY17A	1.568909738023082
SPI1	PKNOX2	0.947836358933142
SPI1	ESX1	1.568909738023082
SPI1	HDGFRP2	1.568909738023082
SPI1	OR4P4	1.753748986172401
SPI1	ISL1	1.187904639271418
SPI1	SPINT1	1.1798824526346725
SPI1	OPTC	1.568909738023082
SPI1	ASPHD2	0.8074824900346851
SPI1	NOBOX	1.568909738023082
SPI1	TPRG1L	1.3727438874207367
SPI1	PLA2G5	0.9950432044853539
SPI1	TEX28	0.9221817742592924
