Regulator	Target	MI
ATF1	MAPKSP1	0.7716741372143323
ATF1	PROKR1	0.6859202425977569
ATF1	TAF6L	0.8424429846145092
ATF1	CPSF1	0.6596540043911028
ATF1	ACTL7A	0.8062946632748504
ATF1	FAM57A	0.6736196808348822
ATF1	C4orf27	0.6736196808348822
ATF1	COG2	0.8424429846145092
ATF1	EBF1	0.6618442593825082
ATF1	G2E3	0.7696406774157816
ATF1	KIAA0284	0.6640994816636203
ATF1	JAK3	0.7427157936356532
FOXA1	CGREF1	0.7102389316945543
FOXA1	C20orf56	0.6931471805599454
FOXA1	GTF2B	0.7814713760978567
FOXA1	TAS2R46	0.6717194195263874
FOXA1	DKK1	0.6663365019586229
FOXA1	LARP6	0.6931471805599454
FOXA1	MST1P9	0.7214470930146852
FOXA1	GOLGA6B	0.6677377743531459
FOXA1	TTC30B	0.6745217498658969
FOXA1	SGK494	0.6676652271628605
FOXA1	WAPAL	0.6931471805599454
FOXA1	AP3S2	0.80629466327485
FOXA1	APBB2	0.8026585557692139
FOXA1	CYTIP	0.7737645348563289
FOXA1	SLC17A1	0.6860129418618883
FOXA1	SKIV2L2	0.6968598361138039
FOXA1	TNRC6B	0.9787128383868908
ATF2	ROPN1B	0.8638120444360338
ATF2	SMARCAL1	0.7696406774157816
ATF2	HNRPDL	0.8728583396506342
ATF2	SMAD5OS	0.7737645348563289
ATF2	TP53RK	0.7103148628492493
ATF2	LOC152217	0.6696552656043013
ATF2	ZMYND8	0.6736196808348822
ATF2	CBLC	0.6931471805599454
ATF2	DDX60L	0.8896950671978816
ATF2	PPP2R2A	0.7737645348563289
ATF2	ZDHHC7	0.7120749226427168
ATF2	SMC6	0.7129192018406063
ATF2	GPR173	0.947836358933142
ATF2	LGALS1	0.6822722792195308
ATF2	OGFOD1	0.8424429846145092
ATF2	C12orf62	0.8059327392951832
ATF2	ATXN7L1	0.6736196808348822
ATF2	OR5B2	0.6736196808348822
ATF2	TNS3	0.6736196808348822
ATF2	LOC100132215	0.6596540043911028
ATF2	TNS1	1.0386088352168543
ATF2	ALG9	0.6736196808348822
ATF2	ENDOG	0.6763115594698355
ATF2	NSMCE1	0.7761977308254342
ATF2	AP1AR	0.6736196808348822
ATF2	HDHD2	0.7563410875437429
ATF2	RNASE2	0.7696406774157816
ATF2	WDR78	0.7696406774157816
ATF2	SCAMP2	0.7129192018406063
ATF2	SLC5A7	0.7299879187881042
ATF2	NINJ1	0.7737645348563289
ATF2	PFN4	0.6736196808348822
ATF2	SIK2	0.6640889396139338
ATF2	PEX11G	0.6863441717180203
ATF2	SPATA18	0.8007845381806291
ATF2	CCDC83	0.6736196808348822
ATF2	GTSF1	1.161929788606424
ATF2	LOC148413	0.6774420788763855
ATF2	SFRS17A	0.6736196808348822
ATF2	C21orf84	0.6728477014435885
ATF2	CWF19L2	0.8041619630204182
ATF2	ABCB8	0.7564487437318839
ATF2	LIAS	0.6792435492746867
ATF2	GNS	0.6990892765082299
ATF2	HIF1A	0.8757625574631369
ATF2	NCAPH	0.6780776502448251
ATF2	CYB5R1	0.6956363823469696
ATF2	T	0.8424429846145092
ATF2	XRRA1	0.7737645348563289
ATF2	RBM12	0.7737645348563289
ATF2	HMGCLL1	0.6663105811696277
ATF2	RAB11FIP3	1.1798824526346725
ATF2	ZNF389	0.6672007587987494
ATF2	NHEJ1	0.6663105811696277
ATF2	SNX6	0.7160095151107484
ATF2	ICMT	0.7653490732049302
ATF2	SNAPIN	0.6931471805599454
ATF2	ZNF383	0.6736196808348822
ATF2	MAGEE2	0.6624626008082863
ATF2	APCDD1L	0.6780776502448251
ATF2	MRPL28	0.6696552656043013
ATF2	RASSF8	0.7178714623772091
ATF2	TRIP4	0.7696406774157816
ATF2	UPF3B	0.7130676801855858
ATF2	GDF3	0.9950432044853539
ATF2	C19orf56	0.7693204114246361
ATF2	BMS1P4	0.9001829596013167
ATF2	SCARNA8	0.813212534207032
ATF2	EIF5	0.6736196808348822
ATF2	SSPN	0.901626546895812
ATF2	SDC1	0.6736196808348822
ATF2	DCP1A	0.6736196808348822
ATF2	C10orf47	0.7203161240624483
ATF2	TMEM9B	0.7162397288548736
ATF2	DCP1B	0.6931471805599454
ATF2	PPP1R10	0.6931471805599454
ATF2	MRPS12	0.8521425513325127
ATF2	SRP54	0.8175151022828704
ATF2	CCDC129	0.6931471805599454
ATF2	CLEC9A	0.6640994816636203
ATF2	KRI1	0.6596540043911028
ATF2	MRPL33	0.6736196808348822
ATF2	ZCWPW1	0.6736196808348822
ATF2	GNPNAT1	0.6736196808348822
ATF2	KIAA1704	0.7130676801855858
ATF2	EIF5AL1	0.7653490732049302
ATF2	C6orf164	0.6736196808348822
ATF2	MYST4	0.813212534207032
ATF2	CNOT6L	0.813212534207032
ATF2	TIGD4	0.813212534207032
ATF2	WARS	0.7130676801855858
ATF2	SLC32A1	0.6948494105023642
ATF2	NSUN6	0.7129192018406063
ATF2	ASH1L	0.7696406774157816
ATF2	COMMD1	0.7737645348563289
ATF2	COMMD5	0.6864270258618412
ATF2	MED25	0.7288139780244438
ATF2	NCOR1	0.7737645348563289
ATF2	AEBP2	0.813064055862053
ATF2	POC5	0.6736196808348822
ATF2	HNRNPH1	0.6736196808348822
ATF2	LOC442454	0.7696406774157816
ATF2	SMTNL1	0.6881203427094738
ATF2	ZNF593	1.0386088352168543
ATF2	RAMP3	0.7129192018406063
ATF2	AMAC1L3	0.8496699225766982
ATF2	CXCR7	0.8189992288212125
ATF2	RGAG1	0.6736196808348822
ATF2	WRN	0.7620303095592522
ATF2	RNASE8	0.7587561260332825
ATF2	CBR4	0.813064055862053
ATF2	NR1H2	0.967774363615518
ATF2	MPP5	0.7338589378251781
ATF2	RANBP6	0.6736196808348822
ATF2	TMUB2	0.6736196808348822
ATF2	FAM200A	0.8487595573444255
