Regulator	Target	MI
ATF1	GTF2A1L	0.7670493485709908
ATF1	ZNF276	0.7214470930146852
ATF1	KLHDC3	0.6745217498658969
ATF1	PAXIP1	0.7817392547714808
ATF1	PARS2	1.0916413463367332
ATF1	ORC5L	0.7737645348563289
ATF1	PRKX	0.8007845381806291
ATF1	TBC1D3C	0.6704435912897329
ATF1	CABP1	0.746297240805117
ATF1	NXT2	0.8644359550101104
ATF1	USP28	0.6901977257162821
ATF1	PRDX6	0.6601628384253875
ATF1	PSMA7	0.8054264178643225
ATF1	SH3RF1	0.6983063455394856
ATF1	SLC26A8	0.7447777223559267
ATF1	ALPK3	0.6742507494942367
ATF1	SLC6A10P	0.8200567392042548
ATF1	KIAA0406	0.8453017302997003
ATF1	LOC729678	0.8007845381806291
ATF1	DLD	0.7050907305800003
ATF1	GRINL1A	0.6895641444535041
ATF1	FLJ42627	0.710130121232436
FOXA1	DTWD2	0.7102389316945543
FOXA1	FN3K	0.7564487437318843
FOXA1	PTCHD1	0.677442078876386
FOXA1	DAPK3	0.6663365019586229
FOXA1	SMARCA1	0.7102389316945539
FOXA1	ZWINT	0.7761977308254342
ATF2	SNORA40	0.6801752059720982
ATF2	CD84	0.7785051131268323
ATF2	SMAD5OS	0.6931471805599454
ATF2	SLC35F3	0.726763710098532
ATF2	CCNH	0.7737645348563289
ATF2	C16orf48	0.663930616148642
ATF2	MTR	0.6737327672690139
ATF2	NIPBL	0.6931471805599454
ATF2	UCHL1	0.7167310978503463
ATF2	MED10	0.7737645348563289
ATF2	ZXDC	0.6737327672690139
ATF2	FLVCR1	0.6931471805599454
ATF2	UBXN7	0.6736196808348822
ATF2	UBASH3A	0.6736196808348822
ATF2	ENPP7	0.6640889396139333
ATF2	C4orf41	0.7502153002598635
ATF2	BRD2	0.6736196808348822
ATF2	JMJD4	0.6736196808348822
ATF2	MYST4	0.6967769819699843
ATF2	NCOA2	0.7596394162025821
ATF2	ARL14	0.6967769819699843
ATF2	OXSM	0.6834538399016918
ATF2	SPINK6	0.6736196808348822
ATF2	CYP4A11	0.7564487437318843
ATF2	ALG14	0.6931471805599454
ATF2	NSMCE1	0.7111797766008272
ATF2	COMMD1	0.7737645348563289
ATF2	FAM138B	0.7500269395824879
ATF2	PIAS2	0.7547841309021255
ATF2	SAP30	0.6737327672690139
ATF2	ATXN2L	0.7737645348563289
ATF2	LATS2	0.7737645348563289
ATF2	NCOR1	0.6931471805599454
ATF2	RILPL1	0.6736196808348822
ATF2	MTF2	0.7737645348563289
ATF2	ZNF559	0.74125586004702
ATF2	FAM76B	0.7506201960509546
ATF2	LOC441204	0.7737645348563289
ATF2	ANGPTL4	0.6931471805599454
ATF2	FAM193A	0.8424429846145092
ATF2	DEPDC5	0.6931471805599454
ATF2	NLGN3	0.7737645348563289
ATF2	C17orf104	0.7246955153005845
ATF2	USP11	0.7737645348563289
ATF2	KIAA1012	0.8424429846145092
ATF2	BARX2	0.6736196808348822
ATF2	ADCY5	0.7445938521000999
ATF2	C17orf79	0.7322742570080525
ATF2	RNF113A	0.6931471805599454
ATF2	RAP1A	0.7204605615315662
ATF2	RPS6KC1	0.7130676801855858
ATF2	KCNMB3	0.7696406774157816
ATF2	KRIT1	0.6931471805599454
ATF2	CCL2	0.8290278001935363
ATF2	SMYD1	0.7510656310858925
ATF2	HIATL2	0.7858959388095843
ATF2	EIF4E	0.7737645348563289
ATF2	NR2C2AP	1.0386088352168543
ATF2	LINGO1	0.8241152075397946
ATF2	TMEM132C	0.6737327672690139
ATF2	ACD	0.6736196808348822
ATF2	MLL3	0.6736196808348822
ATF2	FOXJ3	0.6736196808348822
ATF2	EXOC6B	0.6736196808348822
ATF2	CTNS	0.6931471805599454
ATF2	HELZ	1.0386088352168543
ATF2	EIF2AK4	0.6737327672690139
ATF2	PHC3	0.6736196808348822
ATF2	SDHAP2	0.6931471805599454
ATF2	SRPK1	0.7208486892132195
ATF2	NEDD1	0.7101301212324365
ATF2	NOVA1	0.6772797145352323
ATF2	C4orf29	0.6931471805599454
ATF2	CNOT3	1.0386088352168543
ATF2	GALM	0.6792435492746867
ATF2	KIAA0907	0.6931471805599454
ATF2	C17orf63	0.8424429846145092
ATF2	CENPBD1	0.7496168964583982
ATF2	ZNF654	0.7510656310858921
ATF2	MDGA1	0.8026585557692134
ATF2	NFKBID	0.8026585557692139
ATF2	SPERT	0.6736196808348822
ATF2	MUC21	1.1294014235564913
ATF2	FBXL6	0.7817392547714808
ATF2	SPG20	0.6931471805599454
ATF2	UOX	0.6931471805599454
CCNT2	TBCEL	0.6931471805599454
CCNT2	MED18	0.6931471805599454
CCNT2	PURB	0.6931471805599454
CCNT2	DUSP12	0.6931471805599454
CCNT2	SIP1	0.6931471805599454
CCNT2	RNF39	0.6931471805599454
CCNT2	HES6	0.6931471805599454
CCNT2	TSC22D4	0.6931471805599454
CCNT2	C7orf65	0.6931471805599454
CCNT2	TIGD4	0.6931471805599454
CCNT2	SC65	0.7209100374423656
CCNT2	FBXL15	0.6730483398088527
CCNT2	TICAM1	0.6931471805599454
CCNT2	UTF1	0.6931471805599454
CCNT2	ZFHX4	0.6931471805599454
CCNT2	GATAD2B	0.6736196808348822
CCNT2	RC3H2	0.6736196808348822
CCNT2	DUSP7	0.6627446005742357
CCNT2	FOXP1	0.6931471805599454
CCNT2	AFG3L1	0.6931471805599454
CCNT2	DNAJC3	0.6931471805599454
CCNT2	KIAA2026	0.6931471805599454
CCNT2	FAM193B	0.6931471805599454
CCNT2	FBXL3	0.6931471805599454
CCNT2	C20orf117	0.6931471805599454
CCNT2	ANKRA2	0.6931471805599454
CCNT2	ZNF599	0.6931471805599454
CCNT2	SERINC5	0.6614736367575897
SMARCB1	ZMYND15	0.6737327672690139
SMARCB1	TMEM167B	0.8496699225766982
SMARCB1	WWC2	0.7502153002598635
SMARCB1	HMGB2	0.6898196905386298
SMARCB1	KLHDC7A	0.9607998422415034
SMARCB1	CHRDL1	0.7331895551237895
SMARCB1	ACTR1A	0.7349950663979516
SMARCB1	C20orf202	0.7003328823489121
SMARCB1	SLC30A6	0.8874230768073303
SMARCB1	PARP4	0.798123998293125
SMARCB1	TIGD4	0.8927707975424743
SMARCB1	NSUN4	0.7510656310858925
SMARCB1	STRADB	0.8217097312575761
SMARCB1	ATP6AP2	0.6801752059720982
SMARCB1	RHOG	0.7130063319564401
SMARCB1	SIRT4	0.713881305277865
SMARCB1	TTC7B	0.6618442593825078
SMARCB1	ADAM10	0.657152035352579
SMARCB1	TTC21A	0.7506201960509538
SMARCB1	SMC1A	0.7587561260332825
SMARCB1	ZFX	0.9884646051431036
SMARCB1	DHDDS	0.7174939245620822
SMARCB1	ACTA2	0.6663365019586234
SMARCB1	TANC1	1.1626200203110355
SMARCB1	ABCA10	0.70304450352995
SMARCB1	INTS4L1	0.7492451628877212
SMARCB1	MED25	0.736428346738911
SMARCB1	C14orf167	0.7111797766008272
SMARCB1	DUSP21	0.8488939145970793
SMARCB1	RBP5	0.9181013504633926
SMARCB1	RNF125	0.6663105811696277
SMARCB1	TAL2	0.7502153002598635
SMARCB1	TIPRL	0.6967769819699843
SMARCB1	KCNQ5	0.7331895551237895
SMARCB1	TMEM126B	0.6628251816994037
SMARCB1	CLEC4F	0.7920553517298345
SMARCB1	HDAC4	0.6696653458207655
SMARCB1	EIF2C4	0.677442078876386
SMARCB1	EIF2C3	0.7502153002598635
SMARCB1	PHLPP1	0.6594945621811359
SMARCB1	PKDCC	0.6797718384534446
SMARCB1	FECH	0.6730483398088527
SMARCB1	REP15	0.7674210821416683
SMARCB1	DNAJC22	0.7299153715978197
SMARCB1	PSEN2	0.8496699225766982
SMARCB1	ACCSL	0.6736196808348822
SMARCB1	SLC1A6	0.8465609855051452
SMARCB1	TTL	0.8607163364492036
SMARCB1	RELB	0.6742671436052134
SMARCB1	FBXL21	0.7502153002598635
SMARCB1	LOC100130776	1.060004970101351
SMARCB1	C5orf25	0.8960449810684445
SMARCB1	NLRP5	0.7789835075050418
SMARCB1	LRRC8C	0.8026585557692134
SMARCB1	MFN2	0.7046708423355978
SMARCB1	LRIG2	0.7314409772044521
SMARCB1	CDIPT	0.663412172090196
SMARCB1	RAB11FIP3	0.6663365019586229
SMARCB1	SOCS7	0.8896950671978816
SMARCB1	SULT1A2	0.8144451761827276
SMARCB1	GIT2	0.7929415240123978
SMARCB1	PLK3	0.8983523633698427
SMARCB1	HLA-DRB5	0.6722696848121221
SMARCB1	DDHD2	0.6967769819699843
SMARCB1	FMO2	0.7480263590913605
SMARCB1	PYCR2	0.6801752059720982
SMARCB1	DLK2	0.687874889128349
SMARCB1	GNMT	0.9221817742592924
SMARCB1	SSH1	0.6920892083436794
SMARCB1	TM6SF2	0.7502153002598635
SMARCB1	KLF8	0.7256280433589826
SMARCB1	P2RX4	0.6736196808348822
SMARCB1	ZNF37B	0.7773728303516934
SMARCB1	SPDYA	0.6906328537976849
SMARCB1	PFKP	0.6931471805599454
SMARCB1	ZNF212	0.8026585557692134
SMARCB1	ZNF354C	0.6736196808348822
SMARCB1	LOC100131434	0.7502153002598635
SPI1	LRRC14B	1.3727438874207367
SPI1	PWWP2B	1.3727438874207367
SPI1	GAGE8	1.753748986172401
SPI1	LOC284578	1.3727438874207367
SPI1	SPINT4	1.3727438874207367
SPI1	FLJ12825	1.753748986172401
SPI1	OR4Q3	1.3727438874207367
SPI1	NBLA00301	1.3727438874207367
SPI1	CRHBP	1.223448083366173
SPI1	ISLR	0.899022207904455
SPI1	ALKBH4	0.8874230768073303
SPI1	NDST4	1.1070210224086114
SPI1	PWWP2A	1.3727438874207367
SPI1	C14orf70	1.3727438874207367
SPI1	FAM19A3	0.6737327672690139
SPI1	CXADR	1.1798824526346725
SPI1	ESX1	1.3727438874207367
SPI1	HDGFRP2	1.3727438874207367
SPI1	OR4P4	1.753748986172401
SPI1	ISL1	1.3727438874207367
SPI1	SCO1	1.3727438874207367
SPI1	OPTC	1.753748986172401
SPI1	C14orf86	1.3727438874207367
SPI1	NOBOX	1.753748986172401
SPI1	PLK5P	0.9544799255651002
SPI1	LOC643719	1.753748986172401
SPI1	TPRG1L	1.3727438874207367
SPI1	PLA2G5	1.1798824526346725
SPI1	ADAM5P	1.3727438874207367
SPI1	EPB41L1	0.6676652271628614
SPI1	SCGB1D2	1.3727438874207367
SPI1	KCNQ1OT1	1.753748986172401
SPI1	SCGB1D4	1.753748986172401
SPI1	LOC146481	1.3727438874207367
SPI1	A2BP1	0.6736196808348822
SPI1	LOC100132354	1.3727438874207367
SPI1	BTBD17	1.3727438874207367
SPI1	TIPARP	1.753748986172401
SPI1	OR4N5	1.3727438874207367
SPI1	IL31RA	1.3727438874207367
SPI1	OR4N4	0.6737327672690139
SPI1	OR4N2	1.753748986172401
SPI1	NBPF22P	1.3727438874207367
SPI1	TREML3	0.7220255521080681
SPI1	DLX6AS	1.223448083366173
SPI1	SFTA2	1.753748986172401
SPI1	SFTA3	1.3727438874207367
SPI1	LOC440173	1.3727438874207367
SPI1	CSDAP1	1.3727438874207367
SPI1	FRG2B	1.753748986172401
SPI1	HOXC13	1.3727438874207367
SPI1	HOXC12	1.3727438874207367
SPI1	ANXA8L2	1.3727438874207367
SPI1	MMP27	1.3727438874207367
SPI1	TCP11L2	1.1798824526346725
SPI1	TSPO	1.3727438874207367
SPI1	CSN1S1	0.9422547931057736
SPI1	POM121L1P	1.753748986172401
SPI1	CHST9	1.3727438874207367
SPI1	ZNF483	0.9544799255651002
SPI1	TEX15	1.3727438874207367
SPI1	DUSP9	0.6737327672690139
SPI1	SLC39A14	0.9544799255651002
SPI1	TEX19	0.9082129356951456
SPI1	MMP11	1.753748986172401
SPI1	SLC7A5	1.753748986172401
SPI1	TMEFF1	1.3727438874207367
SPI1	MMP13	1.3727438874207367
SPI1	PLSCR5	1.3727438874207367
SPI1	OR52A4	1.3727438874207367
SPI1	OR52A1	0.7299879187881047
