Regulator	Target	MI
ATF1	CX3CR1	0.9127076957677134
ATF1	FOXA1	0.7084681554197894
ATF1	HSDL2	0.6826348601106491
ATF1	ATRNL1	0.7502153002598635
ATF1	EBF1	0.9993462343944155
ATF1	TAS2R46	0.8339928279816382
ATF1	COBL	0.6931471805599454
ATF1	RNFT1	0.6931471805599454
ATF1	FAM198A	0.8279891086901316
ATF1	CNKSR1	0.687638161922862
ATF1	TAF6L	0.6931471805599454
ATF1	HAX1	0.7737645348563289
ATF1	C6orf64	0.8026585557692134
ATF1	EXOSC8	0.6931471805599454
ATF1	G2E3	0.6736196808348822
ATF1	NFATC2IP	0.8540978947924804
ATF1	PNPLA3	0.6736196808348822
ATF1	CHMP4B	0.7467317119750683
ATF1	NCAM2	0.7620303095592522
ATF1	SIGLEC6	0.7564487437318843
ATF1	FAIM	0.7182501544663134
FOXA1	ATF1	0.7084681554197894
FOXA1	SUV420H2	0.7964680841086174
FOXA1	KIAA1191	0.7257955550331348
FOXA1	USPL1	0.6742671436052134
FOXA1	C3orf63	0.6919104977083887
FOXA1	OSBPL11	0.6953291187034756
FOXA1	ISM2	0.6860854890521733
FOXA1	AMOT	0.6596378931931164
FOXA1	ABHD12	0.7620303095592522
FOXA1	FAM198A	0.9422547931057736
FOXA1	KIAA0776	0.8074824900346851
FOXA1	RPSAP52	0.6737327672690139
FOXA1	PPP2R4	0.7343301547468037
FOXA1	RUSC2	0.7078966193155316
FOXA1	AKT1	0.7046708423355978
FOXA1	ROS1	0.7102389316945539
FOXA1	MGC2752	0.7547841309021255
FOXA1	ECH1	0.6601818717545602
FOXA1	MRPS6	0.6863441717180212
FOXA1	EREG	0.6838540379054696
FOXA1	QTRT1	0.7037515033439994
FOXA1	LOC349114	0.7421671172868956
FOXA1	AEBP2	0.7342018284756722
FOXA1	SNORA21	0.7467729081303665
FOXA1	HIST2H3C	0.6640889396139333
FOXA1	ZNF396	0.7584318591841992
FOXA1	GUCY2D	0.8521425513325127
FOXA1	NDUFB6	0.6640889396139333
FOXA1	GDPD1	0.6672762281202216
FOXA1	HSPA13	0.6619898556142232
FOXA1	PRICKLE4	0.8007845381806291
FOXA1	C11orf30	0.6923259355491669
FOXA1	KIF3A	0.7477195572810897
FOXA1	ERI2	0.6663365019586229
FOXA1	RPRML	0.7332650244452612
FOXA1	SCAND2	0.7697537638499128
FOXA1	NCAM2	0.7564487437318843
FOXA1	SNX8	0.7203161240624483
FOXA1	MPZL2	0.6863441717180212
FOXA1	C19orf54	0.7242874622821542
FOXA1	YIPF1	0.6651647863967747
FOXA1	CCL20	0.7687421474094815
FOXA1	WDYHV1	0.9445621754071718
FOXA1	CLK4	0.6736196808348822
FOXA1	SORBS3	0.7058477052304459
FOXA1	BMP5	0.7446355100886213
FOXA1	SELP	0.6736196808348822
FOXA1	C14orf21	0.7224750280188674
