Regulator	Target	MI
ATF1	CGREF1	0.9589175078050429
ATF1	DNAJB4	0.6658651106053872
ATF2	SNORD115-8	0.8424429846145092
ATF2	PGLYRP2	0.6967769819699843
ATF2	SNORD115-9	0.8424429846145092
ATF2	SPI1	0.8424429846145092
ATF2	PWWP2B	0.8424429846145092
ATF2	LOC284578	0.8424429846145092
ATF2	FLJ12825	0.8424429846145092
ATF2	OR4K17	0.8424429846145092
ATF2	OR4Q3	0.8424429846145092
ATF2	NBLA00301	0.8424429846145092
ATF2	SNORD115-3	0.8424429846145092
ATF2	SNORD115-4	0.8424429846145092
ATF2	HTR7	0.7333785727126161
ATF2	C22orf31	0.7737645348563289
ATF2	NKX1-2	0.8424429846145092
ATF2	PWWP2A	0.8424429846145092
ATF2	C14orf70	0.8424429846145092
ATF2	SNORA35	0.8424429846145092
ATF2	SNORA1	0.8424429846145092
ATF2	CXADR	0.8424429846145092
ATF2	HDGFRP2	0.8424429846145092
ATF2	C22orf34	0.8424429846145092
ATF2	RNASE1	0.6736196808348822
ATF2	AAA1	0.8424429846145092
ATF2	OR6T1	0.6736196808348822
ATF2	SLC5A8	0.8424429846145092
ATF2	SLC5A9	0.8424429846145092
ATF2	RBP1	0.8424429846145092
ATF2	CELA3B	0.8424429846145092
ATF2	TTYH2	0.8424429846145092
ATF2	TTYH1	0.8424429846145092
ATF2	DAZ3	0.8424429846145092
ATF2	DAZ2	0.8424429846145092
ATF2	BAZ2B	0.6736196808348822
ATF2	DAZ1	0.8424429846145092
ATF2	SLC5A2	0.8424429846145092
ATF2	ZNF25	0.6736196808348822
ATF2	SNORD115-30	0.8424429846145092
ATF2	NCRNA00111	0.8424429846145092
ATF2	KCNQ1OT1	0.8424429846145092
ATF2	NCRNA00113	0.8424429846145092
ATF2	NCRNA00112	0.8424429846145092
ATF2	SCGB1D4	0.8424429846145092
ATF2	LOC146481	0.8424429846145092
ATF2	VTI1B	0.8424429846145092
ATF2	OR8B12	0.8424429846145092
ATF2	TIPARP	0.8424429846145092
ATF2	IL31RA	0.8424429846145092
ATF2	NBPF22P	0.8424429846145092
ATF2	FERMT1	0.8424429846145092
ATF2	LOC400794	0.8424429846145092
ATF2	NOX4	0.8424429846145092
ATF2	SNORA46	0.8424429846145092
ATF2	SNORA41	0.8424429846145092
ATF2	SFTA2	0.8424429846145092
ATF2	GPR26	0.8424429846145092
ATF2	LOC440173	0.8424429846145092
ATF2	WFIKKN1	0.8424429846145092
ATF2	WFIKKN2	0.8424429846145092
ATF2	CSDAP1	0.8424429846145092
ATF2	SNAR-E	0.8424429846145092
ATF2	LOC92973	0.8424429846145092
ATF2	FRG2C	0.8424429846145092
ATF2	AACS	0.8424429846145092
ATF2	MED13	0.7644187703483452
ATF2	OR6Y1	0.8424429846145092
ATF2	DIO3OS	0.8424429846145092
ATF2	RBMY1E	0.8424429846145092
ATF2	RBMY1J	0.8424429846145092
ATF2	MRPL53	0.8424429846145092
ATF2	TMEFF1	0.8424429846145092
ATF2	MMP14	0.8424429846145092
ATF2	TEDDM1	0.8424429846145092
ATF2	OR52A4	0.8424429846145092
ATF2	PTRH1	0.8424429846145092
ATF2	C13orf26	0.8424429846145092
ATF2	SNORA68	0.8424429846145092
ATF2	RBMY1B	0.8424429846145092
ATF2	SERPINB13	0.8424429846145092
ATF2	KCNA1	0.8424429846145092
ATF2	URM1	0.7125463139959529
ATF2	CRCT1	0.8424429846145092
ATF2	LOC284798	0.8424429846145092
ATF2	SRRT	0.8424429846145092
ATF2	WNT8B	0.8424429846145092
ATF2	NCRNA00164	0.8424429846145092
ATF2	LOC650293	0.8424429846145092
ATF2	NCRNA00160	0.8424429846145092
ATF2	SLC7A2	0.8424429846145092
ATF2	NCRNA00159	0.8424429846145092
ATF2	NTF4	0.8424429846145092
ATF2	OR4S1	0.8424429846145092
ATF2	FOXS1	0.8424429846145092
ATF2	MYCT1	0.899022207904455
ATF2	LOC643763	0.8424429846145092
ATF2	NCRNA00157	0.8424429846145092
ATF2	REXO1L1	0.7793884032961325
ATF2	UCP2	0.8424429846145092
ATF2	KRTAP2-4	0.8424429846145092
ATF2	PRAME	0.8424429846145092
ATF2	RABAC1	0.8424429846145092
ATF2	KRTAP2-1	0.8424429846145092
ATF2	C4orf7	0.8424429846145092
ATF2	LOC339788	0.8424429846145092
ATF2	MBD4	0.8424429846145092
ATF2	MBD1	0.8424429846145092
ATF2	OR10G3	0.8424429846145092
ATF2	BBOX1	0.8424429846145092
ATF2	UNCX	0.8424429846145092
ATF2	FAM92A3	0.8424429846145092
ATF2	LOC100130148	0.8424429846145092
ATF2	AADAC	0.8424429846145092
ATF2	LOC100128076	0.8424429846145092
ATF2	LOC653545	0.8424429846145092
ATF2	LOC653544	0.8424429846145092
ATF2	OR10G8	0.8424429846145092
ATF2	OR10G9	0.8424429846145092
ATF2	UOX	0.6931471805599454
ATF2	CASC2	0.8424429846145092
ATF2	DEFB1	0.8424429846145092
ATF2	MSI1	0.8424429846145092
ATF2	NCRNA00185	0.8424429846145092
ATF2	NCRNA00182	0.8041619630204182
ATF2	C21orf15	0.8424429846145092
ATF2	SNAR-G1	0.8424429846145092
ATF2	SNAR-G2	0.8424429846145092
ATF2	POTED	0.8424429846145092
ATF2	NUDT14	0.6728477014435885
ATF2	POTEA	0.8424429846145092
ATF2	POTEB	0.8424429846145092
ATF2	POTEC	0.8424429846145092
ATF2	IFNA16	0.8424429846145092
ATF2	TBR1	0.6736196808348822
ATF2	ATXN2L	0.7737645348563289
ATF2	LOC348021	0.8424429846145092
ATF2	OR4X1	0.8424429846145092
ATF2	OR51T1	0.8424429846145092
ATF2	DYDC1	0.8424429846145092
ATF2	FSCN2	0.8757625574631369
ATF2	CDKL1	0.8960449810684445
ATF2	S100A7	0.8424429846145092
ATF2	GRIA2	0.8424429846145092
ATF2	LCN9	0.8424429846145092
ATF2	BIRC8	0.8424429846145092
ATF2	NCRNA00230B	0.8424429846145092
ATF2	C7orf70	0.8521425513325127
ATF2	SPATA4	0.8424429846145092
ATF2	CYP2C18	0.8424429846145092
ATF2	LRRC55	0.8424429846145092
ATF2	LRRC52	0.8424429846145092
ATF2	OR51S1	0.8424429846145092
ATF2	SMYD2	0.8424429846145092
ATF2	ZKSCAN2	0.8424429846145092
ATF2	SLC38A5	0.7737645348563289
ATF2	LRRC69	0.8424429846145092
ATF2	ZBTB17	0.813212534207032
ATF2	C7orf66	0.8424429846145092
ATF2	HTR1E	0.8424429846145092
ATF2	KRTAP4-8	0.8424429846145092
ATF2	ODF1	0.8424429846145092
ATF2	KRTAP4-7	0.8424429846145092
ATF2	KRTAP4-5	0.8424429846145092
ATF2	TFPI2	0.8424429846145092
ATF2	FAM90A7	0.8424429846145092
ATF2	B3GALT5	0.8424429846145092
ATF2	TMPRSS12	0.8424429846145092
ATF2	DCDC1	0.8424429846145092
ATF2	LOC100128675	0.8424429846145092
ATF2	TBXAS1	0.8424429846145092
ATF2	C7orf68	0.8424429846145092
ATF2	PRAC	0.8424429846145092
ATF2	OR14J1	0.8424429846145092
ATF2	CELF1	0.8424429846145092
ATF2	ONECUT3	0.8424429846145092
ATF2	LECT2	0.8424429846145092
ATF2	LOC644669	0.8424429846145092
ATF2	BICD1	0.7130676801855858
ATF2	C14orf28	0.8424429846145092
ATF2	RLBP1	0.8424429846145092
ATF2	C14orf34	0.8424429846145092
ATF2	ZNF648	0.8424429846145092
ATF2	C9orf64	1.187904639271418
ATF2	SNAP29	0.6736196808348822
ATF2	LOC729609	0.8424429846145092
ATF2	PEG3	0.8424429846145092
ATF2	VBP1	0.8424429846145092
ATF2	RNASET2	0.7737645348563289
ATF2	HTR3C	0.8424429846145092
ATF2	VPS37C	0.6931471805599454
ATF2	SNORD115-20	0.8424429846145092
ATF2	TMED10P1	0.8424429846145092
ATF2	LOC100130522	0.8424429846145092
ATF2	OR10A7	0.8424429846145092
ATF2	HAND2	0.8424429846145092
ATF2	BIRC6	0.7737645348563289
ATF2	NAF1	0.7385369018604737
ATF2	OR56A4	0.8424429846145092
ATF2	OR10A3	0.8424429846145092
ATF2	OR10A6	0.8424429846145092
ATF2	RBMY2EP	0.8424429846145092
ATF2	MLLT1	0.6931471805599454
ATF2	BARX2	0.8424429846145092
ATF2	C2orf84	0.8424429846145092
ATF2	C14orf53	0.8424429846145092
ATF2	SLITRK4	0.8424429846145092
ATF2	ZNF627	0.6736196808348822
ATF2	SLITRK3	0.8424429846145092
ATF2	IGF2BP1	0.8424429846145092
ATF2	KRTAP6-2	0.8424429846145092
ATF2	KRTAP6-1	0.8424429846145092
ATF2	OR12D3	0.8424429846145092
ATF2	PCBD1	0.8424429846145092
ATF2	OR12D2	0.8424429846145092
ATF2	KC6	0.8424429846145092
ATF2	OR7E5P	0.8424429846145092
ATF2	PRRX2	0.6736196808348822
ATF2	TTTY1B	0.8424429846145092
ATF2	SYT15	0.8424429846145092
ATF2	LOC730811	0.8424429846145092
ATF2	LOC100128239	0.8424429846145092
ATF2	TTTY18	0.8424429846145092
ATF2	TTTY19	0.8424429846145092
ATF2	OR2V2	0.8424429846145092
ATF2	UBQLNL	0.7737645348563289
ATF2	SYT10	0.8424429846145092
ATF2	TTTY14	0.8424429846145092
ATF2	KCNK2	0.8424429846145092
ATF2	OR7G1	0.8424429846145092
ATF2	LDLRAD2	0.8424429846145092
ATF2	LOC121838	0.8424429846145092
ATF2	ZDHHC2	0.8424429846145092
ATF2	MGC45800	0.8424429846145092
ATF2	RESP18	0.8424429846145092
ATF2	TTTY23	0.8424429846145092
ATF2	TNFSF11	0.8424429846145092
ATF2	TTTY21	0.8424429846145092
ATF2	TTTY22	0.8424429846145092
ATF2	C1orf204	0.8424429846145092
ATF2	BSX	0.8424429846145092
ATF2	C16orf79	0.8424429846145092
ATF2	LOC286094	0.8424429846145092
ATF2	GCAT	0.8424429846145092
ATF2	C2orf55	0.8424429846145092
ATF2	MT1A	0.8424429846145092
ATF2	OR5E1P	1.0874325962697022
ATF2	CTXN3	0.8424429846145092
ATF2	CTXN2	0.8424429846145092
ATF2	OR5A2	0.8424429846145092
ATF2	C9orf30	0.8424429846145092
ATF2	OR9I1	0.8424429846145092
ATF2	TAS2R40	0.6736196808348822
ATF2	LOC554202	0.8424429846145092
ATF2	TMEM63B	0.8424429846145092
ATF2	FOXG1	0.8424429846145092
ATF2	PCDH15	0.8424429846145092
ATF2	LOC91149	0.8424429846145092
ATF2	TTTY4C	0.8424429846145092
ATF2	NEU2	0.8424429846145092
ATF2	MC2R	0.8424429846145092
ATF2	SPATA5L1	0.8424429846145092
ATF2	FLJ42709	0.8424429846145092
ATF2	ST8SIA4	0.8424429846145092
ATF2	ARSI	0.8424429846145092
ATF2	ARSG	0.8424429846145092
ATF2	FAM9B	0.8424429846145092
ATF2	TMEM86A	0.8424429846145092
ATF2	XBP1	0.8424429846145092
ATF2	TMEM86B	0.8424429846145092
ATF2	YES1	0.8424429846145092
ATF2	FAM78A	0.7129192018406063
ATF2	TNFSF15	0.8424429846145092
ATF2	REG4	0.8424429846145092
ATF2	KRTAP8-1	0.8424429846145092
ATF2	PRG1	0.8424429846145092
ATF2	CRNN	0.8424429846145092
ATF2	ZBTB9	0.8424429846145092
ATF2	LOC100130987	0.8424429846145092
ATF2	SNW1	0.8424429846145092
ATF2	OR2Z1	0.8424429846145092
ATF2	MGC27382	0.8424429846145092
ATF2	OR9G4	0.8424429846145092
ATF2	PTPRT	0.8521425513325127
ATF2	SPAG16	0.8424429846145092
ATF2	BARHL2	0.8424429846145092
ATF2	SPAG17	0.8424429846145092
ATF2	MOGAT3	0.8424429846145092
ATF2	CETN1	0.8424429846145092
ATF2	SNAR-C3	0.8424429846145092
ATF2	AKR1B1	0.6736196808348822
ATF2	SNAR-C2	0.8424429846145092
ATF2	TTTY6B	0.8424429846145092
ATF2	WFDC3	0.8424429846145092
ATF2	DMBX1	0.8424429846145092
ATF2	PPPDE1	0.6736196808348822
ATF2	SPANXN1	0.8424429846145092
ATF2	C5orf44	0.7737645348563289
ATF2	LOC285194	0.8424429846145092
ATF2	SPANXN3	0.8424429846145092
