Regulator	Target	MI
ATF1	MRPS10	0.6931471805599454
ATF1	ZNF43	0.6792435492746867
ATF1	ZC3H6	0.6717194195263874
ATF1	NAT14	0.7502153002598635
ATF1	CHCHD4	0.7214470930146852
ATF1	SENP7	0.7506201960509546
ATF1	RSRC1	0.6736196808348822
ATF1	SH3BGRL3	0.7507937593532463
ATF1	RPL37	0.8521425513325127
ATF1	RSPO1	0.8059327392951832
ATF1	SPDYE7P	0.6792435492746867
ATF1	RAG1AP1	0.7101301212324365
ATF1	AP1AR	0.7502153002598635
ATF1	TIMD4	0.7502153002598635
ATF1	LARP4B	0.7793884032961325
ATF1	IL17RA	0.8488683678065434
ATF1	TAF6L	0.7233736875458274
ATF1	ABCA10	0.6931471805599454
ATF1	SLC9A4	0.8211581327776312
ATF1	SNORA74B	0.7299879187881038
ATF1	UTRN	0.7981239982931254
ATF1	C7orf45	0.7995434404547508
ATF1	ZNF597	0.7012342944684753
ATF1	GRAMD1B	0.6696552656043018
ATF1	PPM1N	0.7587561260332825
ATF1	ZNF22	0.6792435492746867
ATF1	HSD17B11	0.813234040121706
ATF1	SLC1A6	0.8313694556611075
ATF1	NSL1	0.6736196808348822
ATF1	PCDH17	0.7964680841086174
ATF1	TMEM71	0.6736196808348822
ATF1	EIF1AD	0.8083565919951239
ATF1	ARVCF	0.7333785727126161
ATF1	ATXN1	0.7322953010895032
ATF1	STK38L	0.721969773027221
ATF1	MYCL1	0.991738788669073
ATF1	RBBP6	0.8586548695621525
ATF1	ZNF423	0.6792435492746867
ATF1	CCR10	0.7000833878919255
ATF1	C15orf23	0.6826417830997737
ATF1	NR2C2AP	0.8132125342070324
ATF1	GTF2A1L	0.7506201960509546
ATF1	SRPK2	0.659213964072852
ATF1	TTC15	0.8453017302997008
ATF1	ATRNL1	0.6736196808348822
ATF1	IDH1	0.7102389316945539
ATF1	MBOAT7	0.6704435912897329
ATF1	TRIP4	0.6737327672690139
ATF1	C11orf57	0.7377124918234399
ATF1	HCRTR2	0.6618442593825078
ATF1	METT11D1	0.7333785727126161
ATF1	CDKN2AIPNL	0.8067022461009765
ATF1	MFAP1	0.991738788669073
ATF1	SELM	0.6992117985349111
ATF1	GPR182	0.6699251472312877
ATF1	OGDH	0.8026585557692139
ATF1	BUD13	0.6736196808348822
ATF1	COPG2	0.710212975376256
ATF1	HBP1	0.8026585557692139
FOXA1	ROBO2	0.8453017302997003
FOXA1	UBA5	0.6596378931931164
FOXA1	TMTC4	0.663412172090196
FOXA1	FAM100A	0.8026585557692134
FOXA1	C14orf156	0.7620303095592522
FOXA1	CDC45	0.709496539969658
FOXA1	SERTAD1	0.7530657497437967
FOXA1	TBX22	0.7072084383811212
FOXA1	LRRC8C	0.7125463139959529
FOXA1	ANKRD6	0.6684076188877581
FOXA1	UBE2MP1	0.7125463139959529
FOXA1	XRCC6	0.6663365019586234
FOXA1	TMEM132B	0.6663365019586229
FOXA1	PPP2R5B	0.6745217498658969
FOXA1	WDR53	0.7575167961646141
FOXA1	NIPA2	0.7981239982931254
FOXA1	IRGM	0.8211581327776316
FOXA1	CXorf27	0.7299879187881042
FOXA1	MCM3APAS	0.709496539969658
FOXA1	LRRC7	0.7062416371565496
FOXA1	TMX1	0.6815618954410709
FOXA1	R3HCC1	0.7564487437318843
FOXA1	GUF1	0.7417181032093194
FOXA1	NACAD	0.7093765305464013
FOXA1	LOC401387	0.7312407128376468
FOXA1	PCYOX1	0.7564487437318839
FOXA1	SPRN	0.8577241171598811
ATF2	ALG1L	0.9675853460266919
ATF2	RPL5	0.8488683678065434
ATF2	SNORA6	0.7048195557767292
ATF2	LOC151009	0.6663105811696277
ATF2	POM121L10P	0.6618442593825082
ATF2	C1orf53	0.6722696848121221
ATF2	CCNH	0.7130676801855858
ATF2	YJEFN3	0.6705008986430174
ATF2	MT1L	0.7288139780244438
ATF2	KIAA0020	0.6797940412974932
ATF2	PTPN21	0.804965938070612
ATF2	PPP2R2A	0.7214470930146852
ATF2	UBE2L6	0.7506201960509538
ATF2	ACSM4	0.6769565664308241
ATF2	C8B	0.7102129753762565
ATF2	COX7C	0.6839864050524631
ATF2	ERO1L	0.6895641444535041
ATF2	MRPL33	0.6989560380002509
ATF2	PPP1CB	0.6898196905386298
ATF2	KIAA0415	0.7006753111661821
ATF2	AKR7A3	0.7297507820548548
ATF2	SART3	0.8800604277516619
ATF2	GOLGA6L10	0.6783647618144713
ATF2	C8orf4	0.6736196808348822
ATF2	UBXN7	0.7547841309021255
ATF2	C9orf64	0.899022207904455
ATF2	MYOZ1	0.663412172090196
ATF2	ZNF167	0.8356581377407712
ATF2	ARL11	0.6737327672690139
ATF2	PLA2G12B	0.7793884032961325
ATF2	UGT2B11	0.7006753111661825
ATF2	RBM18	0.8805407928642244
ATF2	NSMCE2	0.8800604277516619
ATF2	TBR1	0.8298866623169747
ATF2	YOD1	0.7233736875458274
ATF2	BHLHA15	0.6663365019586229
ATF2	HAUS5	0.7006753111661821
ATF2	MRPS7	0.6722696848121221
ATF2	TCTE3	0.6676652271628605
ATF2	DUSP7	0.7130063319564397
ATF2	RBX1	0.7134781851428995
ATF2	SRRM1	0.8059327392951832
ATF2	LOC347376	0.6663105811696277
ATF2	SLC25A17	0.7033728112548947
ATF2	MSH3	0.9396233790514437
ATF2	RILPL1	0.8896950671978816
ATF2	EXOC4	0.7540679428792152
ATF2	IRF7	0.750993740807059
ATF2	SNORA69	0.6596378931931164
ATF2	LCT	0.6717194195263874
ATF2	RPL29P2	0.6860854890521728
ATF2	C16orf62	0.7737645348563289
ATF2	SF3B5	0.7737645348563289
ATF2	RAMP3	0.6736196808348822
ATF2	TM2D2	0.7793884032961325
ATF2	SFRS17A	0.9751309816896652
ATF2	RPN1	0.8026585557692134
ATF2	PARN	0.923473961077621
ATF2	OR2K2	0.7545747261432996
ATF2	FOXO4	0.7277717074784009
ATF2	LOC202181	0.9763591125971947
ATF2	NPIP	0.7377124918234399
ATF2	TRPM1	0.6663365019586229
ATF2	BAG4	0.7737645348563289
ATF2	CLEC3B	0.6663365019586229
ATF2	T	1.1101138082642548
ATF2	LARS	0.6927400195491185
ATF2	ERI3	0.6589165455496704
ATF2	CCL3	0.7461705034709634
ATF2	SAP18	0.9439996130622412
ATF2	RBM12	0.7130676801855858
ATF2	ABCF1	0.8800604277516619
ATF2	POLR2L	0.7550004709376132
ATF2	GSDMC	0.6873221719037299
ATF2	FZD4	0.7793884032961325
ATF2	NUBPL	0.697028701628783
ATF2	SCARNA21	0.8490112770032239
ATF2	PRSS30P	0.7352981102453517
ATF2	NMBR	0.673662230831007
ATF2	MRPL21	0.7043344528589293
ATF2	CHERP	0.7761977308254342
ATF2	MARCH2	0.6826348601106491
ATF2	NEDD1	0.7863266613983138
ATF2	LYRM4	0.6737327672690139
ATF2	C17orf65	0.7543080017436523
ATF2	RAB15	0.6717194195263874
ATF2	RQCD1	0.7006753111661821
ATF2	SARM1	0.6707463522241426
ATF2	LOC100302401	0.6663105811696277
ATF2	DUS1L	0.7140284504286343
ATF2	REEP6	0.6639265752727805
ATF2	ZNF774	1.0398860172943345
ATF2	MYO1F	0.6901977257162821
