Regulator	Target	MI
ATF1	TAF6L	0.6931471805599454
ATF1	GPR161	0.797981571576285
ATF1	MSH4	0.7020270705575316
ATF1	GRPEL2	0.7587561260332825
ATF1	ADSSL1	0.7737645348563289
ATF1	SLC25A42	0.7644187703483452
ATF1	HLA-DOA	0.7242874622821547
ATF1	WASH2P	0.9350975202206064
FOXA1	PANK3	0.6840379081612968
FOXA1	REV1	0.729488098531069
FOXA1	MTUS2	0.6815247401616347
FOXA1	GLCCI1	0.7375588661454615
FOXA1	C8orf55	0.7504567252526639
ATF2	PIGB	0.6931471805599454
ATF2	IBTK	0.6736196808348822
ATF2	MGAM	0.6931471805599454
ATF2	DPH2	0.7127546122976409
ATF2	DDX43	0.6737327672690139
ATF2	ELP3	0.6931471805599454
ATF2	GDF3	0.6737327672690139
ATF2	C9orf64	0.6737327672690139
ATF2	ZNF621	0.6931471805599454
ATF2	SPERT	0.8424429846145092
ATF2	ZNF773	0.6931471805599454
CCNT2	ITSN2	0.6931471805599454
CCNT2	SLC23A3	0.8026585557692134
CCNT2	KCNG3	0.901626546895812
CCNT2	ZNF691	0.8026585557692139
CCNT2	TBC1D3B	0.7925433722901998
CCNT2	MPI	0.6596378931931164
CCNT2	C19orf26	0.7564487437318839
CCNT2	NCRNA00183	0.7417181032093194
CCNT2	NUDT5	0.6840379081612973
CCNT2	AADACL3	0.9012565811823454
CCNT2	C2orf69	0.7564487437318839
CCNT2	FNTA	0.8961816241874514
CCNT2	CDH1	0.901626546895812
CCNT2	SNORA31	0.6967769819699843
CCNT2	C16orf72	0.6663365019586229
CCNT2	JMJD4	0.7629700357208504
CCNT2	LHCGR	0.6957848606919494
CCNT2	COG3	0.6931471805599454
CCNT2	ORC4L	0.6736196808348822
CCNT2	MED9	0.7564487437318843
CCNT2	MED6	0.6834249969815085
CCNT2	FAM133A	0.7158204975219222
CCNT2	RBMXL2	0.7569350009236606
CCNT2	HGC6.3	0.7814904094270294
CCNT2	POLG2	0.7620303095592522
CCNT2	GUF1	0.825609179198449
CCNT2	CCDC83	0.7046103654674374
CCNT2	LRRC56	0.7161349592686173
CCNT2	C7orf70	0.9973203544964404
CCNT2	PDS5B	0.991738788669073
CCNT2	C11orf24	0.6729910324555681
CCNT2	ARL17B	0.7103148628492493
CCNT2	KLC2	0.8424429846145092
CCNT2	SFRS5	0.8960449810684441
CCNT2	RDH10	0.7299879187881047
CCNT2	SFRS12	0.7569350009236606
CCNT2	FGF21	0.7545747261432996
CCNT2	LOC390858	0.7158204975219222
CCNT2	OSBPL8	0.947836358933142
CCNT2	KRTAP12-4	0.7509635085167474
CCNT2	XRCC2	0.6663365019586229
CCNT2	RASSF8	0.6696552656043013
CCNT2	BRAF	0.7101301212324365
CCNT2	LOC731789	0.7158204975219222
CCNT2	KIAA1751	0.7509635085167474
CCNT2	GABRB2	0.901626546895812
CCNT2	USP36	0.6736196808348822
CCNT2	BCAR4	0.7158204975219222
CCNT2	HEPACAM2	0.7158204975219222
CCNT2	ETFB	0.8120560584821832
CCNT2	MRPL37	0.9422547931057741
CCNT2	WDR46	0.8424429846145092
CCNT2	MED18	0.6931471805599454
CCNT2	MRPL33	0.6663105811696277
CCNT2	TIMP3	0.6608976102317841
CCNT2	BBS7	0.7130063319564401
CCNT2	LOC400043	0.7545747261432996
CCNT2	DIS3L2	0.6834249969815085
CCNT2	C3orf38	0.7547841309021255
CCNT2	PAPD4	0.8424429846145092
CCNT2	DUSP27	0.9012565811823454
CCNT2	ZFX	0.8960449810684441
CCNT2	ZHX1	0.6729910324555686
CCNT2	ARHGEF9	0.7858959388095843
CCNT2	GAP43	0.7545747261432996
CCNT2	NSA2	0.7564487437318843
CCNT2	ADRB3	0.7925433722901998
CCNT2	VGF	0.6931471805599454
CCNT2	ITGA6	0.7441849277206845
CCNT2	ARHGEF2	0.8686173549000937
CCNT2	ZNF358	0.7547841309021255
CCNT2	SLU7	0.7547841309021255
CCNT2	SOS2	0.6931471805599454
CCNT2	ZNF630	0.6749723322338341
CCNT2	FYTTD1	0.6737327672690139
CCNT2	SDCCAG3	0.6834249969815085
CCNT2	CXorf1	0.6931471805599454
CCNT2	NDUFB1	0.6860129418618888
CCNT2	CAMKK1	0.6700707034450799
CCNT2	P2RY8	0.6589165455496704
CCNT2	IGF2BP2	0.7371331213511478
CCNT2	NXF4	0.7814904094270294
CCNT2	MEST	0.7545747261432996
CCNT2	MAP4K4	0.6736196808348822
CCNT2	OR4B1	0.7509635085167474
CCNT2	ARFGEF2	0.6931471805599454
CCNT2	GALNT1	0.7545747261432996
CCNT2	KCNRG	0.6736196808348822
CCNT2	ZNF79	0.6931471805599454
CCNT2	SDHAP2	0.7046103654674374
CCNT2	SUCLA2	0.8960449810684441
CCNT2	RAB15	0.7858959388095843
CCNT2	KIAA0907	0.7547841309021255
CCNT2	LOC100130264	0.816931034023265
CCNT2	BRDT	0.7545747261432996
CCNT2	IL17A	0.7509635085167474
CCNT2	R3HDM2	0.7584318591841992
SMARCB1	INVS	0.6931471805599454
SMARCB1	PFKFB2	0.6596378931931164
SMARCB1	DYNC1I2	0.6931471805599454
SMARCB1	KDM4A	0.8268922055383037
SMARCB1	PRKCI	0.8424429846145092
SMARCB1	AMBP	0.7209100374423656
SMARCB1	ST7OT3	0.6819759794410234
SMARCB1	ITPR1	0.6931471805599454
SMARCB1	C19orf59	0.7052253229288064
SMARCB1	ABCB9	0.7130676801855862
SMARCB1	C9orf152	0.8003511734678157
SMARCB1	C14orf162	0.6736196808348822
SMARCB1	POLR3D	0.6736196808348822
SMARCB1	CASP2	0.6736196808348822
SMARCB1	ZNF404	0.6931471805599454
SPI1	PGLYRP3	0.6736196808348822
SPI1	PWWP2B	1.187904639271418
SPI1	GAGE8	1.568909738023082
SPI1	LOC284578	1.3727438874207367
SPI1	PWWP2A	1.3727438874207367
SPI1	C14orf70	1.2800273066561187
SPI1	TTTY17A	0.6736196808348822
SPI1	ZNF19	0.7117886824340562
SPI1	CXADR	1.3727438874207367
SPI1	OR4P4	1.2800273066561187
