Regulator	Target	MI
ATF1	CCDC38	0.710130121232436
ATF1	POGZ	0.6627446005742352
ATF1	CD22	0.7747391866069298
FOXA1	TIPIN	0.7983246366583896
FOXA1	CCNT2	0.9039339291972106
FOXA1	RIF1	1.0228143782156494
FOXA1	AXIN1	0.7062268591527734
FOXA1	ETFA	0.6640889396139333
FOXA1	PCOLCE	0.7864164785491825
FOXA1	TXNRD3IT1	0.6663365019586229
FOXA1	FANCB	0.7761977308254342
FOXA1	PAR5	0.755109516495883
FOXA1	MARS	0.8082401215965818
FOXA1	ZSWIM2	0.6741063120251192
ATF2	SLC45A4	0.6704435912897329
ATF2	RBM28	0.7858959388095843
ATF2	SMAD5OS	0.6931471805599454
ATF2	ANKRD57	0.7858959388095843
ATF2	CSTF2T	0.8030314436138672
ATF2	CWC27	0.6582155767171431
ATF2	HTR4	0.7158204975219222
ATF2	KIAA1370	0.6736196808348822
ATF2	SLC1A6	0.843854759040795
ATF2	UBE2Q1	0.8059327392951832
ATF2	FAM120B	0.6736196808348822
ATF2	SLCO2B1	0.6801752059720982
ATF2	ZBED1	0.6596378931931164
ATF2	KPNA5	0.7441849277206845
ATF2	BTRC	0.6969617235867975
ATF2	NR2C2AP	0.8424429846145092
ATF2	ATP8B1	0.6736196808348822
ATF2	LDOC1	0.6792435492746867
ATF2	TPD52L3	0.7113423760381323
ATF2	COMMD1	0.6931471805599454
ATF2	ARID1A	0.7117886824340567
ATF2	RNASE2	0.6931471805599454
ATF2	ETV4	0.7084681554197894
ATF2	NCRNA00171	0.7130676801855858
ATF2	REXO4	0.804965938070612
ATF2	C14orf102	0.6931471805599454
ATF2	NCOR1	0.8424429846145092
ATF2	CNOT1	0.6931471805599454
ATF2	C4orf29	0.8424429846145092
ATF2	COL9A1	0.6956363823469696
ATF2	GNB3	0.7737645348563289
ATF2	CDK13	0.8424429846145092
ATF2	SSBP2	0.7523544739577348
ATF2	ZNF354A	0.6912572262049856
ATF2	LOC442454	0.6596540043911028
ATF2	UOX	0.6931471805599454
CCNT2	FOXA1	0.9039339291972106
CCNT2	CCNT1	0.7697537638499132
CCNT2	RIF1	0.9991670619259012
CCNT2	C22orf25	0.6931471805599454
CCNT2	DPY30	0.687638161922862
CCNT2	SNORD115-2	0.7125463139959529
CCNT2	MED18	0.6931471805599454
CCNT2	GMPPB	0.6901977257162821
CCNT2	THBD	0.7209100374423656
