Regulator	Target	MI
ATF1	MCM8	0.7409855566047345
ATF1	RMND1	0.7409855566047345
ATF1	RHOXF2B	0.7645609826156505
ATF1	BACH1	0.7102129753762565
ATF1	CHD1	0.7125463139959529
ATF1	MLN	0.7025009745141921
ATF1	TTC27	0.8115143051225511
ATF1	RS1	0.7074955499507678
ATF1	LSM12	0.740985556604735
ATF1	CASP3	0.6788809683835684
ATF1	CHCHD6	0.6663365019586234
ATF1	FFAR1	0.8866623441940145
ATF1	UBE2DNL	0.6705212858130167
ATF1	SLFN12L	0.9570307106774223
ATF1	C1orf43	1.0427268361074904
ATF1	MAP1S	0.7506201960509538
ATF1	DNTTIP1	0.7384627385629887
ATF1	MANEAL	0.7433395297781193
ATF1	LOC100127888	0.702277683759192
ATF1	TAF6L	0.8424429846145092
ATF1	C18orf55	0.7858959388095843
ATF1	GPR123	0.7696406774157816
ATF1	TSHZ3	0.6912572262049856
ATF1	USP12	0.8424429846145092
ATF1	DDX20	0.7130676801855858
ATF1	MOSPD1	0.7089785577444352
ATF1	TMEM74	0.7549077716734809
ATF1	PHB	0.6968598361138039
ATF1	HIGD1C	0.7492451628877212
ATF1	SH3BP1	0.7704863104544977
ATF1	ASB10	0.7572968893740248
ATF1	ZNF668	0.8551712812773578
ATF1	TP53I11	0.6865302671756597
ATF1	WNT2	0.6931471805599454
ATF1	NHEJ1	0.8003511734678157
ATF1	ZNF585A	0.664390172275906
ATF1	DNAH12	0.6895236052096565
ATF1	LRRC37A2	0.7498533762801967
ATF1	CCDC58	0.6689191399570782
ATF1	C21orf94	0.6956254184819834
ATF1	CHCHD10	0.6717194195263874
ATF1	C16orf11	0.7125463139959529
ATF1	OR51I1	0.8521425513325132
ATF1	ACADSB	0.6983063455394856
ATF1	KLF2	0.6663365019586229
ATF1	GPN3	0.7384627385629887
ATF1	C5orf35	0.7469507474046715
ATF1	PER1	0.7761977308254346
ATF1	CENPK	0.6737327672690139
ATF1	C4orf27	0.7046103654674374
ATF1	AQP11	0.7078128938107255
FOXA1	C7orf54	0.8003511734678157
FOXA1	THRB	0.8791742554690991
FOXA1	ORC1L	0.8059327392951836
FOXA1	TSSK1B	0.7929415240123978
FOXA1	CLEC14A	0.7811453413915634
FOXA1	DUSP18	0.8026585557692134
FOXA1	TCIRG1	0.8521425513325127
FOXA1	C21orf59	0.8249283707988502
FOXA1	TMEM48	0.6614736367575897
FOXA1	TRIM28	0.7672748289985005
FOXA1	BAI2	0.6730483398088527
FOXA1	PDE4B	0.8496699225766982
FOXA1	IDS	0.7504567252526639
FOXA1	SLC26A11	0.6860129418618888
FOXA1	RGS9	0.6619898556142232
FOXA1	HS3ST3B1	0.6628251816994042
FOXA1	TIPIN	1.005127319842373
FOXA1	ACOT7	0.6763115594698355
FOXA1	ARNT	0.7072084383811212
FOXA1	MSL3L2	0.6640994816636203
FOXA1	DGKZ	0.6801501210147856
FOXA1	PGF	0.7735459296011049
FOXA1	DEPDC4	0.9503072120328309
FOXA1	PHLPP2	0.7284213999391658
FOXA1	DNAH1	0.947836358933142
FOXA1	ENPEP	0.7420916479654243
FOXA1	ALOX15	0.8094971916181386
FOXA1	CREM	0.6806293673826738
FOXA1	LRRC50	0.7025009745141921
FOXA1	UGT2B28	0.7381203097457179
FOXA1	ADAM20	0.6736196808348822
FOXA1	LPO	0.6616030817733964
FOXA1	KIR2DL3	0.8960449810684445
FOXA1	PSMB6	0.8763419279354285
FOXA1	PRKY	0.7860650966192031
FOXA1	TSPAN9	0.7832072701118369
FOXA1	NFKBIL2	0.7102389316945543
FOXA1	CTNNA3	0.740985556604735
FOXA1	C1orf107	0.7564487437318843
FOXA1	CCDC70	0.9422547931057741
FOXA1	PLXNA3	0.7178011403887368
FOXA1	GINS1	0.7382990203810094
FOXA1	CDT1	0.991738788669073
FOXA1	CDK19	0.7452990885455599
FOXA1	GALNT3	0.7214470930146852
FOXA1	MID1IP1	1.0128729369591594
FOXA1	ATP2B3	0.7214470930146852
FOXA1	KIAA0232	0.9940461709704711
FOXA1	TMEM20	0.729488098531069
FOXA1	ARID3C	0.8983523633698427
FOXA1	ALOX15B	0.6618442593825078
FOXA1	VIL1	0.6893612408685037
FOXA1	CYP26A1	0.8437201666919893
FOXA1	LEP	0.6652142993999477
FOXA1	SNORD126	0.6704435912897329
FOXA1	NFE2L3	0.6802667864915555
FOXA1	PCDHB6	0.7125463139959534
FOXA1	SERHL2	0.7073376360132388
FOXA1	RLTPR	0.7280778523772207
FOXA1	MAD2L1	0.7486512495078044
FOXA1	WDR45L	0.8291733964252517
ATF2	LRRC14B	0.6736196808348822
ATF2	JRK	0.6931471805599454
ATF2	SPI1	0.6736196808348822
ATF2	PWWP2B	0.6736196808348822
ATF2	GAGE8	0.6736196808348822
ATF2	LOC284578	0.6736196808348822
ATF2	SPINT4	0.6736196808348822
ATF2	FLJ12825	0.6736196808348822
ATF2	OR4Q3	0.6736196808348822
ATF2	NBLA00301	0.6736196808348822
ATF2	RAVER1	0.6736196808348822
ATF2	PWWP2A	0.6736196808348822
ATF2	C14orf70	0.6736196808348822
ATF2	PKNOX1	0.8424429846145092
ATF2	TTTY17A	0.6736196808348822
ATF2	KRTDAP	0.6736196808348822
ATF2	CXADR	0.6736196808348822
ATF2	ENDOG	0.7342018284756722
ATF2	ESX1	0.6736196808348822
ATF2	HDGFRP2	0.6736196808348822
ATF2	OR4P4	0.6736196808348822
ATF2	ISL1	0.6736196808348822
ATF2	SCO1	0.6736196808348822
ATF2	OPTC	0.6736196808348822
ATF2	C14orf86	0.6736196808348822
ATF2	LOC100128292	0.899022207904455
ATF2	LOC349196	0.6736196808348822
ATF2	GTSF1	0.6736196808348822
ATF2	LOC643719	0.6736196808348822
ATF2	TPRG1L	0.899022207904455
ATF2	ADAM5P	0.6736196808348822
ATF2	SCGB1D2	0.6736196808348822
ATF2	KCNQ1OT1	0.6736196808348822
ATF2	SCGB1D4	0.6736196808348822
ATF2	LOC146481	0.6736196808348822
ATF2	LOC100132354	0.6736196808348822
ATF2	TIPARP	0.6736196808348822
ATF2	OR4N5	0.6736196808348822
ATF2	OR4N2	0.6736196808348822
ATF2	NBPF22P	0.6736196808348822
ATF2	PGA4	0.6736196808348822
ATF2	SFTA2	0.6736196808348822
ATF2	SFTA3	0.899022207904455
ATF2	LOC440173	0.6736196808348822
ATF2	CSDAP1	0.6736196808348822
ATF2	LOC92973	0.899022207904455
ATF2	FRG2B	0.6736196808348822
ATF2	HOXC13	0.6736196808348822
ATF2	FRG2C	0.6736196808348822
ATF2	HOXC12	0.6736196808348822
ATF2	ANXA8L2	0.6736196808348822
ATF2	MMP21	0.6736196808348822
ATF2	PRKAG3	0.7620303095592522
ATF2	MED12	0.6931471805599454
ATF2	MMP27	0.6736196808348822
ATF2	POM121L1P	0.6736196808348822
ATF2	TEX15	0.6736196808348822
ATF2	TEX19	0.6736196808348822
ATF2	MMP11	0.6736196808348822
ATF2	SLC7A5	0.6736196808348822
ATF2	TMEFF1	0.6736196808348822
ATF2	MMP14	0.6736196808348822
ATF2	PLSCR5	0.6736196808348822
ATF2	OR52A4	0.6736196808348822
ATF2	KRTAP25-1	0.6736196808348822
ATF2	EMX2OS	0.6736196808348822
ATF2	SAMD7	0.6736196808348822
ATF2	SAMD8	0.6736196808348822
ATF2	KCNA1	0.6736196808348822
ATF2	CRCT1	0.6736196808348822
ATF2	MYADML	0.6736196808348822
ATF2	KCNA4	0.6736196808348822
ATF2	LOC285401	0.6736196808348822
ATF2	WNT8B	0.899022207904455
ATF2	KCNA7	0.6736196808348822
ATF2	SLC7A2	0.6736196808348822
ATF2	SLC7A3	0.8224075428627633
ATF2	OR4S1	0.6736196808348822
ATF2	LOC643763	0.6736196808348822
ATF2	PABPC1P2	0.6736196808348822
ATF2	AGR3	0.6736196808348822
ATF2	C4orf7	0.6736196808348822
ATF2	MBD3	0.6736196808348822
ATF2	C4orf6	0.6736196808348822
ATF2	LOC339788	0.899022207904455
ATF2	MBD4	0.6736196808348822
ATF2	MBD1	0.6736196808348822
ATF2	BBOX1	0.6736196808348822
ATF2	UNCX	0.6736196808348822
ATF2	LOC100130148	0.6736196808348822
ATF2	LOC653545	0.6736196808348822
ATF2	LOC653544	0.6736196808348822
ATF2	ADAM21P1	0.6736196808348822
ATF2	KCNG4	0.6736196808348822
ATF2	LOC257358	0.6736196808348822
ATF2	CASC2	0.6736196808348822
ATF2	MSI1	0.6736196808348822
ATF2	FBXO24	0.6736196808348822
ATF2	IL1RAP	0.6736196808348822
ATF2	C21orf15	0.6736196808348822
ATF2	IBSP	0.6736196808348822
ATF2	POTED	0.6736196808348822
ATF2	POTEA	0.6736196808348822
ATF2	POTEB	0.6736196808348822
ATF2	IFNA13	0.6736196808348822
ATF2	IFNA14	0.6736196808348822
ATF2	IFNA16	0.899022207904455
ATF2	LOC255167	0.6736196808348822
ATF2	CNPY2	0.6736196808348822
ATF2	SDCBP2	0.6736196808348822
ATF2	FKSG83	0.6736196808348822
ATF2	MSH3	0.6736196808348822
ATF2	OR4X1	0.6736196808348822
ATF2	OR51T1	0.6736196808348822
ATF2	LY6D	0.6736196808348822
ATF2	SMS	0.6736196808348822
ATF2	FTL	0.6736196808348822
ATF2	IFNA10	0.6736196808348822
ATF2	GRIA2	0.6736196808348822
ATF2	LCN9	0.6736196808348822
ATF2	REG3A	0.6736196808348822
ATF2	DLX6	0.6736196808348822
ATF2	C6orf25	0.6736196808348822
ATF2	REG3G	0.6736196808348822
ATF2	C6orf27	0.6736196808348822
ATF2	OR51S1	0.6736196808348822
ATF2	KHDC1	0.6736196808348822
ATF2	SMYD2	0.6736196808348822
ATF2	BAT2L2	0.7143215929798035
ATF2	KRTAP4-3	0.6736196808348822
ATF2	ZKSCAN2	0.6736196808348822
ATF2	KRTAP4-2	0.6736196808348822
ATF2	PGK2	0.6736196808348822
ATF2	KRTAP4-9	0.6736196808348822
ATF2	HTR1E	0.6736196808348822
ATF2	KRTAP4-8	0.6736196808348822
ATF2	ODF1	0.6736196808348822
ATF2	API5	0.7046103654674374
ATF2	KRTAP4-7	0.6736196808348822
ATF2	ODF3	0.6736196808348822
ATF2	KRTAP4-5	0.899022207904455
ATF2	C14orf19	0.6736196808348822
ATF2	FAM90A7	0.6736196808348822
ATF2	TMPRSS12	0.6736196808348822
ATF2	TBXAS1	0.6736196808348822
ATF2	SHBG	0.6920713292884835
ATF2	LOC100133612	0.6736196808348822
ATF2	OR7E24	0.6736196808348822
ATF2	OR7A10	0.6736196808348822
ATF2	TRIM71	0.6736196808348822
ATF2	ONECUT3	0.6736196808348822
ATF2	ONECUT1	0.6736196808348822
ATF2	LOC644669	0.6736196808348822
ATF2	C14orf28	0.6736196808348822
ATF2	RLBP1	0.6736196808348822
ATF2	ARL5B	0.7832072701118369
ATF2	UGT2A3	0.6736196808348822
ATF2	UGT2A1	0.6736196808348822
ATF2	TRIM64	0.6736196808348822
ATF2	UNKL	0.6736196808348822
ATF2	MBL2	0.6736196808348822
ATF2	MSMB	0.6736196808348822
ATF2	OR7A17	0.6736196808348822
ATF2	TRIM63	0.6736196808348822
ATF2	LOC729609	0.6736196808348822
ATF2	HTR3D	0.6736196808348822
ATF2	TFIP11	0.6736196808348822
ATF2	HTR3B	0.899022207904455
ATF2	LOC100130522	0.6736196808348822
ATF2	OR56A5	0.6736196808348822
ATF2	HAND2	0.6736196808348822
ATF2	HAND1	0.6736196808348822
ATF2	SMCR5	0.6736196808348822
ATF2	SPACA3	0.6736196808348822
ATF2	TRIM58	0.6736196808348822
ATF2	BPI	0.6736196808348822
ATF2	OR56A4	0.6736196808348822
ATF2	TRIM50	0.6736196808348822
ATF2	PRKAA2	0.6736196808348822
ATF2	TRIM52	0.6736196808348822
ATF2	C1S	0.6736196808348822
ATF2	FKSG73	0.6736196808348822
ATF2	C14orf53	0.6736196808348822
ATF2	IGF2BP1	0.6736196808348822
ATF2	TRIM46	0.6736196808348822
ATF2	TRIM47	0.6736196808348822
ATF2	OR12D3	0.6736196808348822
ATF2	LOC401431	0.6736196808348822
ATF2	OR12D2	0.6736196808348822
ATF2	KCNJ1	0.6736196808348822
ATF2	KC6	0.6736196808348822
ATF2	OR7E5P	0.6736196808348822
ATF2	SYT15	0.6736196808348822
ATF2	TBX6	0.6736196808348822
ATF2	HTR5A	0.6736196808348822
ATF2	TBX5	0.6736196808348822
ATF2	LOC100128239	0.6736196808348822
ATF2	LOC340357	0.6736196808348822
ATF2	BRE	0.899022207904455
ATF2	SYT10	0.6736196808348822
ATF2	LOC154449	0.6736196808348822
ATF2	KCNK2	0.6736196808348822
ATF2	KCNK3	0.6736196808348822
ATF2	C16orf82	0.6736196808348822
ATF2	OR9K2	0.6736196808348822
ATF2	SLC23A1	0.6736196808348822
ATF2	PPAN	0.6736196808348822
ATF2	ACTB	0.6736196808348822
ATF2	TNFSF11	0.6736196808348822
ATF2	ARL16	0.6736196808348822
ATF2	C6orf103	0.6736196808348822
ATF2	LOH3CR2A	0.6736196808348822
ATF2	TP63	0.6736196808348822
ATF2	BSX	0.6736196808348822
ATF2	CTRB2	0.6736196808348822
ATF2	CTRB1	0.6736196808348822
ATF2	EGOT	0.8229636440517933
ATF2	C16orf79	0.6736196808348822
ATF2	KCNK16	0.6736196808348822
ATF2	ARGFX	0.6736196808348822
ATF2	MT1A	0.6736196808348822
ATF2	SLPI	0.6736196808348822
ATF2	OR5A2	0.6736196808348822
ATF2	RIN1	0.6736196808348822
ATF2	OR9I1	0.6736196808348822
ATF2	FLJ25363	0.6736196808348822
ATF2	LOC554202	0.6736196808348822
ATF2	NRN1	0.6736196808348822
ATF2	TMEM63B	0.6736196808348822
ATF2	RRAD	0.6931471805599454
ATF2	LOC100129935	0.6736196808348822
ATF2	LOC91149	0.6736196808348822
ATF2	NEU2	0.6736196808348822
ATF2	NKAIN1	0.6736196808348822
ATF2	MC2R	0.6736196808348822
ATF2	NKAIN4	0.6736196808348822
ATF2	NKAIN3	0.6736196808348822
ATF2	APOH	0.6736196808348822
ATF2	FLJ42709	0.6736196808348822
ATF2	LOC84856	0.6736196808348822
ATF2	XBP1	0.6736196808348822
ATF2	TNFSF15	0.6736196808348822
ATF2	REG4	0.6736196808348822
ATF2	KRTAP8-1	0.6736196808348822
ATF2	PPBP	0.6736196808348822
ATF2	IL1F10	0.6736196808348822
ATF2	CRNN	0.6736196808348822
ATF2	ZBTB9	0.6736196808348822
ATF2	ACCN1	0.6736196808348822
ATF2	OR9G9	0.6736196808348822
ATF2	LOC256880	0.6736196808348822
ATF2	OR4D11	0.6736196808348822
ATF2	MGC27382	0.6736196808348822
ATF2	OR9G4	0.6736196808348822
ATF2	FBXL6	0.7789835075050418
ATF2	SPAG16	0.6736196808348822
ATF2	IL22	0.6736196808348822
ATF2	SPAG17	0.6736196808348822
ATF2	WFDC9	0.6736196808348822
ATF2	COX7B	0.6736196808348822
ATF2	IL26	0.6736196808348822
ATF2	WFDC1	0.6736196808348822
ATF2	TFB1M	0.6736196808348822
ATF2	C8A	0.6736196808348822
ATF2	WFDC3	0.6736196808348822
ATF2	UPF0639	0.6736196808348822
ATF2	C6orf145	0.6736196808348822
ATF2	C6orf146	0.6736196808348822
ATF2	C6orf163	0.6736196808348822
ATF2	COX8C	0.6736196808348822
ATF2	OR5F1	0.6736196808348822
ATF2	AGTRAP	0.6736196808348822
ATF2	PRPF40A	0.6931471805599454
ATF2	MC3R	0.6736196808348822
ATF2	FSHR	0.6736196808348822
ATF2	LOC644145	0.6736196808348822
ATF2	ARHGEF4	0.6736196808348822
ATF2	CYLC2	0.6736196808348822
ATF2	CYLC1	0.6736196808348822
ATF2	C6orf154	0.6736196808348822
ATF2	C6orf130	0.6736196808348822
ATF2	C1orf31	0.6736196808348822
ATF2	LOC100192378	0.6736196808348822
ATF2	PCNP	0.6736196808348822
ATF2	MGAT3	0.7046103654674374
ATF2	FAM5C	0.6736196808348822
ATF2	C6orf125	0.6736196808348822
ATF2	PISRT1	0.6736196808348822
ATF2	TCEB1	0.6736196808348822
ATF2	C6orf122	0.6736196808348822
ATF2	GABBR2	0.6736196808348822
ATF2	C16orf92	0.6736196808348822
ATF2	FAM5B	0.6736196808348822
ATF2	C1orf25	0.899022207904455
ATF2	C1orf26	0.6736196808348822
ATF2	GAD2	0.6736196808348822
ATF2	GCG	0.6736196808348822
ATF2	PCDHB11	0.6736196808348822
ATF2	PEX14	0.6931471805599454
ATF2	RIT1	0.6736196808348822
ATF2	TFAP4	0.6736196808348822
ATF2	TCEA2	0.6736196808348822
ATF2	PNPLA6	0.6736196808348822
ATF2	PAGE4	0.6736196808348822
ATF2	PAGE3	0.6736196808348822
ATF2	PRDM9	0.6736196808348822
ATF2	OR5K4	0.6736196808348822
ATF2	OR5K3	0.6736196808348822
ATF2	PRDM6	0.6736196808348822
ATF2	OR51D1	0.6736196808348822
ATF2	DUX4	0.6736196808348822
ATF2	FAM150A	0.6822722792195304
ATF2	LOC286238	0.6736196808348822
ATF2	C21orf130	0.6736196808348822
ATF2	C21orf131	0.6736196808348822
ATF2	DUXA	0.6736196808348822
ATF2	TGM4	0.6736196808348822
ATF2	TGM3	0.6736196808348822
ATF2	TMOD1	0.6736196808348822
ATF2	SPINK2	0.6736196808348822
ATF2	OR5J2	0.6736196808348822
ATF2	SPINK7	0.6736196808348822
ATF2	ADAM19	0.6736196808348822
ATF2	GPRIN2	0.6736196808348822
ATF2	PCP4	0.6736196808348822
ATF2	PSPC1	0.6736196808348822
ATF2	FLJ25758	0.6736196808348822
ATF2	TBC1D24	0.6736196808348822
ATF2	CARD18	0.6736196808348822
ATF2	WDFY2	0.6736196808348822
ATF2	RAF1	0.6736196808348822
ATF2	OR1A2	0.899022207904455
ATF2	FBN3	0.6736196808348822
ATF2	OR1A1	0.6736196808348822
ATF2	MAGEA12	0.6736196808348822
ATF2	OR5I1	0.6736196808348822
ATF2	OR9Q1	0.6736196808348822
ATF2	LOC100272217	0.6736196808348822
ATF2	GLYAT	0.6736196808348822
ATF2	BHLHE23	0.6736196808348822
ATF2	C8orf48	0.6736196808348822
ATF2	H2BFM	0.6736196808348822
ATF2	SNTG2	0.6736196808348822
ATF2	RNASEH1	0.6736196808348822
ATF2	FAM71C	0.6736196808348822
ATF2	MAGEA11	0.6736196808348822
ATF2	SNORD30	0.6736196808348822
ATF2	FGF22	0.6736196808348822
ATF2	OR5H6	0.6736196808348822
ATF2	KRTAP12-1	0.6736196808348822
ATF2	SYT5	0.6736196808348822
ATF2	C6orf186	0.6736196808348822
ATF2	C1orf63	0.6736196808348822
ATF2	KRTAP12-2	0.6736196808348822
ATF2	OR5H2	0.6736196808348822
ATF2	C21orf122	0.6736196808348822
ATF2	CAV3	0.7564487437318839
ATF2	MUC16	0.6736196808348822
ATF2	OR5H1	0.6736196808348822
ATF2	SYT1	0.899022207904455
ATF2	UBE2B	0.6736196808348822
ATF2	LOC150568	0.6736196808348822
ATF2	HULC	0.6736196808348822
ATF2	LOC400940	0.6736196808348822
ATF2	C8orf33	0.6736196808348822
ATF2	HIGD2B	0.6736196808348822
ATF2	GH2	0.6736196808348822
ATF2	TMEM232	0.6736196808348822
ATF2	TMEM233	0.6736196808348822
ATF2	FLJ32063	0.6736196808348822
ATF2	SLC9A11	0.7046103654674374
ATF2	SNORD28	0.6736196808348822
ATF2	SNORD29	0.6736196808348822
ATF2	SNORD27	0.6736196808348822
ATF2	SNORD24	0.6736196808348822
ATF2	SNORD25	0.6736196808348822
ATF2	GNAS	0.6736196808348822
ATF2	NXF2B	0.6736196808348822
ATF2	ALPI	0.6736196808348822
ATF2	CNTN3	0.6736196808348822
ATF2	OR51A2	0.6736196808348822
ATF2	TCF3	0.6736196808348822
ATF2	OR51A7	0.6736196808348822
ATF2	FGF10	0.6736196808348822
ATF2	OR1G1	0.6736196808348822
ATF2	TH1L	0.6736196808348822
ATF2	DPY30	0.7349950663979516
ATF2	RERG	0.6736196808348822
ATF2	ZIC3	0.6736196808348822
ATF2	GRM8	0.6736196808348822
ATF2	MGC34034	0.6736196808348822
ATF2	DACT2	0.6736196808348822
ATF2	SNORD51	0.6736196808348822
ATF2	SNORD52	0.6736196808348822
ATF2	C1orf93	0.6736196808348822
ATF2	C1orf83	0.6736196808348822
ATF2	OR51G2	0.6736196808348822
ATF2	C1orf85	0.6736196808348822
ATF2	OR51G1	0.6736196808348822
ATF2	OLIG3	0.6736196808348822
ATF2	FIGLA	0.6736196808348822
ATF2	SNORD4B	0.6736196808348822
ATF2	C8orf59	0.6736196808348822
ATF2	TMEM212	0.6736196808348822
ATF2	SNORD48	0.6736196808348822
ATF2	TMEM216	0.6736196808348822
ATF2	TMEM217	0.6736196808348822
ATF2	TMEM218	0.8082401215965818
ATF2	DPPA5	0.6736196808348822
ATF2	CLRN3	0.899022207904455
ATF2	LOC100287704	0.6736196808348822
ATF2	MS4A1	0.6736196808348822
ATF2	CLRN2	0.6736196808348822
ATF2	CLRN1	0.6736196808348822
ATF2	OR51F2	0.6736196808348822
ATF2	FLJ44082	0.6736196808348822
ATF2	OR51F1	0.6736196808348822
ATF2	OR5M9	0.6736196808348822
ATF2	KRTAP21-2	0.6736196808348822
ATF2	OR5M8	0.6736196808348822
