Regulator	Target	MI
ATF1	NUMA1	0.7161349592686168
ATF1	SPIN4	0.8521425513325127
ATF1	LPCAT1	0.7125463139959529
ATF1	ARID4B	0.8672055804738075
ATF1	C3orf20	0.889983297512202
ATF1	CABIN1	0.7322953010895028
ATF1	CASP9	0.6864270258618412
ATF1	LACTB	0.7433395297781198
ATF1	MMP28	0.6805798543794999
ATF1	STK16	0.7035403229290473
ATF1	OR11H6	0.6736196808348822
ATF1	GPRASP2	0.7417181032093194
ATF1	KIAA1949	0.7274510196719564
ATF1	SLC25A46	0.7693204114246361
ATF1	BNIP3L	0.6616030817733964
ATF1	EP400NL	0.7113423760381319
ATF1	DBNL	0.8026585557692134
ATF1	FBXW10	0.717891614451057
ATF1	TPM3	0.6977160112022074
ATF1	WNT5A	0.7778415746878178
ATF1	CTDSPL	0.7520442881830531
ATF1	PRPF40A	0.7858959388095843
ATF1	WASH5P	0.8059327392951832
ATF1	C5orf52	0.6792435492746867
ATF1	COMMD7	0.6660541281942138
ATF1	ALMS1P	0.7006753111661821
ATF1	ATG12	0.700087428767787
ATF1	SYTL2	0.8026585557692134
ATF1	MAPKSP1	0.7422813224657023
ATF1	ACTA1	0.7050907305800007
ATF1	TAF6L	0.9184632744430594
ATF1	MRPS9	0.7129192018406063
ATF1	TMX3	0.6956363823469696
ATF1	VAMP7	0.8906737242950418
ATF1	KIAA0247	0.8212752600876243
ATF1	C18orf55	0.8896950671978816
ATF1	UCA1	0.663412172090196
ATF1	CEBPD	0.6596378931931164
ATF1	GPS1	0.6640889396139333
ATF1	MOSPD2	0.6860854890521728
ATF1	LENG8	0.721041050748533
ATF1	RETN	0.7242874622821542
ATF1	RNFT1	0.7523544739577344
ATF1	TMEM71	0.6596540043911028
ATF1	ARVCF	0.7129192018406063
ATF1	HECTD2	0.6968598361138039
ATF1	TMEM67	0.6640994816636203
ATF1	SH3BP2	0.6696552656043013
ATF1	LEO1	0.6737327672690139
ATF1	TDH	0.7417181032093199
ATF1	FAM55C	0.9422547931057736
ATF1	ZNF785	0.7099675217951313
ATF1	B4GALNT4	0.6652355702184698
ATF1	CCL25	0.6736196808348822
ATF1	FARP2	0.7737645348563289
ATF1	C1orf64	0.6660541281942138
ATF1	SURF4	0.6736196808348822
ATF1	CFLAR	0.7102389316945539
ATF1	SEMA4G	0.6663365019586229
ATF1	SRP68	0.7858959388095843
ATF1	PA2G4P4	0.6663365019586234
ATF1	TMUB2	0.7858959388095843
ATF1	C9orf91	0.6651647863967747
ATF1	PTPRB	0.6663365019586229
ATF1	MFAP1	0.6737327672690139
ATF1	BUD13	0.6737327672690139
ATF1	TRIM37	0.8906737242950418
ATF1	C8ORFK29	0.7298336361986748
ATF1	CCDC22	0.767355457940508
ATF1	FOLR1	0.6652355702184702
ATF1	LOC728743	0.661023054389652
ATF1	RAD9A	0.7573806148788305
FOXA1	MLF1IP	0.6860854890521733
FOXA1	MEIG1	0.681638945340441
FOXA1	GBA	0.7697537638499128
FOXA1	LYPD2	0.8983523633698427
FOXA1	C11orf16	0.6736196808348822
FOXA1	TM4SF5	0.6736196808348822
FOXA1	CLN6	0.6651647863967751
FOXA1	SRM	0.6736196808348822
FOXA1	CRISPLD1	0.7214470930146852
FOXA1	ASNA1	0.6636650104936699
FOXA1	IGFL4	0.6663365019586229
FOXA1	C13orf37	0.6651647863967751
FOXA1	SEC61B	0.6745217498658969
FOXA1	SIL1	0.6736196808348822
FOXA1	ZNF454	0.7737645348563289
ATF2	IFLTD1	0.7232236858214383
ATF2	REG1B	0.7232236858214383
ATF2	LRRC4	0.7232236858214383
ATF2	AKD1	0.8026585557692134
ATF2	ARHGAP39	0.7232236858214383
ATF2	GPR61	0.7143215929798035
ATF2	AQP5	0.7143215929798035
ATF2	AQP2	0.7232236858214383
ATF2	HMGB4	0.7232236858214383
ATF2	OR51L1	0.7232236858214383
ATF2	LOC440925	0.7232236858214383
ATF2	OR1S2	0.7232236858214383
ATF2	OBP2A	0.7232236858214383
ATF2	RPL37	0.7836759789186587
ATF2	HTATIP2	0.7232236858214383
ATF2	EIF5B	0.7083481459965322
ATF2	SLC13A3	0.7232236858214383
ATF2	CXADR	0.7143215929798035
ATF2	NKX2-6	0.7455617720693448
ATF2	CCDC34	0.7232236858214383
ATF2	PLA2G4D	0.7143215929798035
ATF2	FBXO16	0.7232236858214383
ATF2	C15orf5	0.7143215929798035
ATF2	MSL2	0.9940461709704715
ATF2	SOX13	0.7143215929798035
ATF2	BEYLA	0.7455617720693448
ATF2	WDR75	0.7125463139959529
ATF2	IQCJ	0.7232236858214383
ATF2	SNORD4A	0.6596540043911028
ATF2	TUBA4B	0.7232236858214383
ATF2	PNMA6A	0.7143215929798035
ATF2	SUPV3L1	0.6737327672690139
ATF2	FLJ36000	0.7232236858214383
ATF2	NRG3	0.7232236858214383
ATF2	C2orf54	0.7232236858214383
ATF2	CLDN8	0.7232236858214383
ATF2	MGC16275	0.667876407577813
ATF2	ZNF512	0.6761126967606965
ATF2	STEAP1	0.7143215929798035
ATF2	PADI1	0.7232236858214383
ATF2	PROL1	0.7232236858214383
ATF2	ZNF792	0.6792435492746867
ATF2	LOC283867	0.7232236858214383
ATF2	PLUNC	0.7232236858214383
ATF2	TSGA10IP	0.7447777223559271
ATF2	MYADML	0.7143215929798035
ATF2	PRDM15	0.7143215929798035
ATF2	SLC7A1	0.7232236858214383
ATF2	TTBK1	0.816507104903001
ATF2	ZFP36L1	0.871891538426063
ATF2	OR2AK2	0.6761126967606965
ATF2	SOHLH2	0.7232236858214383
ATF2	SHOX	0.7232236858214383
ATF2	ZC3H18	0.6663365019586229
ATF2	TP53BP1	0.7143215929798035
ATF2	OR4F4	0.7232236858214383
ATF2	ARFGEF2	0.6696653458207651
ATF2	MLL2	0.7737645348563289
ATF2	CNTN6	0.7232236858214383
ATF2	KCNB2	0.7143215929798035
ATF2	HTR1D	0.7143215929798035
ATF2	TDRD9	0.6671060087644167
ATF2	RNF138P1	0.7232236858214383
ATF2	DEFB131	0.7143215929798035
ATF2	FOXR2	0.7232236858214383
ATF2	RAB10	0.7232236858214383
ATF2	SLC25A37	0.7358756295142923
ATF2	HBII-52-27	0.7143215929798035
ATF2	NDUFAB1	0.7342018284756722
ATF2	HOXD4	0.7232236858214383
ATF2	HOXD8	0.7232236858214383
ATF2	OR7G3	0.7232236858214383
CCNT2	GLTP	1.0960198055493424
CCNT2	OTUD4	0.7989783699950159
CCNT2	C1orf53	0.9182178208619343
CCNT2	KIAA1191	0.6899455442242606
CCNT2	JMJD1C	0.672847701443589
CCNT2	C22orf23	0.8026585557692134
CCNT2	SMC6	0.797981571576285
CCNT2	CXCL13	0.6676903121201736
CCNT2	C16orf87	0.7480263590913605
CCNT2	GPATCH8	0.8127812202644193
CCNT2	ERO1L	0.9643111625007226
CCNT2	HERC2	0.8521425513325127
CCNT2	RPS16	0.9631331808611998
CCNT2	C9orf103	0.7409855566047345
CCNT2	ZC3H12B	0.7422813224657014
CCNT2	FAM122C	0.8521425513325127
CCNT2	C12orf62	0.6840827233771574
CCNT2	C9orf24	0.9441167403722344
CCNT2	PMPCB	0.7025220185956429
CCNT2	NRTN	0.7486512495078044
CCNT2	SEPHS1	0.7704863104544977
CCNT2	TNS3	0.6641050508119193
CCNT2	HABP2	0.6627446005742352
CCNT2	ESCO1	0.7487936406953422
CCNT2	SNORD62A	0.9166519589244468
CCNT2	DYRK1A	0.7422813224657023
CCNT2	HCG4	0.7275941033002478
CCNT2	SNORD105	1.1732221178932773
CCNT2	CGRRF1	0.6590992970608229
CCNT2	HCFC2	0.7467317119750687
CCNT2	RNASE2	0.7744634529186545
CCNT2	TICAM1	1.1384206437081192
CCNT2	PIAS2	0.7377124918234399
CCNT2	FAM133A	0.7242874622821542
CCNT2	INTS4L1	0.927120570615021
CCNT2	DMTF1	0.7422813224657023
CCNT2	KIAA2026	0.8757625574631369
CCNT2	AKAP9	0.6931471805599454
CCNT2	PFN4	0.7113423760381319
CCNT2	KCNQ5	0.710212975376256
CCNT2	FAM92B	0.8488683678065434
CCNT2	SFRS17A	0.7125463139959529
CCNT2	PDS5B	0.7492451628877212
CCNT2	THY1	0.7778415746878178
CCNT2	CPLX2	0.7046708423355983
CCNT2	HIF1A	0.667876407577813
CCNT2	PIK3R5	0.7191150682178913
CCNT2	HIST1H3A	0.6865302671756606
CCNT2	PGBD4	0.8740699375448786
CCNT2	INPP5F	0.7046103654674374
CCNT2	EPB41L2	0.8114063660214192
CCNT2	CCDC33	0.7072084383811212
CCNT2	PPIAL4B	0.991738788669073
CCNT2	VILL	0.8026585557692134
CCNT2	EVI5	0.6859202425977569
CCNT2	SRGAP1	0.6736196808348822
CCNT2	BPTF	0.7737645348563289
CCNT2	STRA6	0.6606826718539622
CCNT2	C3orf18	0.6815618954410714
CCNT2	LOC390858	0.7242874622821542
CCNT2	OST4	0.6905439603132626
CCNT2	PHC1	0.6717194195263874
CCNT2	PSPN	0.9270370595597495
CCNT2	VTA1	0.6839864050524631
CCNT2	DENND4C	0.9993462343944155
CCNT2	RAGE	0.6737327672690139
CCNT2	ZFHX4	0.8889631775047482
CCNT2	SP2	0.6627446005742357
CCNT2	PHF15	0.6663105811696277
CCNT2	BRWD3	0.710130121232436
CCNT2	RBM27	0.7046103654674374
CCNT2	ZCCHC13	1.060004970101351
CCNT2	ZNF133	0.8740699375448786
CCNT2	POM121L10P	0.7125463139959529
CCNT2	USP37	0.9417742490729797
CCNT2	CHD8	0.880910758577691
CCNT2	NAT10	0.7046103654674374
CCNT2	CHD2	1.2247252654436531
CCNT2	AFF4	0.8354064180819729
CCNT2	WDR46	0.7644187703483452
CCNT2	MED18	1.3727438874207367
CCNT2	SEPT8	0.7696406774157816
CCNT2	MED10	0.7584318591841992
CCNT2	TAS2R5	0.6596540043911028
CCNT2	SDC4P	0.6925259170029796
CCNT2	RBM17	1.0379486007064025
CCNT2	A2LD1	0.7989029006735446
CCNT2	C1orf144	0.7761977308254346
CCNT2	C10orf75	0.8740699375448786
CCNT2	ARHGEF16	0.6895641444535041
CCNT2	SFTPD	0.796827085957097
CCNT2	C3orf1	0.9993462343944151
CCNT2	PAPD4	0.8453017302997003
CCNT2	EMP2	0.8996929444466697
CCNT2	ASH1L	0.7422813224657023
CCNT2	SIRT3	0.7333785727126156
CCNT2	LSG1	0.8521425513325127
CCNT2	FAM193A	0.7670493485709908
CCNT2	GPR128	0.7620303095592522
CCNT2	ASPA	0.7167259505173473
CCNT2	L3MBTL4	0.8050461451973208
CCNT2	NDUFB9	0.7587561260332825
CCNT2	STOML3	0.7566570420335723
CCNT2	CLDND1	0.7509635085167474
CCNT2	CXorf1	1.0951880585068001
CCNT2	RABGAP1	0.9939279249158037
CCNT2	USP27X	0.9518885967203095
CCNT2	ZNF195	0.7125463139959529
CCNT2	C1orf230	0.9148271669374233
CCNT2	TIMM9	0.6619898556142232
CCNT2	FLJ37307	0.7246955153005845
CCNT2	IFI6	0.6596378931931164
CCNT2	TMEM72	1.008356266337183
CCNT2	NR2C2	0.7365811010559038
CCNT2	NR2C1	0.7422813224657023
CCNT2	TMEM163	0.7167602236835209
CCNT2	PTS	0.7052253229288059
CCNT2	GGA2	0.9819771767925483
CCNT2	FAM184B	0.7140284504286343
CCNT2	KIAA2018	0.6763115594698355
CCNT2	LOC100271836	0.6663105811696277
CCNT2	REPS2	0.740985556604735
CCNT2	FEM1C	0.8982688523145712
CCNT2	TBL1X	0.7789835075050418
CCNT2	NKTR	0.8487595573444255
CCNT2	RBM38	0.7670493485709908
CCNT2	NDUFA8	0.6903712890185743
CCNT2	R3HDML	0.841151454707632
CCNT2	MBD6	0.7422813224657023
CCNT2	SMOX	0.6572593175422594
CCNT2	FOXJ3	1.0275926136167373
CCNT2	ORMDL1	0.8162925405236385
CCNT2	GATAD2B	0.8558037437954611
CCNT2	COL3A1	0.7066109459585652
CCNT2	PSMC5	0.8119754773570151
CCNT2	STK17A	0.6611117127779229
CCNT2	TOMM70A	0.7564487437318839
CCNT2	ABI1	0.6696653458207651
CCNT2	RAB13	1.0269028437453493
CCNT2	FAM86A	0.8010920369202745
CCNT2	LOC100133893	0.845950960927242
CCNT2	PPIL4	0.7396575283298721
CCNT2	ZNF576	0.7743237132368495
CCNT2	TAF2	1.0386088352168543
SMARCB1	INVS	0.6912572262049856
SMARCB1	SMCR7L	0.7696406774157816
SMARCB1	SLC44A4	0.7832072701118369
SMARCB1	PSIP1	0.9409691197488073
SMARCB1	CHD4	0.8472460698767579
SMARCB1	AP2A2	0.6737327672690139
SMARCB1	SIRPB1	0.6792435492746867
SMARCB1	SNORD113-6	0.9752026368723459
SMARCB1	RPS16	0.7508259817492182
SMARCB1	DPYSL3	0.8003511734678153
SMARCB1	ZNF404	0.8453017302997003
SMARCB1	CCDC54	0.6792435492746867
SMARCB1	HIST1H1A	0.7111797766008272
SMARCB1	EPHB3	0.8003511734678157
SMARCB1	KRTAP5-9	0.6686129950582593
SMARCB1	ST6GAL1	0.892616514953045
SMARCB1	LOC550112	0.7333785727126156
SMARCB1	OR2L8	0.7427157936356532
SMARCB1	MTUS1	0.6697997030734193
SMARCB1	COMMD3	0.6627446005742357
SMARCB1	LOC643008	0.7352981102453517
SMARCB1	MMD2	0.7737645348563289
SMARCB1	LOC400927	0.9526145943342295
SMARCB1	FAM106C	0.7502153002598635
SMARCB1	PGC	0.6697997030734189
SMARCB1	NCRNA00093	0.9051101351806068
SMARCB1	CYP21A2	0.6676652271628609
SMARCB1	C14orf162	0.9991670619259012
SMARCB1	TMSB15B	0.8003511734678153
SMARCB1	TIMELESS	0.6627446005742352
SMARCB1	PDE5A	0.7417181032093194
SMARCB1	FKBP6	0.6745217498658969
SMARCB1	PXT1	0.7102389316945543
SMARCB1	FAM71F1	0.9454201661696247
SMARCB1	ZNF197	0.6996973109804729
SMARCB1	TM2D2	0.7995434404547508
SMARCB1	INSIG2	0.7125463139959529
SMARCB1	MAZ	0.6805798543795003
SMARCB1	SEMA3B	0.698306345539486
SMARCB1	C2orf81	0.7917382429660282
SMARCB1	ITPR1	0.8453017302997003
SMARCB1	SUPT4H1	0.7687421474094815
SMARCB1	ATP10A	0.6639265752727801
SMARCB1	AKAP4	0.7028635554053104
SMARCB1	PMF1	0.6663365019586229
SMARCB1	PSMB6	0.6806083233012226
SMARCB1	FBXL21	1.0386088352168543
SMARCB1	SFRS7	0.7173702482614237
SMARCB1	VPS53	0.7139213949760252
SMARCB1	ELP2P	0.7160095151107484
SMARCB1	OR51B6	0.8991232240164622
SMARCB1	BCO2	0.7605809180203065
SMARCB1	LY6G6C	0.6898196905386298
SMARCB1	KLHDC2	0.6996973109804729
SMARCB1	LYN	0.6596378931931164
SMARCB1	ANGPT2	0.7214470930146852
