Regulator	Target	MI
ATF1	DCLRE1B	0.8961816241874514
ATF1	RTL1	0.8082401215965818
ATF1	FAAH	0.6705008986430174
ATF1	TES	0.6717194195263874
ATF1	RFESD	0.7697537638499132
ATF1	PLOD2	0.701229182664779
ATF1	SMC4	0.6792435492746867
ATF1	CCDC28B	0.6671890980043877
ATF1	TIAL1	0.6931471805599454
ATF1	IPW	0.7502153002598635
ATF1	CCND1	0.7050907305800003
ATF1	C9orf102	0.7246955153005845
ATF1	FBRSL1	0.7929415240123978
ATF1	SCXB	0.8374683468022468
ATF1	IFNAR2	0.7086166337647684
ATF1	CADPS2	0.6772797145352332
ATF1	SLC30A8	0.7929415240123978
ATF1	RPSA	0.6879577432721691
ATF1	ESCO2	0.6717194195263874
ATF1	SOX12	0.9699536547419365
ATF1	MAPKSP1	0.9643111625007226
ATF1	CDC37	0.7140497212471573
ATF1	C3orf71	0.851708777091936
ATF1	C12orf50	0.7099675217951318
ATF1	GEMIN7	0.7681372701645772
ATF1	HDGFL1	0.8983523633698427
ATF1	C15orf59	0.7995434404547508
ATF1	CDCA2	0.7645421637360119
ATF1	GYPE	0.8906737242950418
ATF1	ABCB5	0.8555170940590382
ATF1	PRDM14	0.6590992970608229
ATF1	GPR83	0.8472460698767574
ATF1	CD1C	0.8498092127128163
ATF1	FHIT	0.8906737242950418
ATF1	DSN1	0.7062268591527738
ATF1	RACGAP1	0.7721914625281037
ATF1	C9	0.7785051131268323
ATF1	MIER1	0.7672748289985005
ATF1	FAM43A	0.7737645348563289
ATF1	SULT1A3	0.6742671436052134
ATF1	COL28A1	0.663412172090196
ATF1	APOBEC3G	0.6671890980043877
ATF1	ORC2L	0.6736196808348822
ATF1	HSPA7	0.7246955153005845
ATF1	TRIP4	0.9544799255651002
ATF1	FANCE	0.8453017302997008
ATF1	ZWINT	0.7696406774157816
ATF1	MANF	0.7741452732270129
ATF1	PARP11	0.6640889396139333
ATF1	YRDC	0.9666185448021212
ATF1	GGCX	0.6742671436052134
ATF1	YEATS2	0.7192008444928981
ATF1	HNRNPF	0.9120674266119613
ATF1	LOC221442	0.6640889396139333
ATF1	RAD17	0.7925433722901998
ATF1	RGL3	0.7058477052304459
ATF1	CTRC	0.7352615640605271
ATF1	PIWIL2	0.8841849421036607
ATF1	SLC48A1	0.7035403229290473
ATF1	CCDC122	0.7696406774157816
ATF1	ERO1LB	0.6984256980512917
ATF1	HMGB2	0.8026585557692134
ATF1	EVPLL	0.8987142873495095
ATF1	AFF3	0.820533525274179
ATF1	ING1	0.7006753111661821
ATF1	RAB22A	0.7332650244452612
ATF1	LETM2	0.6596378931931164
ATF1	KIAA1549	0.8682854681325103
ATF1	EXO1	0.66726837310557
ATF1	NUF2	0.6717194195263874
ATF1	TRIM3	0.871891538426063
ATF1	C9orf66	0.7670493485709908
ATF1	SGK196	0.7244005487162863
ATF1	SPTAN1	0.8870271147576418
ATF1	HS3ST3B1	0.8601949702595699
ATF1	VAV3	0.7167259505173473
ATF1	COL29A1	0.6784200790620956
ATF1	TMPRSS11B	0.6705008986430174
ATF1	BPGM	0.8763419279354285
ATF1	C14orf169	0.6931471805599454
ATF1	NDUFS8	0.7981239982931254
ATF1	KIF2A	0.8488683678065434
ATF1	SYF2	0.991738788669073
ATF1	C17orf44	0.7696406774157816
ATF1	C14orf4	0.7530657497437967
ATF1	PELI1	0.7995434404547508
ATF1	KIFC3	0.947836358933142
ATF1	C2orf16	0.6671591008102284
ATF1	PARG	0.6931471805599454
ATF1	PCNA	0.7113423760381319
ATF1	C20orf79	0.6934831082033908
ATF1	CLEC2L	0.820125707351901
ATF1	MVP	0.8117033227113777
ATF1	PROCA1	0.6976642729972218
ATF1	FBXL20	0.6742671436052134
ATF1	ARVCF	0.8005485079045167
ATF1	OLFML3	0.7523544739577344
ATF1	LOC100271836	0.6594945621811359
ATF1	KIAA1609	0.9422547931057736
ATF1	POLR2H	1.014971364047418
ATF1	CTHRC1	0.880910758577691
ATF1	GPR157	0.6721413585409906
ATF1	C6orf141	0.8529120581383065
ATF1	CGREF1	0.7246955153005845
ATF1	ATRNL1	0.7696406774157816
ATF1	STAT3	0.6742671436052134
ATF1	USP28	0.7417181032093199
ATF1	WDR12	0.740985556604735
ATF1	HCRTR2	0.7807914513467802
ATF1	C11orf63	0.6864270258618412
ATF1	C21orf49	0.9939279249158037
ATF1	MFAP1	0.7696406774157816
ATF1	NPHS1	0.8451958019508461
ATF1	KIF26A	0.7939293693184193
ATF1	MAB21L1	0.6589165455496704
ATF1	MFAP3	0.6834249969815085
ATF1	YIPF6	0.6676652271628614
ATF1	RAB19	0.740985556604735
ATF1	MNDA	0.6640994816636203
ATF1	RPL22L1	0.6774420788763864
ATF1	ERCC6	0.9396233790514437
ATF1	TUBB4Q	0.7130676801855858
ATF1	ZNF696	0.9949099659773748
ATF1	FAM50A	0.7417181032093199
ATF1	GALP	0.6729910324555686
FOXA1	VIL1	0.786402130719785
FOXA1	CEACAM1	1.0653800410135434
FOXA1	PARP3	0.8229405698467582
FOXA1	FGF8	0.6737327672690139
FOXA1	KIAA1267	0.8333456436356768
FOXA1	RAB18	0.7148982764170597
FOXA1	C18orf56	0.6797940412974932
ATF2	SUV420H2	0.8424429846145092
ATF2	MDC1	0.7338589378251781
ATF2	SMAD5OS	0.991738788669073
ATF2	TP53RK	0.7125463139959529
ATF2	FRMPD4	0.6736196808348822
ATF2	RPL34	0.6596378931931164
ATF2	AQP6	0.9184632744430594
ATF2	CWH43	0.6736196808348822
ATF2	IFIT1	0.901626546895812
ATF2	ZDHHC1	0.7174939245620822
ATF2	HS6ST2	0.6792435492746867
ATF2	GPR173	0.7564487437318843
ATF2	PNN	0.7547841309021255
ATF2	ALKBH4	0.7130676801855858
ATF2	TBC1D10C	0.8983523633698427
ATF2	RPS10	0.6596378931931164
ATF2	FNBP4	0.6736196808348822
ATF2	JMJD4	0.7696406774157816
ATF2	ENTPD2	0.8256817263887335
ATF2	ZNF284	0.658287005162753
