Regulator	Target	MI
ATF1	DIDO1	0.7422813224657023
ATF1	C7orf55	0.7257955550331348
ATF1	DOCK4	0.7543080017436523
ATF1	DDX47	0.7417181032093199
ATF1	GPR22	0.7620303095592522
ATF1	FAIM2	0.6640889396139333
ATF1	RPL6	0.9088673708541744
ATF1	RPS15	0.8180163163986554
ATF1	FYCO1	0.677442078876386
ATF1	SALL1	0.714781149107067
ATF1	ZNF407	0.7192169556908841
ATF1	PDK4	0.9283744834092382
ATF1	ADNP2	0.7645609826156505
ATF1	TMEM189-UBE2V1	0.7035403229290478
ATF1	TMEM38A	0.6931471805599454
ATF1	LOC729603	0.7381203097457179
ATF1	PCMTD1	0.7121932042266867
ATF1	PDCD6IP	0.7160095151107484
ATF1	C19orf70	0.6640889396139333
ATF1	COG2	0.6730483398088527
ATF1	SUPV3L1	0.8578864815010339
ATF1	C6orf72	0.680150121014786
ATF1	C9orf114	0.6596378931931159
ATF1	TNNT2	0.7681372701645772
ATF1	NINJ1	0.724695515300585
ATF1	RPL37A	0.7045344343127433
ATF1	NAA35	0.7355694846154721
ATF1	LOC400891	0.7564487437318839
ATF1	C4orf45	0.6879577432721691
ATF1	MS4A2	0.7322953010895028
ATF1	C20orf112	0.8003511734678153
ATF1	C12orf52	0.9073715835214706
ATF1	TMPRSS9	0.7564487437318839
ATF1	LOC202181	0.6895641444535037
ATF1	RAP1GAP	0.7006753111661821
ATF1	C5orf22	0.6983679288647835
ATF1	GJC3	0.7645609826156505
ATF1	PTPMT1	0.8200567392042548
ATF1	VTI1A	0.7214470930146852
ATF1	CAMTA1	0.6947025004477454
ATF1	SLC17A6	0.6736196808348822
ATF1	SCAND1	0.6774420788763864
ATF1	LOC100130331	0.7129192018406063
ATF1	N4BP2	0.6788809683835675
ATF1	ST3GAL1	0.6931471805599454
ATF1	RPL23AP64	0.7045344343127433
ATF1	C6orf141	0.6895236052096569
ATF1	CGREF1	0.7385369018604737
ATF1	PRPF38A	0.8082401215965818
ATF1	SLMO1	0.7417181032093199
ATF1	ATRNL1	0.7569350009236606
ATF1	NEBL	0.7125463139959529
ATF1	WNT7B	0.6737327672690139
ATF1	LOC400027	0.6717194195263874
ATF1	DSPP	0.7068913296173145
ATF1	MARCO	0.7902917335403461
ATF1	PGM5P2	0.7113423760381323
ATF1	SLC9A11	0.6736196808348822
ATF1	ZNF37B	0.7716741372143319
ATF1	CENPH	0.8139016471669693
ATF1	FAM183A	0.6774420788763864
ATF1	SNX15	0.7817392547714808
ATF1	CPE	0.6696552656043013
ATF1	MANSC1	0.7547841309021255
ATF1	IL17B	0.8577241171598811
ATF1	MBTPS2	0.677442078876386
ATF1	C9orf50	0.8453017302997008
ATF1	TNRC6B	0.7704863104544977
FOXA1	SHC4	0.7564487437318843
FOXA1	ABCG1	0.9095347634499031
FOXA1	DEDD2	0.7102389316945543
ATF2	SMAD5OS	0.6931471805599454
ATF2	C1orf177	0.7358756295142923
ATF2	NDUFA11	0.6592139640728525
ATF2	WIPF1	0.657152035352579
