Regulator	Target	MI
ATF1	NOMO3	0.6784200790620956
ATF1	CSF1R	0.6931471805599454
ATF1	DCLRE1C	0.6736196808348822
ATF1	EPAS1	0.7256280433589817
ATF1	RAB3D	0.7587561260332825
ATF1	DDX23	0.7983246366583896
ATF1	PIK3R4	1.0386088352168543
ATF1	DPY30	0.6736196808348822
ATF1	POMZP3	0.6628251816994042
ATF1	SH3RF1	0.6863441717180203
ATF1	ABHD11	0.6931471805599454
ATF1	DHFRL1	0.6793868802866667
ATF1	ZMYM3	0.6931471805599454
ATF1	DUOX2	0.6705008986430174
ATF1	ZNF585A	0.6931471805599454
ATF1	RNF43	0.673662230831007
ATF1	TM4SF18	0.6736196808348822
ATF1	ZNF284	0.6931471805599454
ATF1	ZDHHC8P1	0.7644187703483452
ATF1	ZNF580	0.7203777073877462
ATF1	LOC100170939	0.6736196808348822
ATF1	TMEM50B	0.6931471805599454
ATF1	EBF1	0.7451203779102689
ATF1	MRPL49	0.7050907305800003
ATF1	ARID5B	0.6968598361138039
ATF1	TMCO4	0.6931471805599454
ATF1	ZWINT	0.6736196808348822
ATF1	C5orf35	0.6931471805599454
ATF1	POLA1	0.7129192018406063
ATF1	KBTBD6	0.6931471805599454
ATF1	C3orf70	0.7564487437318843
ATF1	PCDHGB1	0.6736196808348822
ATF1	CENPO	0.6736196808348822
ATF1	ZNF776	0.7117886824340567
ATF1	MMACHC	0.8424429846145092
ATF1	C20orf134	0.7737645348563289
ATF1	C7orf26	0.6931471805599454
FOXA1	SAMD5	0.9095347634499031
FOXA1	PON3	0.7564487437318843
FOXA1	C3orf27	0.9317899955539906
FOXA1	RGS13	0.7563410875437433
FOXA1	ATP10D	0.8754203637420184
FOXA1	UBE3A	0.6934831082033903
FOXA1	TMEM188	0.7498569553228345
FOXA1	DSCR3	0.8577241171598811
FOXA1	RASGEF1A	0.7564487437318843
FOXA1	GPR116	0.6879577432721691
FOXA1	SNORD98	0.7043344528589297
FOXA1	ANKRD7	0.7095986748263394
FOXA1	SEC11C	0.8026585557692134
FOXA1	MYPOP	0.7138813052778645
FOXA1	C20orf151	0.8115143051225511
FOXA1	USP43	0.6588809185426707
FOXA1	LIX1L	0.7741452732270129
FOXA1	SHISA2	0.7899956482113732
FOXA1	LASS2	0.7418323083881257
FOXA1	FKBP9L	0.7511381782761766
FOXA1	ERCC1	0.947836358933142
FOXA1	SNORD46	0.7161349592686168
FOXA1	SLC7A5P1	0.8305854059476898
FOXA1	GALNTL5	0.6596540043911028
FOXA1	C18orf32	0.7191150682178913
FOXA1	SLC22A20	0.6777433115383582
FOXA1	RHCE	0.7620303095592522
ATF2	RPL5	0.7989029006735446
ATF2	SNORA40	0.7648693650038187
ATF2	CCNK	0.687874889128349
ATF2	RXFP1	0.8005485079045167
ATF2	SMC4	0.7130676801855858
ATF2	ALKBH8	0.6898196905386298
ATF2	PABPN1L	0.7619891134039536
ATF2	NFU1	0.6618442593825082
ATF2	RPS15	0.7778415746878178
ATF2	ALKBH4	0.6618442593825082
ATF2	SNRPD2	0.8074824900346851
ATF2	UBASH3B	0.7619891134039536
ATF2	DIMT1L	1.0483084019348579
ATF2	RPL36AL	0.6596378931931164
ATF2	OGFOD1	0.7130676801855858
ATF2	TEPP	0.7125463139959529
ATF2	SNORD99	0.7608980267841128
ATF2	LUC7L	0.7687421474094815
ATF2	CPNE2	0.6696552656043013
ATF2	SNORA31	0.8256817263887335
ATF2	ABT1	0.6696552656043013
ATF2	TMEM88B	0.6864270258618412
ATF2	RPL21	0.7816140501983857
ATF2	YOD1	0.9991670619259012
ATF2	HDHD2	0.813064055862053
ATF2	THAP3	0.7729925554650348
ATF2	INTS4L1	0.6895236052096565
ATF2	LOC645676	0.6736266038240077
ATF2	PRKAR1B	0.6814691961769395
ATF2	SNHG12	0.9675853460266919
ATF2	SNORD116-26	0.6596378931931164
ATF2	XRN1	0.813212534207032
ATF2	SNORA28	0.6696552656043013
ATF2	FAM76B	0.7644187703483452
ATF2	TAGLN2	0.8728583396506342
ATF2	RPL26	0.903933929197211
ATF2	SNORA24	0.6736266038240077
ATF2	TMEM126B	0.9939279249158037
ATF2	UQCRC2	0.6996973109804729
ATF2	ZNF831	0.7644187703483452
ATF2	TMEM87A	0.6825286966656425
ATF2	TAS2R40	0.7681372701645772
ATF2	NECAB3	0.8026585557692139
ATF2	RRAD	0.9529765183138963
ATF2	TRANK1	1.1384206437081192
ATF2	WNK4	0.7929415240123978
ATF2	SNORD119	0.6729910324555686
ATF2	WDR62	0.7564487437318843
ATF2	UBE2J2	0.813064055862053
ATF2	FXR1	0.6618442593825082
ATF2	C5orf25	0.7858959388095843
ATF2	WBP2NL	0.813212534207032
ATF2	DYM	0.7563410875437433
ATF2	FAM192A	0.7130676801855858
ATF2	BDNFOS	0.7299879187881047
ATF2	ZBTB7B	0.7257451706689757
ATF2	ZNF266	0.6589165455496699
ATF2	SNORA50	0.7648693650038187
ATF2	SDR42E1	0.7644187703483452
ATF2	GSTM2	0.8224075428627633
ATF2	C16orf55	0.901626546895812
ATF2	FRG1B	0.667876407577813
ATF2	FLI1	0.7506201960509538
ATF2	RPE65	0.8074824900346851
ATF2	C2orf34	0.7737645348563289
ATF2	FUBP1	0.984781497237718
ATF2	NDUFAF2	0.7687421474094815
ATF2	SNORA45	0.7608980267841128
ATF2	FBXL6	0.7564487437318843
ATF2	TMEM151A	0.7564487437318843
ATF2	ZCCHC12	0.7130676801855858
ATF2	SNORA81	0.6923259355491673
ATF2	STAG3L3	0.8026585557692134
ATF2	PHF1	0.8189692316270527
ATF2	OLA1	0.7687421474094815
ATF2	PYGM	0.6838540379054696
ATF2	NIPBL	0.8163845828763199
ATF2	C1QBP	0.9391472498929714
ATF2	MED10	1.09392430059227
ATF2	FAM21C	0.9271205706150205
ATF2	UBXN7	0.7129192018406063
ATF2	GABPA	0.6618442593825082
ATF2	MESDC2	0.658287005162753
ATF2	C6orf164	0.813064055862053
ATF2	CCDC116	0.7608980267841128
ATF2	BRD7P3	0.7130676801855858
ATF2	STRBP	0.903933929197211
ATF2	TESC	0.7687421474094815
ATF2	MRPS23	0.8805407928642244
ATF2	AP3B1	0.8728583396506342
ATF2	ZFX	0.7113423760381323
ATF2	MRPS5	0.7130676801855858
ATF2	C14orf166	0.7050907305800003
ATF2	HTA	0.8074824900346851
ATF2	VAMP1	0.7563410875437433
ATF2	PGAM5	0.8224075428627633
ATF2	SNORA65	0.6696552656043013
ATF2	MPND	0.8224075428627633
ATF2	RAPGEF3	0.8026585557692139
ATF2	PCYOX1	0.8005485079045167
ATF2	SNORA64	0.6696552656043013
ATF2	SCARNA14	0.6696552656043013
ATF2	SCARNA11	0.8521425513325127
ATF2	RPL12	0.8644359550101104
ATF2	SFRS13A	0.7129192018406063
ATF2	ZDHHC19	0.7858959388095843
ATF2	FAM196B	0.8026585557692134
ATF2	C12orf44	0.6736266038240077
ATF2	RPL17	0.8488683678065434
ATF2	EXOSC1	0.7696406774157816
ATF2	SNORA71C	0.8082401215965818
ATF2	RPL19	0.6736266038240077
ATF2	ZNF222	0.6927604067191178
ATF2	TSNAX	0.658287005162753
ATF2	SCARNA21	0.7608980267841128
ATF2	TMCO7	0.6696552656043013
ATF2	PRKRA	0.7741452732270129
ATF2	PRKRIR	0.8005485079045167
ATF2	PIN1L	0.6895236052096569
ATF2	RAB9A	0.7377124918234399
ATF2	C17orf62	0.8644359550101104
ATF2	CIAPIN1	0.6956363823469696
ATF2	SRP19	0.8841849421036607
ATF2	C1orf177	0.7158204975219222
ATF2	ZNF691	0.6596378931931164
ATF2	TNC	0.813064055862053
ATF2	FGF8	0.8082401215965818
ATF2	IPO9	0.7696406774157816
ATF2	RNF19A	0.7964680841086174
ATF2	EP300	0.687874889128349
ATF2	C17orf95	0.7608980267841128
ATF2	SNRNP35	0.6618442593825082
ATF2	RGS6	0.7508259817492182
ATF2	HMGN1	0.7130676801855858
ATF2	OR2D2	0.7785051131268323
ATF2	SNORA59B	0.7648693650038187
ATF2	PRPF4B	0.6618442593825082
ATF2	C3orf75	0.8256817263887335
ATF2	DPM1	0.7543080017436523
ATF2	RINT1	0.6810183664253131
ATF2	FAM185A	0.7129192018406063
ATF2	NCL	0.6730071436535545
ATF2	DOK7	0.7566592672353845
ATF2	SNRPG	0.658287005162753
ATF2	SNRPE	0.813064055862053
ATF2	PPIG	0.6618442593825082
ATF2	TSSK2	0.7648693650038187
ATF2	C11orf31	0.6676903121201736
ATF2	ATXN7	0.6696552656043013
ATF2	C15orf63	0.8074824900346851
ATF2	API5	0.960861190470649
ATF2	LOC653113	0.9366551259747591
ATF2	HELZ	0.8163845828763199
