Regulator	Target	MI
ATF1	BATF2	0.6790643768061724
ATF1	CYP4A11	0.6742671436052134
ATF1	VEGFB	0.8465609855051452
ATF1	KIAA1274	0.813064055862053
ATF1	DNAJC18	0.6571520353525786
ATF1	SELP	1.023990584199046
ATF1	TAF6L	0.6931471805599454
ATF1	ADAM28	0.8001476129713638
ATF1	CLDN4	0.8026585557692134
ATF1	HELB	0.6931471805599454
ATF1	CMPK1	0.6989560380002509
ATF1	BCAP29	0.661603081773396
ATF1	PCDHB7	0.7102389316945539
FOXA1	GABRB2	0.6943350073197796
FOXA1	OR11L1	0.6640889396139333
FOXA1	SPON1	0.6899455442242606
FOXA1	RPLP1	0.7425196179615501
FOXA1	CXCR7	0.6794628114413612
FOXA1	SNX10	0.6730071436535545
FOXA1	ZCCHC14	0.7555863425837308
FOXA1	IL4I1	0.8437201666919898
FOXA1	RPS14	0.8960449810684445
FOXA1	ADAMTS1	0.6966851540668375
FOXA1	DPP9	0.6736196808348822
FOXA1	SEC61G	0.820533525274179
FOXA1	MMP28	0.8260687353257121
FOXA1	NPBWR2	0.7115992908467694
FOXA1	INSL3	0.7569350009236606
FOXA1	WNT4	0.6643901722759056
FOXA1	PLA2G2C	0.7118193765575911
FOXA1	NIPA2	0.6777433115383582
FOXA1	SYS1-DBNDD2	0.7912484422609163
FOXA1	DYNLL2	0.7696406774157816
FOXA1	SNORA2B	0.6788809683835684
FOXA1	ABHD15	0.7564487437318843
FOXA1	INHBE	0.9099488474498547
FOXA1	C9orf70	0.7335976081422193
FOXA1	ANKRD20A4	0.8983523633698427
FOXA1	RIT2	0.7172571618272929
FOXA1	FAM195A	0.700087428767787
FOXA1	TEX9	0.9105844188182939
FOXA1	YIPF6	0.664390172275906
FOXA1	MEIS3P1	0.664390172275906
FOXA1	LSM14B	0.6643901722759056
FOXA1	ZNF277	0.6879821713180307
ATF2	VARS	0.8841849421036603
ATF2	C10orf40	0.8352361987261685
ATF2	IPP	0.6676652271628614
ATF2	SMC6	0.6736196808348822
ATF2	RAPGEFL1	0.7129192018406063
ATF2	HERC4	0.8041619630204182
ATF2	SNORA39	0.6825286966656425
ATF2	ZNF841	0.7737645348563289
ATF2	C12orf65	0.658287005162753
ATF2	JMJD4	0.7747391866069298
ATF2	ZNF284	0.7737645348563289
ATF2	ALG6	0.6792435492746867
ATF2	COG3	0.899022207904455
ATF2	KRT7	0.8210683156267624
ATF2	MED7	0.6736196808348822
ATF2	ARC	0.6860854890521728
ATF2	NINJ1	0.6736196808348822
ATF2	PFN4	0.7737645348563289
ATF2	MAML3	0.6931471805599454
ATF2	DUS3L	0.7761977308254342
ATF2	GCDH	0.8622985569683652
ATF2	SLC35D2	0.6736196808348822
ATF2	CWF19L2	0.7752591634264343
ATF2	WDR61	0.8424429846145092
ATF2	KIAA1012	0.7737645348563289
ATF2	KIAA1370	0.899022207904455
ATF2	HIF1A	0.9184632744430599
ATF2	NEURL	0.6826348601106491
ATF2	C6orf204	0.8521425513325127
ATF2	AMZ2	0.7101301212324365
ATF2	FAM192A	0.6736196808348822
ATF2	RBM12	0.7737645348563289
ATF2	ATRIP	0.6736196808348822
ATF2	BRAP	0.7737645348563289
ATF2	EIF2AK3	0.658287005162753
ATF2	EXOC6B	0.6736196808348822
ATF2	GDF3	0.6931471805599454
ATF2	PUM2	0.6684076188877577
ATF2	FA2H	0.6745217498658969
ATF2	GNPTG	0.7837686781827915
ATF2	OCLM	0.6736196808348822
ATF2	PEMT	0.8279891086901316
ATF2	IFNA5	0.952614594334229
ATF2	RYR1	0.6736196808348822
ATF2	MYOM1	0.6929184950882576
ATF2	SETD6	0.7333785727126161
ATF2	FAF2	0.9088286349968406
ATF2	KGFLP1	0.7076601394937327
ATF2	JRKL	0.6863441717180203
ATF2	MED16	0.6736196808348822
ATF2	SMG5	0.6736196808348822
ATF2	AKAP12	0.8041619630204182
ATF2	ZMYM4	0.6736196808348822
ATF2	MED10	1.0951880585068001
ATF2	MTERFD1	0.6736196808348822
ATF2	LRRC47	0.6967769819699847
ATF2	BRD2	0.7737645348563289
ATF2	SREBF1	0.7417181032093194
ATF2	PARP1	0.8424429846145092
ATF2	MTERFD3	0.7130676801855858
ATF2	NME2	0.8521425513325127
ATF2	COMMD1	0.7737645348563289
ATF2	JOSD1	0.7620303095592522
ATF2	NCOR1	1.0386088352168543
ATF2	HNRNPH1	0.6736196808348822
ATF2	ZNF358	0.813064055862053
ATF2	SDCCAG3	0.7129192018406063
ATF2	BAT2	0.7793884032961325
ATF2	TIMM9	0.7524514491938796
ATF2	ZDHHC24	0.6736196808348822
ATF2	PRICKLE4	0.7103148628492493
ATF2	METTL4	0.7800687498625081
ATF2	PMS1	0.9271205706150205
ATF2	YIPF2	0.6793868802866663
ATF2	DHRS2	0.7587561260332825
ATF2	C17orf63	0.8424429846145092
ATF2	CCNT2	0.9090850524429515
ATF2	AKR7A3	0.6640889396139333
ATF2	EME2	0.8279891086901316
ATF2	PAPOLG	0.9624434109898115
ATF2	FAM48A	0.8424429846145092
ATF2	USP4	0.8622985569683652
ATF2	SPINK6	0.7737645348563289
ATF2	FBXO11	0.6736196808348822
ATF2	ATXN2L	0.6931471805599454
ATF2	DPM3	0.8211581327776312
ATF2	CLK2P	0.7164589910215478
ATF2	NCL	0.8256817263887335
ATF2	ADAM12	0.6729910324555686
ATF2	DGKK	0.6860854890521733
ATF2	PVALB	0.8987252512144965
ATF2	C20orf141	0.6741063120251187
ATF2	LCN8	0.7620303095592513
ATF2	CUL5	0.6596540043911028
ATF2	HSPBP1	0.8026585557692134
ATF2	ANKRD19	0.7233736875458274
ATF2	STK31	0.8521425513325127
ATF2	C11orf30	0.9353810527476143
ATF2	HIGD1C	0.7687421474094815
ATF2	SBNO2	0.8352361987261685
ATF2	TPR	0.6736196808348822
ATF2	SLC38A7	0.6924945659679937
ATF2	CLCA4	0.7800687498625076
ATF2	STRA6	0.6919104977083887
ATF2	ZBTB17	0.7737645348563289
ATF2	DENND4A	0.7022776837591924
ATF2	ODF2	0.7475054547349513
ATF2	CEP350	0.7884911345030319
ATF2	GLMN	0.6736196808348822
ATF2	DLG1	0.7737645348563289
ATF2	C10orf119	0.7101301212324365
ATF2	CNOT3	0.7737645348563289
ATF2	NOXA1	0.677442078876386
ATF2	ACO1	0.7246955153005845
ATF2	BRWD1	0.835236198726168
ATF2	OGT	0.6736196808348822
ATF2	ZNF774	0.6736196808348822
ATF2	RBM27	0.7129192018406063
ATF2	CHD9	0.6736196808348822
ATF2	MUDENG	0.9950432044853539
ATF2	PPP2R5E	0.7785927050758898
ATF2	MFSD3	0.8521425513325127
ATF2	ZNF646	0.7129192018406063
ATF2	ZNF524	0.6736196808348822
ATF2	C9orf64	1.0386088352168543
ATF2	ZNF763	0.7129192018406063
ATF2	C1orf127	0.7125463139959529
ATF2	LOC100272146	0.6931471805599454
ATF2	TBP	0.8059327392951832
ATF2	LATS2	0.7737645348563289
ATF2	C15orf53	0.6824180705294745
ATF2	FAM84A	0.7371331213511478
ATF2	BIRC6	0.7696406774157816
ATF2	GTF3C2	0.7120749226427168
ATF2	C1orf112	0.7025009745141921
ATF2	ATF6B	0.658287005162753
ATF2	TULP1	0.8644359550101104
ATF2	NR2C1	0.6931471805599454
ATF2	ZBTB41	0.7530870205623188
ATF2	DNPEP	0.7884911345030319
ATF2	KIAA1328	0.6736196808348822
ATF2	C9orf167	1.0105209745380521
ATF2	KRIT1	0.6736196808348822
ATF2	MYCL1	0.8488683678065434
ATF2	RBBP7	0.7737645348563289
ATF2	UQCC	0.6707463522241426
ATF2	C9orf40	0.6984256980512917
ATF2	LRRC8E	0.6893612408685033
ATF2	PTCD2	0.6736196808348822
ATF2	ARID3A	0.7737645348563289
ATF2	CABLES2	0.991738788669073
ATF2	WARS2	0.658287005162753
ATF2	C2orf78	0.7737645348563289
ATF2	PAR5	0.8074824900346846
ATF2	SLC25A37	0.6717194195263874
ATF2	DOLPP1	0.7120749226427168
ATF2	MYO1H	0.7179635047298905
ATF2	R3HDM2	0.7737645348563289
CCNT2	PCGEM1	0.8424429846145092
CCNT2	ATF2	0.9090850524429515
CCNT2	KCNG2	0.7173702482614241
CCNT2	C19orf21	0.7929415240123978
CCNT2	CERK	0.6736196808348822
CCNT2	NUP188	0.7322953010895028
CCNT2	RIF1	0.9991670619259012
CCNT2	TP53RK	0.7608980267841128
CCNT2	GPATCH1	0.7130676801855858
CCNT2	C3orf63	0.9991670619259012
CCNT2	TOMM20	0.7352981102453517
CCNT2	GOLGA5	0.7510656310858921
CCNT2	SNORA39	0.6825286966656425
CCNT2	SNORD116-16	0.6737327672690139
CCNT2	ZNF841	0.7737645348563289
CCNT2	C12orf65	0.658287005162753
CCNT2	MAP3K4	0.7793884032961325
CCNT2	IK	0.7737645348563289
CCNT2	SCARA3	0.6736196808348822
CCNT2	CEP135	0.6736196808348822
CCNT2	ZNF284	0.7737645348563289
CCNT2	CYBA	0.6736266038240077
CCNT2	TRNT1	0.7125463139959529
CCNT2	EML1	0.6737793581410005
CCNT2	RBMXL3	0.7737645348563289
CCNT2	SAPS3	0.8313694556611075
CCNT2	KIAA2026	0.991738788669073
CCNT2	MSH3	0.6736196808348822
CCNT2	CDC37	0.9991670619259012
CCNT2	MFNG	0.6936929347775154
CCNT2	PRPF3	0.6736196808348822
CCNT2	MATR3	0.6736196808348822
CCNT2	WDFY4	0.7374782372034536
CCNT2	ZNF155	0.7737645348563289
CCNT2	INO80B	0.7737645348563289
CCNT2	DDX5	0.7644187703483452
CCNT2	KIAA1012	0.7737645348563289
CCNT2	PDS5B	0.7737645348563289
CCNT2	SEZ6L2	0.6736196808348822
CCNT2	GTF2E1	0.6707463522241421
CCNT2	WDR66	0.751617886477288
CCNT2	STK31	0.8521425513325127
CCNT2	AURKAPS1	0.6640889396139338
CCNT2	NPAT	0.7858959388095843
CCNT2	RIC8B	0.7686848400561974
CCNT2	TCTEX1D1	0.8277228461237081
CCNT2	HIVEP1	0.8424429846145092
CCNT2	TPPP	0.6736196808348822
CCNT2	ZBTB7B	0.7246955153005845
CCNT2	RALGDS	0.6736196808348822
CCNT2	BRAP	0.7737645348563289
CCNT2	TMEM132C	0.7130676801855858
CCNT2	TRAPPC3	0.6931471805599454
CCNT2	HLA-DRB5	0.7052253229288059
CCNT2	MGAM	0.7696406774157816
CCNT2	SUGT1P1	0.6931471805599454
CCNT2	ODF2	0.7475054547349513
CCNT2	SNORD88B	0.7130676801855862
CCNT2	RASSF8	0.6956363823469696
CCNT2	LNPEP	0.6736196808348822
CCNT2	PHC3	0.6736196808348822
CCNT2	FBXO30	1.3727438874207367
CCNT2	RCAN1	0.7696406774157816
CCNT2	SP2	0.6736196808348822
CCNT2	CNOT3	0.7737645348563289
CCNT2	MDM4	0.7475054547349513
CCNT2	CDK13	0.7737645348563289
CCNT2	ATR	0.899022207904455
CCNT2	HERPUD2	0.7737645348563289
CCNT2	USP37	0.6736196808348822
CCNT2	TRADD	1.0386088352168543
CCNT2	CHD2	0.6736196808348822
CCNT2	MED18	0.8424429846145092
CCNT2	PPP3CB	0.7737645348563289
CCNT2	CALB1	0.7050907305800003
CCNT2	MED13	0.9529765183138963
CCNT2	ZC3H7B	0.7737645348563289
CCNT2	MED10	1.0951880585068001
CCNT2	SENP8	0.6736196808348822
CCNT2	DBT	0.6736196808348822
CCNT2	FAM73A	0.6736196808348822
CCNT2	ZNF385B	0.6736196808348822
CCNT2	HMG20A	0.7209100374423656
CCNT2	APPL1	0.6736196808348822
CCNT2	TPRN	0.7564487437318843
CCNT2	ATPAF2	0.8026585557692134
CCNT2	BRD2	0.7737645348563289
CCNT2	CCDC111	0.6923259355491669
CCNT2	RBM17	0.813212534207032
CCNT2	A2LD1	0.835489272225793
CCNT2	CNOT6L	0.7670493485709908
CCNT2	CYP4A11	0.9422547931057736
CCNT2	C3orf1	0.6736196808348822
