Regulator	Target	MI
ATF1	CCL25	0.6596540043911023
ATF1	CGREF1	0.7335976081422193
ATF1	MYEF2	0.6741063120251187
ATF1	EPCAM	0.7747391866069298
ATF1	UBAP1	0.6640889396139333
FOXA1	GCM2	0.7761977308254342
FOXA1	YAP1	0.7179292315637174
FOXA1	C15orf37	0.8644359550101104
FOXA1	FOXC1	0.7687957012885169
FOXA1	CCDC104	0.6931471805599454
FOXA1	SNORA80	0.7103148628492497
FOXA1	C3orf64	0.6640889396139333
FOXA1	SLC8A1	0.6699251472312873
FOXA1	RBM15B	0.6663365019586229
FOXA1	DGCR6	0.6672762281202216
FOXA1	CLCA4	0.7167259505173473
FOXA1	SNORA71C	0.8521425513325132
FOXA1	PRMT6	0.6801752059720982
FOXA1	CD163	0.6912572262049856
FOXA1	LOC149837	0.7737645348563289
FOXA1	BAD	0.6663365019586229
FOXA1	TRAPPC10	0.7953470002946164
FOXA1	GPR55	0.7564487437318843
FOXA1	ATP2B2	0.7732118176317098
FOXA1	KIAA0495	0.8074824900346851
FOXA1	FBXW2	0.6904326372477203
FOXA1	NMRAL1	0.7610424642532303
FOXA1	FAM128A	0.6801752059720982
FOXA1	TOM1L2	0.6610230543896525
FOXA1	DNLZ	0.7125463139959529
FOXA1	SNORA48	0.7103148628492497
FOXA1	OBSL1	0.6579466271156837
FOXA1	TMEM229B	0.6663365019586229
ATF2	SMAD5OS	0.8424429846145092
ATF2	ZFYVE9	0.6736196808348822
ATF2	ANKRD55	0.8488683678065434
ATF2	FAF2	1.0281144416395933
ATF2	SERPINE1	0.6931471805599454
ATF2	XYLT1	0.8082401215965818
ATF2	IDE	0.6652355702184702
ATF2	PSMB6	0.6596378931931164
ATF2	C11orf30	0.7129192018406063
ATF2	LIPM	0.7761977308254342
ATF2	CRYM	0.6898196905386298
ATF2	PKNOX1	0.6736196808348822
ATF2	SAMD13	0.6663365019586229
ATF2	ATG5	0.6582155767171431
ATF2	NR2C2AP	0.6931471805599454
ATF2	ARFGEF2	0.8728583396506342
ATF2	USP45	0.8424429846145092
ATF2	ZBTB10	0.7046103654674374
ATF2	NAV1	0.7012291826647785
ATF2	TBR1	0.8424429846145092
ATF2	COMMD1	0.8424429846145092
ATF2	ARID1B	0.6931471805599454
ATF2	EPN1	0.7737645348563289
ATF2	ATAD3C	0.7587561260332825
ATF2	PIAS1	0.7125463139959534
ATF2	PUM2	0.8960449810684445
ATF2	LATS2	0.6736196808348822
ATF2	NCOR1	0.8424429846145092
ATF2	C17orf63	0.6931471805599454
ATF2	FAM193A	0.6931471805599454
ATF2	AGRN	0.7204605615315658
ATF2	PIGG	0.6676652271628614
ATF2	TNFRSF21	0.683152842335871
ATF2	UOX	0.6736196808348822
CCNT2	RAB2A	0.6736196808348822
CCNT2	C17orf104	0.6606826718539622
CCNT2	C22orf33	0.8279891086901316
CCNT2	PDS5B	0.7737645348563289
CCNT2	RBMXL3	0.6736196808348822
CCNT2	STRA8	0.7125463139959529
CCNT2	KIAA0415	0.7322227538992183
CCNT2	CAPN9	0.7125463139959529
CCNT2	LATS2	0.7547841309021255
CCNT2	C9orf167	0.7267735552188439
CCNT2	POGZ	0.7563410875437433
CCNT2	KRAS	0.6931471805599454
CCNT2	PAK2	0.6700707034450799
CCNT2	SEC24C	0.7696406774157816
SMARCB1	EXD1	0.6722696848121221
SMARCB1	IFI27L1	0.7741452732270124
SMARCB1	SMCR7L	0.6919104977083887
SMARCB1	FAM49B	0.8960449810684441
SMARCB1	OR10J3	0.7530870205623188
SMARCB1	ZNF174	0.8003511734678153
SMARCB1	AASDH	0.8558037437954615
SMARCB1	C21orf84	0.7785051131268323
SMARCB1	EHMT1	0.70304450352995
SMARCB1	ELTD1	0.7785051131268323
SMARCB1	MYLK	0.6618442593825082
SMARCB1	LOC100128288	0.6736196808348822
SMARCB1	EFEMP1	0.7785051131268323
SMARCB1	C9orf169	0.7737645348563289
SMARCB1	ZNF329	0.6663365019586229
SMARCB1	C10orf12	0.7102389316945543
SMARCB1	NHS	0.7125463139959529
SMARCB1	MAP4K5	0.6736196808348822
SMARCB1	MAPK3	0.6717194195263874
SMARCB1	KLHDC2	0.8059327392951832
SMARCB1	OR1D2	0.6663365019586229
SMARCB1	ST7OT3	0.7322742570080525
SMARCB1	RALGAPA1	0.8059327392951832
SMARCB1	APOC4	0.6618442593825078
SMARCB1	HUNK	0.7322953010895028
SMARCB1	CCK	0.7125463139959529
SMARCB1	SIRT7	0.6663365019586229
SMARCB1	BMP5	0.8709247372014919
SMARCB1	GOLPH3	0.6663365019586229
SMARCB1	MAP1D	0.6663365019586234
SMARCB1	GPR128	0.7455617720693448
SMARCB1	APOB48R	0.7785051131268323
SMARCB1	EIF4G2	0.8082401215965818
SPI1	LRRC14B	1.3727438874207367
SPI1	PWWP2B	1.568909738023082
SPI1	GAGE8	1.568909738023082
SPI1	SPINT4	1.753748986172401
SPI1	OR4Q3	1.187904639271418
SPI1	NBLA00301	1.568909738023082
SPI1	CRHBP	1.753748986172401
SPI1	ISLR	1.3727438874207367
SPI1	PWWP2A	1.3727438874207367
SPI1	C14orf70	1.3727438874207367
SPI1	FAM19A5	0.8424429846145092
SPI1	FAM19A4	0.899022207904455
SPI1	HDGFRP2	1.753748986172401
SPI1	OR4P4	1.3727438874207367
SPI1	SCO1	0.991738788669073
SPI1	C14orf86	1.568909738023082
SPI1	NOBOX	0.991738788669073
SPI1	LOC643719	1.568909738023082
SPI1	TPRG1L	1.187904639271418
SPI1	PLA2G5	1.1798824526346725
SPI1	ADAM5P	1.3727438874207367
SPI1	TEX28	1.3727438874207367
SPI1	AFMID	1.3727438874207367
SPI1	SCGB1D4	1.568909738023082
SPI1	A2BP1	1.3727438874207367
SPI1	BTBD17	0.991738788669073
SPI1	TIPARP	1.3727438874207367
SPI1	KIR3DP1	0.7024304380761852
SPI1	IL31RA	1.187904639271418
SPI1	PGA4	1.037948600706403
SPI1	TREML1	0.899022207904455
SPI1	DLX6AS	0.6676652271628614
SPI1	SFTA2	1.568909738023082
SPI1	LOC440173	1.3840704898737632
SPI1	DPYS	0.6737327672690139
SPI1	LOC92973	0.991738788669073
SPI1	FRG2C	1.187904639271418
SPI1	HOXC12	1.3727438874207367
SPI1	ANXA8L2	1.3840704898737632
SPI1	HOXC11	1.3727438874207367
SPI1	MMP21	0.899022207904455
SPI1	SULT1C3	0.813064055862053
SPI1	MMP27	1.3727438874207367
SPI1	TSPO	1.3727438874207367
SPI1	POM121L1P	1.568909738023082
SPI1	SULT1C4	1.3727438874207367
SPI1	ZNF483	0.991738788669073
SPI1	KCND2	0.8424429846145092
SPI1	TEX15	1.3840704898737632
SPI1	WNT9A	0.6737327672690139
SPI1	DUSP9	1.568909738023082
SPI1	TMEFF1	1.3727438874207367
SPI1	MMP14	1.3727438874207367
SPI1	PTRH1	1.568909738023082
SPI1	SOX2OT	1.187904639271418
SPI1	KRTAP25-1	1.3727438874207367
SPI1	SAMD7	1.3727438874207367
SPI1	SPESP1	0.7858959388095843
SPI1	KCNA4	1.3840704898737632
SPI1	LOC285401	1.3727438874207367
SPI1	WNT8B	1.187904639271418
SPI1	LOC284551	1.3727438874207367
SPI1	SLC7A1	1.3727438874207367
SPI1	SLC7A2	1.568909738023082
SPI1	LOC643763	1.568909738023082
SPI1	PABPC1P2	1.3727438874207367
SPI1	NRAP	0.8424429846145092
SPI1	MBD3	1.3727438874207367
SPI1	C4orf6	0.8424429846145092
SPI1	LOC339788	0.991738788669073
SPI1	MBD4	1.3727438874207367
SPI1	LOC285419	1.0386088352168543
SPI1	ODAM	1.3727438874207367
SPI1	MBD1	1.3727438874207367
SPI1	BBOX1	0.991738788669073
SPI1	PASD1	1.3840704898737632
SPI1	LOC653545	1.568909738023082
SPI1	OCM	1.3727438874207367
SPI1	CENPO	0.6931471805599454
SPI1	ADAM21P1	1.3727438874207367
SPI1	KCNG4	1.3727438874207367
SPI1	LOC257358	0.6736196808348822
SPI1	REG1B	1.568909738023082
SPI1	FBXO28	0.7858959388095843
SPI1	MSI1	1.3727438874207367
SPI1	FBXO24	1.568909738023082
SPI1	IL1RAP	1.3727438874207367
SPI1	FBXO21	0.6873221719037299
SPI1	FBXO22	0.6931471805599454
SPI1	IBSP	0.6736196808348822
SPI1	POTEB	1.3727438874207367
SPI1	POTEC	0.9950432044853539
SPI1	IFNA13	0.991738788669073
SPI1	IFNA14	1.3727438874207367
SPI1	OR14C36	0.991738788669073
SPI1	IFNA16	0.991738788669073
SPI1	FBXO16	1.3727438874207367
SPI1	FBXO17	1.187904639271418
SPI1	UGT2B15	0.7233736875458274
SPI1	CNPY2	0.991738788669073
SPI1	OR4X2	1.753748986172401
SPI1	OR4X1	1.3840704898737632
SPI1	LY6D	1.3727438874207367
SPI1	LOC401463	0.991738788669073
SPI1	LY6H	1.3727438874207367
SPI1	GRIA1	0.6736196808348822
SPI1	SPATA9	1.3727438874207367
SPI1	GRIA2	1.0386088352168543
SPI1	LCN9	1.3727438874207367
SPI1	DLX5	1.3727438874207367
SPI1	DLX6	1.3727438874207367
SPI1	REG3G	1.3840704898737632
SPI1	SPATA4	0.991738788669073
SPI1	C6orf27	1.3727438874207367
SPI1	OR51S1	1.3727438874207367
SPI1	KHDC1	1.3727438874207367
SPI1	KRTAP4-4	0.991738788669073
SPI1	KRTAP4-3	1.568909738023082
SPI1	ZKSCAN1	0.991738788669073
SPI1	KCNF1	0.991738788669073
SPI1	HTR1E	0.899022207904455
SPI1	KRTAP4-7	1.3727438874207367
SPI1	KRTAP4-5	0.991738788669073
SPI1	HTR1A	0.9950432044853539
SPI1	LOC653113	0.7502153002598635
SPI1	FAM90A7	1.3727438874207367
SPI1	TMPRSS12	1.3727438874207367
SPI1	LOC100128675	1.3727438874207367
SPI1	TBXAS1	1.3840704898737632
SPI1	LCN1	1.3727438874207367
SPI1	OR7E24	1.3727438874207367
SPI1	OR7A10	1.3727438874207367
