Regulator	Target	MI
ATF1	COLEC12	0.5810652031002719
ATF1	BTG2	0.6480656878342055
ATF1	ASMT	0.5345133832065176
ATF1	DCTN3	0.7694986441986083
ATF1	SLA	0.5429302942262408
ATF1	WIZ	0.8550121174571257
ATF1	GAGE10	0.5831108141538883
ATF1	HSD17B13	0.5318303698011313
ATF1	PLOD2	0.5453891576636294
ATF1	ASCL2	0.6809228423173095
ATF1	CCDC102B	0.5435842523736731
ATF1	RBM3	0.5998064994772205
ATF1	UXT	0.574959019604552
ATF1	CA7	0.5632899843837289
ATF1	KCNN1	0.5879608606996438
ATF1	ASCC3	0.5533809613647431
ATF1	WASF1	0.6268855220993323
ATF1	DGCR2	0.5471523515133767
ATF1	CGREF1	0.6188797361787226
ATF1	ZNF384	0.6714368841770022
ATF1	ANGPT2	0.5775809960048375
ATF1	GLRX3	0.5331626819759432
ATF1	TSTD1	0.7080740734363271
ATF1	COMMD10	0.7275757922040267
ATF1	ARAP2	0.5275082423970963
ATF1	ATP2B4	0.5795333235959244
ATF1	MBOAT1	0.6486937592707251
ATF1	NDUFC2	0.5611263829421871
ATF1	TALDO1	0.5355872036248668
ATF1	AARSD1	0.5773190660640393
ATF1	TAPBP	0.5403801889908562
ATF1	FAM133B	0.6828745539281842
ATF1	GPR141	0.6789351753396455
ATF1	EXT2	0.5868919362378251
ATF1	ATG16L2	0.6809228423173095
ATF1	UBAP1	0.633555490998639
ATF1	PPARG	0.5332038635706686
ATF1	GPRC5D	0.6568344438241489
ATF1	PIGG	0.5315852133041883
ATF1	MET	0.5753032874184303
ATF1	MYO1G	0.6365387095377795
ATF1	R3HDM2	0.6263547540753751
ATF2	ATF1	0.5993471537237762
ATF2	LRRC36	0.5355770431398614
ATF2	THRA	0.7309509352860104
ATF2	CCDC25	0.549028049945989
ATF2	ITGAL	0.6449541782027466
ATF2	GMCL1	0.5692040230522908
ATF2	C17orf100	0.5370515663378326
ATF2	CHST10	0.5388624136235949
ATF2	SUSD5	0.5454993345592949
ATF2	C9orf64	0.8019214890867068
ATF2	TMEM38B	0.5281757776296732
ATF2	ARSB	0.6264859819565234
ATF2	SLC12A9	0.6864312904478336
ATF2	NDUFA7	0.55475669863847
ATF2	USP5	0.5705876377998251
ATF2	ENTPD6	0.5504140448522419
ATF2	PAGE2B	0.6079634934901974
ATF2	ATP2B4	0.5371756490209747
ATF2	TOP1P1	0.8668073865076389
ATF2	RNF138P1	0.5393128468226811
ATF2	ACYP2	0.5408140891847015
ATF2	ANO6	0.5343384980983492
ATF2	COX6C	0.5620616188687766
ATF2	PHF20L1	0.7011672448483233
ATF2	CYP26A1	0.5825947322222724
ATF2	SMTN	0.6208188529332519
ATF2	SNORD28	0.6484155475236957
ATF2	SPIRE1	0.6105207825225474
ATF2	CD226	0.5911592032953914
ATF2	FAM32A	0.5473425598558701
ATF2	ZNF215	0.5323250856622757
JRK	PI4K2B	0.6015507386795624
JRK	KLHL36	0.597677270309509
JRK	FBXO25	0.5488315674182274
JRK	DNHD1	0.5353272564725136
JRK	GPATCH4	0.5285863285253773
JRK	LOXL2	0.5538363211655546
JRK	PYCARD	0.618268242591868
JRK	TUBB8	0.600950712172903
JRK	PPP4R2	0.6946398952704111
JRK	C3orf62	0.561749592841815
JRK	CLP1	0.6799008032480973
JRK	ZNF83	0.5347095058048654
JRK	PMPCB	0.5392230656420129
JRK	PMPCA	0.7454047050279722
JRK	PPFIA4	0.5618055243755049
JRK	EPHB4	0.6251345301109543
JRK	CDON	0.7131364828265943
JRK	SNORD62A	0.5888230615373553
JRK	CSGALNACT2	0.7297377292264686
JRK	IPMK	0.5746334090681251
JRK	KRT1	0.5449868445710173
JRK	FNDC8	0.6719197923151383
JRK	FOXP1	0.5708344132435146
JRK	CYP27A1	0.6043583573183215
JRK	ACAP1	0.5277615444991395
JRK	MORF4L2	0.5552232172138938
JRK	RAB34	0.5632050308542524
JRK	SLC7A5P2	0.5499684531244649
JRK	ZFYVE19	0.5858070635537875
JRK	MALL	0.5600552784830457
JRK	RAB35	0.5307355931685129
JRK	NHP2	0.6306342014473811
JRK	PADI2	0.5788248893106909
JRK	MAML3	0.583169588484179
JRK	SNRPB	0.5510501104805821
JRK	SLC26A1	0.7417991923303893
JRK	AASDH	0.5344413793979843
JRK	CCDC25	0.8678812785156844
JRK	NPRL3	0.5769480936852127
JRK	UTP23	0.6315386387809072
JRK	AGAP1	0.7126330329489368
JRK	TAPBPL	0.5334865654420122
JRK	CDKN2AIP	0.5940238631773993
JRK	TMTC4	0.5345990868952524
JRK	ENHO	0.5410017044024
JRK	KLC3	0.619997651080487
JRK	RHOT1	0.5412450583270036
JRK	DHX37	0.5822964736018679
JRK	KIF3C	0.5443723291808946
JRK	LYAR	0.6380069846164886
JRK	ATP6V1C2	0.5597399188128276
JRK	ZNF662	0.5565653519469622
JRK	SLC14A1	0.8564397278141649
JRK	UVRAG	0.5816292014613422
JRK	CRLS1	0.7025555463264062
JRK	SLC2A9	0.5341648658791311
JRK	LSM7	0.6051384349668267
JRK	DLG2	0.548167282501502
JRK	CHRFAM7A	0.5449435659358519
JRK	ATR	0.6328127910251204
JRK	UBE2M	0.6195183722499271
JRK	WFIKKN1	0.5580225097552614
JRK	PTPRN	0.6180351309217071
JRK	RSF1	0.6459849428817006
JRK	ETFB	0.5286256920186228
JRK	IDE	0.549298756565598
JRK	CSAD	0.5600410328317396
JRK	C14orf28	0.5866794602435497
JRK	RYR3	0.5663409539859816
JRK	PCMTD2	0.6779454848988058
JRK	SPN	0.6715424578752134
JRK	C17orf58	0.6069172786104602
JRK	ZCWPW1	0.538797622862671
JRK	SHH	0.5480834778653447
JRK	CASP10	0.5945937611340062
JRK	SNRNP70	0.5580302384283682
JRK	EFCAB2	0.6161243091085997
JRK	DHX15	0.5386567562677644
JRK	AOX1	0.6176110305044697
JRK	RPL23AP82	0.597012182685384
JRK	LRRFIP1	0.5277724003349333
JRK	PSENEN	0.6488024783941939
JRK	CCDC115	0.5999289136385668
JRK	KCND3	0.8076714330389474
JRK	METRN	0.6173610779319474
JRK	FN3KRP	0.5426030950003744
JRK	ZDHHC11	0.6620939815352838
JRK	TAPBP	0.6339343433172915
JRK	SUPV3L1	0.699870883101021
JRK	PSMA6	0.5485222008680579
JRK	IL3RA	0.5520668161289048
JRK	TNNT3	0.6371599947583002
JRK	MCM5	0.6600957956252387
JRK	TLR6	0.5391653384093766
JRK	ZMYND11	0.5390682563346174
JRK	DOCK1	0.6568826262192791
JRK	FXN	0.6017248356794314
JRK	ZNF598	0.5337659650045659
JRK	ZBTB47	0.6304260269464628
JRK	RAB1B	0.5316432458299589
JRK	AURKA	0.7294619289418627
JRK	MARVELD2	0.6524440448125572
JRK	DCDC2B	0.5600769995847399
JRK	RPP14	0.5438065512494532
JRK	MUC6	0.5813988167384623
JRK	RNF20	0.5321137426836469
JRK	NDUFA6	0.5551934523541027
JRK	TYW1B	0.5322703314935642
JRK	DOHH	0.6759049885663009
JRK	SNX20	0.5424785617358125
JRK	FKBP1A	0.5578550503813826
JRK	NUDT22	0.6389129382707739
JRK	NUDT21	0.583293967210754
JRK	NLRP12	0.5280296701270362
JRK	ABCE1	0.614054813961828
JRK	CDRT1	0.5347991548500812
JRK	CRLF1	0.636185221758923
JRK	C1QC	0.5566070987542178
SPI1	TRMU	0.5768823571534751
SPI1	JRK	0.7963589561875408
SPI1	SRXN1	0.5856261709765178
SPI1	DPY19L2P2	0.5610799934304693
SPI1	SNORA8	0.6441688864915003
SPI1	HBB	0.6433782917129336
SPI1	WDR83	0.5946213443991497
SPI1	ZCCHC17	0.6298542226334316
SPI1	WDR46	0.5504919210333141
SPI1	ZDHHC2	0.5434721982431618
SPI1	CCDC28B	0.6584786449922801
SPI1	IL27RA	0.6231486176126197
SPI1	NDST1	0.5340717225069236
SPI1	BEST4	0.6216124947023918
SPI1	DIP2C	0.5759671807021678
SPI1	ENPP5	0.5904845382822472
SPI1	SUN2	0.5691364638999961
SPI1	HSDL2	0.5548171264128747
SPI1	MEF2B	0.6627876979642391
SPI1	REXO1	0.631570650376799
SPI1	KHNYN	0.8647274857066236
SPI1	OR2L8	0.6181250015755286
SPI1	SLC6A16	0.5413819710519663
SPI1	COG3	0.6006192488344282
SPI1	HBE1	0.6544052408718048
SPI1	SPTB	0.5915345507675527
SPI1	ALDH1A3	0.5723058316813345
SPI1	IL1A	0.5385491435694965
SPI1	TPST1	0.5600233892219784
SPI1	DALRD3	0.627625350219787
SPI1	ANAPC5	0.7484041256700547
SPI1	GPRC5C	0.5879230453597981
SPI1	CHST2	0.5995468869672593
SPI1	RPL23P8	0.56739080914853
SPI1	PAOX	0.5563370208232397
SPI1	SLC25A6	0.558288950575228
SPI1	CUL9	0.6008304543795435
SPI1	RNASEH2B	0.5738885327901033
SPI1	TBC1D19	0.5798413753476006
SPI1	TP53I13	0.5775352803494243
SPI1	UHRF2	0.6460473281968837
SPI1	USO1	0.6950493885489615
SPI1	UTP23	0.5510112842657344
SPI1	TMTC3	0.5772010993647072
SPI1	UBR4	0.5682727494575888
SPI1	AK3	0.5314480816350948
SPI1	ARHGAP18	0.6359967318650148
SPI1	PIK3R3	0.5873955589160405
SPI1	THY1	0.7045026060280395
SPI1	PURA	0.614631014651986
SPI1	HIGD1C	0.6434280844210547
SPI1	PRDX4	0.7639423504967788
SPI1	ARL13B	0.5571003157781891
SPI1	CDH24	0.5733773684385688
SPI1	HCG11	0.5637121137795784
SPI1	IARS2	0.7120842907524283
SPI1	ZNF469	0.5638169168530776
SPI1	RPL18	0.7498157039485336
SPI1	MAP9	0.6373283893541446
SPI1	SOCS4	0.5485222008680575
SPI1	HNRNPA3	0.9281203151777384
SPI1	YIPF2	0.6106496148275378
SPI1	DNAJC5B	0.6258500330461958
SPI1	MOCOS	0.6740723544555012
SPI1	FN1	0.5813563745804191
SPI1	ATP2B2	0.6000200619601808
SPI1	NR1D2	0.6189511446291194
SPI1	EEF2	0.5665672080954915
SPI1	SVIP	0.6382399722647905
SPI1	MRPL22	0.5470384666959887
SPI1	SDHAP3	0.5999420129785502
SPI1	TMPPE	0.5704923783456222
SPI1	SYNJ1	0.8582003390748767
SPI1	CAPZA2	0.5801735336577503
SPI1	ANXA2P1	0.5335997150609892
SPI1	TMEM39A	0.5691393140608043
SPI1	ZNF335	0.5522195300828949
SPI1	RAB40AL	0.5604415863714354
SPI1	C1QC	0.569707244736116
SPI1	CCNJL	0.6008304543795435
SPI1	MYO1G	0.6038900152746529
SPIB	CD84	0.8154538891825469
SPIB	KCNK7	0.5313842950301306
SPIB	ADPGK	0.5356936784651625
SPIB	ZNF391	0.5341052151855972
SPIB	MRPL19	0.5806766952954079
SPIB	PLOD2	0.6322710907333482
SPIB	DDX41	0.5452968661859829
SPIB	MTIF3	0.5279424947169216
SPIB	LTBP1	0.5840465417662295
SPIB	FAM117B	0.930399317757427
SPIB	IFIT2	0.7791264987714852
SPIB	EXOSC7	0.5920060459108472
SPIB	KCTD20	0.6055824948666939
SPIB	CCL3	0.5411705572626255
SPIB	PDE6C	0.5676155776561824
SPIB	PAK3	0.5752369148634502
SPIB	PSTK	0.6132034620645257
SPIB	SNTA1	0.5345714308222029
SPIB	NEB	0.5309180960587732
SPIB	RC3H2	0.5998709074669701
SPIB	PDRG1	0.53778110305604
SPIB	NFIB	0.5356537892663962
SPIB	COL5A2	0.6350154423562637
SPIB	TUBGCP5	0.5714927887467103
SPIB	MOCS1	0.5428076750525825
SPIB	ZNF432	0.5979610026132578
SPIB	GSTM5	0.5402358267817928
SPIB	IFNAR1	0.5714927887467107
SPIC	PAQR9	0.5313230653273111
SPIC	SUN1	0.564622652747861
SPIC	SIGLEC9	0.5547520958201289
SPIC	SNORA14A	0.5413274787177418
SPIC	BTRC	0.6477170209271352
SPIC	LIN7B	0.5316492385708931
SPIC	TMEM14A	0.5823336773575543
SPIC	SLC2A4RG	0.5851608495866136
GPBP1	ACSM3	0.6819284873017657
GPBP1	MAML1	0.5772275769836339
GPBP1	PITPNA	0.5289984267954981
GPBP1	MRGPRE	0.6732635158667137
GPBP1	SPATA20	0.6066011901988455
GPBP1	MYLK	0.731948222664375
GPBP1	GPR176	0.5438434516270965
GPBP1	HTR7	0.7809181741439732
GPBP1	RASSF4	0.5737716530745471
GPBP1	LIPN	0.6175952944693424
GPBP1	PRKACB	0.556462644355936
GPBP1	CDK5RAP3	0.6084038849753508
GPBP1	PTGDR	0.6097792382904581
GPBP1	SNORA31	0.606479676361245
GPBP1	SNORD92	0.5304680853012864
GPBP1	STARD8	0.6094621421591309
GPBP1	MIF	0.5450583993560967
GPBP1	KATNAL2	0.6407018114821694
GPBP1	PRKD2	0.5401918706792972
GPBP1	TRIM15	0.564450966392076
GPBP1	TTLL12	0.6181967446683174
GPBP1	ACOT4	0.6150691789584402
GPBP1	FKBP1AP1	0.8173870285742257
GPBP1	SET	0.6325174745440507
GPBP1	SLC35D3	0.571329577289017
GPBP1	SLC35D2	0.6019495553790355
GPBP1	MRPL14	0.6821253813431651
GPBP1	TEX261	0.5672337725333683
GPBP1	ABCB9	0.6397437232498433
GPBP1	RPS4Y1	0.6877697592715619
GPBP1	GSPT2	0.5612618935983846
GPBP1	SNORA5C	0.5311747150994677
GPBP1	DND1	0.6010035994921981
GPBP1	ZSCAN18	0.7488381153370542
GPBP1	GSTM4	0.5288147657875024
GPBP1	NUS1	0.6045825698457796
GPBP1	SETDB2	0.5462038828241873
GPBP1	NETO2	0.6329077939428975
GPBP1	TMEM198	0.5885202387500126
GPBP1	CPEB1	0.5512141442720333
GPBP1	VANGL2	0.6137861617203595
GPBP1	VNN2	0.6580417742398819
GPBP1	PCDHB3	0.679548201133525
GPBP1	MRPS15	0.7273253817755867
GPBP1	BTG1	0.5833464384973346
GPBP1	MRPS12	0.6681985303270586
GPBP1	MIA3	0.8126707405954283
GPBP1	NHSL1	0.5789763665721539
