Regulator	Target	MI
ATF1	ATE1	0.6233861715333635
ATF1	CTBP2	0.6124484797867211
ATF1	ATP13A1	0.6712311423063206
ATF1	ASMT	0.5374110289741663
ATF1	XYLT1	0.5770419495126831
ATF1	LRP2	0.6430851267575259
ATF1	JOSD1	0.7171074249043943
ATF1	CYP19A1	0.5742912382946868
ATF1	PAX2	0.5585270063307028
ATF1	DENR	0.6371438834156757
ATF1	GLCCI1	0.6015952599945882
ATF1	STX3	0.6053228202356431
ATF1	CES2	0.6537247689594183
ATF2	ACER2	0.5341390674145705
ATF2	C3orf18	0.5547520958201289
ATF2	SCNN1B	0.5473115977339384
ATF2	KRT13	0.5445508671572701
ATF2	CD226	0.5499639576627349
ATF2	CCDC93	0.5316773622697251
ATF2	LDLR	0.5306068738973089
JRK	ZNF583	0.5582244697775729
JRK	GGT7	0.7214526080291548
JRK	TBP	0.5470613182227413
JRK	CCDC88A	0.533030231351451
JRK	NPEPPS	0.5466827875053477
JRK	MNT	0.6175095915595912
JRK	CNOT7	0.5832011012195388
JRK	EIF5	0.7431496747285333
JRK	SCO1	0.6676682457855487
JRK	ANKRD31	0.5580171797534907
JRK	SDC1	0.5611263829421871
JRK	NFKBIE	0.5782250356045893
JRK	PHACTR4	0.8103542805391593
JRK	ST3GAL3	0.6383630988813995
SPI1	RFTN2	0.6077005903783932
SPI1	SNORD117	0.5407410045087926
SPI1	TMPPE	0.5747552999002572
SPIB	DET1	0.5542098574316197
SPIB	GABRB1	0.5679025452374562
SPIB	LRRC45	0.5396347868782456
SPIB	ABCA3	0.623400820584715
SPIB	SLC34A1	0.5611396860073188
SPIB	MRPL38	0.6058490504074809
SPIB	CXCR6	0.5528001936231584
SPIB	TMEM81	0.5787556235241422
SPIB	PISD	0.5541262671088147
SPIB	CNOT4	0.5444441943291127
SPIB	RXRB	0.6192491555749129
SPIB	EWSR1	0.5554235136727121
SPIB	RAB37	0.6568255707768
SPIB	RAB23	0.5501042676275301
SPIB	OR13F1	0.5765222170498099
SPIB	MASP1	0.623400820584715
SPIB	FDFT1	0.5287185587888219
SPIC	NPAT	0.5374677415917062
SPIC	ZFHX3	0.5367066104684195
SPIC	ARHGEF37	0.6835660739357134
SPIC	SLC6A9	0.6232234061380137
SPIC	NDUFB4	0.5693417238855529
SPIC	TMEM176A	0.5462804565292778
SPIC	NDUFAF2	0.5851390870408295
SPIC	PDK4	0.5507479070118766
SPIC	CEP72	0.5384210225015593
SPIC	TMTC1	0.5347991548500812
SPIC	USP18	0.6120436418746524
GPBP1	TRMT2B	0.5343384980983492
GPBP1	CORO2A	0.5853983315385474
BBX	MUC1	0.5510062666328879
BBX	SDS	0.5321538099810326
BBX	SCARNA5	0.6027197556608144
PKNOX1	SPAST	0.5887601865336132
PKNOX1	SCML4	0.5736391922409649
PKNOX1	FBXO24	0.5601263839946249
PKNOX1	FBXO43	0.5619878352179635
PKNOX1	CSNK1A1L	0.5966784750637362
PKNOX1	GPR135	0.6120198652279458
MNX1	IL10	0.5383463413327769
MNX1	RABGAP1L	0.5758004477327359
MNX1	DHX57	0.6946377982299716
MNX1	DDX52	0.5376807311584209
MNX1	FAM107B	0.8074697763345666
ZNF17	IL1R1	0.6247234224560732
ZNF17	COG4	0.7093638710844163
ZNF17	WWC1	0.5759671807021678
ZNF17	RPL11	0.5605105626308204
ZNF17	KLHL12	0.5331230493136023
ZNF17	LSM5	0.5819642567431544
ZNF17	HDAC6	0.5797341571274517
ZNF17	TSPAN16	0.6523809299376384
ZNF17	CLEC4D	0.6384860531366754
ZNF17	IL5	0.5531702250427335
ZNF17	SNX16	0.5721773360848834
ZNF17	SESN1	0.5414477075837039
ZNF17	HOXA3	0.6899440254091451
ZNF17	XCL2	0.5431678668094264
ZNF17	PHACTR2	0.6312331044243664
ZNF17	SCAP	0.5512780960031889
ZNF17	SPARCL1	0.549330587278102
ZNF17	NEFM	0.6592915260850702
ZNF17	NRCAM	0.6711130840676875
ZNF17	ZNF689	0.5547167280493794
ZNF17	KBTBD7	0.6711942434866449
ZNF17	SIGLEC8	0.548000544165304
ZNF18	NBAS	0.5439490237673406
ZNF18	GLRX3	0.6501678570659868
ZNF18	ARID3A	0.6575673463580105
ZNF18	SLC39A13	0.6096125053210257
ZNF18	TSPAN12	0.6279760683890641
ZNF18	CXCR2P1	0.5787401440254403
ZNF18	EFNA4	0.5695339553418384
ZNF18	PPP2CA	0.7482188742855849
ZNF18	ZNF718	0.5957997793332424
ZNF18	KIF2A	0.6801041235159708
ZNF18	NUP210L	0.5548912455244182
ZNF18	FAM151A	0.6270181594735664
ZNF18	CD109	0.5672196432002048
ZNF18	UCP3	0.5385842084014278
ZNF18	ZNF407	0.5478818463482682
ZNF18	ZNF417	0.594740687230308
ZNF18	PHF13	0.6511716382410326
ZNF18	BRD9	0.5345177058676893
ZNF18	OR51B4	0.6208576437810551
ZNF18	LTA4H	0.5816138192392275
ZNF18	TKT	0.5872150258890709
ZNF18	KPNB1	0.59575161360336
ZNF19	SEMA7A	0.5791354409002079
ZNF19	SLC25A29	0.5373636350270936
ZNF19	JTB	0.6123299381049954
ZNF19	SNRPE	0.5284885925439187
ZNF19	UCHL5	0.5671012153312494
ZNF10	SLC22A14	0.5963096729123687
BHLHA15	ANKDD1A	0.5413866532634373
BHLHA15	SMOX	0.5482580421512377
BHLHA15	SMYD5	0.6091642776770869
BHLHA15	CYP4F3	0.5716940351556627
BHLHA15	BOLA1	0.5659756824358451
BHLHA15	BCKDK	0.5333375670841116
BHLHA15	SPRED1	0.5338908865411356
BHLHA15	CHCHD3	0.5376807311584209
BHLHA15	TUBB2A	0.5354101677700203
BHLHA15	GOLGA1	0.5524347919521295
BHLHA15	HMGXB3	0.7092104118134923
BHLHA15	AASS	0.6189457155427469
BHLHA15	CAPS	0.5536806753810373
ZNF12	KCNMA1	0.6491229630538697
ZNF12	ACIN1	0.5361517542251826
ZNF12	MPHOSPH10	0.565461296159183
ZNF12	ZNF23	0.5551135241404341
ZNF12	BDP1	0.5410017044024
ZNF12	CCDC150	0.5610922726188212
ZNF14	KIAA0513	0.5548804303537302
ZNF14	TIGD4	0.5999551688009483
ZNF14	EXOSC9	0.5296904739236741
ZNF14	PRKCD	0.7032598114730195
ZNF14	TMEM219	0.5532385389420678
ZNF14	STXBP5	0.5549172729617937
ZNF14	BDP1	0.54600272467018
ZNF14	NUDT15	0.527591250063141
ZNF14	PIGG	0.5347091133928941
ZNF14	RLBP1	0.5603465504629201
ZNF16	ANGPTL6	0.5821432042359755
ZNF16	ADPRH	0.5819980556450028
ZNF16	OSBP	0.6242326148414645
ZNF16	PIK3C3	0.5356898462715338
ZNF16	USP28	0.5293582086567832
ISL2	SLC25A3	0.7030314327594587
ISL2	KIAA1328	0.5552443051243889
ISL2	CHD8	0.6235284886949248
ISL2	KCTD12	0.5911577486784849
ISL2	ANAPC1	0.5537427484563628
DDIT3	FHAD1	0.5752698163633072
DDIT3	FAM124B	0.5536541737622529
DDIT3	UTP6	0.5725803197494437
DDIT3	CHURC1	0.5396760891811243
