Regulator	Target	MI
ATF1	PUS10	0.5881195538538475
ATF1	TRIM16L	0.6539577016832716
ATF1	GTF3C6	0.585056535293623
ATF1	CLEC12B	0.5442917764185551
ATF1	HDLBP	0.5470928874405172
ATF1	HEPACAM2	0.5661626294752691
ATF1	ARRB1	0.7068826132573212
ATF1	ARRB2	0.6603590305858931
ATF1	PRPF19	0.5583690214524419
ATF1	GALNT10	0.7112154110553282
ATF1	SGSH	0.5556942202923221
ATF1	ADAMTS14	0.5716940351556627
ATF1	CASP8	0.7351770130744839
ATF1	CHST10	0.6047466568877331
ATF1	EPB41L3	0.6233861715333635
ATF1	SEPHS2	0.6093785526153095
ATF1	ZNF268	0.7579416354077009
ATF1	DRD4	0.5556485444540762
ATF1	TMED5	0.547079657183291
ATF1	CAP1	0.6587519806033169
ATF1	KLHDC2	0.594938440530477
ATF1	SNORD12C	0.5524247814860344
ATF1	FOXP4	0.5811517790210603
ATF1	OSMR	0.5580214609705734
ATF1	POLRMT	0.7660758205562241
ATF1	SNHG5	0.5421322549218774
ATF1	RNF222	0.6613088357796064
ATF1	NECAP1	0.5902394240257438
ATF1	SFRP2	0.5396240851805696
ATF1	TFDP1	0.5620229430519519
ATF1	NMNAT1	0.5641802597724661
ATF1	UQCRC1	0.5643871902462481
ATF1	TRIB3	0.5788554679132276
ATF1	PEX11G	0.6570028136411525
ATF1	RBM45	0.7474232126870106
ATF1	SEC24C	0.6047689082140253
ATF1	ATF3	0.5780022865472585
ATF2	ATAD1	0.6080875598478497
ATF2	VAV3	0.6594593961334914
ATF2	WFS1	0.5405345501828487
ATF2	FOXJ3	0.5507593610509383
ATF2	STAM	0.7000106184918855
ATF2	L1CAM	0.5931756565762893
ATF2	SLC9A1	0.5923297069203706
ATF2	AKAP13	0.5685508721313348
ATF2	TTC9	0.5676125806317542
ATF2	C4orf36	0.6823587435199805
ATF2	HECA	0.5548804303537302
ATF2	LRCH3	0.6643381575568945
ATF2	SOCS7	0.5587131404656196
ATF2	BCAS1	0.6381387817735069
JRK	FOXD2	0.6103778769275832
JRK	ZNF581	0.5724676581146255
JRK	EAF1	0.6458053651029245
JRK	MBD2	0.6296399260716585
JRK	GZMH	0.8076615169441963
JRK	SUMF1	0.540873782101309
JRK	ITPKB	0.5321159938622029
JRK	SCFD1	0.5286106692177417
JRK	ADAM6	0.5273435917399367
JRK	MYBBP1A	0.6096110328206619
JRK	CCNE1	0.5601018712806862
JRK	DPH2	0.5982006959265815
JRK	CREG2	0.6270124301644411
JRK	JTB	0.654065032158222
JRK	NDUFS2	0.6639679932228844
JRK	ZNF668	0.6180474987648727
JRK	PI3	0.6264219566898186
JRK	ATP6V1G3	0.5388001909292286
JRK	MSC	0.5850011650381868
JRK	PDZK1P1	0.5532950380645949
JRK	RAB7A	0.7343439667077671
SPI1	ADAL	0.5394878766682094
SPI1	EDAR	0.5958055094213508
SPI1	CYP27B1	0.541822193799903
SPI1	SLC30A9	0.701438081606192
SPI1	SENP5	0.5477758224685063
SPI1	CCDC103	0.5721317339024816
SPI1	RPLP2	0.5293929732659617
SPI1	DNTT	0.5493942085068286
SPIB	SLC25A1	0.5814265472463389
SPIB	TUBGCP2	0.5613525173725753
SPIB	ZBTB48	0.5614082784820149
SPIB	ZC3HAV1	0.5400340708637441
SPIB	LRRC32	0.5779834997814657
SPIB	FOXO1	0.601043142293499
SPIB	NEUROD2	0.5752698163633068
SPIB	ING3	0.5777351429521826
SPIB	FAM172A	0.5884587134036274
SPIB	RFK	0.6209265445164696
SPIB	IQUB	0.5365787691577824
SPIB	RPL35	0.5759671807021687
SPIB	CDH26	0.5892269804238817
SPIB	AGFG1	0.5535057910518528
SPIB	PDGFRA	0.5336158153770403
SPIB	DUSP1	0.7902223030423627
SPIB	YIPF5	0.5360931100932635
SPIB	ARAP1	0.5426296465853038
SPIB	ESCO2	0.6289858918920754
SPIB	OSGIN2	0.5845072717049811
SPIB	SORCS3	0.6761073983910495
SPIB	TSPAN14	0.5338908865411365
SPIB	SCNN1D	0.5273143253538968
SPIB	SNORD116-26	0.5421406852032229
SPIB	CCDC66	0.5343031303275998
SPIB	TMCC1	0.6663591580686798
SPIB	ACBD3	0.806181902926359
SPIB	MOCS1	0.9440068686450256
SPIB	CD22	0.6397090679343567
SPIB	F2RL3	0.626625460694985
SPIC	NDUFA13	0.545675905633491
SPIC	AP1G1	0.5510008391044829
SPIC	ANXA4	0.5370628324690556
SPIC	MTF1	0.5412684990353807
SPIC	HCFC1R1	0.5966207254285654
SPIC	FAM193A	0.5506152904822099
SPIC	TAPBPL	0.5848465044024249
GPBP1	NFIX	0.555898898400101
GPBP1	C16orf90	0.5880658288993335
GPBP1	PTPRVP	0.5567796656132091
GPBP1	LPO	0.6225413881383739
GPBP1	SUOX	0.55252551409205
GPBP1	DEXI	0.5519589595485632
GPBP1	VPREB3	0.5714927887467107
GPBP1	FIP1L1	0.543655684436041
GPBP1	MSTO1	0.5406592627728322
GPBP1	TEX9	0.5359460131334846
GPBP1	EP300	0.5661934041285872
GPBP1	ESYT2	0.5342945834399426
GPBP1	COPS8	0.5539822387631599
GPBP1	DZIP3	0.7217234110173019
BBX	WDR83	0.7256048134726449
BBX	IL1RAP	0.5854510825824266
BBX	PIGW	0.5274006065173098
BBX	PCSK5	0.5369923475632774
BBX	SHF	0.5478432108174358
BBX	MRPL3	0.5691260666991038
BBX	TRPM2	0.616888681646568
BBX	ABHD10	0.6487540166208787
BBX	HHAT	0.5769480936852127
BBX	PGRMC2	0.5576365527746412
BBX	TAF1B	0.5811517790210603
BBX	GJA4	0.7073445786014352
BBX	TXNDC2	0.5552561918614134
BBX	CLCA4	0.669150062203244
BBX	WASF3	0.5366552789768932
BBX	TMEM184A	0.5560586095303801
BBX	NIPSNAP3A	0.5473760623351707
BBX	EIF2AK1	0.6630922180847976
BBX	TBCD	0.6933736774906021
BBX	LAMB1	0.6362464876077722
BBX	SNF8	0.5308934136995669
BBX	COQ4	0.6450279497073881
BBX	MED23	0.549028049945989
BBX	MLLT11	0.6791572497616882
BBX	ETV3L	0.5321403353335517
BBX	HSP90B3P	0.6996753740840247
BBX	PRKAR1B	0.6743651586424
BBX	DDIT4	0.5308934136995669
BBX	DOK7	0.6342238390790009
BBX	PSME1	0.6495078224417528
