Regulator	Target	MI
ATF1	TTC23	0.624448819356985
ATF1	TMEM41B	0.5967970232703248
ATF1	MAGEF1	0.5839843938168507
ATF1	ZNF43	0.6204881744187194
ATF1	CBWD1	0.5376807311584209
ATF1	DDX41	0.5351786602964488
ATF1	USE1	0.5410785903473476
ATF1	GALNT10	0.5721000182209566
ATF1	TRMT112	0.5810287426565894
ATF1	METTL14	0.5924303260533756
ATF1	STK16	0.608027842931385
ATF1	CDK5RAP1	0.6454519622781443
ATF1	ME3	0.5740751309266874
ATF1	PGM5	0.5276683243157967
ATF1	ZNF248	0.5524644141483757
ATF1	AMH	0.5343745221127487
ATF1	ATXN7L2	0.7004932077448278
ATF1	MAF1	0.5537895970114457
ATF1	EDIL3	0.7786710433811193
ATF1	SNAP29	0.5803924326379946
ATF1	GPR34	0.5820667289655703
ATF1	ATG9A	0.5698487494204127
ATF1	ITPK1	0.5749049582812567
ATF1	USP45	0.6536569561158294
ATF1	ZBTB32	0.5286760670437469
ATF1	SCRIB	0.5325872770978015
ATF1	ATAD3B	0.5377479337728643
ATF1	MFSD11	0.7088277056776602
ATF1	SIRT2	0.6195807010826946
ATF1	SULT2B1	0.5457470111450702
ATF1	ASPM	0.6960083938096373
ATF1	AGAP6	0.6021032761446876
ATF1	CLDN12	0.6460717514376695
ATF1	KCTD13	0.6625841832722572
ATF1	CCDC43	0.5334380154137515
ATF1	LYG2	0.6679395152413807
ATF1	ANKK1	0.6909452593622003
ATF1	ZNF630	0.558166055192455
ATF1	PRR13	0.6698222978705073
ATF1	TM2D2	0.6563652796436386
ATF1	STX16	0.5399651201621833
ATF1	PELI2	0.8481218979831358
ATF1	AKAP6	0.7718505440151926
ATF1	AKAP5	0.5704096158488166
ATF1	PPP1R8	0.5569800876912105
ATF1	ATP6V0A2	0.5308792250388565
ATF1	MAPK1	0.5559971008492441
ATF1	ASL	0.6191907409897954
ATF1	FSD2	0.6260145848688006
ATF1	USP51	0.617808520751943
ATF1	CLSPN	0.6694535185608994
ATF1	CD99	0.5338673652214192
ATF1	SASH1	0.659630309109144
ATF1	BBS2	0.5668395221063376
ATF1	NFE2	0.5454622121939319
ATF1	RCVRN	0.582491203144321
ATF1	SCARNA23	0.6687957656005876
ATF1	SMURF2	0.6550795313564355
ATF1	TRPA1	0.7995190988349066
ATF1	USP22	0.5380969760047973
ATF1	C1orf162	0.6445180805192159
ATF1	PLEKHA4	0.5539391508120102
ATF1	DHRS1	0.5962643330036781
ATF1	SSH2	0.5335997150609892
ATF1	ALOX15B	0.6226028975984934
ATF1	BTBD8	0.6758304960843406
ATF1	SMTN	0.7801136187694602
ATF1	MYO15A	0.542387398306917
ATF1	QPCT	0.5507175735785781
ATF1	VMA21	0.7846010205917473
ATF1	CCDC65	0.6529382174638374
ATF1	NCAPD3	0.5524470157078527
ATF1	TUBGCP4	0.5847872117012227
ATF1	MAP3K14	0.5706790463979576
ATF1	LAT	0.5439587629808256
ATF1	RPL26L1	0.735562747538447
ATF2	LPAR2	0.6038469749133415
ATF2	AGAP4	0.6473610045887295
ATF2	SAMHD1	0.5428933946275811
ATF2	MRPL2	0.5690970447033177
ATF2	CCL8	0.5550985005605691
ATF2	HNRNPA1	0.5460258791357506
ATF2	TMEM38B	0.5973844417228835
ATF2	OSBPL9	0.5430328018923243
ATF2	TKTL1	0.594223785107705
ATF2	USP49	0.5302043701206807
ATF2	EXOC8	0.5368406998775637
ATF2	USP20	0.5741832324054639
ATF2	USP45	0.5918427035359102
ATF2	PBX2	0.5327734434444733
ATF2	DHRS1	0.5841157303417748
ATF2	ASPN	0.5390764762542508
ATF2	MID2	0.7810667874245114
ATF2	GPN3	0.642306828611543
ATF2	DRAP1	0.6463119583396919
ATF2	ZBTB9	0.5371756490209747
ATF2	ZNF33A	0.5695339553418384
ATF2	ANLN	0.6034029313389646
ATF2	ARC	0.5392207078858289
ATF2	KITLG	0.5638767802332922
ATF2	CCDC9	0.5520232036303323
ATF2	ZNF836	0.7323420535636425
ATF2	IL6ST	0.5415615383716061
JRK	GLTP	0.6067894535859568
JRK	TMEM45B	0.5994128324859345
JRK	RAB1A	0.5369660692193783
JRK	CTF1	0.5401846083841635
JRK	KHDRBS3	0.6450089177723566
JRK	TRIM52	0.557802227347937
JRK	RRAD	0.5316135748857773
JRK	PHF1	0.5611263829421871
JRK	CWF19L2	0.528956264355398
JRK	DOC2B	0.6493624997630585
JRK	CD1C	0.5842549385946265
JRK	INPP5B	0.6417892034367001
JRK	TCL1A	0.6482714289259031
JRK	PRSS50	0.5687024982328546
JRK	CHEK2	0.5817683593775276
JRK	SPDYE2	0.5681311537421712
JRK	CHSY3	0.542224131585018
JRK	GPC5	0.539558222134688
JRK	ZNF425	0.5306068738973089
JRK	SNORD10	0.6392000596110514
JRK	CTSE	0.6328127910251204
JRK	RBM7	0.5769480936852127
JRK	GTF2I	0.5393760747313858
JRK	MAMDC4	0.5880391186957099
JRK	MYH7B	0.5511715564685797
JRK	LAMB3	0.5744382037689295
