Regulator	Target	MI
ATF1	CCNJ	0.585597802887432
ATF1	MMP7	0.5799705509167561
ATF1	WDR59	0.5629923296272552
ATF1	COG6	0.5887389315598464
ATF1	REEP5	0.5786056625834393
ATF1	TNKS2	0.6247007360555106
ATF1	NAA25	0.68945808778478
ATF1	RPAP2	0.5690970447033186
ATF1	LRP12	0.5991408144288113
ATF2	PRR7	0.5586842493870772
ATF2	SNORD111	0.5972215994870496
ATF2	MAN2C1	0.5499684531244649
ATF2	ME2	0.5517847934119269
JRK	HIRIP3	0.5608515561683451
JRK	NEIL2	0.5821945032449443
JRK	KLHL8	0.5707530577737767
JRK	PRUNE2	0.6249371321817665
JRK	FEM1C	0.5731811172599293
JRK	FPR3	0.5502987034808671
JRK	KIR2DL1	0.8961437992515209
JRK	MED4	0.5797196956048256
JRK	RAD23B	0.5936770996656437
JRK	SPTB	0.576015418021746
JRK	EIF3B	0.5475856535039552
JRK	PPIC	0.5702940072847831
SPI1	MRS2	0.5523324559285063
SPI1	PTPRU	0.5425936798323034
SPI1	TBCCD1	0.6153813046382965
SPI1	SERTAD2	0.6433507815954536
SPI1	STK17B	0.548822308075307
SPI1	NCOA4	0.5975867445908905
SPI1	PNPO	0.5404087469849741
SPI1	SMN2	0.5845222952848457
SPI1	KCNQ4	0.5580225097552614
SPI1	MTR	0.5366048111942581
SPI1	MYH11	0.5388001909292286
SPI1	SEC11A	0.5931163963576447
SPIB	OXA1L	0.5728640211286025
SPIB	PPM1A	0.5807684746819608
SPIB	ATP8A1	0.5714927887467107
SPIB	KDM1A	0.5342254407672025
SPIB	TAS2R14	0.5771682194884016
SPIB	HS3ST5	0.6320774157040963
SPIB	NAP1L1	0.6329861598125288
SPIB	LAX1	0.6093933367632229
SPIB	MYO9A	0.5323183544997905
SPIB	SLC37A3	0.5320158252505074
SPIB	PCDHB8	0.5506852073906887
SPIB	PISD	0.5409121290130288
SPIC	MYL4	0.5973895007998191
SPIC	RPH3A	0.5346556921561811
SPIC	HBA2	0.5733415416244552
SPIC	METTL7B	0.655232842605642
SPIC	TEK	0.5282644787219497
SPIC	CHRDL1	0.5577515737236118
GPBP1	WDR38	0.7810340954560449
GPBP1	PRELID2	0.5962008960193197
GPBP1	RNF11	0.5634081275764382
GPBP1	AASDH	0.5826981340059905
GPBP1	MX1	0.5304545113800248
GPBP1	CCDC107	0.7383873566592509
GPBP1	PCDHB11	0.5895002761487964
GPBP1	PTGS2	0.7249584738862884
GPBP1	GNAI1	0.5714927887467107
GPBP1	LMNB2	0.5387232755572966
GPBP1	PIK3CG	0.5399148931587763
GPBP1	RAP2C	0.5379139220926459
GPBP1	SLCO1C1	0.7781594459525083
GPBP1	FLCN	0.5416528675766079
GPBP1	PPM1B	0.6056963421907771
GPBP1	MTF1	0.625647338545201
GPBP1	TCP1	0.57589217871111
GPBP1	CD300LF	0.7335615491865362
GPBP1	C4orf33	0.5783956883037233
GPBP1	MICA	0.5861081036066964
GPBP1	LIN52	0.5325771743823755
BBX	LRGUK	0.5631033284775642
