Regulator	Target	MI
ATF1	GALNT11	0.5301502136470568
ATF1	MGST1	0.5970463885983035
ATF1	MLLT1	0.5403599265694083
ATF1	MRPL15	0.5752597651719942
ATF1	SNORD15A	0.568660335792754
ATF1	CCNB3	0.534614715194655
ATF1	CSRP2	0.6180953057234393
ATF1	UNK	0.5511885035093433
ATF1	POTEF	0.6433652647416301
ATF1	CLSPN	0.6109921414111819
ATF1	NEK3	0.5706395503901458
ATF1	POLR2I	0.6907437100144311
ATF1	ACADS	0.5366478694390269
ATF1	ACTR3	0.6125975000783308
ATF1	LINGO3	0.5335980733325942
ATF1	NGDN	0.5803650966082365
ATF1	MOGS	0.6415126479666831
ATF1	OXSR1	0.6423064755775134
ATF1	MFSD10	0.5464661389246763
ATF1	PUM2	0.6118303029373799
ATF1	PDE12	0.5360641441800231
ATF1	SNX14	0.553575642516384
ATF1	TBPL1	0.6263972003646083
ATF1	FBXL3	0.5497074312504848
ATF1	RHOU	0.563488123579599
ATF1	ADAM21P1	0.5319699449081292
ATF1	ZNF157	0.5629855906613361
ATF1	FAM50A	0.5271980832195498
ATF2	JMJD4	0.5609571270903797
ATF2	MYLIP	0.6168530191195498
ATF2	RPS9	0.6711752320170672
ATF2	IL4R	0.5997601270699766
ATF2	RNH1	0.5412076442609437
ATF2	PHGR1	0.5286425173744771
ATF2	TECR	0.6000200619601808
ATF2	TOP1P1	0.6723795316386507
ATF2	DLST	0.5679292513603724
ATF2	PPP2R3A	0.5277355007362736
ATF2	FNBP1L	0.5555818022687733
ATF2	DNAJC16	0.6543184343130299
ATF2	PEX13	0.7509194824926846
ATF2	NPAS2	0.5931163963576447
ATF2	FOXD4L5	0.5549291068787681
ATF2	ZNFX1	0.5331230493136023
ATF2	ATG16L1	0.5273744477234659
ATF2	ZNF836	0.557644519850669
ATF2	DDIT4	0.5612362606391286
ATF2	PAX9	0.556783834954603
ATF2	PDCL	0.5302043701206807
ATF2	CHST13	0.5628879347229248
JRK	GSTM4	0.5684070276136679
JRK	OVGP1	0.555847810919714
JRK	TXLNA	0.5326317907384599
JRK	CCDC47	0.5276221250882247
JRK	PTGER3	0.5649540978237648
JRK	GPATCH1	0.759582979490292
JRK	STON2	0.5648933593674701
JRK	SPTB	0.5890416896614701
SPI1	METTL2B	0.6217590840901535
SPI1	ZNF790	0.7543031545788681
SPI1	DOC2A	0.5797060334286197
SPI1	ELN	0.5832266439266589
SPI1	SLC22A1	0.5395002875527872
SPI1	TMPRSS4	0.6547360161547444
SPI1	ABCB8	0.5335787515602397
SPI1	ACCS	0.6450089177723566
SPI1	APOLD1	0.5811051862234193
SPI1	CACNA1H	0.5746172082523469
SPI1	HERPUD1	0.5689930756409232
SPI1	TCEAL8	0.6111221025832636
SPI1	MNT	0.6112504672624706
SPI1	SRR	0.5880391186957099
SPI1	RRN3P1	0.6202872382524323
SPI1	RAB25	0.5613043687471664
SPI1	ANKAR	0.535354869883264
SPI1	CCL4	0.5380159425755431
SPI1	VPS52	0.6773734116667267
SPI1	HEATR3	0.6025970336023478
SPI1	ZNF700	0.5477076578090978
SPI1	ZNF500	0.6022671082081832
SPI1	ABCF1	0.5387499975664771
SPI1	EPM2A	0.5805151660636487
SPI1	CHRNB1	0.6177234554234015
SPI1	TLE1	0.6299937712745551
SPI1	SYK	0.6390601481352713
SPI1	ENTPD4	0.6205043927180856
SPI1	MMP2	0.5856911357254462
SPI1	PAX3	0.5527500211049738
SPI1	FAM199X	0.6496772267710136
SPI1	KCNK16	0.615897313422249
SPI1	GPN2	0.6848986476052548
SPI1	GFAP	0.8173490982034024
SPI1	PSMB9	0.793680323991889
SPI1	H19	0.5404093280837676
SPI1	UGDH	0.815842989462165
SPI1	POLR1C	0.6352021377694359
SPI1	ANP32D	0.5408140891847015
SPI1	ST20	0.5737902356463676
SPI1	MEGF8	0.531088316838928
SPI1	ATF3	0.5968861172137974
SPI1	SPRN	0.5705814075640205
SPIB	IPO11	0.5690970447033186
SPIB	EDA	0.6880868554028887
SPIB	IDE	0.6094018433648887
SPIB	PRPF19	0.5911278654267376
SPIB	TRAM2	0.557338558154338
SPIB	NKIRAS1	0.5626294600709354
SPIB	PPP1R13L	0.5342153165572925
SPIB	CHMP1B	0.677086257335711
SPIB	SNORD99	0.6262284409291765
SPIB	NEK1	0.5324021591359478
SPIB	CEP290	0.5603109615227901
SPIB	DYNLT1	0.545844139251701
SPIB	OR13G1	0.5487537323414862
SPIB	RIPK4	0.6969389138841007
SPIB	RHOF	0.5488771688216456
SPIB	BET1L	0.5874152987872576
SPIB	ZNF90	0.5315852133041883
SPIB	GFOD1	0.7240813404998327
SPIB	COL4A4	0.529392973265963
SPIB	HOXB7	0.5459310779459288
SPIB	PDE9A	0.5912715794663868
SPIB	SLC25A6	0.5386643357610574
SPIB	OR6K3	0.6417476554444201
SPIB	SRC	0.6326590687015008
SPIB	ABCB4	0.547050390797251
SPIB	NDUFB2	0.6066554540290805
SPIB	MTIF3	0.5563370208232397
SPIB	PCDH12	0.5455142817071392
SPIB	NOL6	0.7401163677775968
SPIB	SRM	0.5521647021982283
SPIB	TMEM201	0.5491091093722931
SPIB	PPP2R3C	0.5348160343514001
SPIB	DND1	0.5432974344114392
SPIB	SH3BP2	0.5814258347910766
SPIB	RALY	0.5430702995651848
SPIB	SLC38A9	0.575530282325798
SPIB	FSD1	0.528746911499824
SPIB	AAMP	0.560375927050702
SPIB	ATP6V1D	0.532931512429121
SPIB	HMOX2	0.5400969649090408
SPIB	MAPK3	0.5563423174344022
SPIB	RPL39L	0.5341550083329443
SPIB	SRD5A1	0.7129742282144176
SPIB	DNAJC12	0.6165017927283394
SPIB	C3orf52	0.681216719404039
SPIB	HINFP	0.5663678240168784
SPIB	FAM167B	0.5653374908570337
SPIB	NECAP1	0.5631078979052972
SPIB	NPLOC4	0.603516626251321
SPIB	RNF149	0.6105175098041613
SPIB	HNRNPF	0.592097046210744
SPIB	C9orf50	0.5376807311584209
SPIC	FAM27B	0.5857411903675196
SPIC	UCN	0.6016447502031173
SPIC	CRCP	0.5707853732165367
SPIC	RGS19	0.6194451456980503
SPIC	PDE1B	0.668410912329104
SPIC	FMR1	0.6202133996771706
SPIC	GTF2B	0.6168764822304609
SPIC	PROS1	0.5804415726576253
SPIC	USP11	0.5955979339420394
SPIC	AKAP8L	0.5347463159303718
SPIC	HUS1B	0.5442137115506607
SPIC	CCNC	0.5675425807663927
SPIC	KIF11	0.6054674739177237
SPIC	RASGRP1	0.5499357790394557
SPIC	TMEM165	0.5417184142033138
SPIC	PCMT1	0.5309353077495547
SPIC	PSMB7	0.582013239491368
SPIC	RPS17	0.5332240942885424
SPIC	TIFAB	0.5500751870831815
SPIC	C11orf94	0.6180669961829164
SPIC	ZNF506	0.5677246013836412
SPIC	DNAJC21	0.6314645947934636
SPIC	ZNF667	0.538107949376943
SPIC	RNF175	0.7451126303406976
SPIC	MARK3	0.5676794228097091
SPIC	GIT1	0.5718250942995935
SPIC	CA11	0.5461408985267528
SPIC	ELOVL1	0.6325174745440507
SPIC	NCOA2	0.5357886813829396
SPIC	GPX4	0.6499072861525415
SPIC	CBFA2T3	0.569628469479107
SPIC	GEM	0.5445508671572701
SPIC	APBB1IP	0.7490271883269495
SPIC	LYRM2	0.5591832456863202
SPIC	RAD51	0.5705674477470581
SPIC	XKR9	0.5628879347229252
SPIC	FDX1	0.6397825140976465
SPIC	SERPINI2	0.6750076094236457
SPIC	QRICH2	0.5504253825731609
SPIC	CDH16	0.5361936490541539
GPBP1	SNORA6	0.552830821541924
GPBP1	SPEF1	0.6469504544720093
GPBP1	THRA	0.5412450583270036
GPBP1	FAM13A	0.5444362195787167
GPBP1	HDLBP	0.5873144994897368
GPBP1	FASLG	0.7125050737228333
GPBP1	YBX1	0.6049877502036738
GPBP1	NYNRIN	0.5321137426836469
GPBP1	TIFAB	0.5795802468959934
GPBP1	CAPNS1	0.5518782579855239
GPBP1	OGFOD2	0.6521765544289186
GPBP1	HOXA3	0.5374374728233713
GPBP1	UBAP2L	0.5692521801997552
GPBP1	MAP3K5	0.6448763020216739
GPBP1	PCMTD1	0.5584598737306221
GPBP1	PLS1	0.5530909581600829
GPBP1	WDHD1	0.5448144663988477
GPBP1	RPS5	0.6572594701916623
GPBP1	DNMT3A	0.5727465774187261
GPBP1	CMBL	0.639323725882365
GPBP1	SNORA2A	0.5501355273902191
GPBP1	COMMD7	0.6450784089076054
GPBP1	ERN1	0.5742066410311533
GPBP1	ESRP2	0.7480304421612565
GPBP1	CDC42EP4	0.5457662650678214
GPBP1	ZNF714	0.6074094631358782
GPBP1	G2E3	0.5317511044764487
GPBP1	C18orf54	0.6710366673458457
GPBP1	PTRH1	0.543410804322201
GPBP1	SNORA63	0.59922348585514
GPBP1	UBE2Q2P1	0.5968861172137969
GPBP1	SLC35D3	0.6999754812912742
GPBP1	MRPS34	0.5647108402676988
GPBP1	PON1	0.5411705572626255
GPBP1	SPATA6	0.7553716223428659
GPBP1	SKA1	0.5331654260276983
GPBP1	STYXL1	0.5707923882762844
GPBP1	FXR1	0.5724237907062983
GPBP1	RNF213	0.6655834578898161
GPBP1	CMYA5	0.7648005300541691
GPBP1	HLTF	0.5369689921880911
GPBP1	POLD2	0.6154237056920087
GPBP1	MBIP	0.6327126444762006
GPBP1	PMS2	0.5310007055755599
GPBP1	SNORA10	0.556843789365939
GPBP1	APOL3	0.5669965199934741
GPBP1	MICA	0.5303682021841758
GPBP1	MPZL1	0.5312153562605055
GPBP1	UBQLN3	0.5365295895917868
GPBP1	P2RY12	0.6346425119678334
GPBP1	HSPA8	0.5379639210312881
GPBP1	WWOX	0.5994938740287816
GPBP1	WNT10A	0.5756869833905167
GPBP1	TIPARP	0.6060198324658908
GPBP1	SPDYE3	0.556155684709756
