Regulator	Target	MI
ATF1	ACAP3	0.5678913031060913
ATF1	NDUFS6	0.554294266008331
ATF1	NVL	0.5650825218305191
ATF1	HSBP1L1	0.6479506254411462
ATF1	NIPAL3	0.7371497351623586
ATF1	PACSIN2	0.5827979447544207
ATF1	NDRG2	0.5949384405304774
ATF2	NRP1	0.6035701283100647
ATF2	SIGLEC9	0.568660335792754
ATF2	NVL	0.5476507739489676
ATF2	CHD8	0.6097792382904581
ATF2	FBXO45	0.5815604703711945
ATF2	DNAJB2	0.6263165601436755
ATF2	NPEPPS	0.6295683599106185
ATF2	C15orf61	0.6877787048166573
ATF2	CAPN2	0.6401456264468974
ATF2	DNMT3B	0.5353405590984193
ATF2	MAN2C1	0.5414547226434516
ATF2	TP63	0.5312378133780937
ATF2	FARP1	0.5350301783723794
ATF2	KIDINS220	0.6220480979667378
ATF2	KCNIP4	0.5600087918238073
ATF2	FLT3LG	0.5374054205623722
ATF2	GANC	0.5336523522527434
ATF2	MED6	0.7003743329786785
ATF2	SMARCA4	0.5308105951595707
ATF2	NLRP14	0.5468771509900048
ATF2	PSMA1	0.6220738224652966
ATF2	MGAT4B	0.5715220551327502
ATF2	REL	0.5496635165920774
ATF2	SNRPA1	0.550202423274412
ATF2	ZNF799	0.6018303992976191
ATF2	GALNTL6	0.5276192033377205
ATF2	CDO1	0.5498050151599738
ATF2	DOCK2	0.6061716134451549
ATF2	OPTN	0.577528993562249
JRK	ABCD4	0.6160813017380278
JRK	PIGU	0.6386421731026015
JRK	CCDC34	0.5297326948729815
JRK	PRMT3	0.6091387019792296
JRK	KCNJ15	0.539479894214097
JRK	DNAJC12	0.5719679429039624
JRK	KIR2DL1	0.6014914803979994
JRK	BAZ1B	0.533131825992414
JRK	CLEC2B	0.5564758831352172
JRK	CNR2	0.5720289522163853
JRK	PACS2	0.8334970578430476
JRK	EME2	0.6496942149161078
JRK	ARHGDIA	0.5534400545201148
JRK	NEU1	0.5629036300929466
JRK	HYLS1	0.5352251213978629
JRK	PACSIN3	0.5485222911201952
JRK	SNIP1	0.5568586071545076
JRK	HOXA5	0.5715275343143347
SPI1	DHRS12	0.5498384017002458
