Regulator	Target	MI
ATF1	NDUFA13	0.6643726229673499
ATF1	SLC26A2	0.5714796886277438
ATF1	GGNBP2	0.5891327078448247
ATF1	PLEKHH3	0.5893025737228235
ATF1	ETFDH	0.557787903250051
ATF1	ENDOU	0.5306690470339923
ATF1	ALCAM	0.6728793871966632
ATF1	DNPEP	0.5358505185900677
ATF1	PITRM1	0.5517158101280919
ATF1	NT5DC2	0.5333415469203442
ATF1	PI4KAP2	0.5693079498916123
ATF1	SERPINH1	0.5297514665227214
ATF1	NT5M	0.632103541507202
ATF1	SLC35A1	0.5936380933463905
ATF1	ZNF285	0.6421154950129848
ATF1	KLF13	0.532452534161072
ATF1	MTX3	0.5391158226430228
ATF1	NCKAP5L	0.5625542593130319
ATF1	TMEM132A	0.5445178047105417
ATF1	TRAPPC9	0.7626285081997586
ATF1	DYNLL1	0.7185250467980029
ATF1	DMC1	0.5542098574316197
ATF1	ADAM9	0.6052584568232833
ATF1	HOXB3	0.539227885278224
ATF1	NACAD	0.5848964473483615
ATF1	UPRT	0.6279343056955442
ATF1	PLA2R1	0.5479363980100396
ATF1	PRTFDC1	0.5951655484716305
ATF1	CDK16	0.6029091022916084
ATF1	NFKBIB	0.5751720973572554
ATF1	ZNF552	0.5613656731949743
ATF2	FCGBP	0.5560431300316782
ATF2	CNTF	0.5589926245430243
ATF2	TRIO	0.5442337710259428
ATF2	RIF1	0.5492601942217847
ATF2	DSCC1	0.5963127309295144
ATF2	C11orf49	0.7656933994757522
ATF2	RPL6	0.5450800476498858
ATF2	DOCK10	0.5627306029723806
ATF2	TIAL1	0.5322172847853648
ATF2	LIPE	0.5638933604199088
ATF2	RPS6KA3	0.579916057295367
ATF2	TRIM28	0.5882749206994049
ATF2	CDC27	0.6458527195429888
ATF2	CHAC2	0.6891873811651705
ATF2	SLC35A5	0.6622877289332152
ATF2	RPS12	0.5623516212944524
ATF2	MEF2C	0.757788626318328
ATF2	STARD5	0.569296235136806
ATF2	ZGPAT	0.6286202633057867
ATF2	GRIP2	0.6726118653802535
ATF2	OR10AD1	0.5386616441414649
ATF2	CLIP2	0.7271372904100497
ATF2	CDC34	0.5813010051039669
ATF2	CRISPLD1	0.8697408103414661
ATF2	RABL3	0.5806409704797328
ATF2	CCDC86	0.5296214654525349
ATF2	MMADHC	0.6137317999636194
ATF2	CSNK1G1	0.5331844624051847
ATF2	EEF1DP3	0.5942163690535684
ATF2	OR6K3	0.6786735385370379
ATF2	ABHD3	0.5408140891847015
ATF2	ATXN7L3B	0.5297267269108885
ATF2	FPR3	0.5394924856029504
ATF2	RASAL1	0.5891715723484716
ATF2	PSEN1	0.6331782972765843
ATF2	AGER	0.5709541175620538
ATF2	SLC5A3	0.5716319844828712
ATF2	MTMR6	0.6030669908013313
ATF2	GRK5	0.6057385139615157
ATF2	NLRP7	0.5342254407672025
ATF2	NLRP2	0.6561878012989748
ATF2	ZNF669	0.538677065870588
ATF2	LPXN	0.5336501087659209
ATF2	SMYD4	0.56779046276435
ATF2	KDSR	0.5376108021037713
ATF2	QSER1	0.6189152934152782
ATF2	PCK2	0.5546813335333596
ATF2	HSPA9	0.5726186458165952
ATF2	EGR1	1.0993903280586426
ATF2	XCR1	0.625443372892684
ATF2	FZD5	0.7020909710324199
ATF2	RABL2A	0.806762360804393
ATF2	WASH3P	0.5575742239418733
ATF2	CCDC88B	0.6498590488329627
ATF2	PGM5P2	0.6442543666345473
ATF2	PTPRE	0.5731347277482111
ATF2	TADA2A	0.6611449338134481
ATF2	TAB2	0.8387073082918186
ATF2	GLP1R	0.5390615824335314
ATF2	HBS1L	0.7217234110173023
ATF2	LRRC34	0.591192830175665
ATF2	DYRK2	0.5296214654525349
ATF2	MAST2	0.5537802632336977
ATF2	GPR22	0.598358026119159
ATF2	ACOXL	0.7576896768258603
ATF2	CA1	0.5777911195244791
ATF2	RPPH1	0.5383016293163689
ATF2	FAM102A	0.6006452924682266
ATF2	ALDH2	0.5984416111439033
ATF2	SNORD109B	0.5679769234674219
ATF2	SPR	0.6382768726424342
ATF2	PIP5KL1	0.5583520325283646
ATF2	TRPS1	0.5448493421047309
ATF2	CCR7	0.643051525564144
ATF2	LRRFIP1	0.5984347103361509
ATF2	CCR5	0.6159419587591337
ATF2	NANS	0.636517438617636
ATF2	CAMP	0.7429488207315531
ATF2	GRIPAP1	0.6154237056920087
ATF2	CDADC1	0.5803777275040978
ATF2	RHOF	0.7240522172931851
ATF2	ZFY	0.5941342604634618
ATF2	TMC4	0.6646412036191225
ATF2	UMPS	0.5285517062006284
ATF2	ZNF510	0.7274967875950886
