Regulator	Target	MI
ATF1	GCSH	0.6080899176040337
ATF1	TOM1L1	0.557787903250051
ATF1	ATE1	0.527410767666014
ATF1	GALNT6	0.5366803207573327
ATF1	GYPA	0.6109562385441611
ATF1	GCH1	0.5664298568062134
ATF1	SNX24	0.5873144994897359
ATF1	PLXNB1	0.5497354654761626
ATF1	ASH1L	0.5853581002730688
ATF1	GAS2L1	0.6297895136419451
ATF1	C11orf68	0.6390469748686409
ATF1	RAB3GAP1	0.7185917877650958
ATF2	RTN2	0.6459870399221401
ATF2	TACO1	0.5339456330354797
ATF2	EEF1A1P9	0.5507163784592075
ATF2	NAIF1	0.7084485267908538
ATF2	TPTE2P1	0.5738885327901033
ATF2	PPWD1	0.6102104770103183
ATF2	SPATA2	0.5278667961568657
ATF2	NUCKS1	0.7483342730474263
ATF2	PBXIP1	0.6456681846771222
ATF2	C6orf47	0.5461408985267528
ATF2	EFCAB7	0.5350159169037636
ATF2	GRAMD4	0.9322377172840244
ATF2	CDH6	0.569761476862777
ATF2	RNF157	0.6991856534531924
ATF2	HERC3	0.5461408985267528
ATF2	HHEX	0.5923503129457415
ATF2	RPS15A	0.5790658912163971
ATF2	E2F1	0.5779165128661505
ATF2	SNORD99	0.5934463631958988
ATF2	EMB	0.6066152402679452
ATF2	METTL9	0.5445690797196532
ATF2	MICB	0.5463054019411797
ATF2	DNAI2	0.6708752910941058
ATF2	RPS6KL1	0.6736391678750153
ATF2	ZNF681	0.5877512084003
ATF2	SLC35A3	0.5951662609268924
ATF2	APAF1	0.6303544737587057
ATF2	PCDHGC5	0.5515460426847789
ATF2	SFMBT2	0.6221867992837158
ATF2	TNFRSF10A	0.5851608495866136
ATF2	ATP1B2	0.6240179311657803
ATF2	DNAJC15	0.6116510386856242
ATF2	SRPK1	0.5296214654525349
ATF2	FNDC5	0.5807115485987571
ATF2	LAT2	0.5951580982686582
ATF2	DPM2	0.690950194046756
ATF2	SFRP4	0.6667287970762832
ATF2	SFPQ	0.6045296736646701
ATF2	ARMC5	0.5818957452470546
ATF2	SLC6A9	0.5442572923456597
ATF2	CAPRIN1	0.5277355007362736
ATF2	IFIT1B	0.5482424146308196
ATF2	MAPRE3	0.5807150701104962
ATF2	SFXN1	0.56189631314682
ATF2	DCTPP1	0.5486050950610908
ATF2	RNF185	0.5314136142274473
ATF2	SQSTM1	0.5422865169002007
JRK	BARD1	0.5616588369321724
JRK	GTF3C1	0.5496399526100619
JRK	NGFR	0.6891873811651701
JRK	GOLM1	0.7016482762763045
JRK	KCNC3	0.6717384475591253
JRK	ICAM3	0.8313492697636162
JRK	STON2	0.5664973350074094
JRK	TFCP2L1	0.5293929732659621
JRK	VPS26B	0.6741675781427894
JRK	CDC14B	0.555234369093121
JRK	POU6F1	0.5916686637974404
JRK	TMEM158	0.5274283838186764
JRK	ISCA1P1	0.5480894950145996
JRK	TTLL9	0.7542961395191212
SPI1	BOD1	0.542468966463336
SPI1	ZG16B	0.611968582932354
SPI1	PTPRN	0.6218654824984284
SPI1	SRD5A3	0.5289989896317198
SPI1	TTC1	0.5495822250376681
SPI1	ANAPC10	0.5459248318238594
SPI1	SYN1	0.6614689941303271
SPI1	ADAL	0.5948205523162255
SPI1	RBBP8	0.549818404904717
SPI1	RBPMS2	0.5946197885713822
SPI1	TLR7	0.552451038714564
SPI1	ZNF578	0.6318694144429609
SPI1	MAP4K5	0.6199474577177355
SPI1	MORC2	0.5494145863383686
SPIB	ZNF473	0.6509009316214227
SPIB	SLC14A2	0.5670851377583466
SPIB	NAA10	0.5655060480736966
SPIB	SPIN4	0.5388001909292286
SPIB	TRAPPC9	0.5586093608690308
SPIB	CBFA2T3	0.5624377496069122
SPIB	ESR1	0.5425224763942191
SPIB	FBLN2	0.8086115739437116
SPIB	FBXO44	0.5746858396895989
SPIB	PGC	0.5352849871150283
SPIB	FAHD2B	0.5714927887467107
SPIB	NUDT9	0.528326576205596
SPIB	SPDYE1	0.6285722630812085
SPIB	SPIN1	0.6589407316128391
SPIC	DDX3Y	0.6142405301269482
SPIC	EPN3	0.607383494247066
SPIC	ITPKB	0.5873144994897368
SPIC	SLC35B3	0.5728981291150173
SPIC	DENND5B	0.5944249420435028
SPIC	PLA2G1B	0.5480716496768832
SPIC	LNX1	0.5779280331574923
SPIC	FAR2	0.5518782579855239
SPIC	KIAA0232	0.5537070374608044
SPIC	CPT1B	0.5518782579855239
SPIC	WRAP53	0.573682993426361
GPBP1	PANK2	0.5739889046877225
GPBP1	INPPL1	0.5617060995227767
GPBP1	LOXL3	0.5623456277745342
GPBP1	SNX13	0.799825114237477
GPBP1	STMN3	0.5887867206349551
GPBP1	FNBP1L	0.6376992820296818
GPBP1	VPREB3	0.8357132586957245
GPBP1	ABHD13	0.6109038653131522
GPBP1	FLCN	0.5724786364143104
GPBP1	MTRF1	0.5714605120319751
GPBP1	ADAMTSL5	0.5461790346888731
GPBP1	NAGLU	0.545121515518181
GPBP1	SPR	0.7400784044160345
GPBP1	UBXN8	0.5752698163633068
GPBP1	ARFIP2	0.5515542549300445
GPBP1	NBN	0.589342772376678
GPBP1	TNPO1	0.5997189454752512
GPBP1	DPRXP4	0.5697401404986868
GPBP1	SH2D3A	0.6192502425586892
GPBP1	PAQR3	0.5279008959313831
GPBP1	ACSL6	0.5763443268343846
GPBP1	NSUN6	0.5283178816960907
GPBP1	CGRRF1	0.6240375381225611
GPBP1	KCTD4	0.5330019054854387
GPBP1	TMEM170A	0.536366888861401
GPBP1	UPB1	0.5678913031060913
GPBP1	THOC7	0.6875106677538634
GPBP1	TANC1	0.7339583038335
GPBP1	UGDH	0.5386770658705871
GPBP1	IRF4	0.8849670010276349
GPBP1	PACS1	0.6223523151484791
GPBP1	ANAPC4	0.7802195352926105
GPBP1	RAPGEF2	0.5344983047022045
GPBP1	PADI4	0.5476464512877959
GPBP1	ARHGEF5	0.8211124079403609
GPBP1	SNRPB	0.6043583573183215
GPBP1	USP13	0.5756664351347256
GPBP1	PON3	0.5713205387757192
GPBP1	RWDD2A	0.5810436759843163
GPBP1	ATL3	0.5349160337866539
GPBP1	ROCK2	0.7824305119028065
GPBP1	UNC93B1	0.5581617701563846
GPBP1	USP12	0.8501001370725696
GPBP1	TTK	0.5806424250966389
GPBP1	DLL1	0.5925972666171164
GPBP1	HSD17B10	0.598433154508383
GPBP1	PRDM10	0.5808105220517259
GPBP1	RAP1GAP	0.6157495785021476
GPBP1	UQCRH	0.5834165518357075
GPBP1	ADAMTS14	0.67110142474551
