Regulator	Target	MI
ATF1	PRPS2	0.5955279678463992
ATF1	TRAM1	0.5708209214915607
ATF1	ZNF790	0.5444082629431564
ATF1	POLDIP3	0.6130784595768581
ATF1	ARL1	0.6073834942470655
ATF1	CREM	0.5500300679440029
ATF1	ATP11C	0.7975683889811305
ATF1	DTX3	0.7662499346605669
ATF1	KCNAB3	0.5851039482822502
ATF1	COX5A	0.616980974282312
ATF1	UNG	0.5610667855757776
ATF1	WRN	0.5809901230120209
ATF1	DPPA4	0.5462521279471995
ATF1	JKAMP	0.5523602828049214
ATF1	SENP8	0.7091159664338771
ATF1	TCEA3	0.6353856580421962
ATF1	APBA1	0.5883961378042994
ATF1	CD226	0.5331654260276983
ATF1	TRPM7	0.5734111412744114
ATF1	TRIM16	0.7203831427545353
ATF1	ZP3	0.5331654260276983
ATF1	MAP3K7	0.5589660326721035
ATF1	ATP6V0A1	0.6416603828867844
ATF2	DDX27	0.5929171827032831
ATF2	DENND1A	0.6037073274376636
ATF2	ZC4H2	0.5552838807961336
ATF2	MRPL16	0.6184697016875007
ATF2	NRXN3	0.5297326948729815
ATF2	XYLT1	0.8587656192349282
ATF2	ATP8B5P	0.5309353077495547
ATF2	ADAMTS15	0.6630550988747244
ATF2	ING2	0.6174900415934061
ATF2	MPRIP	0.528063656428543
ATF2	MTHFD1L	0.5564089949253912
ATF2	PI4KAP2	0.549229616398232
ATF2	NT5M	0.635685186504968
ATF2	GPAT2	0.5440259321148222
ATF2	ZNF787	0.5708219361066575
ATF2	CAMP	0.5652932732598095
ATF2	DRD4	0.5752316414731626
ATF2	IL13RA1	0.5651553690115576
ATF2	SLC14A1	0.58962650596759
ATF2	SLC15A2	0.5619284212403164
ATF2	IL1R2	0.6110264267172321
ATF2	ASNS	0.7408265741410318
ATF2	SLC16A11	0.6315939516458777
ATF2	ATP1B2	0.6705921386019864
ATF2	PEX13	0.5918352809569112
ATF2	COMMD4	0.5590013455184049
ATF2	SYN1	0.5557100922029945
ATF2	TANC2	0.5639601603747906
ATF2	COPS4	0.5449780853757935
ATF2	CENPE	0.594896036192408
ATF2	SFPQ	0.5384559994183045
ATF2	RPS27	0.6596878883200636
ATF2	CD6	0.5352876547347631
ATF2	HNRNPUL1	0.6082429266934071
ATF2	MYO1A	0.5368488527952837
ATF2	NHP2	0.6343044889888607
ATF2	PCDHGB1	0.5916138030511022
ATF2	TRMT12	0.5482483833718961
ATF2	CSPG5	0.5626268233757914
ATF2	BIRC6	0.6374090779920283
ATF2	PHIP	0.5397795683442697
ATF2	ALDH8A1	0.8816219848086697
ATF2	R3HDM1	0.547014275243551
ATF2	NSMAF	0.6251983391184535
ATF2	SF1	0.549157257997702
JRK	GPR27	0.6407208795632298
JRK	NLRC3	0.6014699631505209
JRK	OGFRL1	0.5885405267292843
JRK	MAP1LC3A	0.7362930133771646
JRK	SOCS1	0.580012410378683
JRK	TMEM129	0.5681352884955033
JRK	RBPMS2	0.5497354069275997
JRK	SCAI	0.54235636952283
JRK	ARFGEF2	0.6369905721664679
JRK	TRPC5	0.5850417097016205
JRK	KDM2A	0.550202423274412
JRK	PCYT1A	0.5966584269556412
JRK	BTN2A1	0.5317887173093547
JRK	LYSMD2	0.5367255297487796
JRK	MYRIP	0.589439536913519
JRK	PTPN14	0.5303828646557736
JRK	DHODH	0.5663093668847483
JRK	NR2F6	0.6829401680133955
JRK	C9orf153	0.6017703468307123
JRK	NFIA	0.5414477075837048
JRK	PIK3IP1	0.5747977412793164
JRK	DPY19L4	0.5405345501828487
JRK	MYO1A	0.5296785387784713
JRK	SSPN	0.586294885132042
JRK	TSNARE1	0.5330422513820259
JRK	ZNF611	0.5663634834722497
JRK	NAIP	0.5702782712496552
SPI1	MYLK2	0.6304213281988105
SPI1	STEAP3	0.6734324113892378
SPI1	C1orf54	0.6180669961829164
SPI1	DGKA	0.7988378973627834
SPI1	GORAB	0.8010588140675869
SPI1	POGK	0.5982295313016919
SPI1	ARAF	0.5797431355342191
SPI1	HP	0.6019552846881608
SPI1	GLS	0.649624807516727
SPI1	RPS6KA6	0.5973476893669565
SPI1	ZFP30	0.5830604391287642
SPI1	PIP4K2B	0.5745495588085592
SPI1	BTRC	0.5364580908892536
SPI1	CCNL1	0.5337407007675816
SPI1	TMEM14A	0.5696566705049211
SPI1	SLC12A8	0.6641880454391846
SPI1	CAST	0.719699420126426
SPI1	ALG2	0.5891017429073608
SPI1	GAPVD1	0.6247536733409511
SPI1	SAP30	0.7400784044160349
SPI1	GPR162	0.5817704369765431
SPI1	THAP7	0.6581298101269759
SPI1	CD109	0.5339110354895724
SPI1	C9orf116	0.5638738421572977
SPI1	PPIF	0.6552557107976438
SPI1	STEAP1	0.5495822250376681
SPI1	TSPYL4	0.6630285639943994
SPI1	ZNF157	0.67110142474551
SPI1	NSMAF	0.8095894578196408
SPI1	SIDT2	0.6329077939428971
SPI1	COL17A1	0.627864207903678
SPI1	NDRG3	0.7235279699097927
SPI1	ABHD4	0.5947929841583623
SPI1	ANAPC16	0.5847991426671069
SPI1	CPLX2	0.656457225323253
SPI1	PDS5A	0.5647450075816605
SPI1	SLC5A3	0.5584570650139042
SPI1	ARL17A	0.6063556420862812
SPI1	PRDX4	0.5512072934304268
SPI1	NPC1L1	0.6393612630622334
SPI1	AMZ2	0.6738668341333138
SPI1	SULT1A3	0.5735916259325595
SPI1	EDEM3	0.5901786111346223
SPI1	HEXIM2	0.531044401401537
SPI1	C19orf54	0.815683021016476
SPI1	ICMT	0.6019232835514057
SPI1	SIGLEC14	0.6814777722026095
SPI1	TGFB1	0.5891705988377072
SPI1	RAB27A	0.5728578803659508
SPI1	HELZ	0.5442491138701158
SPI1	WASH3P	0.8291571705504652
SPI1	TMPRSS13	0.6299670346662736
SPI1	ELL3	0.5919184366446717
SPI1	FBXO30	0.5810652031002719
SPI1	DHFR	0.57961490221148
SPI1	COQ3	0.591167799869798
SPI1	MSRA	0.5273645825029107
SPI1	GNL3L	0.5660000398415868
SPI1	NF1	0.6432367691451795
