Regulator	Target	MI
ATF1	PRPS2	0.6474046618157487
ATF1	COL16A1	0.5670958447934398
ATF1	THBS2	0.5518589470721773
ATF1	HDDC3	0.5574450158901603
ATF1	LMF1	0.5604763574968845
ATF1	PIGX	0.5339784051760605
ATF1	TMEM143	0.5565283552007814
ATF1	CHORDC1	0.7654403531311518
ATF1	SCAP	0.5623656713635521
ATF1	CPNE2	0.548526439405475
ATF1	C6orf201	0.5509406955670983
ATF1	SH3GL1	0.7643426583590562
ATF1	TRPC5	0.5516250403983327
ATF1	CCDC57	0.684273489465888
ATF1	KLHL21	0.8984074679779188
ATF1	ARPC4	0.5398966843364863
ATF1	ATP11B	0.6246719584499796
ATF1	CGN	0.5381192878768459
ATF1	OXSR1	0.645275398099332
ATF1	POMGNT1	0.5355865497181669
ATF1	PARP12	0.7788395262319083
ATF1	LCA5L	0.5965424161704163
ATF1	EIF3M	0.5730443508696488
ATF1	ITCH	0.5302043701206807
ATF1	RAD50	0.528481592083272
ATF1	ASB8	0.5407398806000043
ATF1	CAPRIN1	0.5445377670383036
ATF1	KCNQ4	0.5781555030252519
ATF2	SMPD3	0.5392011896232183
ATF2	NONO	0.5388698320232752
ATF2	TBC1D10C	0.7315579032655286
ATF2	CD59	0.5749890585523847
ATF2	COQ10B	0.5905404705949224
ATF2	GTF2E2	0.6331309163706442
ATF2	SUMF2	0.6034125521692655
JRK	UVRAG	0.5593134264698145
JRK	C3orf38	0.5599988943914971
JRK	ATP8B2	0.540873782101309
JRK	FBXO25	0.5894676020637877
JRK	ATP2A2	0.5746961466383538
JRK	OR2T8	0.6816144613818849
JRK	NUDT3	0.6033863527103156
JRK	TSEN54	0.6233339653656271
JRK	CAPZA2	0.5657045544942334
JRK	TNNT3	0.5377863032986641
JRK	GPC3	0.5485003240702797
JRK	MFSD1	0.5524470157078527
JRK	TSNARE1	0.6594843736280809
SPI1	LAPTM4B	0.593978893617904
SPI1	XBP1	0.5556924440741571
SPI1	FIP1L1	0.5799078098121226
SPI1	PRPF3	0.5414477075837039
SPI1	C5orf58	0.6449143788562473
SPI1	DYRK1A	0.7408250361967208
SPI1	HPS3	0.7627350298509099
SPI1	PLEKHO1	0.6891873811651705
SPI1	TRIM27	0.5877159870933006
SPI1	CCDC82	0.54208566290322
SPI1	ZFP37	0.6544363770125039
SPIB	C1orf52	0.5654007951977595
SPIB	SPNS3	0.5679965189410368
SPIB	C1GALT1	0.6027687740642418
SPIB	GXYLT1	0.6523852944821251
SPIB	SORCS1	0.5358940497980349
SPIB	DLEU2L	0.551430809049128
SPIB	FAM117B	0.5329925298243752
SPIB	RBM4	0.549864673527876
SPIB	RAB30	0.5299634077219832
SPIB	NECAP1	0.5500102337014412
SPIB	SCN9A	0.5550182825696881
SPIB	FAM182B	0.5376807311584209
SPIB	GALM	0.6180669961829164
SPIB	MTFR1	0.5373636350270936
SPIB	TMEM39B	0.5945987543671252
SPIB	AURKAIP1	0.5593916649172512
SPIB	ZFP37	0.5506997990515745
SPIC	ARPC1A	0.5589157792631827
SPIC	PTPRG	0.5612146290105873
GPBP1	IVNS1ABP	0.5373511502158679
GPBP1	MAGEH1	0.5375497599296759
GPBP1	RPL41	0.5342209465926371
GPBP1	ANAPC7	0.6262557631388179
GPBP1	SETD6	0.5585949940409964
GPBP1	RPL36A	0.5590013455184049
GPBP1	KCTD1	0.5901003596460526
GPBP1	KLHL35	0.5524922089421014
GPBP1	RPL7	0.6030695258771503
GPBP1	ZBTB7A	0.6684109123291035
GPBP1	ZC3H15	0.5662142167242377
GPBP1	FARSB	0.5646226527478615
GPBP1	KDM6A	0.6299134414079868
BBX	ALAS2	0.5470994308242298
BBX	SEMA3A	0.8122148749096341
BBX	XIAP	0.7509194824926837
BBX	LILRA2	0.6361879158445327
BBX	C11orf24	0.6324767919389238
BBX	SLC4A4	0.5507479070118766
BBX	YARS2	0.5513096481164905
BBX	SLC2A7	0.5541817337327881
BBX	PDZD2	0.5455615145913626
BBX	TMEM169	0.5681717037036651
BBX	SOX15	0.5297963505607028
BBX	MAP7	0.6646412036191225
BBX	PPIAL4C	0.5961155310363173
BBX	SNRNP35	0.7316616828621174
BBX	C12orf43	0.5707853732165367
BBX	MAP3K3	0.5618911885572317
BBX	IFT122	0.619060694199939
BBX	TAS2R19	0.5651261026255185
BBX	DKK4	0.6411584221747386
BBX	SLC5A6	0.6019837612919554
BBX	TMBIM4	0.6123794298714924
BBX	BCL6B	0.6031668059397721
BBX	MMRN2	0.5448186805453101
BBX	RAB35	0.5914920927232452
BBX	CRYL1	0.6549349637953017
PKNOX1	GTF2IRD2P1	0.5459684890508791
PKNOX1	SLC35B3	0.569429260783048
PKNOX1	YTHDF1	0.5935753268573576
PKNOX1	CSNK1A1	0.5748764608328942
PKNOX1	CRTAM	0.6338920560763484
PKNOX1	NBPF14	0.6027051366390919
PKNOX1	FAM104A	0.5550794792729978
PKNOX1	PRICKLE4	0.5328888316181102
PKNOX1	SCARNA15	0.5752597651719942
PKNOX1	TRPM2	0.594154580654489
PKNOX1	CNST	0.5284461889848333
PKNOX1	GPR182	0.5330673269321871
PKNOX1	CCDC97	0.5718639250335187
PKNOX1	CNIH4	0.6295683599106185
MNX1	SNORD36A	0.6162144827012397
MNX1	CDCP1	0.5647262766483658
MNX1	RAB40AL	0.5842226618798909
PKNOX2	AMDHD2	0.5519579103847616
ZNF17	CEP57	0.5585270063307024
ZNF17	NDRG4	0.6884745528347582
ZNF17	CCNI	0.5771247713370355
ZNF17	WBP2	0.6766493451392241
ZNF17	HSD17B13	0.6091356818629952
ZNF17	PCDH18	0.549818404904717
ZNF17	SCAMP5	0.5407339618250733
